Nome da Música;Artistas;ID da Música
FINA;";";"Bad Bunny; Young Miko";";";3nNmRE0DxHC6ZaKkrpUumS
HIBIKI;";";"Bad Bunny; Mora";";";4qSEvFGCpde73gqIuq3sho
SEDA;";";"Bad Bunny; Bryant Myers";";";1YnChEM51BVZ5dRhbVFEMl
TELEFONO NUEVO;";";"Bad Bunny; Luar La L";";";01ppKlDRCmPpusO3yNrSRY
MERCEDES CAROTA;";";"Bad Bunny; YOVNGCHIMI";";";3TYOH7ta0101NYssoH5GlU
THUNDER Y LIGHTNING;";";"Bad Bunny; Eladio Carrion";";";4pcafPzLDSqQktqSpxHL3E
PERRO NEGRO;";";"Bad Bunny; Feid";";";7iQXYTyuG13aoeHxGG28Nh
ACHO PR;";";"Bad Bunny; Arcángel; De La Ghetto; Ñengo Flow";";";1C7lXfx4Y5maVl4AgUVlHA
Me Porto Bonito;";";"Bad Bunny; Chencho Corleone";";";6Sq7ltF9Qa7SNFBsV5Cogx
Tarot;";";"Bad Bunny; Jhayco";";";41oY4WCTj5kccfesTVFnvN
La Corriente;";";"Bad Bunny; Tony Dize";";";1797zYiX4cKosMH836X9Gt
Party;";";"Bad Bunny; Rauw Alejandro";";";4tYFy8ALRjIZvnvSLw5lxN
Ojitos Lindos;";";"Bad Bunny; Bomba Estéreo";";";3k3NWokhRRkEPhCzPmV8TW
Otro Atardecer;";";"Bad Bunny; The Marías";";";0E0DRHf5PfMeor0ZCwB3oT
Andrea;";";"Bad Bunny; Buscabulla";";";44XjoNvtwevktFKjvVe1vH
Callaita;";";"Bad Bunny; Tainy";";";71wFwRo8xGc4lrcyKwsvba
LA NOCHE DE ANOCHE;";";"Bad Bunny; ROSALÍA";";";2XIc1pqjXV3Cr2BQUGNBck
DÁKITI;";";"Bad Bunny; Jhayco";";";4MzXwWMhyBbmu6hOcLVD49
SORRY PAPI;";";"Bad Bunny; ABRA";";";5jZ32WOU7sqzDYbzINwMUk
MÁS DE UNA CITA;";";"Bad Bunny; Zion & Lennox";";";4EJHKSnHENfjOxXWryyNtL
CANCIÓN CON YANDEL;";";"Yandel; Bad Bunny";";";3pm4XtcsRIFFtH2UErk62R
PA' ROMPERLA;";";"Bad Bunny; Don Omar";";";5XqCz18k96K8tx6DAYM97i
BAD CON NICKY;";";"Bad Bunny; Nicky Jam";";";5bmSver2b3ZXyuyLKtgnFI
CÓMO SE SIENTE - Remix;";";"Jhayco; Bad Bunny";";";6KFjMJJq8UZpfUyDgeH0Yl
EN CASITA;";";"Bad Bunny; Gabriela";";";2DhNdoHxavs7Qtf5MnhZD0
La Santa;";";"Bad Bunny; Daddy Yankee";";";69vlMrzHwATKzupwNcUPyK
Bichiyal;";";"Bad Bunny; Yaviah";";";4j4w4CXm6BSr0s25wAWrrX
Que Malo;";";"Bad Bunny; Ñengo Flow";";";53v2u51nq3CxiKUNphRzP1
Ignorantes;";";"Bad Bunny; Sech";";";38RIEav39FGi86jppxO0du
Una Vez;";";"Bad Bunny; Mora";";";5J7teKIJGtqVypgYI6sqXj
Safaera;";";"Bad Bunny; Jowell & Randy; Ñengo Flow";";";2DEZmgHKAvm41k4J3R2E9Y
Está Cabrón Ser Yo;";";"Bad Bunny; Anuel AA";";";4saHEjXw7O1NXJOzBkUKKG
Puesto Pa' Guerrial;";";"Bad Bunny; Myke Towers";";";5gCg2qMPzKkW4jS4dBKdDs
P FKN R;";";"Bad Bunny; Kendo Kaponi; Arcángel";";";0fgsKar6uBO08vzHXkTjWi
Hablamos Mañana;";";"Bad Bunny; Duki; Pablo Chill-E";";";1V8XneTrX6kKeoxYbk4x6h
MOJAITA;";";"J Balvin; Bad Bunny";";";71pEiUWwfDFiRO6RmFpnBf
YO LE LLEGO;";";"J Balvin; Bad Bunny";";";0uIfrUwwg0Z7KTitul7E3T
CUIDAO POR AHÍ;";";"J Balvin; Bad Bunny";";";6SYSu569pfYdkDT9A5lZqi
QUE PRETENDES;";";"J Balvin; Bad Bunny";";";25ZAibhr3bdlMCLmubZDVt
LA CANCIÓN;";";"J Balvin; Bad Bunny";";";0fea68AdmYNygeTGI4RC18
UN PESO;";";"J Balvin; Bad Bunny; Marciano Cantero";";";7hynhxDoDpgMIV12JuVtNa
ODIO;";";"J Balvin; Bad Bunny";";";7alOsNr36sJ8CyOEP4aILq
COMO UN BEBÉ;";";"J Balvin; Bad Bunny; Mr Eazi";";";7knLcYCOSaURD0d7HUULFM
200 Mph;";";"Bad Bunny; Diplo";";";5jGUJXnELDaDTgiRjD9lsg
La Romana;";";"Bad Bunny; El Alfa";";";1khmgu0pveJbkbpbkyvcQv
MIA;";";"Bad Bunny; Drake";";";3gE4eQH3K83Sght0ZLvuBK
K-POP;";";"Travis Scott; Bad Bunny; The Weeknd";";";5L3ecxQnQ9qTBmnLQiwf0C
un x100to;";";"Grupo Frontera; Bad Bunny";";";6pD0ufEQq0xdHSsRbg9LBK
Gato de Noche;";";"Ñengo Flow; Bad Bunny";";";54ELExv56KCAB4UP9cOCzC
La Jumpa;";";"Arcángel; Bad Bunny";";";5MxFWjuqQIsbNWbMdMdbli
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas);";";"Tainy; Bad Bunny; Julieta Venegas";";";4gzsuuZypVbxs0Af1LSZyB
Volví;";";"Aventura; Bad Bunny";";";2vmfvSoZBFAt9hhRoEByLi
Volando - Remix;";";"Mora; Bad Bunny; Sech";";";0G2zPzWqVjR68iNPmx2TBe
AM Remix;";";"Nio Garcia; J Balvin; Bad Bunny";";";05bfbizlM5AX6Mf1RRyMho
100 MILLONES;";";"Bad Bunny; Luar La L";";";4Ixc50wY5pbUvNEogTQ2wL
DÁKITI;";";"Bad Bunny; Jhayco";";";47EiUVwUp4C9fGccaPuUCS
Yo Perreo Sola - Remix;";";"Bad Bunny; Nesi; Ivy Queen";";";2cpteAYHcd4cjSxAeCkA52
UN DIA (ONE DAY) (Feat. Tainy);";";"J Balvin; Dua Lipa; Bad Bunny; Tainy";";";0EhpEsp4L0oRGM0vmeaN5e
