Nome da Música;Artistas;ID da Música
Starboy (feat. Daft Punk);";";"The Weeknd; Daft Punk";";";76yLBykniz0SSNv0jj17M2
Stargirl Interlude (feat. Lana Del Rey);";";"The Weeknd; Lana Del Rey";";";3CktmDvZGj21m3pNFj5Lr3
Sidewalks (feat. Kendrick Lamar);";";"The Weeknd; Kendrick Lamar";";";3r5lHFACTti0w2REN5tcrn
All I Know (feat. Future);";";"The Weeknd; Future";";";3Xz0rSC29WbaobyJQfeYsp
I Feel It Coming (feat. Daft Punk);";";"The Weeknd; Daft Punk";";";0yi180gAOIJhcRo7wY4Htl
Die For You (with Ariana Grande) - Remix;";";"The Weeknd; Ariana Grande";";";4W4fNrZYkobj539TOWsLO2
Starboy (feat. Daft Punk) - Kygo Remix;";";"The Weeknd; Daft Punk; Kygo";";";3DCc4HPrVukBeaDGe3Cosk
Reminder (feat. A$AP Rocky & Young Thug) - Remix;";";"The Weeknd; A$AP Rocky; Young Thug";";";2rlEZYWZFE84YTbrwypBr0
Or Nah - Live;";";"The Weeknd; Ty Dolla $ign";";";6tB01QHgH9YuVA8TomAzni
Here We Go… Again (feat. Tyler, the Creator);";";"The Weeknd; Tyler, The Creator";";";0khQeEwEv6GndVypzpGOG5
I Heard You're Married (feat. Lil Wayne);";";"The Weeknd; Lil Wayne";";";7p2wRa4m9KVXEXUlkJLhUi
Moth To A Flame (with The Weeknd);";";"Swedish House Mafia; The Weeknd";";";1S9DHKpS73KFVN7nnIql3f
Dawn FM - OPN Remix;";";"The Weeknd; Oneohtrix Point Never";";";1Jz0fAhw41suiAVekjAoLi
How Do I Make You Love Me? - Sebastian Ingrosso & Salvatore Ganacci Remix;";";"The Weeknd; Sebastian Ingrosso; Salvatore Ganacci";";";2urqWNGpjl07PLAafoa5nT
Sacrifice (Remix) (feat. Swedish House Mafia);";";"The Weeknd; Swedish House Mafia";";";0QE33jkiMTzCI8momkDmQY
Out of Time - KAYTRANADA Remix;";";"The Weeknd; KAYTRANADA";";";6yuRNAxPh712eIib8UPI6U
Best Friends - Remix;";";"The Weeknd; Summer Walker";";";6I5gj0D4OEScl48BPFR0J1
Starry Eyes - MIKE DEAN Remix;";";"The Weeknd; MIKE DEAN";";";5T0ZsRG7hVgXeffepN8Kmk
Here We Go… Again (feat. Tyler, the Creator);";";"The Weeknd; Tyler, The Creator";";";1NhjYYcYTRywc0di98xHxf
I Heard You’re Married (feat. Lil Wayne);";";"The Weeknd; Lil Wayne";";";5XbA7TAqsD0fj0dGBrbb0D
Save Your Tears (Remix) (with Ariana Grande) - Bonus Track;";";"The Weeknd; Ariana Grande";";";2PipF4mcI9d6cqq5AAp7GU
I Was Never There;";";"The Weeknd; Gesaffelstein";";";1cKHdTo9u0ZymJdPGSh6nq
Hurt You;";";"The Weeknd; Gesaffelstein";";";6QdnKD1zwEgyOWtkrdzlOF
