Nome da Música;Artistas;ID da Música
As I Am (feat. Khalid);";";"Justin Bieber; Khalid";";";5RE1BlC2bVRL02T0wcLq2X
Holy (feat. Chance The Rapper);";";"Justin Bieber; Chance the Rapper";";";2HFHwTr1IBWheGoQtNNKtx
Unstable (feat. The Kid LAROI);";";"Justin Bieber; The Kid LAROI";";";7K5ASMnqnCR42bJBJ3GAVz
Die For You (feat. Dominic Fike);";";"Justin Bieber; Dominic Fike";";";7enNMlrM074O02PPj5ena0
Peaches (feat. Daniel Caesar & Giveon);";";"Justin Bieber; Daniel Caesar; Giveon";";";2vxifWbsK3QiAy1vriVbNE
Love You Different (feat. BEAM);";";"Justin Bieber; BEAM";";";7knk6teYVDHhS2VZ2ea5nL
Loved By You (feat. Burna Boy);";";"Justin Bieber; Burna Boy";";";5zNjOYCjXVaEEowdRqanBg
Lonely (with benny blanco);";";"Justin Bieber; benny blanco";";";3uhWobYmvGnpN4a2LGnGQH
There She Go (feat. Lil Uzi Vert);";";"Justin Bieber; Lil Uzi Vert";";";1fWMpx0wmv2fVCHEX9MmP6
I Can't Be Myself (feat. Jaden);";";"Justin Bieber; Jaden";";";6lYxkQglLrKTc0mfTj7Esl
Wish You Would (feat. Quavo);";";"Justin Bieber; Quavo";";";5oOwrzVOUXoqUUMwWH0U71
Know No Better (feat. DaBaby);";";"Justin Bieber; DaBaby";";";7nGXisQHTmaOHpVRehSlhe
Name (feat. Tori Kelly);";";"Justin Bieber; Tori Kelly";";";15NqDX3qmiDYIRYqVNmZIB
Red Eye (feat. TroyBoi);";";"Justin Bieber; TroyBoi";";";24OeEKPQ8qqNZnPevRHxUT
Angels Speak;";";"Justin Bieber; Poo Bear";";";6mrUAKW4UA7ygQzoyekxxr
As I Am (feat. Khalid);";";"Justin Bieber; Khalid";";";5taMOY6HlxpEqUyhM1bFu2
Holy (feat. Chance The Rapper);";";"Justin Bieber; Chance the Rapper";";";6nPbYhCg1L6abGsy6bKylA
Unstable (feat. The Kid LAROI);";";"Justin Bieber; The Kid LAROI";";";3ppFZ3cYXbi0T8tUJDNx7Q
Die For You (feat. Dominic Fike);";";"Justin Bieber; Dominic Fike";";";2gBPZEtW6sxFHHa7TL4jd0
Peaches (feat. Daniel Caesar & Giveon);";";"Justin Bieber; Daniel Caesar; Giveon";";";3wKpoOfaQaxdnalXMqSPpO
Love You Different (feat. BEAM);";";"Justin Bieber; BEAM";";";0Zmkb0nqXMqpUgJQrXXHnb
Loved By You (feat. Burna Boy);";";"Justin Bieber; Burna Boy";";";3vw444I3uzqwcEryeh5Z6H
Lonely (with benny blanco);";";"Justin Bieber; benny blanco";";";3353R7ZeupOP7Rp7o94mqa
There She Go (feat. Lil Uzi Vert);";";"Justin Bieber; Lil Uzi Vert";";";7i2xVGqiF5FBPvLg6PLHX3
I Can't Be Myself (feat. Jaden);";";"Justin Bieber; Jaden";";";4C9pETarpQoI5ODtx6My41
Wish You Would (feat. Quavo);";";"Justin Bieber; Quavo";";";4pIC8i4jv9HT1CPH2aGbw3
Know No Better (feat. DaBaby);";";"Justin Bieber; DaBaby";";";6iKFUkq6GmaW4UQGED1tSd
Name (feat. Tori Kelly);";";"Justin Bieber; Tori Kelly";";";6EKDPhgCDL2cwRvloAEwSP
As I Am (feat. Khalid);";";"Justin Bieber; Khalid";";";6F2r4HgpJnvKDmkN6JEN6J
Holy (feat. Chance The Rapper);";";"Justin Bieber; Chance the Rapper";";";6Xgq7MvZiet0hVi3KaDSgJ
Unstable (feat. The Kid LAROI);";";"Justin Bieber; The Kid LAROI";";";137mSruegm1u6x9NvwiagR
Die For You (feat. Dominic Fike);";";"Justin Bieber; Dominic Fike";";";7aely3H8kMj9o0gt6vXHE1
Peaches (feat. Daniel Caesar & Giveon);";";"Justin Bieber; Daniel Caesar; Giveon";";";4iJyoBOLtHqaGxP12qzhQI
Love You Different (feat. BEAM);";";"Justin Bieber; BEAM";";";27UcQ6dAvQrgH9C880rCM3
Loved By You (feat. Burna Boy);";";"Justin Bieber; Burna Boy";";";2tB9OFgAHjAds3cqquLlvp
Lonely (with benny blanco);";";"Justin Bieber; benny blanco";";";3S8jK1mGzQi24ilFb45DAZ
Intentions (feat. Quavo);";";"Justin Bieber; Quavo";";";4umIPjkehX1r7uhmGvXiSV
