Nome da Música;Artistas;ID da Música
Asshole;";";"Eminem; Skylar Grey";";";2zSWsOolR5LkAoGapAh8mJ
The Monster;";";"Eminem; Rihanna";";";00bLSnliElWSOs1Ybt9dZm
Love Game;";";"Eminem; Kendrick Lamar";";";6HPH4AuWHXbTX2uiGWjb3v
Headlights;";";"Eminem; Nate Ruess";";";646BWucPUyiqL1kgN3jOll
Desperation;";";"Eminem; Jamie N Commons";";";2wWoQSkztkPRfOVja8KKse
Beautiful Pain;";";"Eminem; Sia";";";4pQXrA1W9QMBxCEG1KnrNJ
Don't Front;";";"Eminem; Buckshot";";";1fa7bRXO9pZI8kkLZVZywf
Godzilla (feat. Juice WRLD);";";"Eminem; Juice WRLD";";";1IiOIBsOQrQvcge0HiwF90
Lucky You (feat. Joyner Lucas);";";"Eminem; Joyner Lucas";";";3Rr8Mew8NQSdxKsjkAhIrD
Lighters;";";"Bad Meets Evil; Bruno Mars";";";6h5hNqTZRLlcRcFWsK6XhW
Walk On Water (feat. Beyoncé);";";"Eminem; Beyoncé";";";4rlus6KXkBaDTxMZshmyrl
Love The Way You Lie (feat. Rihanna);";";"Eminem; Rihanna";";";6bzuCE27mlZKc9xXljntD6
Won't Back Down (feat. P!nk);";";"Eminem; P!nk";";";2xNdwhGTRrzhO4ikGQ6Qyy
From The D 2 The LBC (with Snoop Dogg);";";"Eminem; Snoop Dogg";";";6CPAznSrkDmiPBgLXoi00f
Nowhere Fast (feat. Kehlani);";";"Eminem; Kehlani";";";31mrcJ0tBECurR7v0G9QvC
The Monster (feat. Rihanna);";";"Eminem; Rihanna";";";4CpZvP1Q66mXPhA3eWoDKB
Crack A Bottle (feat. Dr. Dre & 50 Cent);";";"Eminem; Dr. Dre; 50 Cent";";";0ltIb83VBPvnGDKg7axXej
Is This Love ('09) (feat. 50 Cent);";";"Eminem; 50 Cent";";";7rK0iM6jwuo1oizdx8suQA
River (feat. Ed Sheeran);";";"Eminem; Ed Sheeran";";";1wBSLonFSIZvySNhXOjPKm
Best Friend;";";"Yelawolf; Eminem";";";6GIBsRZT9Uv9W07pVJ47Nj
Kings Never Die (feat. Gwen Stefani);";";"Eminem; Gwen Stefani";";";3FLPAAlQNb570TtFQ50RwR
No Love (feat. Lil Wayne);";";"Eminem; Lil Wayne";";";74lo85x5FUL8Wyc2ur9jAE
Headlights (feat. Nate Ruess);";";"Eminem; Nate Ruess";";";6hBGIHTjFq48UkjeloBDAs
The King and I (feat. CeeLo Green) - From the Original Motion Picture Soundtrack ELVIS;";";"Eminem; CeeLo Green";";";12aZLwY2ZTBKZxrEq0MVjw
Rap God - Mr. Cii Remix;";";"Eminem; Mr. Cii";";";1p8tL0q77EnKkSFssFsXNu
Drips;";";"Eminem; Obie Trice";";";0TcX5vH9A3glxz0ihSwTuV
Superman;";";"Eminem; Dina Rae";";";0WO99YVSgvRzdfLLlSZIEA
When The Music Stops;";";"Eminem; D12";";";0leUBbACaWsSQh2so3CxV8
Say What You Say;";";"Eminem; Dr. Dre";";";4jWWwleHhTmnrpz5nJsPOO
Till I Collapse;";";"Eminem; Nate Dogg";";";5kgYeVd1ya275wfmxvB0Su
My Dad's Gone Crazy;";";"Eminem; Hailie Jade";";";1npHUb08QlSkEn3GZPJczm
Bump Heads;";";"Eminem; Tony Yayo; 50 Cent; Lloyd Banks";";";4OYGHze5MiMkgozardIRxU
The Way I Am - Live From Fuji Rock Festival, Japan / 2001;";";"Eminem; Proof";";";1889HydyXhK7VV9IHdtfWa
The Real Slim Shady - Live From Fuji Rock Festival, Japan / 2001;";";"Eminem; Proof";";";76AUMDyirWy5HZI3fv9HQe
Black Magic (feat. Skylar Grey);";";"Eminem; Skylar Grey";";";50le2HSqQAIqB4BGD4cE9e
Book of Rhymes (feat. DJ Premier);";";"Eminem; DJ Premier";";";08ir631EiCA7xIms7JDp15
Favorite Bitch (feat. Ty Dolla $ign);";";"Eminem; Ty Dolla $ign";";";2KBRNUt33CrlaFPEz4bQYs
Guns Blazing (feat. Dr. Dre & Sly Pyper);";";"Eminem; Dr. Dre; Sly Pyper";";";3WpHqtFUwzIQBsV9YC5iNc
These Demons (feat. MAJ);";";"Eminem; MAJ";";";086LXfSk4U5XEALardCE7k
Zeus (feat. White Gold);";";"Eminem; White Gold";";";2lPE6W6ONJKmBE6hLjpIYo
Unaccommodating (feat. Young M.A);";";"Eminem; Young M.A";";";6U6XkwUEXvKT5hHSSLKxRn
"You Gon’ Learn (feat. Royce Da 5'9"" & White Gold)";";";"Eminem; Royce Da 5'9""; White Gold";";";33xM3SLxNLpZxbvxOzBbew
Those Kinda Nights (feat. Ed Sheeran);";";"Eminem; Ed Sheeran";";";0GRzZ2o5LtYDEOUNjbzTUa
Godzilla (feat. Juice WRLD);";";"Eminem; Juice WRLD";";";4rTlPsga6T8yiHGOvZAPhJ
Leaving Heaven (feat. Skylar Grey);";";"Eminem; Skylar Grey";";";02oJPSOD543viMH6d5VZkM
"Yah Yah (feat. Royce Da 5'9"", Black Thought, Q-Tip & Denaun)";";";"Eminem; Royce Da 5'9""; Black Thought; Q-Tip; Denaun";";";6JyvP9BYLtIDXzjZLMNYTR
Lock It Up (feat. Anderson .Paak);";";"Eminem; Anderson .Paak";";";5TIFb333qPwHTistaz8hdH
No Regrets (feat. Don Toliver);";";"Eminem; Don Toliver";";";73HqmB8qV8AsPUWFPjt6E7
"I Will (feat. KXNG Crooked, Royce Da 5'9"" & Joell Ortiz)";";";"Eminem; KXNG Crooked; Royce Da 5'9""; Joell Ortiz";";";7pEDNYd1Lf4xudWGrtVH8b
Unaccommodating (feat. Young M.A);";";"Eminem; Young M.A";";";0q2vG0UVuy6ajjcpkQHdZM
