Nome da Música;Artistas;ID da Música
Congratulations (feat. Quavo);";";"Post Malone; Quavo";";";75skP0nC9fxRyFCJ6xezlr
rockstar (feat. 21 Savage);";";"Post Malone; 21 Savage";";";6C0CaFzJ3DVdYy0zMPzGcy
Psycho (feat. Ty Dolla $ign);";";"Post Malone; Ty Dolla $ign";";";26aVUWea1a8Vp82JpauBNZ
Sunflower - Spider-Man: Into the Spider-Verse;";";"Post Malone; Swae Lee";";";44PVCNMll9q0t5Imc9HKOh
Goodbyes (feat. Young Thug);";";"Post Malone; Young Thug";";";1AS70XOULdJ7SzAPd88mX4
Take What You Want (feat. Ozzy Osbourne & Travis Scott);";";"Post Malone; Ozzy Osbourne; Travis Scott";";";3Ztd0aLLuWq5hDpGGpFJu2
I Like You (A Happier Song) (with Doja Cat);";";"Post Malone; Doja Cat";";";4WQpaXRq5wShLZLHvC0rIw
One Right Now (with The Weeknd);";";"Post Malone; The Weeknd";";";1W9S175XQ59ntZ7BxvMQpt
Cooped Up (with Roddy Ricch);";";"Post Malone; Roddy Ricch";";";3RSNYrTfBFBv4NTRfKNp2M
I Like You (A Happier Song) (with Doja Cat);";";"Post Malone; Doja Cat";";";0EFehFdU9HbOBzxzJ60IjE
I Cannot Be (A Sadder Song) (with Gunna);";";"Post Malone; Gunna";";";2uoUmwEy9kSi1gp285zdsS
Love/Hate Letter To Alcohol (with Fleet Foxes);";";"Post Malone; Fleet Foxes";";";7uSxfwJFwtZwP7NTHxto2B
Wasting Angels (with The Kid LAROI);";";"Post Malone; The Kid LAROI";";";2mecYcpCQOoFtkRbtDiGg0
One Right Now (with The Weeknd);";";"Post Malone; The Weeknd";";";0UGyZR7RmVoYT0DBJCxTPy
Cooped Up (with Roddy Ricch);";";"Post Malone; Roddy Ricch";";";32vE1nuG8T9c8bhmZdRY6d
I Like You (A Happier Song) (with Doja Cat);";";"Post Malone; Doja Cat";";";0O6u0VJ46W86TxN9wgyqDj
I Cannot Be (A Sadder Song) (with Gunna);";";"Post Malone; Gunna";";";4IxeKzzxUSEgivgtbSbyIK
Love/Hate Letter To Alcohol (with Fleet Foxes);";";"Post Malone; Fleet Foxes";";";6R9c642Hs3tOdLowjYaWt2
Wasting Angels (with The Kid LAROI);";";"Post Malone; The Kid LAROI";";";2OcSE0EXzgUuqkM1NIJPHJ
One Right Now (with The Weeknd);";";"Post Malone; The Weeknd";";";1nltpRhEiXikwDlVn4UADk
Enemies (feat. DaBaby);";";"Post Malone; DaBaby";";";0Xek5rqai2jcOWCYWJfVCF
Die For Me (feat. Future & Halsey);";";"Post Malone; Halsey; Future";";";2C6WXnmZ66tHhHlnvwePiK
On The Road (feat. Meek Mill & Lil Baby);";";"Post Malone; Meek Mill; Lil Baby";";";12Fkyg9lpmaz2zmKOfw2Y2
Take What You Want (feat. Ozzy Osbourne & Travis Scott);";";"Post Malone; Ozzy Osbourne; Travis Scott";";";7CZyCXKG6d5ALeq41sLzbw
Staring At The Sun (feat. SZA);";";"Post Malone; SZA";";";5KE9b4x7Zj2A8XtbkqhqTe
Sunflower - Spider-Man: Into the Spider-Verse;";";"Post Malone; Swae Lee";";";0RiRZpuVRbi7oqRdSMwhQY
