Nome da Música;Artistas;ID da Música
Life Of The Party (with André 3000);";";"Kanye West; André 3000";";";2yBb1CRq98SSWRuDSn36SZ
Every Hour;";";"Kanye West; Sunday Service Choir";";";1WnqWQcWcuQbVzgE7ecfCY
Everything We Need;";";"Kanye West; Ty Dolla $ign; Ant Clemons";";";24bnCCysWnbNRNUT4LpHcP
Water;";";"Kanye West; Ant Clemons";";";454Epa1vrCGFddHXKyC1kb
Hands On;";";"Kanye West; Fred Hammond";";";7r6aR2f57resC5r93LwMfK
Use This Gospel;";";"Kanye West; Clipse; Kenny G";";";0oPOuDmmkVp3h6puekhs6P
Feel The Love;";";"KIDS SEE GHOSTS; Pusha T";";";3aUFrxO1B8EW63QchEl3wX
4th Dimension;";";"KIDS SEE GHOSTS; Louis Prima";";";6JyEh4kl9DLwmSAoNDRn5b
Freeee (Ghost Town Pt. 2);";";"KIDS SEE GHOSTS; Ty Dolla $ign";";";7GRTrWsP3yo2Fx8umJfA1X
Kids See Ghosts;";";"KIDS SEE GHOSTS; Yasiin Bey";";";2I3dW2dCBZAJGj5X21E53k
Wouldn't Leave;";";"Kanye West; PARTYNEXTDOOR";";";1nGoy0cEj0extAwXYNYTWd
Ghost Town;";";"Kanye West; PARTYNEXTDOOR";";";7vgTNTaEz3CsBZ1N4YQalM
No Church In The Wild;";";"JAY-Z; Kanye West; Frank Ocean; The-Dream";";";1jIfaHx4jUl1mqdig9wUra
Lift Off;";";"JAY-Z; Kanye West; Beyoncé";";";2tS99DuyfPPJLBVeD8iAuV
Ni**as In Paris;";";"JAY-Z; Kanye West";";";0Bh5fftQH3Nnr5sH3I9G5o
Otis;";";"JAY-Z; Kanye West; Otis Redding";";";4KyMZxbMbrSPHwMczzgxqQ
Gotta Have It;";";"JAY-Z; Kanye West";";";36mTP2gYrZ13YzytQ5p0QW
New Day;";";"JAY-Z; Kanye West";";";0q9GhLUyqu6wCgl1d1S7hO
That's My Bitch;";";"JAY-Z; Kanye West";";";07CRJ8rXcaaqtboD6QXGur
Welcome To The Jungle;";";"JAY-Z; Kanye West";";";5oXniOwyoZL3XB1C4xuiU1
Who Gon Stop Me;";";"JAY-Z; Kanye West";";";5vqGzocoPjRQLsnL7UBOpE
Murder To Excellence;";";"JAY-Z; Kanye West";";";5y55cugikYzqJeZfVBqDeB
Made In America;";";"JAY-Z; Kanye West; Frank Ocean";";";57CdogxwhzdHhqjj0115He
Why I Love You;";";"JAY-Z; Kanye West; Mr Hudson";";";1xUGUTWQNqQzYOX1mkAlFw
Illest Motherf***** Alive;";";"JAY-Z; Kanye West";";";7t259tTXkuNVfxdQcnEagh
H•A•M;";";"Kanye West; JAY-Z";";";64rnghzDMy4cAEMZhSOp9h
Primetime;";";"JAY-Z; Kanye West";";";4WQrG3ke074wTes10aLPBT
The Joy;";";"JAY-Z; Kanye West; Curtis Mayfield";";";6SaPAcPPnp0Wq3IUxcwHNe
No Church In The Wild;";";"JAY-Z; Kanye West; Frank Ocean; The-Dream";";";7r6PigmGzlB3YPB7wvBBbi
Lift Off;";";"JAY-Z; Kanye West; Beyoncé";";";4TRUsIZw92IhJjAtxtiC4e
Ni**as In Paris;";";"JAY-Z; Kanye West";";";1auxYwYrFRqZP7t3s7w4um
Otis;";";"JAY-Z; Kanye West; Otis Redding";";";14I61w6cyYUHiV2n28IYdP
Gotta Have It;";";"JAY-Z; Kanye West";";";2aqe2NgAwmMlPgtf1MnGoy
New Day;";";"JAY-Z; Kanye West";";";0x367gcUm6nsEoMXXFfEMy
That's My Bitch;";";"JAY-Z; Kanye West";";";1BMzxGds8WSK39p4y432fl
Welcome To The Jungle;";";"JAY-Z; Kanye West";";";0y0imMk6KsO90MaHG4MVAl
Who Gon Stop Me;";";"JAY-Z; Kanye West";";";22ngk2DRBy7audIugfYDKd
Murder To Excellence;";";"JAY-Z; Kanye West";";";3Gjc2FE6BEMMHURUjlMXvX
Made In America;";";"JAY-Z; Kanye West; Frank Ocean";";";0qM9UF4CbazQ5xa8PCTopE
Why I Love You;";";"JAY-Z; Kanye West; Mr Hudson";";";4bDPr2VAjcfgUDmN9dGOC3
Gorgeous;";";"Kanye West; Kid Cudi; Raekwon";";";23SZWX2IaDnxmhFsSLvkG2
Monster;";";"Kanye West; JAY-Z; Rick Ross; Nicki Minaj; Bon Iver";";";1ZHYJ2Wwgxes4m8Ba88PeK
So Appalled;";";"Kanye West; JAY-Z; Pusha T; CyHi; Swizz Beatz; RZA";";";6K07Ahf6V7CAQn0ikrOztl
Devil In A New Dress;";";"Kanye West; Rick Ross";";";1UGD3lW3tDmgZfAVDh6w7r
Runaway;";";"Kanye West; Pusha T";";";3DK6m7It6Pw857FcQftMds
Blame Game;";";"Kanye West; John Legend";";";4EndPA8b6FDWYp1RgsnLEB
Lost In The World;";";"Kanye West; Bon Iver";";";2Im64pIz6m0EJKdUe6eZ8r
Welcome To Heartbreak;";";"Kanye West; Kid Cudi";";";3F18I7LhWKxlf1PytSoTBH
Amazing;";";"Kanye West; Jeezy";";";0m3Ze0cy8qBHSsV2exAfCw
Paranoid;";";"Kanye West; Mr Hudson";";";0w2piYWj1F2bzUftzGJgK9
See You In My Nightmares;";";"Kanye West; Lil Wayne";";";5zuoz1NBnpoHK6g5sbEH8F
Good Life;";";"Kanye West; T-Pain";";";4ZPdLEztrlZqbJkgHNw54L
Barry Bonds;";";"Kanye West; Lil Wayne";";";7387VaiHpOsSIZ5nmjseya
Drunk and Hot Girls;";";"Kanye West; Mos Def";";";7DRuzSlhjKadgdsQRYZ0tr
Flashing Lights;";";"Kanye West; Dwele";";";5TRPicyLGbAF2LGBFbHGvO
Everything I Am;";";"Kanye West; DJ Premier";";";0NrtwAmRAdLxua31SzHvXr
Homecoming;";";"Kanye West; Chris Martin";";";4iz9lGMjU1lXS51oPmUmTe
Good Night;";";"Kanye West; Mos Def; Albe Back";";";3bhyo2ED5Yd4RLydQBDtD6
Touch The Sky - Live At Abbey Road Studios;";";"Kanye West; Lupe Fiasco";";";0Xvbqfjc2sivTVj9SHIOIR
