Nome da Música;Artistas;ID da Música
F40 - Remix;";";"J Balvin; Arcángel";";";7m12pGA8jpRVQDH7pURUs2
Una Nota;";";"J Balvin; Sech";";";2ErzUOFJDwXC9N9pxg5owK
Te Acuerdas De Mí;";";"J Balvin; Yandel";";";1z4sMKpdrohzfbAcGvJ0Id
In Da Getto;";";"J Balvin; Skrillex";";";4b85BuKVWeVpTNapUwUY70
Billetes De 100;";";"J Balvin; Myke Towers";";";6kbTUuf7wblDIkChKnp6Qa
La Venganza;";";"J Balvin; Jhayco";";";4M9WQVRzTYJMhcu9w0iBp5
Bebé Que Bien Te Ves;";";"J Balvin; Feid";";";3dNDCRnjkzeYBMKcboXDSj
Si Te Atreves;";";"J Balvin; Zion & Lennox";";";0vJE6xH3oPfadDN1r9jpA6
Pa' Guayarte;";";"J Balvin; Ozuna";";";2OHPFm1DZylJjnAxtkEB9t
Perra;";";"J Balvin; Tokischa";";";65TQPHGYf1QWqC6UC6BvPl
Qué Más Pues?;";";"J Balvin; Maria Becerra";";";4UC7ed9QhtjvjM4deTGMNS
OTRO FILI;";";"J Balvin; Jay Wheeler";";";6W3syaecD1sz8FSGZLat3G
Otra Noche Sin Ti;";";"J Balvin; Khalid";";";3LThaZebYRffBPg9ITPK1L
Poblado - Remix;";";"J Balvin; KAROL G; Nicky Jam; Crissin; Totoy El Frio; Natan & Shander";";";61w2AQq6iHKzTskWuzaIao
UN DIA (ONE DAY);";";"J Balvin; Dua Lipa; Bad Bunny; Tainy";";";2ZOKsLsf7vqZtd2QKNwI9p
In Da Getto - Chris Lorenzo Remix;";";"J Balvin; Skrillex; Chris Lorenzo";";";2iKhCfzUyCdeTSpKivNt0k
In Da Getto - Martinez Bros Remix;";";"J Balvin; Skrillex; The Martinez Brothers";";";6VljrY50GJ5SZsvIfbUBZe
In Da Getto - Henry Fong Remix;";";"J Balvin; Skrillex; Henry Fong";";";40DH62D1wwsiEQE0uMTiN8
In Da Getto - TSHA Remix;";";"J Balvin; Skrillex; TSHA";";";0LdGJecZK7Sncp9CBcFUy1
Una Nota;";";"J Balvin; Sech";";";7iqOIHHEmu6Vhw25GgQ2eA
Te Acuerdas De Mí;";";"J Balvin; Yandel";";";3EgHkFBGUu7NHZspAdiy0D
In Da Getto;";";"J Balvin; Skrillex";";";1q0PYXTbDsirp2l74ng6pn
Billetes De 100;";";"J Balvin; Myke Towers";";";4tWOrZqaelCejCT3Th8Phq
La Venganza;";";"J Balvin; Jhayco";";";0Pe4DpJDmZtOybHgrZ1hyM
Bebé Que Bien Te Ves;";";"J Balvin; Feid";";";6Se3CKRvYOyuzHGdHAooem
Si Te Atreves;";";"J Balvin; Zion & Lennox";";";7iBb6zKia1sx84BM9LUoxx
Pa' Guayarte;";";"J Balvin; Ozuna";";";77J8t2pFJYI8k4tZgJ3ybY
Perra;";";"J Balvin; Tokischa";";";04JVwAItboGpDhDgC4fNta
Qué Más Pues?;";";"J Balvin; Maria Becerra";";";6D2TCm4nf5nxAcdGJ7w3QP
OTRO FILI;";";"J Balvin; Jay Wheeler";";";0nZjipkI0piCeaAp7Tt2KN
Otra Noche Sin Ti;";";"J Balvin; Khalid";";";6xvaSd27eSA5kQlFRYhWZF
Poblado - Remix;";";"J Balvin; KAROL G; Nicky Jam; Crissin; Totoy El Frio; Natan & Shander";";";2K1CQMoG2Dy5nmeOYnhoi8
