Nome da Música;Artistas;ID da Música
Wasted (feat. Lil Uzi Vert);";";"Juice WRLD; Lil Uzi Vert";";";1Z22uO92kr73rVFPTMa6aE
Lucid Dreams (feat. Lil Uzi Vert) - Remix;";";"Juice WRLD; Lil Uzi Vert";";";7aqsZaSCQRuSrgCudm7sZE
Wandered To LA (with Justin Bieber);";";"Juice WRLD; Justin Bieber";";";2DQayQSTaomynGyTLXzGs0
Feline (with Polo G & Trippie Redd);";";"Juice WRLD; Polo G; Trippie Redd";";";45ttRl8uNtJkop7r9dmP4e
Girl Of My Dreams (with SUGA of BTS);";";"Juice WRLD; SUGA; BTS";";";59bY27SZQ4r25o02vqOhgC
Wasted (feat. Lil Uzi Vert);";";"Juice WRLD; Lil Uzi Vert";";";2RQlooky582mUdYEKmoyAe
Lucid Dreams (feat. Lil Uzi Vert) - Remix;";";"Juice WRLD; Lil Uzi Vert";";";1jKlRcH7X78ps1yKBTWyUV
Smile (with The Weeknd);";";"Juice WRLD; The Weeknd";";";6wQlQrTY5mVS8EGaFZVwVF
Tell Me U Luv Me (with Trippie Redd);";";"Juice WRLD; Trippie Redd";";";5JAYDuLRkODlVt6dgoalKk
Hate The Other Side (with Marshmello & The Kid Laroi);";";"Juice WRLD; Marshmello; The Kid LAROI; Polo G";";";0ada5XsQGLPUVbmTCkAP49
Life's A Mess (feat. Halsey);";";"Juice WRLD; Halsey";";";5wWAwzGp2OaaoIkwcz6wZs
Come & Go (with Marshmello);";";"Juice WRLD; Marshmello";";";2Y0wPrPQBrGhoLn14xRYCG
Demonz (feat. Brent Faiyaz) - Interlude;";";"Juice WRLD; Brent Faiyaz";";";06GhyyKkQrMO73qVArgQVH
Bandit (with YoungBoy Never Broke Again);";";"Juice WRLD; YoungBoy Never Broke Again";";";1oWM79mUVdZGCGYjSirHZR
Ring Ring (with Rvssian feat. Clever);";";"Juice WRLD; Rvssian; Clever";";";4UBKe75v9DYcehHirq4ot4
ON GOD (feat. Young Thug);";";"Juice WRLD; Young Thug";";";5euYMGygjq2IAfpzOD08Qb
Wasted (feat. Lil Uzi Vert);";";"Juice WRLD; Lil Uzi Vert";";";1a7WZZZH7LzyvorhpOJFTe
Jet Lag (feat. Young Scooter);";";"Future; Juice WRLD; Young Scooter";";";2OsDoAzo5SGq10qwmKSQBv
Astronauts;";";"Future; Juice WRLD";";";2vs5ubqg8QUbfyWZpMfvWe
Fine China;";";"Future; Juice WRLD";";";5274I4mUMnYczyeXkGDWZN
Red Bentley (feat. Young Thug);";";"Future; Juice WRLD; Young Thug";";";3fFBZvG777xoKyvcrBq7lc
Oxy (feat. Lil Wayne);";";"Future; Lil Wayne";";";0nWMTq3fBceV1uZlhFn6of
7 Am Freestyle;";";"Future; Juice WRLD";";";1hHe7cirScEJWgAS0JFqTL
Different (feat. Yung Bans);";";"Future; Juice WRLD; Yung Bans";";";3thLnNvO9IctWoccbsZyJV
Shorty;";";"Future; Juice WRLD";";";5ExHDzOoOhC4xZGPh9zyQZ
Realer N Realer;";";"Future; Juice WRLD";";";4VMiNOpnjRwSCwmHaUfOMM
No Issue;";";"Future; Juice WRLD";";";7L95O7D34EWhwtDCQkwGMR
WRLD On Drugs;";";"Future; Juice WRLD";";";3xBHLZwRfi0fjO9euaj5zf
Ain't Livin Right (feat. Gunna);";";"Future; Juice WRLD; Gunna";";";0JR7iZZ6Ql79sXW3rbiS3F
Transformer (feat. Nicki Minaj);";";"Future; Nicki Minaj";";";2MfcvcvWSUkstTDZXYIakq
Hard Work Pays Off;";";"Future; Juice WRLD";";";6gzIcEUuswJQGfJNPYMjjv
Doomsday (with Juice WRLD & Cordae);";";"Lyrical Lemonade; Juice WRLD; Cordae";";";3bkpVSoNvBkvt9LJMFT5at
KNIGHT CRAWLER;";";"Trippie Redd; Juice WRLD";";";3BdETChkhj7MJD248sn8n8
Bye Bye;";";"Marshmello; Juice WRLD";";";6XO8RlYuJCiI0v3IA48FeJ
Matt Hardy 999;";";"Trippie Redd; Juice WRLD";";";3LS3GLtZJdMRzOLTmgRfG3
Life's A Mess II (with Clever & Post Malone);";";"Juice WRLD; Clever; Post Malone";";";4O3RwH1TFG1EjPezLIYehI
Bad Boy (with Young Thug);";";"Juice WRLD; Young Thug";";";43CIWpJaJHRcI4mUSjqgc2
Reminds Me Of You;";";"Juice WRLD; The Kid LAROI";";";5YSHygGN9D0mID1NsVd5my
Real Shit (with benny blanco);";";"Juice WRLD; benny blanco";";";3uVPLtkmDu8pDkYEAVqbgS
Smile (with The Weeknd);";";"Juice WRLD; The Weeknd";";";1EIsJed40cd7Bcv8SXVdqA
Come & Go (with Marshmello);";";"Juice WRLD; Marshmello";";";4Lxseh0wN7N0ljiOh8KwbU
GO (feat. Juice WRLD);";";"The Kid LAROI; Juice WRLD";";";2t7D3y0jvYjR8IP9Bosyew
No Me Ame;";";"Rvssian; Anuel AA; Juice WRLD";";";2AuWgceaQyfMoI3EGavwGb
Suicidal (feat. Juice WRLD) - Remix;";";"YNW Melly; Juice WRLD";";";4S2uhQE8L9V6p7rj7SiauJ
Bandit (with YoungBoy Never Broke Again);";";"Juice WRLD; YoungBoy Never Broke Again";";";6Gg1gjgKi2AK4e0qzsR7sd
Hate Me - Snakehips Remix;";";"Ellie Goulding; Juice WRLD; Snakehips";";";3Cy2S8iTt15eUf3i0LQneT
Graduation (with Juice WRLD);";";"benny blanco; Juice WRLD";";";6cjSh516BbrNUs213jDAGm
Hate Me - R3HAB Remix;";";"Ellie Goulding; Juice WRLD; R3HAB";";";3iJeF2izF1QcpCgUc97BLl
