Nome da Música;Artistas;ID da Música
Fever;";";"Dua Lipa; Angèle";";";5tFAwDNw4K6KYKCWtta7pe
Prisoner (feat. Dua Lipa);";";"Miley Cyrus; Dua Lipa";";";1V4uMdCH6aDZire0vVqnXW
Not My Problem (feat. JID);";";"Dua Lipa; JID";";";69GVTnxGmUlF2ymLPL2CEp
Levitating (feat. DaBaby);";";"Dua Lipa; DaBaby";";";0v2boHmWtxMTD2REGN8MbK
Un Día (One Day);";";"J Balvin; Dua Lipa; Bad Bunny; Tainy";";";2GPCE96x9Go6acdDt8ex6p
Future Nostalgia (Joe Goddard Remix) [Mixed];";";"Dua Lipa; The Blessed Madonna; Joe Goddard";";";6I4jM8zkQVhWBlRWM72TZv
Cool (Jayda G Remix) [Mixed];";";"Dua Lipa; The Blessed Madonna; Jayda G";";";7uxUuFXMrFZnkgPWYVt2Co
Good In Bed (Zach Witness & Gen Hoshino Remixes) [Mixed];";";"Dua Lipa; The Blessed Madonna; Gen Hoshino; Zach Witness";";";1Q6rJb7E9F99NqZbqkJLOT
Pretty Please (Midland Refix) [Mixed];";";"Dua Lipa; The Blessed Madonna; Midland";";";3n1vWk5ATCmw4116OfUFVl
Pretty Please (Masters at Work Remix) [Mixed];";";"Dua Lipa; The Blessed Madonna; Masters At Work";";";7IDA5SSrUNi5I4ehEyuWx2
Boys Will Be Boys (Zach Witness Remix) [Mixed];";";"Dua Lipa; The Blessed Madonna; Zach Witness";";";5yPaiCQYIDGKmGPlE7Yf0L
Love Again (Horse Meat Disco Remix) [Mixed];";";"Dua Lipa; The Blessed Madonna; Horse Meat Disco";";";3QhQ1vVPeWjUQB01AXhKrT
Break My Heart / Cosmic Girl (Dimitri From Paris Edit) [Mixed];";";"Dua Lipa; The Blessed Madonna; Jamiroquai; Dimitri From Paris";";";6oCGHGu19poEz8iF3ZXHrj
Levitating (feat. Madonna and Missy Elliott) [The Blessed Madonna Remix] [Mixed];";";"Dua Lipa; The Blessed Madonna; Madonna; Missy Elliott";";";3fiCSQSEJrAP2NvPEuQnKm
Hallucinate (Mr Fingers deep stripped mix) [Mixed];";";"Dua Lipa; The Blessed Madonna; Mr. Fingers";";";5xEXiB1tVK99iu27cbfRzU
Hallucinate (Paul Woolford Remix) [Extended] [Mixed];";";"Dua Lipa; The Blessed Madonna; Paul Woolford";";";42wKjrBHwwVkqcrQAz5fva
Love Is Religion (The Blessed Madonna Remix) [Mixed];";";"Dua Lipa; The Blessed Madonna";";";3q4cfRBOyj4WqQYV9HrsUh
Don't Start Now (Yaeji Remix) [Mixed];";";"Dua Lipa; The Blessed Madonna; Yaeji";";";46mieyWUfTRwG9ha7UCJ3Z
Physical (feat. Gwen Stefani) [Mark Ronson Remix] [Mixed];";";"Dua Lipa; The Blessed Madonna; Gwen Stefani; Mark Ronson";";";1GGuz6FiDdy6uH545iwYHn
Kiss and Make Up (Remix) [Mixed];";";"Dua Lipa; The Blessed Madonna; BLACKPINK";";";6P8SQWN3pcLKChWHt73fZV
That Kind Of Woman (Jacques Lu Cont Remix) [Mixed];";";"Dua Lipa; The Blessed Madonna; Jacques Lu Cont";";";61u2QwMcppNKzDOzakQJ2W
Break My Heart (Moodymann Remix) [Mixed];";";"Dua Lipa; The Blessed Madonna; Dimitri From Paris; Moodymann";";";2xKIBnXEwDOcTzCx862bhR
Levitating (feat. DaBaby);";";"Dua Lipa; DaBaby";";";5nujrmhLynf4yMoMtj8AQF
Fever;";";"Dua Lipa; Angèle";";";3F1P0QzdXtBz0MXy7KIO5w
Lost In Your Light (feat. Miguel);";";"Dua Lipa; Miguel";";";3NqtXWHYIV3VxdRZ7uJwYZ
