Nome da Música;Artistas;ID da Música
FUXK (feat. Ski Mask the Slump God);";";"XXXTENTACION; Ski Mask The Slump God";";";2y55JzTDe2kFDChkBZUOUS
True Love;";";"Kanye West; XXXTENTACION";";";1lXHSDFD4ljZLyLB58hpvd
bad vibes forever (feat. PnB Rock & Trippie Redd);";";"XXXTENTACION; PnB Rock; Trippie Redd";";";03eJ2DclFWXYU8GWgANdmZ
School Shooters (feat. Lil Wayne);";";"XXXTENTACION; Lil Wayne";";";0DWrG09StYVhLbeNLwAJ5w
I Changed Her Life (feat. Rick Ross);";";"XXXTENTACION; Rick Ross";";";1SaxT2eggG2xalUM21tUSw
LIMBO (feat. Killstation);";";"XXXTENTACION; Killstation";";";2hv3PVAj6KKDOVNhyRfjeG
Ecstasy (feat. Noah Cyrus);";";"XXXTENTACION; Noah Cyrus";";";4s7U2mS26ab7GFtgeUcwKA
Kill My Vibe (feat. Tom G);";";"XXXTENTACION; Tom. G";";";3KJ7n1lICe3OZuuwZQlWDQ
Hot Gyal (feat. Tory Lanez & Mavado);";";"XXXTENTACION; Tory Lanez; Mavado";";";2sssyogPeYk581LqeMZOQu
THE ONLY TIME I FEEL ALIVE;";";"XXXTENTACION; Craig Xen";";";71hGntRHMOByPYua7WbnGG
Daemons (feat. Joey Bada$$);";";"XXXTENTACION; Kemba; Joey Bada$$";";";4CuxcBpQnw3Itmp5VQoCHj
Voss (feat. Sauce Walka & Carnage);";";"XXXTENTACION; Sauce Walka; Carnage";";";6crBVhm5d0JnAJhVHYkJTZ
Royalty (feat. Ky-Mani Marley, Stefflon Don & Vybz Kartel);";";"XXXTENTACION; Ky-Mani Marley; Stefflon Don; Vybz Kartel";";";5n9O3DqswW3Vm5b3Z07zcB
wanna grow old (i won't let go) (feat. Jimmy Levy);";";"XXXTENTACION; Jimmy Levy";";";5RZt3aBokyH2EEqWBef7uS
NorthStar (feat. Joyner Lucas) - Remix;";";"XXXTENTACION; Joyner Lucas";";";7t27DLlJCOCt0Y3XTUGAbc
CHASE / glass shards (feat. ikabodVEINS);";";"XXXTENTACION; ikabodVEINS";";";62VGbS3xXFRGDBD8F2ZgPl
IT'S ALL FADING TO BLACK (feat. blink-182);";";"XXXTENTACION; blink-182";";";0R6dvBlNevqkzioHLoygbI
infinity (888);";";"XXXTENTACION; Joey Bada$$";";";5g2wRHQ7UvfNUo9r8rLuD1
Pain = BESTFRIEND;";";"XXXTENTACION; Travis Barker";";";3q4EHKvFL3FvaiObz1Wy1Z
$$$;";";"XXXTENTACION; Matt OX";";";4kknZulPci7KDgewQ0CITN
SMASH!;";";"XXXTENTACION; PnB Rock";";";308DgKjWLSmzbmErJ9AmMl
I don’t even speak spanish lol;";";"XXXTENTACION; Rio Santana; Judah; Andrez Babii";";";7b6Kgzh1nfKVzFnS7vhlvv
Pain = BESTFRIEND - Instrumental;";";"XXXTENTACION; Travis Barker";";";4yvPVwCJljPSp6QRmJ5MrZ
#PROUDCATOWNERREMIX;";";"XXXTENTACION; Rico Nasty";";";7lNNRVIMZZ4dNSgwT28aWK
Nothing;";";"Cooliecut; Craig Xen; Killstation";";";6tFWMs2FJMi4loy4XlR8bz
Gassed Up!;";";"XXXTENTACION; Flyboy Tarantino; Kid Trunks; Bass Santana; Kin$oul";";";15Y949TGjUppdT78h0S49P
Plottin;";";"Kid Trunks; Flyboy Tarantino; Robb Bank$";";";106VtwWCZbr6LyBiPT4Qmn
Pick Your Poison;";";"Tankhead; Ikabod Veins";";";4D3v2iwl2YlW4Y0jTHFL2F
Fall in Love with Death;";";"Bass Santana; Cooliecut; Kin$oul";";";2OX6QC9PUddyKBOfKrh2sB
Love Hard, Fall Fast;";";"Flyboy Tarantino; Craig Xen";";";0OZkPCEWmObzT2TdErznLD
Now or Never;";";"Flyboy Tarantino; Craig Xen; Kidway";";";4RwkD60oxDXokzAluwPc8B
Cold Weather;";";"Killstation; Cooliecut; Craig Xen";";";0p1rtgkOhdwVRE31PqLw7h
Touch Eem Body;";";"XXXTENTACION; Bass Santana; Kin$oul; Reddz";";";2WOxBv9WElDqB0opEAbCC4
Jahseh on my Wrist;";";"Bass Santana; Flyboy Tarantino; Kid Trunks; Craig Xen";";";0KAeZmwp47R8KZt5zmIqvu
You Are Not M.O.;";";"Bass Santana; Kin$oul; Robb Bank$; Bhris; absentwill";";";6h9No609BQsRlwVxSkHycT
Make Eem Run!;";";"Bass Santana; XXXTENTACION; Ski Mask The Slump God";";";44nlOJLjLqwNgYcT277V25
MEMBERS ONLY!;";";"Tankhead; Ratchet Roach; Flyboy Tarantino; Cooliecut; Kid Trunks; Craig Xen; SB; Kin$oul; Bass Santana; Rawhool Mane";";";1dwEMvnyThZ3exkZXL6nW1
Radar;";";"Ratchet Roach; Bass Santana; Robb Bank$";";";79ty42V6NbEAQdEvVWa1IL
Hi Wendy!;";";"XXXTENTACION; Bass Santana; Kin$oul; Kid Trunks; Flyboy Tarantino";";";7l0ZtXbl2aTvpHuynmiurl
Over the Rainbow;";";"Cooliecut; Kin$oul; Rawhool Mane";";";5ocuRCDSWiUMZcWI4Utd9g
Red Pills (Love in the Matrix);";";"Cooliecut; Kin$oul";";";2vE25qwuW7TFg1xiILHfPi
Empty;";";"Cooliecut; Craig Xen; Kin$oul; Ski Mask The Slump God";";";6juVyvtP06MBOCG7XdidsM
Rebirth (2016);";";"XXXTENTACION; Killstation";";";30cbWWggQqnXRuZ0Xra5iN
One Minute (feat. Kanye West & Travis Barker);";";"XXXTENTACION; Kanye West; Travis Barker";";";0T6RSXxFhW8dRTWHI604ld
infinity (888) - feat. Joey Bada$$;";";"XXXTENTACION; Joey Bada$$";";";7J2gyNghNTzl4EsLhXp01Q
Pain = BESTFRIEND - feat. Travis Barker;";";"XXXTENTACION; Travis Barker";";";4zI04ezdmrN0lT2pHykYrd
$$$ - with Matt Ox;";";"XXXTENTACION; Matt OX";";";65u1dHQyQyE4y4aN2eDmMF
SMASH! - feat. PnB Rock;";";"XXXTENTACION; PnB Rock";";";6rAGFgcGtlIdYxlhDizXNo
I don’t even speak spanish lol - feat. Rio Santana, Judah, Andrez Babii;";";"XXXTENTACION; Rio Santana; Judah; Andrez Babii";";";14boA065HMHWvqyPPEeN4y
Fuck Love;";";"XXXTENTACION; Trippie Redd";";";7AQim7LbvFVZJE3O8TYgf2
Off the Wall!;";";"XXXTENTACION; Ski Mask The Slump God";";";0GRmh4ZlobfhvDE9L4CbOs
What in XXXTarnation;";";"XXXTENTACION; Ski Mask The Slump God";";";79R3qLqdbwUSYWX4cEOpbJ
H2O;";";"XXXTENTACION; Ski Mask The Slump God";";";1j6CwAJS2PTMvDYp33zpWP
Butthole Girl!;";";"XXXTENTACION; Tank Head; Robb Banks; Craig Xen";";";5iWBPfauyYq11IHP78VOCQ
Static Shock;";";"XXXTENTACION; Ski Mask The Slump God";";";3t1umkM9nhRHBr1Vjvd9Dy
Came2Kill;";";"XXXTENTACION; Kid Trunks; Craig Xen";";";3IqYzuTpPn3npkxdKh4dtk
4Peat;";";"XXXTENTACION; Ski Mask The Slump God";";";05And5JRQJeIaMASE5D9Nj
Slipknot;";";"XXXTENTACION; Kin$oul; Killstation";";";2NaIkDKuKrAcHoj8moeIQV
777;";";"Kid Trunks; XXXTENTACION";";";7dI3HTnuicC2aKkXigoFS2
Supra;";";"Kin$oul; XXXTENTACION";";";4zmbR2kLWowi8Pk0x9vR2T
God Damn;";";"Bass Santana; Kin$oul";";";5rAQspekSql7kfcfEuZ1YM
Vulture;";";"Flyboy Tarantino; Kin$oul";";";09V61INge9O8XYEvEhcdh0
Curse;";";"Bass Santana; XXXTENTACION; Cooliecut; Kin$oul";";";5BYCMWNQqz4nqErN1ReRGL
Members Only Shit;";";"Kin$oul; Killstation; ikabodVEINS";";";6t2dHDQMpBlHH0vrHIifaz
On That Bitch;";";"Kid Trunks; Craig Xen; Robb Bank$; Kin$oul";";";0tXHBpRgxiUD4X17xhbT2Y
LOL;";";"Bass Santana; Kid Trunks; Flyboy Taratino";";";0IrnW7t5oRzmSqIsH4wwWz
Invisible Klip;";";"Kid Trunks; Robb Bank$; Ski Mask The Slump God";";";7nQC28WpPX2IDZJ9PafNB6
Bowser;";";"XXXTENTACION; Ski Mask The Slump God";";";3axhnTsNa4YefoyLGxjdWz
EMOJI;";";"RONNY J; XXXTENTACION";";";1KFXQEYaDjNDwgHSG2rqFa
Snow (feat. Killstation);";";"XXXTENTACION; Killstation";";";1TAEtwlUr2yawioB2T9neG
MANIKIN (feat. Wifisfuneral);";";"XXXTENTACION; Wifisfuneral";";";4DmPzOQ7WH9VfzWxX3J0GE
I LUv My CLiQuE LiKe KaNyE WeSt;";";"XXXTENTACION; Wifisfuneral";";";5jj6hYviQgGnN3uoJw3Oej
I'm Not Human;";";"XXXTENTACION; Lil Uzi Vert";";";1LWlpRhu9jUkDK47xzUzu1
True Love;";";"Kanye West; XXXTENTACION";";";06JvOZ39sK8D8SqiqfaxDU
bad vibes forever;";";"XXXTENTACION; PnB Rock; Trippie Redd";";";69dXVFCMiz3SL1L7M24NdX
#PROUDCATOWNERREMIX;";";"XXXTENTACION; Rico Nasty";";";5dkZ2DrcPJrqwlRQe6Q35e
Royalty (feat. Ky-Mani Marley, Stefflon Don & Vybz Kartel);";";"XXXTENTACION; Ky-Mani Marley; Stefflon Don; Vybz Kartel";";";0OTBOHjEaoqroFlfut1ZsH
Falling Down - Travis Barker Remix;";";"Lil Peep; XXXTENTACION; Travis Barker";";";0XkifPsgC2kymXSJvhGrtk
RUN IT BACK!;";";"Craig Xen; XXXTENTACION";";";7dAjrcykxdDA87r4zPUTEU
Arms Around You (feat. Maluma & Swae Lee);";";"XXXTENTACION; Lil Pump; Swae Lee; Maluma";";";2LskIZrCeLxRvCiGP8gxlh
Banded Up (feat. XXXTENTACION);";";"RONNY J; XXXTENTACION";";";6vkczNPCftHsMJpjYYiXDp
Gospel;";";"Rich Brian; Keith Ape; XXXTENTACION";";";2PqSNVmiEQpFkLoNPoDfwI
What in XXXTarnation;";";"XXXTENTACION; Ski Mask The Slump God";";";3wBAhQLR9VjWfyYO3u4oPR
