Nome da Música;Artistas;ID da Música
Tucu;";";"Ozuna; Amarion";";";4oSDSQzBBB2BIvHeHcXoyu
Eva Longoria;";";"Ozuna; Davido";";";0nfnCp3NNcUjksmxd5xqEG
Soso - Remix;";";"Ozuna; Omah Lay";";";2CQ0S1zCT7QqmAh7Ke6Kso
Escapate Conmigo - Live;";";"Ozuna; Wisin";";";2lVPG7fsIQG3eSqYXgY2cn
Mar Chiquita;";";"Ozuna; Pedro Capó";";";52AHKfP6qQ3feLjPCDTiRI
Un Lio;";";"Ozuna; Omega";";";1hBwUHPMaIhickdfy6ShEN
Perreo y Dembow;";";"Ozuna; El Cherry Scom";";";4PlkeOWaeaS9e0R2DvZUgc
Hey Mor;";";"Ozuna; Feid";";";1zsPaEkglFvxjAhrM8yhpr
4:22;";";"Ozuna; Danny Ocean";";";1TRnIxwWeJoE6MVimzjw2w
Un Reel;";";"Ozuna; TINI";";";5br09BQU134gRX5M6HMnmr
La Suzi;";";"Ozuna; Nesi";";";7Hr9ke37qeKfCajWSZ4iet
Somos Iguales;";";"Ozuna; Tokischa; Louchie Lou; Michie One";";";5pvy8p5jyXqr6bjzQRDPjm
El Cel;";";"Ozuna; Chencho Corleone; Arcángel; J Balvin; Randy";";";07oas8KpAMIkwuetf81Zen
Los Dioses;";";"Anuel AA; Ozuna";";";7oHsIIDKbEJlFULg1HF0pP
100;";";"Anuel AA; Ozuna";";";2sqgNScWya6T8PwKMELYW8
Antes;";";"Anuel AA; Ozuna";";";73O30uMI7n6DuzBmbtO7kC
Dime Tú;";";"Anuel AA; Ozuna";";";1U8Ta5gcm2xhma1FQS2bKV
RD;";";"Anuel AA; Ozuna";";";3F5OoUJSVVC1f5PwOxcx0N
Nena Buena;";";"Anuel AA; Ozuna";";";7m6aTkKrrPHAZ4fGnksoda
Contra el Mundo;";";"Anuel AA; Ozuna";";";22NqmIHKn0kd8CCFql4ZG4
Perreo;";";"Anuel AA; Ozuna";";";7IrHrOQnhaHDDfZoraPVhb
Perfecto;";";"Anuel AA; Ozuna";";";6UlIGL6Nv5KKTNH2c6vYTP
La Maria;";";"Anuel AA; Ozuna";";";1tu5h5BU2WWrGH407kU0pe
Nunca;";";"Anuel AA; Ozuna";";";14Ub5CX67F4si1R5UJxM43
Municiones;";";"Anuel AA; Ozuna";";";2nVOSrxGjCqblT9CKqEMHi
Enemigos Ocultos;";";"Ozuna; Wisin; Myke Towers; Arcángel; Juanka; Cosculluela";";";3fhOpwaKobrELFjKLcXHgI
No Se Da Cuenta;";";"Ozuna; Daddy Yankee";";";0wkr4KqObqC55h4U9wqwKn
Del Mar;";";"Ozuna; Doja Cat; Sia";";";5cpJFiNwYyWwFLH0V6B3N8
Que Tú Esperas;";";"Ozuna; Zion & Lennox";";";1bkHetU9vnb9Ctwm5gXGOn
Una Locura;";";"Ozuna; J Balvin; Chencho Corleone";";";5y7DaS3jAc9eZzcSOoUIwU
Esto No Acaba;";";"Ozuna; Nicky Jam";";";26NbqlL85qqnsZxJMT6IpZ
Despeinada;";";"Ozuna; Camilo";";";0JAZWvvqttGFm4UMDsPQXC
Gistro Amarillo;";";"Ozuna; Wisin";";";5bDNU3Z4OOT2FeMxtbl8Kq
No La Mires;";";"Ozuna; Jhayco";";";4CZtyjaSq1RilbT2b5oQrs
Caramelo - Remix;";";"Ozuna; KAROL G; Myke Towers";";";67jvGGbJmOmVonlyX3mNkV
Temporal;";";"Ozuna; Willy Rodríguez";";";2sGcLL6UBHSRCm3kiKH9zI
Yo Tengo una Gata;";";"Ozuna; Sech";";";2z1ACAitQVTvo1ynh7EtAd
Eres Top;";";"Ozuna; Diddy; DJ Snake";";";0iQmZXv7e8EHcmJmHpZX3o
Patek;";";"Ozuna; Anuel AA; Snoop Dogg";";";2f237byd0A2w0fLlnVDOV4
Sin Pensar;";";"Ozuna; Swae Lee";";";5UTB9A5HGpryxqB5LGQB3z
Reggaeton en Paris;";";"Ozuna; Dalex; Nicky Jam";";";2FK1agZzZzTyxV2CD7ixcP
Aura;";";"Ozuna; Arthur Hanlon";";";1AVu7Kc2MRrLfOG1RCEf07
Vaina Loca;";";"Ozuna; Manuel Turizo";";";48zFZh27QU5qsrBjn4C2FA
Quiero Mas;";";"Ozuna; Wisin; Yandel";";";1aYcpI8hXtpAEdBq8fp1pH
