Nome da Música;Artistas;ID da Música
Don't Leave Me Alone (feat. Anne-Marie);";";"David Guetta; Anne-Marie";";";2zy9TMoZlYGuCNY4TLqG24
Battle (feat. Faouzia);";";"David Guetta; Faouzia";";";58adTUxM5N810ZVYuW9tmW
Flames;";";"David Guetta; Sia";";";66BjcDhhwWCcQIBxHMpKXh
Blame It on Love (feat. Madison Beer);";";"David Guetta; Madison Beer";";";4a35MftzWTiOPhG9zE7W0s
Say My Name;";";"David Guetta; Bebe Rexha; J Balvin";";";0YammaEkYSeo9vQYZ1OwS6
Goodbye (feat. Nicki Minaj & Willy William);";";"Jason Derulo; David Guetta; Nicki Minaj; Willy William";";";5f3JSGmXvBk2PxE1hvMG8w
I'm That Bitch (feat. Saweetie);";";"David Guetta; Saweetie";";";7jJVq2u7EP9XoAxMIc5Dro
Like I Do;";";"David Guetta; Martin Garrix; Brooks";";";4aBYzs8RxZMuqyOanNlf8I
2U (feat. Justin Bieber);";";"David Guetta; Justin Bieber";";";265zv3IDBskSIkvgPOSiGQ
She Knows How to Love Me (feat. Jess Glynne & Stefflon Don);";";"David Guetta; Jess Glynne; Stefflon Don";";";5LHTgByvupvwtTfxOqW4Xw
Motto (feat. Lil Uzi Vert, G-Eazy & Mally Mall);";";"David Guetta; Steve Aoki; Lil Uzi Vert; G-Eazy; Mally Mall";";";5geGPE69kNm7CFKh8mdZve
Drive (feat. Delilah Montagu);";";"Black Coffee; David Guetta; Delilah Montagu";";";1qtluhLLcKKAoCWiOztOX1
Para que te quedes (feat. J Balvin);";";"David Guetta; J Balvin";";";6ExOeqdAGRIl2epdTdOqFA
Let It Be Me (feat. Ava Max);";";"David Guetta; Ava Max";";";2F83FxNVkK6PPMHuYnwyVc
Light Headed;";";"David Guetta; Sia";";";63lctya7LlMoW5iht9JAVZ
Freedom;";";"David Guetta; CeCe Rogers";";";1TcNWttaet1eKCwl2p6Qae
Just a Little More Love (feat. Chris Willis) - Jack Back 2018 Remix;";";"David Guetta; Chris Willis; Jack Back";";";1h66tR1OkaN8Z4SirC1Dx4
Don't Leave Me Alone (feat. Anne-Marie);";";"David Guetta; Anne-Marie";";";2M3g1eQZvnmsi8iMESZYY9
Battle (feat. Faouzia);";";"David Guetta; Faouzia";";";279lCvGFapN0ph7Jr9V3N7
Flames;";";"David Guetta; Sia";";";2mBPqbzgjIELxd86CdxC7v
Blame It on Love (feat. Madison Beer);";";"David Guetta; Madison Beer";";";5HNPVeQLNU5625iN7SSCK4
Say My Name;";";"David Guetta; Bebe Rexha; J Balvin";";";4wqIXeDppYSMXaWsnTzpzT
Goodbye (feat. Nicki Minaj & Willy William);";";"Jason Derulo; David Guetta; Nicki Minaj; Willy William";";";5hvG25jelqSobyTl7GDZlH
I'm That Bitch (feat. Saweetie);";";"David Guetta; Saweetie";";";0735VMYdVYbRsFQancYwnd
Like I Do;";";"David Guetta; Martin Garrix; Brooks";";";7u7syG4R9kbMNnRE1x5wlZ
2U (feat. Justin Bieber);";";"David Guetta; Justin Bieber";";";61WR5FfGNLJxpLsAc61qWQ
She Knows How to Love Me (feat. Jess Glynne & Stefflon Don);";";"David Guetta; Jess Glynne; Stefflon Don";";";4Jv8O0NLNsL3vbAxVpxXYe
Motto (feat. Lil Uzi Vert, G-Eazy & Mally Mall);";";"David Guetta; Steve Aoki; Lil Uzi Vert; G-Eazy; Mally Mall";";";1NDX7Ht9TO07oMsJEhjNyi
Drive (feat. Delilah Montagu);";";"Black Coffee; David Guetta; Delilah Montagu";";";3i8yggvkVeIj4xjUaFwwQA
Para que te quedes (feat. J Balvin);";";"David Guetta; J Balvin";";";0LyWq88mCU11xnJVVMxM5t
Let It Be Me (feat. Ava Max);";";"David Guetta; Ava Max";";";3lA5J36baHQES0DiFht4iT
Light Headed;";";"David Guetta; Sia";";";1od4qobuLFJFBijdUcEsvt
Freedom;";";"David Guetta; CeCe Rogers";";";4lcDBjUqfuLPEjndWxeDk4
Just a Little More Love (feat. Chris Willis) - Jack Back 2018 Remix;";";"David Guetta; Chris Willis; Jack Back";";";3H888AfEtPoNd8hoWHuSka
Mad Love;";";"Sean Paul; David Guetta; Becky G";";";7jnb6nPFD8m99sr1r4VnqK
Dirty Sexy Money (feat. Charli XCX & French Montana);";";"David Guetta; AFROJACK; Charli XCX; French Montana";";";7cUE7rdhuwj2o99yKCALyN
So Far Away (feat. Jamie Scott & Romy Dya);";";"Martin Garrix; David Guetta; Jamie Scott; Romy Dya";";";31lArBCHQjZrg5gyduDZqi
Your Love;";";"David Guetta; Showtek";";";2Of2IlsFQLcDoK2v3ppG4y
Flames - David Guetta Remix;";";"David Guetta; Sia";";";6AuaIrfCqcoqPkeUTvpf2I
Flames - Robin Schulz Remix;";";"David Guetta; Sia; Robin Schulz";";";6uy5Jj3DXMMZXf6X40Wi7A
Don't Leave Me Alone (feat. Anne-Marie) - Oliver Heldens Remix;";";"David Guetta; Anne-Marie; Olivier Heldens";";";4iobNEfFqEaK5z3Nqstwy4
Don't Leave Me Alone (feat. Anne-Marie) - R3HAB Remix;";";"David Guetta; Anne-Marie; R3HAB";";";5UPkDktAj9mN7BDiTZTszS
Say My Name (feat. Bebe Rexha & J Balvin) - Afrojack & Chasner Remix;";";"David Guetta; Bebe Rexha; J Balvin; AFROJACK; Chasner";";";0d9hSbxJUcZGeaRbhcVk4g
2U (feat. Justin Bieber) - Tujamo Remix;";";"David Guetta; Justin Bieber; Tujamo";";";1h9W7xaP5rFSo8ivMdUEA9
2U (feat. Justin Bieber) - MORTEN Remix;";";"David Guetta; Justin Bieber; MORTEN";";";0OYJdKPjZg9WWRv9io0VdM
Dangerous (feat. Sam Martin);";";"David Guetta; Sam Martin";";";3jPp0oUSbkvB34xMZ74R0h
What I Did for Love (feat. Emeli Sandé);";";"David Guetta; Emeli Sandé";";";6OJSyDIGBJ3swo3lLoaY9V
No Money No Love (feat. Elliphant & Ms. Dynamite);";";"David Guetta; Showtek; Elliphant; Ms. Dynamite";";";0xqaZFcCg6WoMi4twNHuGc
Lovers on the Sun (feat. Sam Martin);";";"David Guetta; Sam Martin";";";6IQPONuERifb4i4Syhmbq6
Goodbye Friend (feat. The Script);";";"David Guetta; Danny O'Donoghue; Glen Power; Mark Sheehan; The Script";";";59naFBAHqgOUBzTTSCjYOK
Lift Me Up (feat. Nico & Vinz, Ladysmith Black Mambazo);";";"David Guetta; Ladysmith Black Mambazo; Nico & Vinz; Nico Sereba; Vincent ""Vinzy V"" Dery";";";6py8loC4jhOj59bKbVIQYu
Listen (feat. John Legend);";";"David Guetta; John Legend";";";0tYszKcoxeQqH5JGbgWVjm
Bang My Head (feat. Sia);";";"David Guetta; Sia";";";0r6iZcXXArGoYx580z8wxr
Yesterday (feat. Bebe Rexha);";";"David Guetta; Bebe Rexha";";";2w3mKbokhNQ5CZsg3PsewB
Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack);";";"David Guetta; AFROJACK; Bebe Rexha; Nicki Minaj";";";68jqcYs5XSkAxTfoa5JYXQ
Sun Goes Down (feat. MAGIC! & Sonny Wilson);";";"David Guetta; Showtek; MAGIC!; Sonny Wilson";";";0yUyDkdZzTKHspyZDxhcpw
S.T.O.P (feat. Ryan Tedder);";";"David Guetta; Ryan Tedder";";";5NXjK8Elxo0SejapFoIzDW
I'll Keep Loving You (feat. Birdy & Jaymes Young);";";"David Guetta; Birdy; Jaymes Young";";";4p500399T5Hb9y24HpnjPR
The Whisperer (feat. Sia);";";"David Guetta; Sia";";";4cuPA0oi93GD4tRLZsV7cs
Bang My Head (feat. Sia & Fetty Wap);";";"David Guetta; Fetty Wap; Sia";";";53Y0kdCa1CZ9gRqEuknfwy
Clap Your Hands;";";"David Guetta; GLOWINTHEDARK";";";4Rc4eaDQIXwEsefZZX7XUk
Bad (feat. Vassy) - Radio Edit;";";"David Guetta; Showtek; VASSY";";";7L97R04c6ZaPlU8xSxibQp
Shot Me Down (feat. Skylar Grey) - Radio Edit;";";"David Guetta; Skylar Grey";";";62yjOWjA3tb65zgQWdFNx7
Blast Off - Radio Edit;";";"David Guetta; Kaz James";";";4oEcoHOoHYAErA3Tbc0EoW
The Death of EDM (feat. Beardyman);";";"David Guetta; Showtek; Beardyman";";";2yjFJnhn1PELoinffD89tj
Pelican - Edit;";";"David Guetta; Jack Back";";";4eFRu5DAcatoDSPFAD1p8f
Bang My Head (feat. Sia) - GLOWINTHEDARK Remix;";";"David Guetta; Sia; Albert Harvey; GLOWINTHEDARK; Kévin Ramos";";";1lZ0tMLKYKpRlj83OXIPXF
What I Did for Love (feat. Emeli Sandé) vs. S.T.O.P. (feat. Ryan Tedder) - Listenin' Continuous Mix;";";"David Guetta; Ryan Tedder";";";2Hz8yIuevyviT7k2LN0NyU
"What I Did for Love (feat. Emeli Sandé) - Morten Remix; Listenin' Continuous Mix";";";"David Guetta; Emeli Sandé; MORTEN";";";4KTFfLOR9w3VWLMoKYFl90
"Lovers on the Sun (feat. Sam Martin) - Stadiumx Remix; Listenin' Continuous Mix";";";"David Guetta; Sam Martin; David Nagy; Stadium X; Zsolt Milichovszki";";";4n4gzE90LFBwZE86XbllGo
Yesterday (feat. Bebe Rexha) vs. Lift Me Up (feat. Nico & Vinz, Ladysmith Black Mambazo) - Listenin' Continuous Mix;";";"David Guetta; Ladysmith Black Mambazo; Nico & Vinz; Nico Sereba; Sibongisenni Shabalala; Vincent ""Vinzy V"" Dery";";";1L2DLOdfG1jHh7XYewDptW
"Dangerous (feat. Sam Martin) - Robin Schulz Remix; Listenin' Continuous Mix";";";"David Guetta; Sam Martin; Robin Schulz";";";0fIQvc5h8T9173DmOe9dLP
"Dangerous (feat. Sam Martin) - David Guetta Banging Remix; Listenin' Continuous Mix";";";"David Guetta; Sam Martin";";";2uE8oex0wLSUZD3Ur8kMIy
