Nome da Música;Artistas;ID da Música
Beautiful Mistakes (feat. Megan Thee Stallion);";";"Maroon 5; Megan Thee Stallion";";";5zFglKYiknIxks8geR8rcL
Echo (feat. blackbear);";";"Maroon 5; blackbear";";";54WpJSyO81dpA40MKJHd0C
Remedy (feat. Stevie Nicks);";";"Maroon 5; Stevie Nicks";";";03blI4F6MeYd6kJx26VsJ2
One Light (feat. Bantu);";";"Maroon 5; Bantu";";";6PyFYTEo8X3inQ4hQvA8md
Convince Me Otherwise (with H.E.R.);";";"Maroon 5; H.E.R.";";";7DVassGvnqQRSfVSVPxtpV
Can't Leave You Alone (feat. Juice WRLD);";";"Maroon 5; Juice WRLD";";";5kS3Kw2elRTrodnsyQuhvI
Memories Remix (feat. Nipsey Hussle & YG);";";"Maroon 5; Nipsey Hussle; YG";";";3p4WMekidOIiyf8SFvfrIC
Button (feat. Anuel AA & Tainy);";";"Maroon 5; Anuel AA; Tainy";";";6FDKYM0lBf6zqrg8cFokPd
Lifestyle (Jason Derulo ft. Adam Levine);";";"Jason Derulo; Adam Levine; Maroon 5";";";4rEe3htSUbJbO8kJePhHBx
What Lovers Do (feat. SZA);";";"Maroon 5; SZA";";";0GxQ1A5L9xnMOytbP6eKBG
Help Me Out (with Julia Michaels);";";"Maroon 5; Julia Michaels";";";2C1Bhc9B8VoatLK71jcqpU
Who I Am (feat. LunchMoney Lewis);";";"Maroon 5; LunchMoney Lewis";";";4Uh8KTB8uLWfNe33e85X99
Whiskey (feat. A$AP Rocky);";";"Maroon 5; A$AP Rocky";";";33GjvFhe7CEj40gVDOwT1J
Don't Wanna Know (feat. Kendrick Lamar);";";"Maroon 5; Kendrick Lamar";";";5o3GnrcFtvkdf3zFznuSbA
Cold (feat. Future);";";"Maroon 5; Future";";";2NlTOhsAamXOaZciOXbITb
Girls Like You (feat. Cardi B) - Cardi B Version;";";"Maroon 5; Cardi B";";";7fa9MBXhVfQ8P8Df9OEbD8
My Heart Is Open;";";"Maroon 5; Gwen Stefani";";";1OtF8Zh7erydpAgeEF6zJN
Maps - Remix;";";"Maroon 5; Big Sean";";";1sjulE62hhvUBIhNAdHFsv
My Heart Is Open;";";"Maroon 5; Gwen Stefani";";";5AnZXEB5IVhU57cJdOtJeX
Payphone;";";"Maroon 5; Wiz Khalifa";";";1XGmzt0PVuFgQYYnV2It7A
