Nome da Música;Artistas;ID da Música
Silk Sonic Intro;";";"Bruno Mars; Anderson .Paak; Silk Sonic";";";4K09vJ27xCOreumtSuU6Ao
Leave The Door Open;";";"Bruno Mars; Anderson .Paak; Silk Sonic";";";4pryE6cN2gFL1FVF5fYINl
Fly As Me;";";"Bruno Mars; Anderson .Paak; Silk Sonic";";";7suB6D6uKX5DfPukdGaz0W
After Last Night (with Thundercat & Bootsy Collins);";";"Bruno Mars; Anderson .Paak; Silk Sonic; Thundercat; Bootsy Collins";";";6jGAh1bFnXt1Muj9zeHveZ
Smokin Out The Window;";";"Bruno Mars; Anderson .Paak; Silk Sonic";";";1oERlssLrpssCAY6Yqqs6c
Put On A Smile;";";"Bruno Mars; Anderson .Paak; Silk Sonic";";";5lka5RUbLVQGO94mKAPMRO
777;";";"Bruno Mars; Anderson .Paak; Silk Sonic";";";2K6vUau7bnZUamjbRSOOvJ
Skate;";";"Bruno Mars; Anderson .Paak; Silk Sonic";";";3WTWh2WDk4j8GUCGj4xfOd
Love's Train;";";"Bruno Mars; Anderson .Paak; Silk Sonic";";";2ALh2jqA7KldpHMUHvRomw
Blast Off;";";"Bruno Mars; Anderson .Paak; Silk Sonic";";";2NqyjfDXy0XfXCSPXMsKzi
Liquor Store Blues (feat. Damian Marley);";";"Bruno Mars; Damian Marley";";";1ewMCmw7qCb5a9ttqiyemu
The Other Side (feat. CeeLo Green and B.o.B);";";"Bruno Mars; B.o.B; CeeLo Green";";";78Z199FfQHt4VpnJzlYaIe
Love's Train;";";"Bruno Mars; Anderson .Paak; Silk Sonic";";";60gTdTwaNtGAzIxKfeGVfJ
Leave The Door Open - Live;";";"Bruno Mars; Anderson .Paak; Silk Sonic";";";1Ffw1qFqCw2IaozOJ5mL2O
Leave The Door Open;";";"Bruno Mars; Anderson .Paak; Silk Sonic";";";4SaGaLbcshvQ4admgCkYdP
BLOW (with Chris Stapleton & Bruno Mars);";";"Ed Sheeran; Chris Stapleton; Bruno Mars";";";6EbduYTr62sSzvl36wWiFM
Please Me;";";"Cardi B; Bruno Mars";";";0PG9fbaaHFHfre2gUVo7AN
Wake Up in the Sky;";";"Gucci Mane; Bruno Mars; Kodak Black";";";0QIjsbm2fh1cJ45XO9eGqq
"Finesse - James Hype Remix; feat. Cardi B";";";"Bruno Mars; Cardi B; James Hype";";";04OERuULAbFq54j25v5dZ4
"Finesse - Pink Panda Remix; feat. Cardi B";";";"Bruno Mars; Cardi B; Pink Panda";";";5LgFeUn0Jx8UVkPlrMbTOc
"Finesse - Remix; feat. Cardi B";";";"Bruno Mars; Cardi B";";";02iXInevQEAlihE3IPF0eh
Versace on the Floor (Bruno Mars vs. David Guetta);";";"Bruno Mars; David Guetta";";";5UJshy5HDHdNEVqlJwzsQB
24K Magic - R3hab Remix;";";"Bruno Mars; R3HAB";";";1nSzCAvAvzJj5oIt7m90G0
That's What I Like (feat. Gucci Mane);";";"Bruno Mars; Gucci Mane";";";1BEMASUZQDqN5UGxMb1m6A
That's What I Like - Alan Walker Remix;";";"Bruno Mars; Alan Walker";";";1KtU0WCq472KzqCXgMOxkS
That's What I Like - PARTYNEXTDOOR Remix;";";"Bruno Mars; PARTYNEXTDOOR";";";64TkpV7m7f09JY7K436pju
That's What I Like - BLVK JVCK Remix;";";"Bruno Mars; BLVK JVCK";";";4YS0JF9kSLe15ggwOQqQit
Gorilla (feat. R. Kelly and Pharrell) - G-Mix;";";"Bruno Mars; R Kelly And Pharrell";";";7uVKvaDWDpss7Ldj9kypLX
Locked out of Heaven - CAZZETTE's Answering Machine Mix;";";"Bruno Mars; CAZZETTE";";";7G0by64JaYIEnkFqDb1cZ6
Locked out of Heaven - Sultan and Ned Shepard Remix;";";"Bruno Mars; Shepard; Sultan";";";6AIxmLiDNHFQgZstB4lzDB
Locked out of Heaven - Paul Oakenfold Remix;";";"Bruno Mars; Paul Oakenfold";";";03BpMAiFJ0b9c47Ntt8MRf
Grenade - Passion Pit Remix;";";"Bruno Mars; Passion Pit";";";7HjK2whApIuUgRVP8akqjk
Just the Way You Are - Carl Louis & Martin Danielle Club Mix;";";"Bruno Mars; Carl Louis; Martin Danielle";";";7Hg27Pwfh9iTgHUdGS5rTx
Just the Way You Are - Carl Louis & Martin Danielle Classic Mix;";";"Bruno Mars; Carl Louis; Martin Danielle";";";3dkuTvO5013XHxiofIW9Qg
