Nome da Música;Artistas;ID da Música
Die Hard;";";"Kendrick Lamar; Blxst; Amanda Reifer";";";2g6tReTlM2Akp41g0HaeXN
Father Time (feat. Sampha);";";"Kendrick Lamar; Sampha";";";28qA8y1sz0FTuSapsCxNOG
We Cry Together;";";"Kendrick Lamar; Taylour Paige";";";67XC51nlZncNpHmZ8rOU9a
Purple Hearts;";";"Kendrick Lamar; Summer Walker; Ghostface Killah";";";1REVvAphiSTJyKQ1fDpHa4
Silent Hill;";";"Kendrick Lamar; Kodak Black";";";3lzUeaCbcCDB5IXYfqWRlF
Savior;";";"Kendrick Lamar; Baby Keem; Sam Dew";";";3drdWsJKiVCSQ2gKhd9BDT
Mr. Morale;";";"Kendrick Lamar; Tanna Leone";";";6CmpZfKUQ2KerzBFZ3QKFr
Mother I Sober (feat. Beth Gibbons of Portishead);";";"Kendrick Lamar; Beth Gibbons";";";346SJSEbB6pNZMpwovxDiu
All The Stars (with SZA);";";"Kendrick Lamar; SZA";";";3GCdLUSnKSMJhs4Tj6CV3s
X (with 2 Chainz & Saudi);";";"ScHoolboy Q; 2 Chainz; Saudi";";";4LmAnpjlhWTahvRkYR8xJa
The Ways (with Swae Lee);";";"Khalid; Swae Lee";";";5jyyPsIGM2yqkZN9R3TmvN
Opps (with Yugen Blakrok);";";"Vince Staples; Yugen Blakrok";";";7bUcBztfGqO7cSI2gMZeCI
Bloody Waters (with Anderson .Paak & James Blake);";";"Ab-Soul; Anderson .Paak; James Blake";";";4KXwFI9pgJLpUIAc9oSL8j
King's Dead (with Kendrick Lamar, Future & James Blake);";";"Jay Rock; Kendrick Lamar; Future; James Blake";";";1eLSF6HfrRA0AsNmTkUlKx
Redemption (with Babes Wodumo);";";"Zacari; Babes Wodumo";";";76iVOVsliCHlWqKuDnCfhE
Seasons (with Sjava & Reason);";";"Mozzy; Sjava; REASON";";";35cOyocq8Gb6UcT0NWeTwn
Big Shot (with Travis Scott);";";"Kendrick Lamar; Travis Scott";";";5cXg9IQS34FzLVdHhp7hu7
Pray For Me (with Kendrick Lamar);";";"The Weeknd; Kendrick Lamar";";";77UjLW8j5UAGAGVGhR5oUK
XXX. FEAT. U2.;";";"Kendrick Lamar; U2";";";0lJZRic5kToowUXH35uy7P
LOVE. FEAT. ZACARI.;";";"Kendrick Lamar; Zacari";";";0R9U7yIlLm8KAL6iQbwKKT
LOYALTY. FEAT. RIHANNA.;";";"Kendrick Lamar; Rihanna";";";0Omhxcy38tjNxqVZshdfpf
LOYALTY. FEAT. RIHANNA.;";";"Kendrick Lamar; Rihanna";";";6SwRhMLwNqEi6alNPVG00n
LOVE. FEAT. ZACARI.;";";"Kendrick Lamar; Zacari";";";6PGoSes0D9eUDeeAafB2As
XXX. FEAT. U2.;";";"Kendrick Lamar; U2";";";4iYRa2btalAzPZoSYfROqF
Wesley's Theory;";";"Kendrick Lamar; George Clinton; Thundercat";";";7Ks4VCY1wFebnOdJrM13t6
Institutionalized;";";"Kendrick Lamar; Bilal; Anna Wise; Snoop Dogg";";";4oFtLSgHyZPNYDCcANhTnO
These Walls;";";"Kendrick Lamar; Bilal; Anna Wise; Thundercat";";";7uWVT3UkCAZyANvv0bdyQn
How Much A Dollar Cost;";";"Kendrick Lamar; James Fauntleroy; Ronald Isley";";";4tQcyj5488alHT1ZgFduzn
Complexion (A Zulu Love);";";"Kendrick Lamar; Rapsody";";";72hFOhhhnOJZnnp6uVOgPn
Money Trees;";";"Kendrick Lamar; Jay Rock";";";0UtnpKaReKUg2GquaSxCyD
Poetic Justice;";";"Kendrick Lamar; Drake";";";3MLOAIJNWWS8FQpvdaiKR7
m.A.A.d city;";";"Kendrick Lamar; MC Eiht";";";3qX1dqmDdmMvvfMVfsx4Bh
Real;";";"Kendrick Lamar; Anna Wise";";";73eGiraiU7JkIsmFyQyJAv
Compton;";";"Kendrick Lamar; Dr. Dre";";";0O6cYePgIBlMQ0pAFate3q
The Recipe - Bonus Track;";";"Kendrick Lamar; Dr. Dre";";";5jHilrZDaP1vJMZfdN1He3
Now Or Never - Bonus Track;";";"Kendrick Lamar; Mary J. Blige";";";0NfYAsKygCYwPA2BgTZ1qg
Bitch, Don’t Kill My Vibe - Remix;";";"Kendrick Lamar; JAY-Z";";";4wshBvO4qMrxJnPlfkeUWi
Bitch, Don’t Kill My Vibe - International Remix / Explicit Version;";";"Kendrick Lamar; Emeli Sandé";";";1IjxCFAyR1ysajk10iHsKh
Money Trees;";";"Kendrick Lamar; Jay Rock";";";74tLlkN3rgVzRqQJgPfink
Poetic Justice;";";"Kendrick Lamar; Drake";";";5J6CXHvsfRGyyCnQZmVPoE
m.A.A.d city;";";"Kendrick Lamar; MC Eiht";";";0nfQguNoAfKFjsQHr6qnxc
Real;";";"Kendrick Lamar; Anna Wise";";";2MYm1yy4bYba3mGF9Ou6Yo
Compton;";";"Kendrick Lamar; Dr. Dre";";";3i2XxFTLd2061UISvE5W7f
Bitch, Don’t Kill My Vibe - Remix;";";"Kendrick Lamar; JAY-Z";";";3SImXx6qmobDK2q7MKeR1Z
Bitch, Don’t Kill My Vibe - International Remix / Explicit Version;";";"Kendrick Lamar; Emeli Sandé";";";6WfA83OCEsiZ2IOTbUF4UQ
No Make-Up (Her Vice) (feat. Colin Munroe);";";"Kendrick Lamar; Colin Munroe";";";3L2YOO6dDiB91M1AbQ0CCR
Poe Mans Dreams (His Vice) (feat. GLC);";";"Kendrick Lamar; GLC";";";5eOmhymcp3AisKPVAytrs6
Keisha's Song (Her Pain) (feat. Ashtro Bot);";";"Kendrick Lamar; Ashtro Bot";";";7AaET28qSzlkFBcySHh4ES
Kush & Corinthians (feat. BJ The Chicago Kid);";";"Kendrick Lamar; BJ The Chicago Kid";";";2QVYTN3Z0IGLVF7YEQN5EJ
Ab-Souls Outro (feat. Ab-Soul);";";"Kendrick Lamar; Ab-Soul";";";4VaL54I6TlzghRTzOhfr7L
Growing Apart (To Get Closer);";";"Kendrick Lamar; Jhené Aiko";";";2AyFYSaJjz9XMc0kMr1R3a
P&P 1.5;";";"Kendrick Lamar; Ab-Soul";";";6TRVvpoVFwyYyIGTFh0Y7P
Opposites Attract (Tomorrow W/O Her);";";"Kendrick Lamar; JaVonté";";";1S6NpdvFXqHZfPUUEOIjtG
Michael Jordan;";";"Kendrick Lamar; ScHoolboy Q";";";1oH44ACGSLbJGcbw2JLQOt
R.O.T.C (Interlude);";";"Kendrick Lamar; BJ The Chicago Kid";";";1DCLOAT1E5NDZDupAE95ka
Barbed Wire;";";"Kendrick Lamar; Ash Riser";";";7M2cKcvCnflzp9WcxGjlbm
She Needs Me (Remix);";";"Kendrick Lamar; Dom Kennedy; Murs";";";6D5GoogBIBMUBlQ1CYTkOH
The Hillbillies;";";"Baby Keem; Kendrick Lamar";";";1h6w4POXM2LfG4ZD4xUfZQ
family ties (with Kendrick Lamar);";";"Baby Keem; Kendrick Lamar";";";7Bpx2vsWfQFBACRz4h3IqH
"The Mantra - From ""Creed II: The Album""";";";"Mike WiLL Made-It; Pharrell Williams; Kendrick Lamar";";";7mVHy2E0yV3oTnV0OR5uMf
King's Dead (with Kendrick Lamar, Future & James Blake);";";"Jay Rock; Kendrick Lamar; Future; James Blake";";";51rXHuKN8Loc4sUlKPODgH
All The Stars (with SZA);";";"Kendrick Lamar; SZA";";";66kQ7wr4d2LwwSjr7HXcyr
HUMBLE. - SKRILLEX REMIX;";";"Skrillex; Kendrick Lamar";";";65ES1qwOB577ZnTkizMXJJ
These Walls;";";"Kendrick Lamar; Bilal; Anna Wise; Thundercat";";";7a4hhCV3GlgA7a8wwJBy5B
Two Presidents;";";"YG Hootie; Kendrick Lamar";";";2Xjvo0g3jPZB8QgTmRv5oU
My People (feat. Jay Rock);";";"Kendrick Lamar; Jay Rock";";";00hvcwPYcoUTjibMrRPyyj
She Needs Me [Remix] (Ringtone);";";"Kendrick Lamar; Murs; Dom Kennedy";";";1ylD5Zf0hLc9su7OJOU6u5
