Nome da Música;Artistas;ID da Música
Monster (Shawn Mendes & Justin Bieber);";";"Shawn Mendes; Justin Bieber";";";1zFwFZ112by5yUtZOysUJb
The Christmas Song (Shawn Mendes & Camila Cabello);";";"Shawn Mendes; Camila Cabello";";";0fwxmtpxpMmEMphmJbCAEx
Wonder - Surf Mesa Remix;";";"Shawn Mendes; Surf Mesa";";";6V7E9bDZaKUfFcfiScXaCc
Monster (Shawn Mendes & Justin Bieber);";";"Shawn Mendes; Justin Bieber";";";3Vtq7xQEK9GUG74dwGIqhM
The Christmas Song (Shawn Mendes & Camila Cabello);";";"Shawn Mendes; Camila Cabello";";";66VenHDtrQAw7FCjyF2J56
Monster (Shawn Mendes & Justin Bieber);";";"Shawn Mendes; Justin Bieber";";";1HbA4N1MiOsPthALesGFR1
Señorita;";";"Shawn Mendes; Camila Cabello";";";6v3KW9xbzN5yKLt9YKDYA2
Like To Be You (feat. Julia Michaels);";";"Shawn Mendes; Julia Michaels";";";5VQBZPF4L2VrR7aMfAdRq3
Youth (feat. Khalid);";";"Shawn Mendes; Khalid";";";5cWIKVqSpJQiRmG59sfii5
Like To Be You (feat. Julia Michaels);";";"Shawn Mendes; Julia Michaels";";";2IssBpPtHcViZL5vYQNHhA
Youth (feat. Khalid);";";"Shawn Mendes; Khalid";";";1h0yImRPIVAjhhHeNVlTuC
Air;";";"Shawn Mendes; Astrid S";";";4mVcYQgJENVAzl8FLrK8Mt
I Know What You Did Last Summer;";";"Shawn Mendes; Camila Cabello";";";7M9t7BCy51ITF8IMyiemzk
Air;";";"Shawn Mendes; Astrid S";";";2hI96mj9iIHNfqCCozP2q3
I Know What You Did Last Summer;";";"Shawn Mendes; Camila Cabello";";";6PV4WEddnan8wN6b7pjznI
Air;";";"Shawn Mendes; Astrid S";";";7eKbFpX6jvCSW9CUwzMJsE
I Know What You Did Last Summer;";";"Shawn Mendes; Camila Cabello";";";2GyA33q5rti5IxkMQemRDH
Summer of Love (Shawn Mendes & Tainy);";";"Shawn Mendes; Tainy";";";0z8hI3OPS8ADPWtoCjjLl6
KESI - Remix;";";"Camilo; Shawn Mendes";";";0IqCoZ168iRc9LqfrYgpZy
The Christmas Song (Shawn Mendes & Camila Cabello);";";"Shawn Mendes; Camila Cabello";";";53n0aLH9UZi5ACadlhDopt
Monster (Shawn Mendes & Justin Bieber);";";"Shawn Mendes; Justin Bieber";";";2Z8yfpFX0ZMavHkcIeHiO1
Lover (Remix) [feat. Shawn Mendes];";";"Taylor Swift; Shawn Mendes";";";3i9UVldZOE0aD0JnyfAZZ0
Señorita;";";"Shawn Mendes; Camila Cabello";";";0TK2YIli7K1leLovkQiNik
If I Can't Have You - Gryffin Remix;";";"Shawn Mendes; Gryffin";";";1IXGILkPm0tOCNeq00kCPa
Where Were You In The Morning? - Remix;";";"Shawn Mendes; KAYTRANADA";";";47owxYjLWt54HjOIu0m4a9
Why (Remix) [feat. Leon Bridges];";";"Shawn Mendes; Leon Bridges";";";0FomDJEJ8NUEMYOfZeYjkH
Youth (Remix) [feat. Khalid, and Jessie Reyez];";";"Shawn Mendes; Khalid; Jessie Reyez";";";6rcnfzxb4BsutTwgFP70xd
Lost In Japan - Remix;";";"Shawn Mendes; Zedd";";";1jcyBvSfvTTaHvkUmtUmKV
Under Pressure;";";"Shawn Mendes; teddy<3";";";2fLyikLZmHxW4XdToFpDdN
Youth (feat. Khalid) - Acoustic;";";"Shawn Mendes; Khalid";";";732iQF09gPlc32IlBGoXvv
There's Nothing Holdin' Me Back - NOTD Remix;";";"Shawn Mendes; NOTD";";";0n7kGBIfea9zdbXvYlqiGM
Mercy - Loote Remix;";";"Shawn Mendes; Loote";";";4ArzifzZWzaknCV7HpTR8p
Treat You Better - Ashworth Remix;";";"Shawn Mendes; Ashworth";";";7al2umgR86au9ri0VazVD9
Stitches - Seeb Remix;";";"Shawn Mendes; Seeb";";";4mEPquRcjE0gTFoylj2b5v
