Nome da Música;Artistas;ID da Música
PASATIEMPO;";";"Daddy Yankee; Myke Towers";";";3qUdysxsu5FDvOl7nR5vln
X ÚLTIMA VEZ;";";"Daddy Yankee; Bad Bunny";";";48AJSd42lXpicsGqcgopof
PARA SIEMPRE;";";"Daddy Yankee; Sech";";";272vIYVYzfAgHUQRUYWmhP
AGUA;";";"Daddy Yankee; Rauw Alejandro; Nile Rodgers";";";4e4t1qNN47CzmCxFffzs4U
ZONA DEL PERREO;";";"Daddy Yankee; NATTI NATASHA; Becky G";";";4pN4uE4g6srE6376NDwMJP
HOT;";";"Daddy Yankee; Pitbull";";";5Pg4qYTcvCUBBq3jBhKq0t
BOMBÓN;";";"Daddy Yankee; El Alfa; Lil Jon";";";4OAPnWJ3J5w4c4IBLh2chn
No Quiere Enamorarse (Live) (Remix);";";"Daddy Yankee; Ozuna";";";1HtxUKTUkpIu1agRtI3HPQ
Baila Baila (Live) (Remix);";";"Daddy Yankee; Ozuna";";";5vbxiFIDkyExoIOfjQeL0y
Despacito (Live);";";"Daddy Yankee; Luis Fonsi";";";5tApSum4PkO9m90FwNBBzq
Sola (Live) (Remix);";";"Daddy Yankee; Anuel AA";";";3FMon34mRowme3grqxv76C
Adictiva (Live);";";"Daddy Yankee; Anuel AA";";";3dUyoIICmMfarCIdC7iDvf
China (Live);";";"Daddy Yankee; Anuel AA; Ozuna";";";3xNC2MhyfQZm7nrAAvf0MM
Dura (Live) (Remix);";";"Daddy Yankee; NATTI NATASHA";";";7FQlobFDtNd8CMPulsz5ie
Vuelve (Live) (Remix);";";"Daddy Yankee; Bad Bunny";";";4LaEvZG3LtpxvXyy0DP5uj
Tu No Metes Cabra (Live) (Remix);";";"Daddy Yankee; Bad Bunny";";";0Vs1ctItxBJjTWspcdmA7Y
Soltera (Live) (Remix);";";"Daddy Yankee; Bad Bunny; Lunay";";";5hXVtFCXlncVEI9qUDniJk
La Combi Completa (Live);";";"Daddy Yankee; Nicky Jam";";";1pfrucjo0iZsXhgAaPznrn
Bella y Sensual (Live);";";"Daddy Yankee; Nicky Jam; Romeo Santos";";";2cKwhMD0KvwaeXapDGjiKX
No Me Dejes Solo (Live);";";"Daddy Yankee; Wisin & Yandel";";";5nO5mlAFpGIUh6G74cFXVM
Saoco (Live);";";"Daddy Yankee; Wisin & Yandel";";";2KErNYZJrsi70JNFp6gCXM
Todo Comienza En La Disco (Live);";";"Daddy Yankee; Wisin & Yandel";";";4heL9YP8feia31nQsJgJFb
Si Supieras (Live);";";"Daddy Yankee; Wisin & Yandel";";";2OkhCzsaFaiP03Hoiu6Km2
Nada Ha Cambiao’;";";"Daddy Yankee; Divino";";";2ItuUEFNKJksuwWzRNEjeI
Calentón;";";"Daddy Yankee; Yandel";";";2hKBW2Ln22eUJlYJSXXIvc
Dónde Es El Party;";";"Daddy Yankee; Farruko";";";0l5FmjTOyyaIosg5PPekFa
Millonarios;";";"Daddy Yankee; Arcángel";";";6r4ZLXoJpsOgWMf5Yb7oeZ
Una Respuesta;";";"Daddy Yankee; J Alvarez";";";0pvu5FOYxkA9GEHgoVzSei
El Amante;";";"Daddy Yankee; J Alvarez";";";5iv9ql0UpdogDvNOEbrrVY
La Noche De Los Dos;";";"Daddy Yankee; Natalia Jiménez";";";2ek8O0JjQBcBycd5NUmPU0
Llegamos A La Disco;";";"Daddy Yankee; De La Ghetto; Ñengo Flow; Arcángel; Farruko; Baby Rasta & Gringo; Alex Kyza; Kendo Kaponi";";";16HqQ3v8DiCxZH4oZYCG3f
After Party;";";"Daddy Yankee; De La Ghetto";";";6k07j2NaKaOilLCl5JvgL2
Mas Que Un Amigo;";";"Daddy Yankee; Farruko";";";59v8nzZw327n4zGeikkEYi
Baby;";";"Daddy Yankee; Randy";";";3wwnPnXBPSWiyoaIVisjAU
Ven Conmigo;";";"Daddy Yankee; Prince Royce";";";3eTzTJUJkUmKv5FBZhfDec
El Party Me Llama;";";"Daddy Yankee; Nicky Jam";";";5DpdoF8RgdpiXZa6vYwFfY
Me Enteré;";";"Daddy Yankee; Tito ""El Bambino""";";";53WTZMi3n8sF63WflZZCbt
Salgo Pa' la Calle;";";"Daddy Yankee; Randy";";";5hpwyyJJ2JyozFVVRJsfLp
Pasión;";";"Daddy Yankee; Arcángel";";";0rxXr51zm3fiegbkYy67lp
Bring It On;";";"Daddy Yankee; Akon";";";4TIp3rdqX7eZ94kv6h8FEC
Papi Lover;";";"Daddy Yankee; Nicole Scherzinger";";";0kYuFLNIFDH7FkhluhIV6f
Tensión;";";"Daddy Yankee; Héctor ""El Father""";";";4EIjWVWmkEjf6xazzU0u8o
Plane To P.R.;";";"Daddy Yankee; will.i.am";";";71oas0ectOcS26gWpYsKJy
Impacto (Remix) [feat. Fergie] (Remix);";";"Daddy Yankee; Fergie";";";5uElTpeHycDMtbTVDkeY6I
Gangsta Zone;";";"Daddy Yankee; Snoop Dogg";";";3h99fBGkTn3J2NsrYU8rcO
Machete - Remix;";";"Daddy Yankee; Paul Wall";";";3edpGXChaJFXWZ6k3D2CWC
No Me Dejes Solo;";";"Daddy Yankee; Wisin & Yandel";";";2Ukr1iULFHGSJp0qPhiqc0
Tu Príncipe;";";"Daddy Yankee; Zion & Lennox";";";2FNqnsX74ZlwduUAcnmzee
