Nome da Música;Artistas;ID da Música
ENERGY (feat. Beam);";";"Beyoncé; BEAM";";";0314PeD1sQNonfVWix3B2K
MOVE (feat. Grace Jones & Tems);";";"Beyoncé; Grace Jones; Tems";";";5YLGlPYkZBDXieMwzVve7g
DON'T JEALOUS ME;";";"Tekno; Lord Afrixana; Mr Eazi; Yemi Alade";";";6VsNsaxmzrKZ5dKmIgePBN
NILE;";";"Beyoncé; Kendrick Lamar";";";7wD8R6QWYJbp6eWrgrNkUH
MOOD 4 EVA (feat. Oumou Sangaré);";";"Beyoncé; JAY-Z; Childish Gambino; Oumou Sangaré";";";6tbkOI2yzodPd7FsYcz5D3
WATER;";";"Salatiel; Pharrell Williams; Beyoncé";";";1x3TIh0CKnYlKe4ePrp3kM
BROWN SKIN GIRL;";";"Blue Ivy; SAINt JHN; Beyoncé; Wizkid";";";0sCyaAxs2y2h85hEv6qXMO
KEYS TO THE KINGDOM;";";"Tiwa Savage; Mr Eazi";";";3g5RCw8zQJX7co0t1i207F
ALREADY;";";"Beyoncé; Shatta Wale; Major Lazer";";";1TSinFFcDJJzR6ErO81Y3c
MY POWER;";";"Nija; Beyoncé; Busiswa; Yemi Alade; Tierra Whack; Moonchild Sanelly; DJ Lag";";";0g3zIOFTdkwgJdR48usYgY
SCAR;";";"070 Shake; Jessie Reyez";";";08xkNDko1wfeqOZdkCXC9K
FIND YOUR WAY BACK - MELO-X Remix;";";"Beyoncé; Melo-X";";";1g0k1bFcLKyIrdsdUkF3eW
DON'T JEALOUS ME;";";"Tekno; Lord Afrixana; Mr Eazi; Yemi Alade";";";1yvFoBp2Bq1ilD0518ZpQx
danger (young simba & young nala interlude);";";"JD McCrary; Shahadi Wright Joseph";";";6Y6BbZoYe2mNLceeoUZdoT
run away (scar & young simba interlude);";";"JD McCrary; Chiwetel Ejiofor";";";19omXUq2TcREoUoHqbVLTq
NILE;";";"Beyoncé; Kendrick Lamar";";";0lboDHM9hSR5j5CFlWDR9k
new lesson (timon, pumbaa & young simba interlude);";";"Billy Eichner; Seth Rogen; JD McCrary";";";3c3XyNDlGm6607OfqGyBHa
MOOD 4 EVA (feat. Oumou Sangaré);";";"Beyoncé; JAY-Z; Childish Gambino; Oumou Sangaré";";";7oqftogUN82Q7VNy2TmTJW
reunited (nala & simba interlude);";";"Beyoncé Knowles Carter; Childish Gambino";";";1T41VK2fuFYbsXjIM7qKif
WATER;";";"Salatiel; Pharrell Williams; Beyoncé";";";5vIiGOCqhPwnQDZhWhewGU
BROWN SKIN GIRL;";";"Blue Ivy; SAINt JHN; Beyoncé; Wizkid";";";0B3FovCVaGKS5w1FTidEUP
KEYS TO THE KINGDOM;";";"Tiwa Savage; Mr Eazi";";";3KZK9MF3bAixN5UWOHVTbf
follow me (simba & rafiki interlude);";";"Childish Gambino; John Kani";";";1OTXnoe2AGsDQ3Yp1vxI9s
ALREADY;";";"Beyoncé; Shatta Wale; Major Lazer";";";6tgEc2O1uFHcZDKPoo6PC8
MY POWER;";";"Nija; Beyoncé; Busiswa; Yemi Alade; Tierra Whack; Moonchild Sanelly; DJ Lag";";";7ia5l12mCvbQTeAnG1oYpg
surrender (simba & scar interlude);";";"Childish Gambino; Chiwetel Ejiofor";";";42VXfDBCEvcMJnwnd2suTB
SCAR;";";"070 Shake; Jessie Reyez";";";1k9bH40gL6lCMIgHOsTDP8
