Nome da Música;Artistas;ID da Música
Candy Necklace (feat. Jon Batiste);";";"Lana Del Rey; Jon Batiste";";";3MlEryrxCKZkcfX18ZLX96
Paris, Texas (feat. SYML);";";"Lana Del Rey; SYML";";";0Oqxt6JixieLHbwMfnJGWO
Grandfather please stand on the shoulders of my father while he's deep-sea fishing (feat. RIOPY);";";"Lana Del Rey; RIOPY";";";55LnC7VuUvayQ3fW0CvDL6
Let The Light In (feat. Father John Misty);";";"Lana Del Rey; Father John Misty";";";4qG7hWhljsqqENL5PaLA2z
Margaret (feat. Bleachers);";";"Lana Del Rey; Bleachers";";";1o82DwNisONAd2mu1RcGE6
Peppers (feat. Tommy Genesis);";";"Lana Del Rey; Tommy Genesis";";";2Rlso2ZNV0PaWwUYeeBYxx
Breaking Up Slowly;";";"Lana Del Rey; Nikki Lane";";";1hn1kCOG5dm1XgZYKpfaLR
For Free;";";"Lana Del Rey; Zella Day; Weyes Blood";";";2lhfd0CF0dFlwRVH8NG8vv
Lust For Life (with The Weeknd);";";"Lana Del Rey; The Weeknd";";";0mt02gJ425Xjm7c3jYkOBn
Summer Bummer (feat. A$AP Rocky & Playboi Carti);";";"Lana Del Rey; A$AP Rocky; Playboi Carti";";";5QqyRUZeBE04yJxsD1OC0I
Groupie Love (feat. A$AP Rocky);";";"Lana Del Rey; A$AP Rocky";";";03hqMhmCZiNKMSPmVabPLP
Beautiful People Beautiful Problems (feat. Stevie Nicks);";";"Lana Del Rey; Stevie Nicks";";";3O7p9Itz8PXUoAjD2vmuM6
Tomorrow Never Came (feat. Sean Ono Lennon);";";"Lana Del Rey; Sean Ono Lennon";";";6VZwnDUMkAZs36g6v9MVQX
Suburban House;";";"Holly Macve; Lana Del Rey";";";676TvM26wVq88afbYDPRO3
Hollywood Bowl;";";"Rob Grant; Lana Del Rey";";";1DAIGVQoOruWmlVYmpC0B7
Lost at Sea;";";"Rob Grant; Lana Del Rey";";";6N7NO9Z1Hi6la8dqG3Aoew
Say Yes To Heaven - Dot Major Remix;";";"Lana Del Rey; Dot Major; London Grammar";";";0aVp8gdrXFsidPm0r0NggP
Say Yes To Heaven - Anyma Remix;";";"Lana Del Rey; Anyma";";";6YzWNNWyxVGC0eczvuUtmF
Say Yes To Heaven - AMANDUS 99 +++ DANZINGER 99 Remix;";";"Lana Del Rey; AMANDUS 99; DANZINGER 99";";";7FpBzp5R4mE2Oxw0zCfOSV
Say Yes To Heaven - sim0ne & Melo Nada Remix;";";"Lana Del Rey; sim0ne; Melo Nada";";";2A7n6aoRd0pxfwasvN4Fh9
Summertime Sadness - Sped Up;";";"Lana Del Rey; Speed Radio";";";78dtqFPt7cvYgS2zTXtZKV
Buddy's Rendezvous;";";"Lana Del Rey; Father John Misty";";";7qqrGV5WpQnMKqVTsDZd9J
Dayglo Reflection - Orchestral Version;";";"Bobby Womack; Lana Del Rey";";";3TPjX6hEANO8qGrxYtabkh
Hallucinogenics (feat. Lana Del Rey);";";"Matt Maeson; Lana Del Rey";";";4A8pBxx0of2Y8r56dT0atf
God Save Our Young Blood (with Lana Del Rey);";";"BØRNS; Lana Del Rey";";";69bW8sXMYTa2iwfoRyZT5Y
Summer Bummer - Snakehips Remix;";";"Lana Del Rey; A$AP Rocky; Playboi Carti; Snakehips";";";3zUhzxygBLNN1HZQhkDqRT
Summer Bummer - Clams Casino Remix;";";"Lana Del Rey; Clams Casino; A$AP Rocky; Playboi Carti";";";4fFk2OkDtAjLwh9xSLJ0Bq
Lust For Life - The Avener Rework;";";"Lana Del Rey; The Avener; The Weeknd";";";0d8gjVOq4aLA9E6wCm7H3a
Lust For Life - BloodPop® Remix;";";"Lana Del Rey; BloodPop®; The Weeknd";";";0TUHBulhcckjtljAxJrRNg
Lust for Life (with The Weeknd);";";"Lana Del Rey; The Weeknd";";";5hzey1kBGjy3B8tDGcyRTY
Ultraviolence - Hook N Sling Remix;";";"Lana Del Rey; Hook N Sling";";";2fbVjOH8FOW60FDD5umpV9
West Coast - ZHU Remix;";";"Lana Del Rey; ZHU";";";6MvEnS4hoEjzrAxuJIvj5S
West Coast - Ten Ven Remix;";";"Lana Del Rey; Ten Ven";";";2va7mH3RbnqDUdb42abI48
West Coast - The GRADES Icon Mix;";";"Lana Del Rey; GRADES";";";11QaOjnjCsuQ4orbGJCNdp
West Coast - MK Remix;";";"Lana Del Rey; Marc Kinchen";";";2mHjYyZJT7eoDBZrJpzKEn
Summertime Sadness - Monsieur Adi Remix;";";"Lana Del Rey; Monsieur Adi";";";1j58RGUIitzCN2D4f0X3xj
Summertime Sadness - Ryan Hemsworth Remix;";";"Lana Del Rey; Ryan Hemsworth";";";6TqhdpjFllfk11YygjtXcr
