Nome da Música;Artistas;ID da Música
Main Titles (You’ve Been Called Back to Top Gun);";";"Harold Faltermeyer; Lady Gaga; Hans Zimmer; Lorne Balfe";";";74BfFG9qR85KXxN49esFVA
Darkstar;";";"Harold Faltermeyer; Lady Gaga; Hans Zimmer; Lorne Balfe";";";5jximgvZO7gGAFQndsSltj
You’re Where You Belong / Give ‘Em Hell;";";"Harold Faltermeyer; Lady Gaga; Hans Zimmer; Lorne Balfe";";";5aAFhwGmoTsYd3ICgj5Ms2
Dagger One Is Hit / Time To Let Go;";";"Harold Faltermeyer; Lady Gaga; Hans Zimmer; Lorne Balfe";";";3Wceo1KylCeOUKJv8EVrMy
Tally Two / What’s The Plan / F-14;";";"Harold Faltermeyer; Lady Gaga; Hans Zimmer; Lorne Balfe";";";2RfBOqxUl9g0fHJ0NuYFAO
The Man, The Legend / Touchdown;";";"Harold Faltermeyer; Lady Gaga; Hans Zimmer; Lorne Balfe";";";3vPFtJIPNknOiMK7IcBtzn
Penny Returns - Interlude;";";"Harold Faltermeyer; Lady Gaga; Hans Zimmer; Lorne Balfe";";";0hGL3mxCQJB5l64LsWcSN5
Top Gun Anthem;";";"Harold Faltermeyer; Lady Gaga; Hans Zimmer; Lorne Balfe";";";1ZkmPku85veww4fF66aUFF
It's De-Lovely;";";"Tony Bennett; Lady Gaga";";";5i6SVeYn0jb3yMp9fsQGto
Night And Day;";";"Tony Bennett; Lady Gaga";";";0ZzE3KupbceBjr17DMhWAo
Love For Sale;";";"Tony Bennett; Lady Gaga";";";4biVNJdcVpAljZjpiO9B4Z
I've Got You Under My Skin;";";"Tony Bennett; Lady Gaga";";";6jz5HzDmPuQ24U7u7KfKGw
I Concentrate On You;";";"Tony Bennett; Lady Gaga";";";1Z2el1XLsdJwt6Kefb2F5p
I Get A Kick Out Of You;";";"Tony Bennett; Lady Gaga";";";6tANJIaIQAFhMxgnafAZd2
Dream Dancing;";";"Tony Bennett; Lady Gaga";";";7kjzAKTVd9umvnChTkzTNd
You're The Top;";";"Tony Bennett; Lady Gaga";";";5ueoGQzXQDQazPcPq5UvOQ
Alice - LSDXOXO Remix;";";"Lady Gaga; LSDXOXO";";";050s0Msd1WXkSdG8UjFDEa
Stupid Love - COUCOU CHLOE Remix;";";"Lady Gaga; COUCOU CHLOE";";";1Qt19fIi2rcthO6PV30TtE
Rain On Me (with Ariana Grande) - Arca Remix;";";"Lady Gaga; Ariana Grande; Arca";";";5XDghj1KSe2rTWnc5D6mIk
Free Woman - Rina Sawayama & Clarence Clarity Remix;";";"Lady Gaga; Rina Sawayama; Clarence Clarity";";";1zF2enE35rzozF1Qu7rLKH
Fun Tonight - Pabllo Vittar Remix;";";"Lady Gaga; Pabllo Vittar";";";70FhY7hwautR5xB1qnHzVn
911 - Charli XCX & A. G. Cook Remix;";";"Lady Gaga; Charli XCX; A. G. Cook";";";4xx8LCv4tUv7PNk6g7VQmY
Plastic Doll - Ashnikko Remix;";";"Lady Gaga; Ashnikko; Oscar Scheller";";";5053O1zH7ti48DaNx3SS5f
Sour Candy (with BLACKPINK) - Shygirl & Mura Masa Remix;";";"Lady Gaga; BLACKPINK; Shygirl; Mura Masa";";";56kudbKiRjWCwiAS3FRHCL
Enigma - Doss Remix;";";"Lady Gaga; Doss";";";2JbiP7lLBqtEDtYEBTPZPV
Replay - Dorian Electra Remix;";";"Lady Gaga; Dorian Electra; Chris Greatti; Count Baldor";";";6l6XdpIyh6RJ4gmdqoz0D6
Sine From Above (with Elton John) - Chester Lockhart, Mood Killer & Lil Texas Remix;";";"Lady Gaga; Elton John; Chester Lockhart; Mood Killer; Lil Texas";";";4LgB8rYhW4HVQDfznTMG9I
1000 Doves - Planningtorock Remix;";";"Lady Gaga; Planningtorock";";";4Qc8LGqfaOQtWoqNjRumUI
Babylon - Bree Runway & Jimmy Edgar Remix;";";"Lady Gaga; Bree Runway; JIMMY EDGAR";";";2xw4gYnfIZkH4GO9zPMNVR
Babylon - Haus Labs Version;";";"Lady Gaga; Tchami; BloodPop®";";";2FJFgTpdYPEYxyKWvch6wE
Highway Unicorn (Road To Love);";";"The Highwomen; Brittney Spencer; Madeline Edwards";";";7oMISpBHt5pkPsH4jqoqlp
Rain On Me (with Ariana Grande);";";"Lady Gaga; Ariana Grande";";";7ju97lgwC2rKQ6wwsf9no9
Sour Candy (with BLACKPINK);";";"Lady Gaga; BLACKPINK";";";1IWNylpZ477gIVUDpJL66u
Sine From Above (with Elton John);";";"Lady Gaga; Elton John";";";0zzsyWc45eUcSjw4FNHxeN
Shallow - Radio Edit;";";"Lady Gaga; Bradley Cooper";";";6QfS2wq5sSC1xAJCQsTSlj
Music To My Eyes;";";"Lady Gaga; Bradley Cooper";";";5IXk9TVBuxG87sFrwclBJw
