Nome da Música;Artistas;ID da Música
Stick (with JID & J. Cole feat. Kenny Mason & Sheck Wes);";";"Dreamville; JID; J. Cole; Kenny Mason; Sheck Wes";";";1BzXvBpIFWJgu0P8P6xmP4
Ghetto Gods Freestyle (with EARTHGANG feat. 2 Chainz);";";"Dreamville; EARTHGANG; 2 Chainz";";";7Gn7HA4yOHKXDo6vHCiNXV
Lifestyle (with Bas feat. A$AP Ferg);";";"Dreamville; Bas; A$AP Ferg";";";0URbdJpIV9B54W2d9yeMwt
Starting 5 (with Lute, Cozz & Omen);";";"Dreamville; Lute; Cozz; Omen";";";2OSsmzINPSwQ1hLoMH70Rj
Coming Down (with Ari Lennox);";";"Dreamville; Ari Lennox";";";3p2HpO3ZgvFs97L15hGZOn
Hair Salon (with Cozz feat. G Perico & Reason);";";"Dreamville; Cozz; G Perico; REASON";";";7eheBzQNeMd0ZxU3HoXltE
Freedom of Speech (with J. Cole);";";"Dreamville; J. Cole";";";5pQZullzXsixizZmBcmXhy
Blackberry Sap (with Ari Lennox);";";"Dreamville; Ari Lennox";";";5xpU73nutoJizKpX3TZRhS
Like Wine (with Lute);";";"Dreamville; Lute";";";2hflEM2ceD3eYZvxglqo5S
Jozi Flows (with Bas & EARTHGANG);";";"Dreamville; Bas; EARTHGANG";";";0T7zFfMGZ5rQEH4VPbNJln
Barry From Simpson (with JID feat. 2 Chainz & Young Nudy);";";"Dreamville; JID; 2 Chainz; Young Nudy";";";4m3u9rV6KkVemoL5NFqXem
Everybody Ain’t Shit (with EARTHGANG);";";"Dreamville; EARTHGANG";";";5twFAWoVedKgYZrswt1JIn
Ballin in Newport (with Omen);";";"Dreamville; Omen";";";1KsHmftDAysEtLpDK1o6Y9
Big Trouble Freestyle (with Cozz);";";"Dreamville; Cozz";";";3K7CM76wcnUmzShCPH6q7A
Heaven’s EP (with J. Cole);";";"Dreamville; J. Cole";";";19h1LNf7idduUW3jBeswB8
m y . l i f e (with 21 Savage & Morray);";";"J. Cole; 21 Savage; Morray";";";1D3z6HTiQsNmZxjl7F7eoG
1 0 0 . m i l ‘ (with Bas);";";"J. Cole; Bas";";";4n6NDfYake476trCjJRNl0
p r i d e . i s . t h e . d e v i l (with Lil Baby);";";"J. Cole; Lil Baby";";";5W8jRrZ6tWrTrqnKRtIQBf
