Nome da Música;Artistas;ID da Música
Sensational (feat. Davido & Lojay);";";"Chris Brown; Davido; Lojay";";";44G2gUVQvNNZ6w3i05tR4n
That's On You (feat. Future);";";"Chris Brown; Future";";";0kP79Anpp0vz91aphg51jr
Best Ever (feat. Maeta);";";"Chris Brown; Maeta";";";2urs3lmT3JXLSor1DUs7ih
No One Else (feat. Fridayy);";";"Chris Brown; Fridayy";";";1lYqI9WKBPsL6Hf93yT9bB
Nightmares (feat. Byron Messia);";";"Chris Brown; Byron Messia";";";7Km7xyMr97YxxqMBgUfIrc
Till The Wheels Fall Off (feat. Lil Durk & Capella Grey);";";"Chris Brown; Lil Durk; Capella Grey";";";2lnGU78NykcpzgelX4RXtU
C.A.B. (Catch A Body) (feat. Fivio Foreign);";";"Chris Brown; Fivio Foreign";";";4V8vn5hyJi0z2RrFSPVLUB
Possessive (feat. Lil Wayne & BLEU);";";"Chris Brown; Lil Wayne; Yung Bleu";";";76MjJsYDQjZLlMdd2detM4
Addicted (feat. Lil Baby);";";"Chris Brown; Lil Baby";";";1wIUFVYByLcCP58SvIilAn
Call Me Every Day (feat. Wizkid);";";"Chris Brown; Wizkid";";";2lnhxEJsEDnmpsSV8B0qkm
Closure (feat. H.E.R.);";";"Chris Brown; H.E.R.";";";6r6X9veVKVLXrCLse8b4vY
Need You Right Here (feat. Bryson Tiller);";";"Chris Brown; Bryson Tiller";";";64TWLiIGu9Jrzo7DUMsVpg
Sex Memories (feat. Ella Mai);";";"Chris Brown; Ella Mai";";";1kK1IKIRh5d40R0qmWlfWx
Hmhmm (feat. EST Gee);";";"Chris Brown; EST Gee";";";5pSDtXctuoKYUvGdrvDm4j
Psychic;";";"Chris Brown; Jack Harlow";";";3er3Ombejuah6HodI4zCGA
Show It (feat. Blxst);";";"Chris Brown; Blxst";";";0FOMvr89j5zwdbh7aZ5BUP
Bad Then A Beach (feat. Tory Lanez);";";"Chris Brown; Tory Lanez";";";5E1759NvMVKL2Su5gse0LP
Inner Peace (feat. Anderson .Paak);";";"Chris Brown; Anderson .Paak";";";1ERM80K4wqMqZvHf9NTOoU
Nobody Has To Know (feat. Davido);";";"Chris Brown; Davido";";";4yO4USepGQszWyob8PYuYA
Till The Wheels Fall Off (feat. Lil Durk & Capella Grey);";";"Chris Brown; Lil Durk; Capella Grey";";";6d4nagVvGdvMEq1Ngg5PPb
C.A.B. (Catch A Body) (feat. Fivio Foreign);";";"Chris Brown; Fivio Foreign";";";53Ng9b4xU3NbvyajMGM2pj
Possessive (feat. Lil Wayne & BLEU);";";"Chris Brown; Lil Wayne; Yung Bleu";";";1rbVvD97q3mHJweROzdxza
Addicted (feat. Lil Baby);";";"Chris Brown; Lil Baby";";";3Mr7AWHQj2ZUfMwNWq59MK
Call Me Every Day (feat. Wizkid);";";"Chris Brown; Wizkid";";";3dGJPLnc2YlXVvcgwW47Mn
Closure (feat. H.E.R.);";";"Chris Brown; H.E.R.";";";29sEmSIzC0w4DuGInHM8yN
Need You Right Here (feat. Bryson Tiller);";";"Chris Brown; Bryson Tiller";";";2iezHdu9xLOvCkb8LW3FtU
Sex Memories (feat. Ella Mai);";";"Chris Brown; Ella Mai";";";0ZanxzL5MCOURk9VVxGokB
Hmhmm (feat. EST Gee);";";"Chris Brown; EST Gee";";";41HI3rMtZ1Nt0spzyg2q6X
Psychic;";";"Chris Brown; Jack Harlow";";";0PwC30wtoEQ1nxoG6DZoFO
Show It (feat. Blxst);";";"Chris Brown; Blxst";";";7kwQdjMOQqS4A85kKTWDHo
Bad Then A Beach (feat. Tory Lanez);";";"Chris Brown; Tory Lanez";";";6JcQQGncihHYDq5xAbNn8E
Inner Peace (feat. Anderson .Paak);";";"Chris Brown; Anderson .Paak";";";05hyO45lzOkCpMBomiKsMP
Nobody Has To Know (feat. Davido);";";"Chris Brown; Davido";";";4U94pbUhXrzFNVcyrFeMso
Till The Wheels Fall Off (feat. Lil Durk & Capella Grey);";";"Chris Brown; Lil Durk; Capella Grey";";";2oExMFdhTMgBTbHUvMJaC4
C.A.B. (Catch A Body) (feat. Fivio Foreign);";";"Chris Brown; Fivio Foreign";";";5mxJu0dK7KXbwEBzds4OLl
Possessive (feat. Lil Wayne & BLEU);";";"Chris Brown; Lil Wayne; Yung Bleu";";";56Z1Jhb8RwuCSpRO72yZox
