Nome da Música;Artistas;ID da Música
QLONA;";";"KAROL G; Peso Pluma";";";3XB5uhhlYSnkxpSihkNQwh
UNA NOCHE EN MEDELLÍN - REMIX;";";"KAROL G; Cris Mj; Ryan Castro";";";6ejks4eS7DOoYW8hrpRcDV
ME TENGO QUE IR;";";"KAROL G; Kali Uchis";";";5AwdJhVYK64TDpfdRa1DyN
GATITA GANGSTER;";";"KAROL G; Dei V";";";7gUtEoYJcPnhF4bJAJ3O8q
DISPO;";";"KAROL G; Young Miko";";";4iGQ8o9Ih6J1OuDDGCXSCL
PROVENZA - REMIX;";";"KAROL G; Tiësto";";";7DmP5W2DbhXC7uKYbYXtIm
X SI VOLVEMOS;";";"KAROL G; Romeo Santos";";";4NoOME4Dhf4xgxbHDT7VGe
PERO TÚ;";";"KAROL G; Quevedo";";";1dw7qShk971xMD6r6mA4VN
TQG;";";"KAROL G; Shakira";";";0DWdj2oZMBFSzRsi2Cvfzf
OJOS FERRARI;";";"KAROL G; Justin Quiles; Angel Dior";";";5yAIrkplUEpMNeojW8Q30o
GATÚBELA;";";"KAROL G; Maldy";";";6Vn1vje8yMw2OY6IOk9dkH
KÁRMIKA;";";"KAROL G; Bad Gyal; Sean Paul";";";3mFNc5EQn30irR983Wg9OD
DAÑAMOS LA AMISTAD;";";"KAROL G; Sech";";";3jUDqkHatwtprUmZ8epP8P
CAIRO;";";"KAROL G; Ovy On The Drums";";";16dUQ4quIHDe4ZZ0wF1EMN
MAÑANA SERÁ BONITO;";";"KAROL G; Carla Morrison";";";4bycD60yZgR6anIBtmU8UH
EL MAKINON;";";"KAROL G; Mariah Angeliq";";";2FSGUA0gFgGeQdprjtGM2M
CONTIGO VOY A MUERTE;";";"KAROL G; Camilo";";";615XWyY2RPfk3iuYcU6qvi
LOCATION;";";"KAROL G; Anuel AA; J Balvin";";";478g4LSkyMB1PMkVOVmIaE
GATO MALO;";";"KAROL G; NATHY PELUSO";";";7wy5kv4fYAsR9qFxKKZC5E
ODISEA;";";"KAROL G; Ozuna";";";1lyT9DtXlF7bjiwEurRpRU
SOLA ES MEJOR;";";"KAROL G; Yandar & Yostin";";";6b5LFS96QBt4qJ5Yd3tfqm
