Nome da Música;Artistas;ID da Música
Super Freaky Girl (with JT & BIA feat. Katie Got Bandz, Akbar V & Maliibu Mitch) - Queen Mix;";";"Nicki Minaj; JT; BIA; Katie Got Bandz; Akbar V; Maliibu Miitch";";";4d8BA8VjNeSOosvxOkiwd9
Likkle Miss (with Skeng) - Remix;";";"Nicki Minaj; Skeng";";";2NbcYqjmp3eCODWf1mfFvg
Likkle Miss - THE FINE NINE REMIX;";";"Nicki Minaj; Skeng; Spice; Destra; Patrice Roberts; Lady Leshurr; Pamputtae; Dovey Magnum; Lisa Mercedez; London Hill";";";4EZGX61V7YTien6IGwXcc4
Roman's Revenge (feat. Eminem);";";"Nicki Minaj; Eminem";";";1QbYbCM5zyEpUv23OUjZX5
Beez In The Trap (feat. 2 Chainz);";";"Nicki Minaj; 2 Chainz";";";0yK8Tu0p1AQJiYPMlVItXA
Do We Have A Problem? (with Lil Baby);";";"Nicki Minaj; Lil Baby";";";3ukgqjCgUDHX5IyIQgoofE
We Go Up (feat. Fivio Foreign);";";"Nicki Minaj; Fivio Foreign";";";3gWHjG4voAP6XGjgy23My3
High School (feat. Lil Wayne);";";"Nicki Minaj; Lil Wayne";";";0oiTseOUVmGCEYJPrqDhfC
Moment 4 Life (feat. Drake);";";"Nicki Minaj; Drake";";";0zvAHtoa1v8oE9eRGVnwjV
Truffle Butter (feat. Drake & Lil Wayne);";";"Nicki Minaj; Drake; Lil Wayne";";";0zqsouV60K8qN4xeIzwkCu
Bed (feat. Ariana Grande);";";"Nicki Minaj; Ariana Grande";";";7EGGqbaReqq0XAGDbs26l6
Favorite (feat. Jeremih);";";"Nicki Minaj; Jeremih";";";0vBmBhcpIfOr14XDIBjxNm
Fly (feat. Rihanna);";";"Nicki Minaj; Rihanna";";";2ZctWawwZDeOVLF5qvMlKi
Seeing Green (with Drake & Lil Wayne);";";"Nicki Minaj; Drake; Lil Wayne";";";5CHylQiGje2DyLtoxCXqbU
Bussin (with Lil Baby);";";"Nicki Minaj; Lil Baby";";";6bzzwbgN7rfyIySyy8MPOY
Lookin Ass (feat. Nicki Minaj);";";"Young Money; Nicki Minaj";";";6wkRmQBmoEubzfmVGgIvaI
Seeing Green (with Drake & Lil Wayne);";";"Nicki Minaj; Drake; Lil Wayne";";";1TZv3bujNaYz646eezRE91
Crocodile Teeth (with Skillibeng) - Remix;";";"Nicki Minaj; Skillibeng";";";2nxy7TbWDWOBm2bseZJX2A
Chi-Raq (with G Herbo);";";"Nicki Minaj; G Herbo";";";5dOcS75jq0kLKbvCY9P2Ex
Boss Ass Bitch (with PTAF) - Remix;";";"Nicki Minaj; PTAF";";";7eLCcnhpYGH3Y6Pqrk68Gz
I Get Crazy (feat. Lil Wayne);";";"Nicki Minaj; Lil Wayne";";";2bRE4HKlZQDHkiVcDr58aZ
Slumber Party (feat. Gucci Mane);";";"Nicki Minaj; Gucci Mane";";";4FCvf3FGTFIlsZmP3yoBLH
Shopaholic (feat. Gucci Mane, Bobby V, & F1Jo);";";"Nicki Minaj; Gucci Mane; Bobby V.; F1JO";";";1KVvVwHnGz3TPTVxQ86JDm
Gotta Go Hard (feat. Lil Wayne);";";"Nicki Minaj; Lil Wayne";";";6ZrhD4XUvgjaRXh7TD6otO
Best I Ever Had Remix;";";"Nicki Minaj; Drake";";";6DzTaNNwdUXiJI1l0u6wNe
Easy (feat. Gucci Mane & Rocko);";";"Nicki Minaj; Gucci Mane; Rocko";";";6FNM5vRBjIgBRMmF9X3F0j
Majesty (with Labrinth & feat. Eminem);";";"Nicki Minaj; Labrinth; Eminem";";";01s1HGlw9yqT0U242yffBb
Rich Sex (feat. Lil Wayne);";";"Nicki Minaj; Lil Wayne";";";21aWm7KFi70DLGomjOUD9D
Bed (feat. Ariana Grande);";";"Nicki Minaj; Ariana Grande";";";1nhQeIgGXHe50L8Yzw6GVs
Thought I Knew You (feat. The Weeknd);";";"Nicki Minaj; The Weeknd";";";6uZU7ZkcLtzI1mBfy1HW7U
Chun Swae (feat. Swae Lee);";";"Nicki Minaj; Swae Lee";";";4Hh5bo6KQF0Ys0ZLQu5lTz
Sir (feat. Future);";";"Nicki Minaj; Future";";";6aP5nH2SNEQzf4EXA6bjAh
Coco Chanel (feat. Foxy Brown);";";"Nicki Minaj; Foxy Brown";";";4aiJtRh8v8Lc6Sc9obDloS
Good Form (feat. Lil Wayne) - Remix;";";"Nicki Minaj; Lil Wayne";";";6supMAknraGpJrN5qqYfV8
Majesty (with Labrinth & feat. Eminem);";";"Nicki Minaj; Labrinth; Eminem";";";6sXS3TEx8Rw61z2oW0Mn12
Rich Sex (feat. Lil Wayne);";";"Nicki Minaj; Lil Wayne";";";3fCkG786ipL3aUc8KoLTvh
Bed (feat. Ariana Grande);";";"Nicki Minaj; Ariana Grande";";";2Gyfmw1w1RpMyjBFe1784y
Thought I Knew You (feat. The Weeknd);";";"Nicki Minaj; The Weeknd";";";7sSwnQc7LTQ8u74axzYndn
Chun Swae (feat. Swae Lee);";";"Nicki Minaj; Swae Lee";";";05epy7jdJjubwYxMfEq81w
Sir (feat. Future);";";"Nicki Minaj; Future";";";6DvJX7wAAzRomZJVW7E9dQ
Coco Chanel (feat. Foxy Brown);";";"Nicki Minaj; Foxy Brown";";";3l76pDmPK3gzvNC3ckVJxn
FEFE;";";"6ix9ine; Nicki Minaj; Murda Beatz";";";6fL1QD79W0ZojaSesowF9h
The Crying Game;";";"Nicki Minaj; Jessie Ware";";";0z4Rd9d6Wn2sfCTa776sCj
Get On Your Knees;";";"Nicki Minaj; Ariana Grande";";";0SqRx2qXC1H2Bojtz0tqHz
Feeling Myself;";";"Nicki Minaj; Beyoncé";";";4vgTAdLit4VNnxZ7YK06NW
Only;";";"Nicki Minaj; Drake; Lil Wayne; Chris Brown";";";1UZ25gykR30Oewh3dBRtVZ
Favorite;";";"Nicki Minaj; Jeremih";";";6SwWM2F2LIDy1a44Mr9h8f
Buy A Heart;";";"Nicki Minaj; Meek Mill";";";6CiZFgpDbKfkot1pAgczdp
Trini Dem Girls;";";"Nicki Minaj; LunchMoney Lewis";";";0lLzm3EXSFYgzQLP96sgeT
Bed Of Lies;";";"Nicki Minaj; Skylar Grey";";";1yQunV0upd4Eyu3rcOerD9
Big Daddy;";";"Nicki Minaj; Meek Mill";";";6wV873oE2F23tdIN84CbSp
The Crying Game;";";"Nicki Minaj; Jessie Ware";";";5XO86rMMh9lHFAa85Y48fL
Get On Your Knees;";";"Nicki Minaj; Ariana Grande";";";5U1fCIwf5FgRarwjqmrkbp
Feeling Myself;";";"Nicki Minaj; Beyoncé";";";4KpAlKo4zqnfXqhVW0QxPO
Only;";";"Nicki Minaj; Drake; Lil Wayne; Chris Brown";";";5pekaGq0N6VkDiTZJgK18A
Favorite;";";"Nicki Minaj; Jeremih";";";6QfIzJJ4N6JAOisCusxWgV
Buy A Heart;";";"Nicki Minaj; Meek Mill";";";5Z7rzTYpJSc7RpPkXXOZWN
Trini Dem Girls;";";"Nicki Minaj; LunchMoney Lewis";";";0uWEMjPK2G0hjDTPpYYTaJ
Bed Of Lies;";";"Nicki Minaj; Skylar Grey";";";2Tb9x7Fs1cYf7x85ROsRIg
Big Daddy;";";"Nicki Minaj; Meek Mill";";";7IeFeV9nbJ8qYZUjjZ0tVP
Truffle Butter;";";"Nicki Minaj; Drake; Lil Wayne";";";7e44z4wOjkllaD8eulUeMd
The Crying Game;";";"Nicki Minaj; Jessie Ware";";";6aphz6iYE6b4gJ4vsbPJVm
Get On Your Knees;";";"Nicki Minaj; Ariana Grande";";";3Cl3uNEcYu5SDhLLXN5yhi
Feeling Myself;";";"Nicki Minaj; Beyoncé";";";6ORDoQ6jxdfqNyqvUKDHF0
Only;";";"Nicki Minaj; Drake; Lil Wayne; Chris Brown";";";6AD3gisKJrvj1STmAIRzHg
Favorite;";";"Nicki Minaj; Jeremih";";";1tQDPFyd6nU5QYSDxlDxJi
Buy A Heart;";";"Nicki Minaj; Meek Mill";";";3LbP0bRODOjnpPA1oxAKrw
Trini Dem Girls;";";"Nicki Minaj; LunchMoney Lewis";";";2kSzO9N1NoDFGAlMgvQM6B
Bed Of Lies;";";"Nicki Minaj; Skylar Grey";";";3l0JXqwhDxkRSGwcMvlVRC
I Am Your Leader;";";"Nicki Minaj; Cam'ron; Rick Ross";";";5iT6Ux1Fko5LKoMKjd9hhg
Beez In The Trap;";";"Nicki Minaj; 2 Chainz";";";3A0CjqZ5uOrrJrfEPq90HZ
Roman Reloaded;";";"Nicki Minaj; Lil Wayne";";";2E80WBBSYN6nTb7qShJ2MT
Champion;";";"Nicki Minaj; Nas; Drake; Jeezy";";";53tCMfnaf3nX2GDtpZmfAS
Right By My Side;";";"Nicki Minaj; Chris Brown";";";22Wg1Bh8WU6s1klm2eOgAJ
Sex In The Lounge;";";"Nicki Minaj; Lil Wayne; Bobby V.";";";1uj6WYk68It8aUA77OO6um
Gun Shot;";";"Nicki Minaj; Beenie Man";";";5Wr71Up0JJjzQJsBYFdT47
Turn Me On;";";"David Guetta; Nicki Minaj";";";2nqUXWqbVw9hUS8YYtAAR1
Hell Yeah;";";"Nicki Minaj; Parker Ighile";";";0cXKGzMAGPDLWTnpbV5pij
High School;";";"Nicki Minaj; Lil Wayne";";";3UrNOHCzVxX2KZbNcKQAyu
I'm Legit;";";"Nicki Minaj; Ciara";";";5VH29X65xVLfH2TwD9EcxO
I Endorse These Strippers;";";"Nicki Minaj; Tyga; Thomas Brinx";";";5EPvKTdqjN4OMlrQf6t5Wp
The Boys;";";"Nicki Minaj; Cassie";";";1I9yF0q9snr3VYVfqIVWt1
I Am Your Leader;";";"Nicki Minaj; Cam'ron; Rick Ross";";";1pmaNc1vjYFARzU57BCUD3
Beez In The Trap;";";"Nicki Minaj; 2 Chainz";";";2epGMZt9GFdH1etwMbQcFm
Roman Reloaded;";";"Nicki Minaj; Lil Wayne";";";5iGHXBSUbC4F0tW2cC8BKk
Champion;";";"Nicki Minaj; Nas; Drake; Jeezy";";";4wBItt9hMHTmPiZVF7xDaT
Right By My Side;";";"Nicki Minaj; Chris Brown";";";2FT7qhRvlcxwoCDolS56qH
Sex In The Lounge;";";"Nicki Minaj; Lil Wayne; Bobby V.";";";2bVMvPh1AxmYFnN2IciSmA
Gun Shot;";";"Nicki Minaj; Beenie Man";";";6cTXt3OzY7fyuICQTPhFCY
I Am Your Leader;";";"Nicki Minaj; Cam'ron; Rick Ross";";";1gnU4EemzPgaBPSxyHM7Vu
Beez In The Trap;";";"Nicki Minaj; 2 Chainz";";";4It00tEYLwpjQtAhqnjCPC
Roman Reloaded;";";"Nicki Minaj; Lil Wayne";";";6lsz1J2DNwWpjb6PZ7pGap
Champion;";";"Nicki Minaj; Nas; Drake; Jeezy";";";1WaI6DqQ4L10MxVQJHF8Rx
Right By My Side;";";"Nicki Minaj; Chris Brown";";";2bgW1SJqUjIkWcbxTPTIdy
Sex In The Lounge;";";"Nicki Minaj; Lil Wayne; Bobby V.";";";5sgiBXmR4cbts6mJTWnyYk
Gun Shot;";";"Nicki Minaj; Beenie Man";";";1lMpLdgKrjP9FEn35JY1E3
Roman's Revenge;";";"Nicki Minaj; Eminem";";";3z3KQCqNqcRiZszzO34YKj
Fly;";";"Nicki Minaj; Rihanna";";";7ehwVHUdeIfGSm5Fjc0GxL
Moment 4 Life;";";"Nicki Minaj; Drake";";";3NnYi2wpHKdTAuc7BbQapx
Check It Out;";";"will.i.am; Nicki Minaj";";";4wySmOQ88W2dWNIL6iSRsk
Blazin;";";"Nicki Minaj; Kanye West";";";4CAvx0TdaURqGmJxTg18uK
Last Chance;";";"Nicki Minaj; Natasha Bedingfield";";";04nlqr0ClZ5YSpQhfGDWfN
Roman's Revenge;";";"Nicki Minaj; Lil Wayne";";";4FlyYrqMInO5uWpCRlTBt8
Roman's Revenge;";";"Nicki Minaj; Eminem";";";1PE8Lkg4HY530KORtjsCs7
Fly;";";"Nicki Minaj; Rihanna";";";28MtiwKUySBM6ziQk2hasw
Moment 4 Life;";";"Nicki Minaj; Drake";";";2sUlQXHLnZLY1n6i12MzoJ
Check It Out;";";"will.i.am; Nicki Minaj";";";78qHOMYr8nDUd4fIHS5J7k
Blazin;";";"Nicki Minaj; Kanye West";";";3g8IZkTL7EYqtmKCfxvHq3
Last Chance;";";"Nicki Minaj; Natasha Bedingfield";";";44nucsmobhGoNDgQFTI0Ok
BedRock;";";"Young Money; Lloyd";";";4ls15lRd7NUG8cjgsNjMYO
Roman's Revenge;";";"Nicki Minaj; Lil Wayne";";";65mvvdnbRTadGb9AoIjD3g
Roman's Revenge;";";"Nicki Minaj; Eminem";";";0eUzRaG60gimqQJ02oSUnH
Fly;";";"Nicki Minaj; Rihanna";";";2E1RGgFtr1X4H6glXOtABo
