Nome da Música;Artistas;ID da Música
Vibra;";";"Anuel AA; David Guetta";";";0DU150UuvrIsqOzAoeB2Zv
La Máquina;";";"Anuel AA; Jowell & Randy; De La Ghetto; Yailin la Mas Viral";";";35ns1WEurw3MVlHJjHwNWQ
Hoodie;";";"Anuel AA; Bryant Myers";";";6wpZ6aUZxirJyTshhuUhkR
Sufro;";";"Anuel AA; Kodak Black; Ñengo Flow";";";5KaOhT7vF4XdVtJ4eY3QF4
Wakanda;";";"Anuel AA; DaBaby";";";14uatjtUxCp76wlN5qtWEj
Del Kilo;";";"Anuel AA; Treintisiete; Yailin la Mas Viral";";";7qgovmYLU3BUltCBdYUPKg
EL NENE;";";"Anuel AA; Foreign Teck";";";5erXVUirf9qivKY5sJOanE
Diamantes en Mis Dientes;";";"Anuel AA; YOVNGCHIMI";";";5c3idBIe2HEX04QkMyfmTY
1ro;";";"Anuel AA; Lil Durk";";";67kjola5ELgfVclZuik6ZL
Mientes;";";"Anuel AA; Nicky Jam";";";7l7Y0vqJvN0CHEVywKPEp6
Airbnb;";";"Anuel AA; RobGz";";";2IaAYf9m4Kw9C5Lf3eIbiD
Malo;";";"Anuel AA; Zion; Randy";";";1VTFzMagdw9UizqXYXhv0B
North Carolina;";";"Anuel AA; Eladio Carrion";";";0B1J4Mm4oRVMqoy6RM9vIM
Mi Voz Cuesta un Billón;";";"Anuel AA; Mora";";";4JHjB2AekXGX7sCx6NLrJU
Súbelo;";";"Anuel AA; Myke Towers; Jhayco";";";3xv8JksRyqHa1lwkM9xvJf
Los Dioses;";";"Anuel AA; Ozuna";";";7oHsIIDKbEJlFULg1HF0pP
100;";";"Anuel AA; Ozuna";";";2sqgNScWya6T8PwKMELYW8
Antes;";";"Anuel AA; Ozuna";";";73O30uMI7n6DuzBmbtO7kC
Dime Tú;";";"Anuel AA; Ozuna";";";1U8Ta5gcm2xhma1FQS2bKV
RD;";";"Anuel AA; Ozuna";";";3F5OoUJSVVC1f5PwOxcx0N
Nena Buena;";";"Anuel AA; Ozuna";";";7m6aTkKrrPHAZ4fGnksoda
Contra el Mundo;";";"Anuel AA; Ozuna";";";22NqmIHKn0kd8CCFql4ZG4
Perreo;";";"Anuel AA; Ozuna";";";7IrHrOQnhaHDDfZoraPVhb
Perfecto;";";"Anuel AA; Ozuna";";";6UlIGL6Nv5KKTNH2c6vYTP
La Maria;";";"Anuel AA; Ozuna";";";1tu5h5BU2WWrGH407kU0pe
Nunca;";";"Anuel AA; Ozuna";";";14Ub5CX67F4si1R5UJxM43
Municiones;";";"Anuel AA; Ozuna";";";2nVOSrxGjCqblT9CKqEMHi
No Llores Mujer;";";"Anuel AA; Travis Barker";";";6VN85VvNB8w1QbJCXW8rTC
Jangueo;";";"Anuel AA; Tego Calderón";";";7KKh0ujp8agIiCrkiJhf81
