Nome da Música;Artistas;ID da Música
NO ME LA MOLESTE;";";"Rauw Alejandro; Ñejo; Dalmata";";";2BuCjLttbLSiPx8sJKBt9b
PICARDÍA;";";"Rauw Alejandro; Junior H";";";05OnZaYopHpb0z7ktT2FIF
PONTE NASTY;";";"Rauw Alejandro; Jowell & Randy";";";1cNJ9ODOJF8b6AjhzoYdkv
CELEBRANDO;";";"Rauw Alejandro; Ivy Queen";";";4KrNCWx08dZr11kGIUHuuX
SI TE PEGAS;";";"Rauw Alejandro; Miguel Bosé";";";7kyLtcgYgQPrXkxtAb72iY
BABY HELLO;";";"Rauw Alejandro; Bizarrap";";";21N77gfWYoQDvrLvaeiQgi
PUNTO 40;";";"Rauw Alejandro; Baby Rasta";";";4UGqAW9i7NtE5mW9xzm6yk
DEJAU';";";"Rauw Alejandro; Playero";";";2aCbaVxzJctzRCde49qLGC
GATAS;";";"Rauw Alejandro; Chris Palace";";";6glF8OLZEE2AHVu5YtOoiu
PANTIES Y BRASIERES;";";"Rauw Alejandro; Daddy Yankee";";";4uVEdikP5eLUy8Dq6gjiPV
CAZADORES;";";"Rauw Alejandro; Arcángel";";";6Xu7owZWwBVbhxOVA45hMK
RON COLA;";";"Rauw Alejandro; Subelo NEO";";";5S8i9p2xS8M8pFqfZMbMzI
DE CAROLINA;";";"Rauw Alejandro; Playero";";";6J3kt4eAqRffh5lBuHJJSO
LOKERA;";";"Rauw Alejandro; Lyanno; Brray";";";1aUq8rjW1EwkAkMri4VfJy
RED VELVET;";";"Rauw Alejandro; Shenseea";";";1n81l0FqOpFij4zFhGWAln
FCK U X2;";";"Rauw Alejandro; Future; Rvssian";";";7CLRoWBqSizI8Zpolsud5K
NO DRAMA;";";"Rauw Alejandro; Ty Dolla $ign";";";73ZHZa41E18kNM9gsjfW3R
WUEPA;";";"Rauw Alejandro; Ankhal";";";0KYmzY7oFojlPb84tJeHhp
Desesperados;";";"Rauw Alejandro; Chencho Corleone";";";6mmPpaltUZK7xjNlBPQQ0p
2/Catorce;";";"Rauw Alejandro; Mr. Naisgai";";";78QcVmzxS0wIwuC2rpAauI
¿Cuándo Fue?;";";"Rauw Alejandro; Tainy";";";4ZNKaE8fcrtDPsRK8RkQIs
Tengo un Pal;";";"Rauw Alejandro; Lyanno; Caleb Calloway";";";3gQwRTXQIbxKJbojcq8wf9
Brazilera;";";"Rauw Alejandro; Anitta";";";6jPFaBQGvDFrcyf5kQAJ6G
Mood;";";"Rauw Alejandro; Sech";";";2ISzmtY9Exy1IwmJj3Hc7P
Química (feat. The Martinez Brothers);";";"Rauw Alejandro; Zion & Lennox; Mr. Naisgai; The Martinez Brothers";";";7IZn95vTYrhHRbFmZsdD2A
De Cora <3;";";"Rauw Alejandro; J Balvin";";";22Sh5dlwbERqJAq1fZk5b2
Un Sueño (feat. Trippie Redd);";";"Rauw Alejandro; Trippie Redd";";";2Em9XZZw8yEgxjojjGxntN
Reloj;";";"Rauw Alejandro; Anuel AA";";";4loQgPwJHocL3dFwLfjb1J
No Te Creo;";";"Rauw Alejandro; Wisin & Yandel; Mr. Naisgai";";";4QSCkYRmv06vKZjXPoarXz
Soy Una Gargola;";";"Rauw Alejandro; Arcángel; Randy";";";4bEwaORm2IBfu3omjEna7I
Pensándote;";";"Rauw Alejandro; Tainy";";";2wnhst8yHA4gKuojAgZedh
Ponte Pa' Mi;";";"Rauw Alejandro; Myke Towers; Sky Rompiendo";";";1dt2lHi5RCMPuxz4VxKYgi
Elegí (feat. Farruko, Anuel AA, Sech, Dímelo Flow & Justin Quiles) - Remix;";";"Rauw Alejandro; Dalex; Lenny Tavárez; Farruko; Anuel AA; Sech; Dímelo Flow; Justin Quiles";";";4RjOEjzp0gCCgfCRbCNg5y
Tattoo - Remix with Camilo;";";"Rauw Alejandro; Camilo";";";4G3PTss3mU33Tau7t4KbwE
El Efecto - Live;";";"Rauw Alejandro; Chencho Corleone";";";00lSB6dw16MKdBZXVS9nRm
Ponte Pa' Mí - Live;";";"Rauw Alejandro; Myke Towers";";";72CjIC1iqPZjZlMk33iIzQ
Elegí - Live;";";"Rauw Alejandro; Dalex; Lenny Tavárez";";";3pE21gD680YsjNE5oJzRka
Cubierto de Ti;";";"Rauw Alejandro; Lary Over";";";0KLgnLFwESd9APhPRdfBnn
Espuma;";";"Rauw Alejandro; De La Ghetto";";";5n8wJnaFaUtC2v3pe5XCzO
Encima De Mi;";";"Rauw Alejandro; Darell";";";0hAxyVU6Nro3equjEQdFq2
Na' de Ti;";";"Rauw Alejandro; Oliva";";";6I7kybtYA6uWdWPyiZgyhK
Cuento de Hadas;";";"Rauw Alejandro; Jon Z";";";3SWyajFaNEhHO5Fd03d51T
Hasta Donde;";";"Rauw Alejandro; Cazzu";";";1cdtc60IkgTugE6lSlHzTk
BABY HELLO;";";"Rauw Alejandro; Bizarrap";";";2SOvWt6igzXViIjIiWNWEP
Rauw Alejandro: Bzrp Music Sessions, Vol. 56;";";"Bizarrap; Rauw Alejandro";";";2NFadq6pUeiVEihLvUlOSr
BESO;";";"ROSALÍA; Rauw Alejandro";";";609E1JCInJncactoMmkDon
VAMPIROS;";";"ROSALÍA; Rauw Alejandro";";";3Eax1yebRxj6LSYpxE9Yd3
PROMESA;";";"ROSALÍA; Rauw Alejandro";";";75rqqKvzJCGv2oq9C4yFDt
TAMO EN NOTA;";";"Rauw Alejandro; Angel Dior";";";2I0aHZjCXh6UjMHIOqugYF
