Nome da Música;Artistas;ID da Música
Think Of Us;";";"The Chainsmokers; GRACEY";";";4jpNmNXMzO3aVgJhy8sdxL
See You Again;";";"The Chainsmokers; ILLENIUM; Carlie Hanson";";";1tKUFSLuJCSlzBXm2l4HRo
Jungle;";";"Alok; The Chainsmokers; Mae Stephens";";";5W819K2wS39Bvlyh1GER5Q
Self Destruction Mode;";";"The Chainsmokers; bludnymph";";";2bUEPDiGO5iGxgkiDo7OPF
Up & Down;";";"The Chainsmokers; 347aidan";";";6YZZvbeTNUmNDxrMnNZMg1
My Bad;";";"The Chainsmokers; Shenseea";";";5ZsaCdte7URxwAy4PWHLM4
Celular;";";"Nicky Jam; Maluma; The Chainsmokers";";";6PIkKoMjo76f7Q2PrhAGu9
The Fall;";";"The Chainsmokers; Ship Wrek";";";5FvGI8KtImlEbOsvEW3pfX
Why Can't You Wait;";";"The Chainsmokers; Bob Moses";";";09EVL34Hr8e1jzFF5Hjb0v
The Reaper;";";"The Chainsmokers; Amy Shark";";";0g8Dq6OpSmWengqtLrVr77
Family;";";"The Chainsmokers; Kygo";";";3TKpJrY9q49Mj1JOsM9zGL
See The Way;";";"The Chainsmokers; Sabrina Claudio";";";6VWz99969QmNc2gWo21ktl
P.S. I Hope You're Happy;";";"The Chainsmokers; blink-182";";";5GemR0Lr9CEUJVH14mAsDO
Takeaway;";";"The Chainsmokers; ILLENIUM; Lennon Stella";";";3g0mEQx3NTanacLseoP0Gw
Call You Mine;";";"The Chainsmokers; Bebe Rexha";";";2oejEp50ZzPuQTQ6v54Evp
Do You Mean;";";"The Chainsmokers; Ty Dolla $ign; bülow";";";5vDCp6yZAikAoJ6NOEEFdp
Who Do You Love;";";"The Chainsmokers; 5 Seconds of Summer";";";2fVHrSxsQbJUuj9MW9zG1e
This Feeling;";";"The Chainsmokers; Kelsea Ballerini";";";4NBTZtAt1F13VvlSKe6KTl
Hope;";";"The Chainsmokers; Winona Oak";";";4BiiOzZCrXEzHRLYcYFiD5
Somebody;";";"The Chainsmokers; Drew Love";";";0fTiDOXRNEN0lUeYGoSHml
Side Effects;";";"The Chainsmokers; Emily Warren";";";0bGLvHd0ApdT4t0shCfpzG
Siren;";";"The Chainsmokers; Aazar";";";3K01yfjGY0NslZrXkWVAtK
Save Yourself;";";"The Chainsmokers; NGHTMRE";";";27i7Afdxq40V7qCqHnRTt6
Don't Say;";";"The Chainsmokers; Emily Warren";";";1pJQAHpD51J7GYaFrrFO9S
Something Just Like This;";";"The Chainsmokers; Coldplay";";";6RUKPb4LETWmmr3iAEQktW
My Type;";";"The Chainsmokers; Emily Warren";";";6V9kwssTrwkKT72imgowj9
It Won't Kill Ya;";";"The Chainsmokers; Louane";";";5xhJmd0I15jFcEdqxfCzKk
Wake Up Alone;";";"The Chainsmokers; Jhené Aiko";";";0dj1CtyRxZ4bnIT4Q20jNT
Last Day Alive;";";"The Chainsmokers; Florida Georgia Line";";";6GeD5g9vZTz25Egf8kxoIY
fault in the stars;";";"Powfu; The Chainsmokers";";";585DJiJ7LPSNBSUEE4TxNo
Jungle;";";"Alok; The Chainsmokers; Mae Stephens";";";0OvO2X2Q3i98dc5RcgEN3x
My Bad;";";"The Chainsmokers; Shenseea";";";0YQ0N57Whq3vgF7bqUNDHs
Celular;";";"Nicky Jam; Maluma; The Chainsmokers";";";0LUG9jzDNXcIdIWeSx9g2C
See You Again;";";"The Chainsmokers; ILLENIUM; Carlie Hanson";";";1wYTR3Hg5rBQcdfxGEdsx0
Self Destruction Mode;";";"The Chainsmokers; bludnymph";";";05e1CoIPmXLy6aPBotZlTZ
Up & Down;";";"The Chainsmokers; 347aidan";";";2R7xKsStJ9hNeZKoD9W5Nv
Make Me Feel;";";"The Chainsmokers; Cheyenne Giles";";";2i6FWcstV4Ct72L4ORnfwZ
Wish on an Eyelash, Pt. 2;";";"Mallrat; The Chainsmokers";";";10yYDp1Lnac8zEIYiCk1sp
Why Can't You Wait - 3LAU Remix;";";"The Chainsmokers; Bob Moses; 3LAU";";";6KXmKsgyW8EtRHlMk1ehKi
iPad - Frank Walker Remix;";";"The Chainsmokers; Frank Walker";";";7iq8PFNFGvsBgAD4Mcx737
iPad - Codeko Remix;";";"The Chainsmokers; Codeko";";";5iBCglZYwQ2ChJihhhUNjj
iPad - Karim Naas Remix;";";"The Chainsmokers; Karim Naas";";";3tRvN7NMVzNJv75T0xSB4v
High - Don Diablo Remix;";";"The Chainsmokers; Don Diablo";";";3aRgEzOGGGKa3XPxt9SjF8
High - Crankdat Remix;";";"The Chainsmokers; Crankdat";";";12xP1mvjsvxpBCaHIUm0qP
High - Leondis Remix;";";"The Chainsmokers; Leondis";";";1rBqcBbtMugXyuwexGNyPp
High - BADDIES ONLY Remix;";";"The Chainsmokers; BADDIES ONLY";";";76dI5yWSYniFgrUHbKJch5
High - STAR SEED Remix;";";"The Chainsmokers; STAR SEED";";";3aIApGttWTmpfuubGiaiv2
High - Don Diablo Remix;";";"The Chainsmokers; Don Diablo";";";6c2NgGHj1PxDhpkbx4d5nO
Family - Frank Walker Remix;";";"The Chainsmokers; Kygo; Frank Walker";";";6YnkswUQX2GXOhywMsBDqp
Family - Dirty Audio Remix;";";"The Chainsmokers; Kygo; Dirty Audio";";";7CqkRU4p7zTfqihXvhdbp6
Push My Luck - TWINSICK Remix;";";"The Chainsmokers; TWINSICK";";";3ZZsXOWpbJsWUWRF4ASfdf
Push My Luck - Famba Remix;";";"The Chainsmokers; Famba";";";1ywuaylLSmjHXsZOr0CY9U
Push My Luck - Ares Carter Remix;";";"The Chainsmokers; Ares Carter";";";5hxaAP30zqOqw5tbnNkZc2
Takeaway (feat. Lennon Stella) - Andrew Rayel Remix;";";"The Chainsmokers; ILLENIUM; Lennon Stella; Andrew Rayel";";";16QhpULFOW9fE2yvXsJV6A
Takeaway (feat. Lennon Stella) - Sondr Remix;";";"The Chainsmokers; ILLENIUM; Lennon Stella; Sondr";";";3DVc4VCjFaBAZF9OFquQqV
Takeaway (feat. Lennon Stella) - Ship Wrek Remix;";";"The Chainsmokers; ILLENIUM; Lennon Stella; Ship Wrek";";";13nC6hGXl0rH8YQ5TMShNF
Takeaway (feat. Lennon Stella) - Pilton Remix;";";"The Chainsmokers; ILLENIUM; Lennon Stella; pilton";";";4xkm03zMAQXHc0QHl0V2Rm
Takeaway (feat. Lennon Stella) - Owen Norton Remix;";";"The Chainsmokers; ILLENIUM; Lennon Stella; Owen Norton";";";76EI5put5PkU2FD2rJKegT
Takeaway (feat. Lennon Stella) - DCB Remix;";";"The Chainsmokers; ILLENIUM; Lennon Stella; DCB";";";3bhuHxmAB7VWWlvbYFJd13
Call You Mine (feat. Bebe Rexha) - Lookas Remix;";";"The Chainsmokers; Bebe Rexha; Lookas";";";33ei0jpQYwV4doA4MQXcnB
Call You Mine (feat. Bebe Rexha) - Keanu Silva Remix;";";"The Chainsmokers; Bebe Rexha; Keanu Silva";";";75FpbthrwQmzHlBJLuGdC7
Call You Mine (feat. Bebe Rexha) - Asketa & Natan Chaim Remix;";";"The Chainsmokers; Bebe Rexha; Asketa & Natan Chaim";";";5EdYlCWou17k0N1PADLKfO
Call You Mine (feat. Bebe Rexha) - Parker Remix;";";"The Chainsmokers; Bebe Rexha; Parker";";";1IvDakWyjJk7qTQxSCVCtW
Call You Mine (feat. Bebe Rexha) - Lick Remix;";";"The Chainsmokers; Bebe Rexha; LICK";";";7bONfRheNAUCgcOPPVsMox
Call You Mine (feat. Bebe Rexha) - Sam Berson Remix;";";"The Chainsmokers; Bebe Rexha; Sam Berson";";";1i3MU0tvJvJG18guemO23N
Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix;";";"The Chainsmokers; Ty Dolla $ign; bülow; Myon";";";4sqABRRGU7CzcHXCyxUzFw
Do You Mean (feat. Ty Dolla $ign & bülow) - Squalzz Remix;";";"The Chainsmokers; Ty Dolla $ign; bülow; Squalzz";";";78x0HSRvEkUq5nh4ErBByW
Do You Mean (feat. Ty Dolla $ign & bülow) - GRYNN Remix;";";"The Chainsmokers; Ty Dolla $ign; bülow; GRYNN";";";7tduKd9COe3aOtWgPYZ87s
Kills You Slowly - Sick Individuals Remix;";";"The Chainsmokers; Sick Individuals";";";2n57zaTroF1YHUtPAylcNi
Kills You Slowly - MOTi Remix;";";"The Chainsmokers; MOTi";";";64KOyvShvxxrsBQ0DlZvap
Kills You Slowly - Enschway Remix;";";"The Chainsmokers; Enschway";";";6PP4lOeigJ3BtcVZlFC2Me
Kills You Slowly - Pilton Remix;";";"The Chainsmokers; pilton";";";28fOqU1qMan1RVU2P1qeVc
Who Do You Love - R3HAB Remix;";";"The Chainsmokers; 5 Seconds of Summer; R3HAB";";";5QkVPG2Hf3MmAarireF6lh
Hope (feat. Winona Oak) - Nolan van Lith Remix;";";"The Chainsmokers; Winona Oak; Nolan van Lith";";";6Q4PHzZuSIKKcYL0eNdlE7
Hope (feat. Winona Oak) - Parker Remix;";";"The Chainsmokers; Winona Oak; Parker";";";5xZjHkJ5TuHNMJeraaOaJC
Beach House - Ashworth Remix;";";"The Chainsmokers; Ashworth";";";5tjpOTsbVVbqWRQuymGnuy
Save Yourself - NGHTMRE VIP REMIX;";";"The Chainsmokers; NGHTMRE";";";0xCdQ9jYFDENkE2ck73CAc
This Feeling (feat. Kelsea Ballerini) - Afrojack & Disto Remix;";";"The Chainsmokers; Kelsea Ballerini; AFROJACK; DISTO";";";1zZ8DfrLf4fQgARxIKOs20
This Feeling (feat. Kelsea Ballerini) - Tom Staar Remix;";";"The Chainsmokers; Kelsea Ballerini; Tom Staar";";";14NutpUNAYWbWFS7zUHCxk
This Feeling (feat. Kelsea Ballerini) - Young Bombs Remix;";";"The Chainsmokers; Kelsea Ballerini; Young Bombs";";";54eOmDg8gQNwl0rtr2l3Wo
This Feeling (feat. Kelsea Ballerini) - Tim Gunter Remix;";";"The Chainsmokers; Kelsea Ballerini; Tim Gunter";";";35zWpeXJ71mprm8V9GOHpV
Side Effects - Fedde Le Grand Remix;";";"The Chainsmokers; Emily Warren; Fedde Le Grand";";";7FDaS1k08rwMoAThmzUkOZ
