Nome da Música;Artistas;ID da Música
Whenever, Wherever - Sahara Mix;";";"Shakira; Tamer Zeitoun; Hani Kamal";";";4IXwdtnrNq5fPQRqAuJwam
Whenever, Wherever - Pepsi Super Bowl LIV Halftime Show Remix;";";"Shakira; Alexander Castillo";";";59QI3gSnv576kHyV4Jqt36
Perro Fiel/El Perdón Medley (feat. Nicky Jam) - El Dorado World Tour Live;";";"Shakira; Nicky Jam";";";6w007TZFxbvuuJKHvsnEOq
Chantaje (feat. Maluma) - El Dorado World Tour Live;";";"Shakira; Maluma";";";00WhZxJjmFz42OqzGnkoBD
La Tortura (feat. Alejandro Sanz) - El Dorado World Tour Live;";";"Shakira; Alejandro Sanz";";";2yezLHbV731G2XD0T5SdH4
La Bicicleta - El Dorado World Tour Live;";";"Shakira; Carlos Vives";";";1V9sgqbGBjcgi9gzQBR2b9
Chantaje (feat. Maluma);";";"Shakira; Maluma";";";6mICuAdrwEjh6Y6lroV2Kg
Perro Fiel (feat. Nicky Jam);";";"Shakira; Nicky Jam";";";70lnL3QaSOIIyMa2X9aVRL
Trap (feat. Maluma);";";"Shakira; Maluma";";";7GncL3nyKUjsEm8Z5gvTpW
Comme moi (feat. Shakira);";";"Black M; Shakira";";";2RHpEALdmp9dnPuEm7SLKB
La Bicicleta;";";"Carlos Vives; Shakira";";";0sXvAOmXgjR2QUqLK1MltU
Deja vu;";";"Prince Royce; Shakira";";";5clmffOxeckeJ2e3GMy6UZ
What We Said (feat. MAGIC!) - Comme moi English Version;";";"Shakira; MAGIC!";";";0kM7Geaz7x7r17CPONjpOU
Cut Me Deep (feat. MAGIC!);";";"Shakira; MAGIC!";";";3az4yF4Rq9uYXYH3FPDV08
Medicine (feat. Blake Shelton);";";"Shakira; Blake Shelton";";";7vvqns9A9v9CuC8MlUDPnC
La La La (Brasil 2014) (feat. Carlinhos Brown);";";"Shakira; Carlinhos Brown";";";6i2kn3iS5WKzsaYBdeHLIQ
Can't Remember to Forget You (feat. Rihanna);";";"Shakira; Rihanna";";";7o1Pm9jpH0wFpN5g793Lnq
Loca (feat. El Cata);";";"Shakira; El Cata";";";42k1KeBehAd83lrGt1okiC
Gordita (feat. Residente Calle 13);";";"Shakira; Calle 13";";";6fufW0yhOYcNHvAaUwgpS1
Rabiosa (feat. El Cata);";";"Shakira; El Cata";";";19t0Z7qsoV6A1CGJVYRnjm
Loca (feat. Dizzee Rascal);";";"Shakira; Dizzee Rascal";";";6YMPu36VGIknb8Ey1ohW3j
Rabiosa (feat. Pitbull);";";"Shakira; Pitbull";";";2Xh7dyCHCErCv3PmdVEGw4
Loca (feat. Dizzee Rascal) - Freemasons Radio Edit;";";"Shakira; Dizzee Rascal; Freemasons";";";2Sk7RnSVAQGcTovlJQ5FD1
Spy (feat. Wyclef Jean);";";"Shakira; Wyclef Jean";";";5c8vdQdRggwDspd3MNgjZX
Give It Up To Me (feat. Lil Wayne);";";"Shakira; Lil Wayne";";";5lR4YDKdhJUkGUYMrMRx43
Did It Again (feat. Kid Cudi);";";"Shakira; Kid Cudi";";";6AoGe1Zp6WNpPTvNC6Ehca
Illegal (feat. Carlos Santana);";";"Shakira; Carlos Santana";";";4O1xKPHOH7iXlzMNUDuxHS
Hips Don't Lie (feat. Wyclef Jean);";";"Shakira; Wyclef Jean";";";3ZFTkvIE7kyPt6Nu3PEa7V
