Nome da Música;Artistas;ID da Música
Aye (feat. Travis Scott);";";"Lil Uzi Vert; Travis Scott";";";2Hc1LaV6bzFil3dE71eORA
Endless Fashion (feat. Nicki Minaj);";";"Lil Uzi Vert; Nicki Minaj";";";41bmnQZoDMQdDh5zyomtW7
Fire Alarm (feat. Snow Strippers);";";"Lil Uzi Vert; Snow Strippers";";";02Mqx9HzVRyfdCUpPNR6N3
Werewolf (feat. Bring Me The Horizon);";";"Lil Uzi Vert; Bring Me The Horizon";";";3ySqZ8yGoh4Emi9HiPCCdP
Patience (feat. Don Toliver);";";"Lil Uzi Vert; Don Toliver";";";05grSYrVwYw58YMOdJceyz
The End (feat. BABYMETAL);";";"Lil Uzi Vert; BABYMETAL";";";07TSrx1BDK6twM9avkYzbe
Tic Tac;";";"Future; Lil Uzi Vert";";";0anUgBvnA4u5LsHUeLRprc
My Legacy;";";"Future; Lil Uzi Vert";";";4V9K7DLPZNhCH77wLsAiNF
Heart In Pieces;";";"Future; Lil Uzi Vert";";";669gYFBhezfYPXQP1hBMOX
Because of You;";";"Future; Lil Uzi Vert";";";6vbe3GmRG30x2nraEvHudq
Bust a Move;";";"Future; Lil Uzi Vert";";";2z0LyXYmPgos95olIAQIO3
Baby Sasuke;";";"Future; Lil Uzi Vert";";";4Y4Xmm8OLUJSdR9OkaxV97
Stripes Like Burberry;";";"Future; Lil Uzi Vert";";";68ra53eElfqZM8G9fuOFSj
Marni On Me;";";"Future; Lil Uzi Vert";";";5FmUNIsqr4gC4lwJtea8tX
Sleeping On The Floor;";";"Future; Lil Uzi Vert";";";1T40GpRFJiUIulCqLpAe4v
Real Baby Pluto;";";"Future; Lil Uzi Vert";";";2B6CpkK0Rz67UzwDTW2Jt7
Drankin N Smokin;";";"Future; Lil Uzi Vert";";";2ny1lTxfuQls8r5yX4Ad3g
Million Dollar Play;";";"Future; Lil Uzi Vert";";";3kAyhdS74oZn8nOqifDEf2
Plastic;";";"Future; Lil Uzi Vert";";";6LnOiHOWTAGJ5vAN6wBkqc
That’s It;";";"Future; Lil Uzi Vert";";";5LT018mJrqHdNwdltZ1hAM
Bought A Bad Bitch;";";"Future; Lil Uzi Vert";";";0NfbJvgf9mmdnoyzxNf46H
She Never Been To Pluto;";";"Future; Lil Uzi Vert";";";50lt8PNUgIYnIrr3BPp2Cv
Off Dat;";";"Future; Lil Uzi Vert";";";5MxBxefjpl4hmbxgdfse8x
I Don’t Wanna Break Up;";";"Future; Lil Uzi Vert";";";1yh1VrgbKyL493x9saxxqQ
Bankroll;";";"Future; Lil Uzi Vert";";";2LyYvjkKkchY8JXKu6m5Ri
Moment of Clarity;";";"Future; Lil Uzi Vert";";";7y8Xlx3c6xpyN0DqYGb8FG
Patek;";";"Future; Lil Uzi Vert";";";3f9RZbFJrmttvXYwiwqDlb
Over Your Head;";";"Future; Lil Uzi Vert";";";7JsuXl9Odf3V38ksu4FWDZ
Stripes Like Burberry;";";"Future; Lil Uzi Vert";";";6lt8iodSkYWEV0ifKCSlfg
Marni On Me;";";"Future; Lil Uzi Vert";";";6NaVCCFGylOLZAgk5eTTid
Sleeping On The Floor;";";"Future; Lil Uzi Vert";";";0DUHmrwC8ZviGGC2o2JBy1
Real Baby Pluto;";";"Future; Lil Uzi Vert";";";1rP5gAqMlm8d6UnfseuzSm
Drankin N Smokin;";";"Future; Lil Uzi Vert";";";0k7wmahjkn389wAZdz19Cv
Million Dollar Play;";";"Future; Lil Uzi Vert";";";7liO3TEHfUqLnIlN54CW1D
Plastic;";";"Future; Lil Uzi Vert";";";6GK5du9ndZ7ZwMBrTRTGMH
That’s It;";";"Future; Lil Uzi Vert";";";5n6gBhdEjCuj3obgCoTEFD
Bought A Bad Bitch;";";"Future; Lil Uzi Vert";";";5syD6f38Jhckk5g9DgoCta
She Never Been To Pluto;";";"Future; Lil Uzi Vert";";";7yOoJXW6wkpzlJpfjDKhIV
Off Dat;";";"Future; Lil Uzi Vert";";";5qk0TivMEVkujTu7xJLKu7
I Don’t Wanna Break Up;";";"Future; Lil Uzi Vert";";";7JwmlNz8ic9ATnLn7DyAKx
Bankroll;";";"Future; Lil Uzi Vert";";";3h1LpNOGh1NgKVQPetS2Ed
Moment of Clarity;";";"Future; Lil Uzi Vert";";";5iHaOaMTQA3f24kD4oTR2x
Bean (Kobe) [feat. Chief Keef];";";"Lil Uzi Vert; Chief Keef";";";0IpnZchq8ek2A6pGEP2Qb1
Yessirskiii;";";"Lil Uzi Vert; 21 Savage";";";59JWp4PjZ9TRM8cmtaDYB1
Wassup (feat. Future);";";"Lil Uzi Vert; Future";";";19Ec2gbNtQTE44IizcPjtD
Strawberry Peels (feat. Young Thug & Gunna);";";"Lil Uzi Vert; Gunna; Young Thug";";";4lAQfuREAHG8IC0PiiigBt
No Auto (feat. Lil Durk);";";"Lil Uzi Vert; Lil Durk";";";5erLs80hB2TbFWgSAbVQpe
Money Spread (feat. Young Nudy);";";"Lil Uzi Vert; Young Nudy";";";5tBdxqz8gauIO8Hh8qwo0H
Got The Guap (feat. Young Thug);";";"Lil Uzi Vert; Young Thug";";";1HF6P40Z7nfExGaB1Gk99v
Leaders (feat. NAV);";";"Lil Uzi Vert; NAV";";";4D7NrSeqkTarBrJ80b2sBc
Celebration Station;";";"Lil Uzi Vert; WanMor";";";0a4kXlqLISIf5PSiyp0Zmp
Bigger Than Life;";";"Lil Uzi Vert; WanMor";";";4WQk1ivjM6rphaG8ZDc962
Prices;";";"Lil Uzi Vert; WanMor";";";1Gz96Ab9xAEcaUTwaFx0ON
Urgency (feat. Syd);";";"Lil Uzi Vert; WanMor; Syd";";";1wqD0VFqv9N8bmI2olRhJt
Celebration Station;";";"Lil Uzi Vert; WanMor";";";25B5fGr9K0VdZJiRFsnMO4
