Nome da Música;Artistas;ID da Música
Lie;";";"Halsey; Quavo";";";0zgDk3wORDA0rVBNCxl9kn
Strangers;";";"Halsey; Lauren Jauregui";";";6HxYigYaNwJfAfnl2faSE5
Hopeless;";";"Halsey; Cashmere Cat";";";5OWjvxuV7WhcZYYHA9AABm
Alone;";";"Halsey; Big Sean; Stefflon Don";";";6eNzmyyUkKTkvRbdWLZaiv
Dominic's Interlude;";";"Halsey; Dominic Fike";";";6CkLsvxAgLkhc6R5pqdMHu
Alanis' Interlude;";";"Halsey; Alanis Morissette";";";7aRNvbY4VdkO7lJwlpIPkI
SUGA's Interlude;";";"Halsey; SUGA; BTS";";";7at9s1qowhUrFaE3qsr4WY
Be Kind;";";"Marshmello; Halsey";";";0IAd3wUpWywdem1Fd96cOo
Without Me;";";"Halsey; Juice WRLD";";";7MhNCT34oaLIxwAsZlZd67
Without Me - ILLENIUM Remix;";";"Halsey; ILLENIUM";";";2031g1Fr1ZxIFSjonvuM1S
Lie;";";"Halsey; Quavo";";";3BRO4QR9ZDj9Ae3VtbjeUr
Strangers;";";"Halsey; Lauren Jauregui";";";11EDhDAVDtGPoSar6ootYA
Hopeless;";";"Halsey; Cashmere Cat";";";0FV5UJ3aGray3oeNBpJ8oc
Lilith (feat. SUGA of BTS) (Diablo IV Anthem);";";"Halsey; SUGA";";";3l6LBCOL9nPsSY29TUY2VE
So Good - Jax Jones Remix;";";"Halsey; Jax Jones";";";5K2wtWyngZwbkrvqHc1YM8
Stay With Me (with Justin Timberlake, Halsey, & Pharrell);";";"Calvin Harris; Justin Timberlake; Halsey; Pharrell Williams";";";5lfWrciYtohtIMVDVZd0Rf
I am not a woman, I'm a god - Gazelle Twin Remix;";";"Halsey; Gazelle Twin";";";2H4pWkb7uKGlwJluAvdHGL
I am not a woman, I'm a god - On-U Sound Remix;";";"Halsey; Adrian Sherwood";";";0n7ChmCiP40A8qLqCu2z6K
I am not a woman, I'm a god - Underworld's Drift Mix;";";"Halsey; Underworld";";";5GqR18nLZJJBkwKr9TwPGN
I am not a woman, I'm a god - Hot Chip Remix;";";"Halsey; Hot Chip";";";6N9e2i99cXGGujgELtxotL
Alanis' Interlude;";";"Halsey; Alanis Morissette";";";1h92MLItNzW4uGtu7UbKPo
Strangers;";";"Halsey; Lauren Jauregui";";";7zMzpWZxvHbnUSGZWMh2v0
Be Kind (with Halsey) [Stripped];";";"Marshmello; Halsey";";";2CAb0iGKrcIpzPvGOjJere
Be Kind - Joy Club Remix;";";"Marshmello; Halsey; Joy Club";";";1U40uAWd0EqwkfcpNJmXbY
Be Kind (with Halsey) [Jacques Lu Cont Remix];";";"Marshmello; Halsey; Jacques Lu Cont";";";3YUIEcoP9xgihSMG9H2BKA
Be Kind (with Halsey) [Surf Mesa Remix];";";"Marshmello; Halsey; Surf Mesa";";";3QNG9RhD93ypeMp3DUmkaO
Be Kind (with Halsey);";";"Marshmello; Halsey";";";3Z8FwOEN59mRMxDCtb8N0A
You should be sad - Mike Mago Remix;";";"Halsey; Mike Mago";";";2Qy3Tw4pvLY0QGoREWW7Ij
You should be sad - Tiësto Remix;";";"Halsey; Tiësto";";";030m7PvxrSMog3Y8nYCmp0
You should be sad - Tiësto Remix;";";"Halsey; Tiësto";";";4RpB1YWVr3srDU7Ipfp6d4
SUGA's Interlude;";";"Halsey; SUGA; BTS";";";5a0nHa7F4S9hb0Zi0zLS8w
Graveyard - Axwell Remix;";";"Halsey; Axwell";";";3Hah1es0TvdRG7HWNx5e3E
11 Minutes (with Halsey feat. Travis Barker);";";"YUNGBLUD; Halsey; Travis Barker";";";4mGdjNMo0RonTlOEb7cYg4
Without Me (with Juice WRLD);";";"Halsey; Juice WRLD";";";6Zc5f20q7sOe1IC1c1jQvZ
Without Me - ILLENIUM Remix;";";"Halsey; ILLENIUM";";";4bw3ZyWA1ui0Adu285NWDl
Eastside (with Halsey & Khalid) - Acoustic;";";"benny blanco; Halsey; Khalid";";";5iQ0Va8Dt5Yky4TXuqO5TF
Eastside (with Halsey & Khalid);";";"benny blanco; Halsey; Khalid";";";0d2iYfpKoM0QCKvcLCkBao
Alone - Clean Bandit MFF Remix;";";"Halsey; Big Sean; Stefflon Don; Clean Bandit";";";483v27PMHWBtPFyXQ3rElQ
Alone - CID Remix;";";"Halsey; Big Sean; Stefflon Don; CID";";";2GoLbyGzBYqDBq65hWs5ml
Alone (Calvin Harris Remix) (Feat. Stefflon Don);";";"Halsey; Stefflon Don; Calvin Harris";";";5K09638EBQjVMrZYXA89aC
Alone (Feat. Big Sean & Stefflon Don);";";"Halsey; Big Sean; Stefflon Don";";";3tbNT2X5tfMIVeUflYbZUZ
Bad At Love - Dillon Francis Remix;";";"Halsey; Dillon Francis";";";2iqIPpMrW9DCcs6XmxNFsY
Bad At Love - Hook N Sling Remix;";";"Halsey; Hook N Sling";";";2Q1EYb4gHtWNiwmRH11uMa
Bad At Love - Klangkarussell Remix;";";"Halsey; Klangkarussell";";";7fS8WIFkAWuKR00axijjJ0
Bad At Love - Autograf Remix;";";"Halsey; Autograf";";";2xOZvMTWvNzstPjy6otHdM
Bad At Love - Generik Remix;";";"Halsey; Generik";";";448rTSs1CqntJgatNFDm5q
Now Or Never - R3hab Remix;";";"Halsey; R3HAB";";";34mowgpYk8cnLLiIvEzWBm
Closer - R3hab Remix;";";"The Chainsmokers; Halsey; R3HAB";";";76pD98ghY1Hl05aDXzuFmq
Closer - Shaun Frank Remix;";";"The Chainsmokers; Halsey; Shaun Frank";";";7e8TWUFkE0wSF78cLJEgwe
Closer - T-Mass Remix;";";"The Chainsmokers; Halsey; T-Mass";";";33ecyF2OHCK4HFUSp1hItE
Closer - Wuki Remix;";";"The Chainsmokers; Halsey; Wuki";";";2PG9yLaY0zR2oWHPMl4tea
Closer - ARMNHMR Remix;";";"The Chainsmokers; Halsey; ARMNHMR";";";5MfstOgBJxNikoR2z8eyFX
Closer - Robotaki Remix;";";"The Chainsmokers; Halsey; Robotaki";";";14FxT9UrYFQup38Ub3CBDu
Closer;";";"The Chainsmokers; Halsey";";";7BKLCZ1jbUBVqRi2FVlTVw
Tokyo Narita - Freestyle;";";"Halsey; Lido";";";0W182mlOojwvO1HoXPkHXY
Colors - Audien Remix;";";"Halsey; Audien";";";3WtCu35qpzGCLIGa8pczdu
Colors - Sam Feldt Remix;";";"Halsey; Sam Feldt";";";2dz44i35sJ2lmbh4RmBT6h
Colors - Blonde Remix;";";"Halsey; Blonde";";";2bOvKQycBqgOVvgLVpsAFv
Colors - Joel Fletcher & Nathan Thomson Remix;";";"Halsey; Joel Fletcher; Nathan Thomson";";";1qqIxYN7tiAk7NNpFSCEER
