Nome da Música;Artistas;ID da Música
Nómina;";";"Maluma; Jowell & Randy";";";2DCspMAztBoGnNpN5DdSBM
Según Quién;";";"Maluma; Carin Leon";";";4bw8mcDUSRWfQo63ZTYRnU
Luna Llena;";";"Maluma; Ryan Castro";";";5Dw6eIwoCbOhZF8vw7WChM
Trofeo;";";"Maluma; Yandel";";";4RtEiwxATP4Vko76xcFmf6
Parcera;";";"Gordo; Maluma";";";2LhSemXcyBYSEVa4lJ8TkF
Ojitos Chiquiticos;";";"Maluma; Don Omar";";";3A5g0zwioIUK0MpzpGJ3zQ
Gafas Negras;";";"Maluma; J Balvin";";";38m7600PiALyT9FvH1lYun
Mama Tetema (feat. Rayvanny);";";"Maluma; Rayvanny";";";4cLrwYoQrgAvUjxi3Zut4d
La Fórmula;";";"Maluma; Marc Anthony";";";7oGpwtUeck1XjVevuNWmFL
Diablo, Qué Chimba;";";"Maluma; Anuel AA";";";0fyiRJhd1EAjjXhk0ZrUJJ
Sexo Sin Titulo (feat. Jay Wheeler & Lenny Tavárez);";";"Maluma; Jay Wheeler; Lenny Tavárez";";";60YdaKB0OFZRvVbibz7JoN
Nos Comemos Vivos;";";"Maluma; Chencho Corleone";";";759D77wEF0xoOT3UPC7sFf
Tsunami (feat. Arcangel & De La Ghetto);";";"Maluma; Arcángel; De La Ghetto";";";4FKKTYA33lGnJeqcycwlL8
Mojando Asientos (feat. Feid);";";"Maluma; Feid";";";78g4PDSbhhEucCR2IJidHE
Clito (feat. Lenny Tavárez, Dalex & Brray);";";"Maluma; Lenny Tavárez; Dalex; Brray";";";5p9p6Z7WfvbztQ7eQa3qr0
Sexo Sin Titulo (feat. Jay Wheeler & Lenny Tavárez);";";"Maluma; Jay Wheeler; Lenny Tavárez";";";3UsRbCl5S0DlToOD7JsWbn
Nos Comemos Vivos;";";"Maluma; Chencho Corleone";";";0bI5WRiDfU5BY38ufOJtGu
Tsunami (feat. Arcangel & De La Ghetto);";";"Maluma; Arcángel; De La Ghetto";";";0CS9Ypgubqau2INA8SFinq
Mojando Asientos (feat. Feid);";";"Maluma; Feid";";";6lV9cTvioGWqRXSgfjAUGL
Marry Me - Kat & Bastian Duet;";";"Jennifer Lopez; Maluma";";";7wCqBjOdJ9Gk0OtNVnRB0W
Pa Ti;";";"Jennifer Lopez; Maluma";";";4AuVISGGuyTc1XstdrJ8Xu
Marry Me - Ballad;";";"Jennifer Lopez; Maluma";";";70h2rOY9K2UbTzvGNun6XK
Love of My Life - ARKADI Remix;";";"Jennifer Lopez; Arkadi";";";64CMIXxvEeRJW53epEUkU7
On My Way (Marry Me) - TELYKast Remix;";";"Jennifer Lopez; TELYKAST";";";1LwzL4OFlh7qTQ9BXrNBUM
Tonika (feat. Ziggy Marley);";";"Maluma; Ziggy Marley";";";6s3SoB0n5VypXrk84IGiNH
Love (feat. Charly Black);";";"Maluma; Charly Black";";";7xwACJ2ebqFlvdcpC4RiB0
Bella-K (feat. Zion & Randy);";";"Maluma; Zion; Randy";";";2pNfUdUipHAODmv11pZtNk
Perdón (feat. Yandel);";";"Maluma; Yandel";";";4Pe8xNpIPm0Wx8M8QW5Nn7
Cuidau (feat. Yomo);";";"Maluma; Yomo";";";7nGpFKxGqKIUc3LLIp3EPD
Parce (feat. Justin Quiles);";";"Maluma; Lenny Tavárez; Justin Quiles";";";4RJz8NfIe09gpKMiRUWKhJ
Madrid (feat. Myke Towers);";";"Maluma; Myke Towers";";";19OXtYzrJyCrQvTbfukt4H
Mai Mai (feat. Ñengo Flow & Jory Boy);";";"Maluma; Ñengo Flow; Jory Boy";";";3Mje1Tsr45PnoS42Tsddo7
Vete Vete (feat. Ñejo & Dálmata);";";"Maluma; Ñejo; Dalmata";";";4cKVehDVyrOPny1bXr5wU6
Me Acuerdo de Ti (feat. Darell);";";"Maluma; Darell";";";70jFIrXsqhcLTlmT4vPpVf
No Se Me Quita (feat. Ricky Martin);";";"Maluma; Ricky Martin";";";1GBLO0NFODuL31A5fgw0uR
Dispuesto (feat. Ozuna);";";"Maluma; Ozuna";";";0L3DcFGrGtixx5MmxJbJNI
