Nome da Música;Artistas;ID da Música
Tempo;";";"Marshmello; Young Miko";";";3T5zhPkfR37B1aSnzBvu5N
Tusi;";";"Marshmello; LiL CaKe; Brray";";";3g6hAwPeS3qKa07XnZzb3h
El Merengue;";";"Marshmello; Manuel Turizo";";";5KbBVSj6AJZ5662fO8EYFh
Como Yo :(;";";"Marshmello; Tiago PZK";";";7FH64DotxbhbnAzhN3ztje
Alcohol;";";"Marshmello; Anuel AA";";";3xBvu2UF8431mbmwsSWkRq
Esta Vida;";";"Marshmello; Farruko";";";77fzMUPSuP4IjbKyxdg37U
Super High;";";"Marshmello; Polimá Westcoast";";";5IaEUlKfsmVeQlx50kpdDO
Say Woah!;";";"Marshmello; Nicky Jam";";";7KbPpR3s51mge16yAGLTGo
Dónde Están Que No Los Veo;";";"Marshmello; ChocQuibTown";";";5V1Sy6izW2cahODGdlXCse
Sou Musa do Verão;";";"Marshmello; Luísa Sonza";";";2cZ62VBKsdZ7u1kKKJdFOc
HARLEY QUINN;";";"Fuerza Regida; Marshmello";";";6sMPFkWOGqEGBqnHEZ2jfy
Jiggle It;";";"Marshmello; TroyBoi";";";0ckNlWYwtIlbl44kQefHuo
Back It Up;";";"Marshmello; DJ Sliink";";";4WrPZ198RawgV8uMVwkYWU
Bad Bitches (feat. Megan Thee Stallion);";";"Marshmello; NITTI; Megan Thee Stallion";";";2OYfxjLnQuPo7Co1WH0Z1S
Back In Time;";";"Marshmello; Carnage";";";23YTJTopRwkkeX6QGsEaKc
Hitta (feat. Juicy J);";";"Marshmello; Eptic; Juicy J";";";244AoGCbxOWUhaRzTR7Spz
House Party;";";"Marshmello; Subtronics";";";3LuKDSqL4z1BL8HjSwxh5b
Candy Kid;";";"Marshmello; SIPPY";";";6Q7mn0KjoCZGYeuWR8pAmZ
Pushin Stacks;";";"Marshmello; PEEKABOO";";";4cLFnU75cTHlBOMrUJcRHr
Put Yo Hands Up;";";"Marshmello; Slushii";";";4srEnH4a9pgerTW1qSGluW
Let's Get Down;";";"Marshmello; YULTRON";";";4PjUYYuloevuVVj3uq3tVk
Set Me Free;";";"Marshmello; Bellecour";";";58Xx6ZPFsi6bqkFFZe0GD0
Room to Fall;";";"Marshmello; Flux Pavilion; Elohim";";";4pCaBJPDbw1HFzwsQZlIgb
Angklung Life;";";"Marshmello; Wiwek";";";3tld41qK6W6xBMea9WIhLC
Earthquake;";";"Marshmello; TYNAN";";";2W9QUD9YJ4SERyzu25IwbU
Falling To Pieces;";";"Marshmello; Crankdat";";";6VEUzJzGo16QRnFvUpv4pQ
Rescue Me;";";"Marshmello; A Day To Remember";";";35rozLoS6QLE8HX8qswM3k
Keep It Mello (feat. Omar LinX);";";"Marshmello; Omar LinX";";";0Q3SC6kEhxYagDP3bFe5K9
Tusi;";";"Marshmello; LiL CaKe; Brray";";";7qbaWjavQxfiI4Bk8MWFSV
Super High;";";"Marshmello; Polimá Westcoast";";";5eMCSZFepquI1Omx8rVs6G
Sou Musa do Verão;";";"Marshmello; Luísa Sonza";";";43PhhCK5fAtChNH7V8PatN
Say Woah!;";";"Marshmello; Nicky Jam";";";7pfJHTcfX53gYU6LfLOv7h
Dónde Están Que No Los Veo;";";"Marshmello; ChocQuibTown";";";0UeC8II2Wti3cGxPNzIiDM
Alcohol;";";"Marshmello; Anuel AA";";";61Vhp4a4WXuoMw810k7MS0
Dreaming;";";"Marshmello; P!nk; Sting";";";4NUmZ5svM1Bbmaz5udqUeJ
Other Boys - San Pacho Remix;";";"Marshmello; Dove Cameron; San Pacho";";";2es4jB7f9Jg9LQOPCGdA1i
Other Boys - Guz Remix;";";"Marshmello; Dove Cameron; Guz";";";6MvrECzWBg415iQFVIqjyi
Other Boys - Chapter & Verse Remix;";";"Marshmello; Dove Cameron; Chapter & Verse";";";6EnigiRgHJbiElWQsx7dvl
Other Boys;";";"Marshmello; Dove Cameron";";";5WZlorRUxgryaweu7kqeHd
Tempo;";";"Marshmello; Young Miko";";";7icIDep1Jr3oJdgJSGsdnM
GBG (feat. Marshmello);";";"Sleepy Hallow; Marshmello";";";6gmwkJCHUJa6f9RP4UrjSk
Esta Vida - VINNE Remix;";";"Marshmello; Farruko; VINNE";";";3ClKsM5f06HfEpzNhmQeY0
Esta Vida - Jess Bays Remix;";";"Marshmello; Farruko; Jess Bays";";";3DJpjKvU8vccxudxq0RO6f
Como Yo :(;";";"Marshmello; Tiago PZK";";";01QPvRIYC5QG9E3khE6P9M
Solteiro Sou um Perigo;";";"Marshmello; Tropkillaz; Mc Delux";";";7vtMS8IxXTdklFhmOWpALf
Movimenta (feat. Mc Gw);";";"Marshmello; Tropkillaz; Mu540; Mc Gw";";";1w1Xc1eSUEysdF8kdBgQvI
Taka Taka;";";"Marshmello; Tropkillaz; Mc Rd";";";2KemuSGCpUHBljXavmA0FS
Vem K Me Dá;";";"Marshmello; Tropkillaz; TMJ";";";77ICMMdzlO8rH9h8ALwg5p
Bruxa;";";"Marshmello; Tropkillaz";";";2Rkxuip6Y0v8XF4UXPCLqx
Popola (feat. Mc Dricka);";";"Marshmello; Tropkillaz; Tokischa; Mc Dricka";";";41mbP4HHVq29rVatGp0S2t
Esta Vida - Deorro Remix;";";"Marshmello; Farruko; Deorro";";";2HRa9MR7Sqy3T6WbdpF3Rj
Solteiro Sou um Perigo;";";"Marshmello; Tropkillaz; Mc Delux";";";4faZxf6Jp2DRwlcb8wZBhx
El Merengue - ESSEL Remix;";";"Marshmello; Manuel Turizo; ESSEL";";";3x1vWU5mqFpa9FySJoYrAl
El Merengue - HUGEL Remix;";";"Marshmello; Manuel Turizo; HUGEL";";";3qMimm5bezPaKIISP9f7mu
Fell In Love;";";"Marshmello; Brent Faiyaz";";";1N8klHEbZ0bFOHnMVs8C9S
Esta Vida;";";"Marshmello; Farruko";";";5OSGdSxtulzlzdPdK2MQJC
Grown Man;";";"Marshmello; Polo G; Southside";";";5VKG8ary0JW6iKemhmznzS
El Merengue;";";"Marshmello; Manuel Turizo";";";51FvjPEGKq2zByeeEQ43V9
Old School;";";"Marshmello; Ray Volpe";";";6ctmKiHf2CcHQLwT7g4jpc
Party Jumpin';";";"Marshmello; Jamie Brown";";";2S5e00424Wsh4bVcvV8AKc
Bye Bye;";";"Marshmello; Juice WRLD";";";6XO8RlYuJCiI0v3IA48FeJ
Numb - Alok Remix;";";"Marshmello; Khalid; Alok";";";5t9NMj78CFoOeIm4cdsByf
Numb - KC Lights Remix;";";"Marshmello; Khalid; KC Lights";";";0WhqIb5O0UFLWZZdumxhpD
Numb - DJ YUKI Remix;";";"Marshmello; Khalid; DJ YUKI";";";1M2eYYojjNSeFbVPnh20zF
Numb;";";"Marshmello; Khalid";";";7cNTJzes3Sy3LaIUmCdXBt
Numb - Alok Remix;";";"Marshmello; Khalid; Alok";";";7nwEab6Y4LXbKUZDNofOag
Numb;";";"Marshmello; Khalid";";";2qPNyI0NS5e2ddq83s1J37
