Nome da Música;Artistas;ID da Música
Swish Swish;";";"Katy Perry; Nicki Minaj";";";3OtMnyUaiipcAT23A8liyi
Chained To The Rhythm;";";"Katy Perry; Skip Marley";";";7qvxFz3JodM0A7xEM7k3YD
Bon Appétit;";";"Katy Perry; Migos";";";4rHmKlFRiFzabiVO6e9w2e
Dark Horse;";";"Katy Perry; Juicy J";";";5jrdCoLpJSvHHorevXBATy
Dark Horse;";";"Katy Perry; Juicy J";";";4jbmgIyjGoXjY01XxatOx6
California Gurls;";";"Katy Perry; Snoop Dogg";";";6tS3XVuOyu10897O3ae7bi
E.T.;";";"Katy Perry; Kanye West";";";36ux3YuUsGTWPT8fXclS45
Last Friday Night (T.G.I.F.);";";"Katy Perry; Missy Elliott; Dr. Luke; Cirkut; Dream Machine";";";4Smx7N3TVs9McglUSCWEYn
Tommie Sunshine's Megasix Smash-Up;";";"Katy Perry; Tommie Sunshine";";";5Rilw7PyAua7lmQCYPiQKq
California Gurls;";";"Katy Perry; Snoop Dogg";";";3f7gYMirBEKuc57218BjOY
If We Ever Meet Again;";";"Timbaland; Katy Perry";";";0PRqWiyOFMHVee81mr1bp6
Starstrukk;";";"3OH!3; Katy Perry";";";1CuzzAbJ4q28V5JOLCzQVp
California Gurls - Passion Pit Main Mix;";";"Katy Perry; Snoop Dogg; Passion Pit";";";7BAuEd5WLrd4gHKyInRk4B
California Gurls - Armand Van Helden Remix;";";"Katy Perry; Snoop Dogg";";";38XaC5ruJI06vqa3uKeB0K
Where We Started;";";"Thomas Rhett; Katy Perry";";";7EBJeRTwxPT00K35jazm7W
When I'm Gone (with Katy Perry) [VIP Mix];";";"Alesso; Katy Perry";";";53y02rkTgMKgaJihn2Y2jE
When I'm Gone (with Katy Perry);";";"Alesso; Katy Perry";";";2FARqOyp84KT8emHG5TukP
When I’m Gone (with Katy Perry);";";"Alesso; Katy Perry";";";5902W4uHWzhtOff1UK7the
Cry About It Later (feat. Luísa Sonza & Bruno Martini);";";"Katy Perry; Luísa Sonza; Bruno Martini";";";43WYPxyEfIxlIjNlxQGYzc
Resilient (ft. Aitana) [Tiësto Remix];";";"Katy Perry; Tiësto; Aitana";";";4abn7Lc3illnEHFc9ki6x2
E.T.;";";"Katy Perry; Kanye West";";";34BOIMHbTojsTHbBuMaLfK
Dark Horse;";";"Katy Perry; Juicy J";";";6kYWEELtjf3eM0fI6zqfcp
California Gurls;";";"Katy Perry; Snoop Dogg";";";3S6NRRUXxMSWYm9Dnwv1Eh
Swish Swish;";";"Katy Perry; Nicki Minaj";";";0mlADdMSJvSnPhy43TRIrL
Smile - Tough Love Remix;";";"Katy Perry; Tough Love";";";0bLICvP5XRUN42O8E3YyEM
Smile - Marshall Jefferson Remix;";";"Katy Perry; Marshall Jefferson";";";4wYhYfmKLxt77TwxLx0FRI
Smile - M-22 Remix;";";"Katy Perry; M-22";";";1sh66NH4sPwQhbfZZkSx0k
Smile - Joel Corry Remix;";";"Katy Perry; Joel Corry";";";4HpgUlwIh3JbSW4r8C2SmP
Smile - Giorgio Moroder Remix;";";"Katy Perry; Giorgio Moroder";";";2yQRnVlNpRz5m2LnWqHfuu
Daisies - Oliver Heldens Remix;";";"Katy Perry; Oliver Heldens";";";04Ff953Oi4uwN6yttURuhk
Daisies - MK Remix;";";"Katy Perry; MK";";";6FEdC7kIM0adzi030XNqvU
Harleys In Hawaii - Win and Woo Remix;";";"Katy Perry; Win and Woo";";";0n6b1rFzDJlFmTG7hyncxh
Harleys In Hawaii - KANDY Remix;";";"Katy Perry; KANDY";";";5EECgBC0NjIaUd8ke9YYTo
Small Talk - White Panda Remix;";";"Katy Perry; White Panda";";";1qKKXno9L0FPCJfZcRzocE
Small Talk - Sofi Tukker Remix;";";"Katy Perry; Sofi Tukker";";";2vQQX3NOzl7UIE5ACjnyY4
Small Talk - Lost Kings Remix;";";"Katy Perry; Lost Kings";";";6dKxXef5Y4bxaAfIhz7AiA
Never Really Over - Wow & Flutter Remix;";";"Katy Perry; Wow & Flutter";";";6SLWPBasKQgpLZAnwsNzDP
Never Really Over - Syn Cole Remix;";";"Katy Perry; Syn Cole";";";6bfTktuowT5bIMe87Q5rmp
Never Really Over - R3HAB Remix;";";"Katy Perry; R3HAB";";";2OAylPUDDfwRGfe0lYqlCQ
Con Calma - Remix;";";"Daddy Yankee; Katy Perry; Snow";";";4au7FRcgZzChASRYu279xH
365 - Zedd Remix;";";"Zedd; Katy Perry";";";0ywzvARVqoxQOJpaswRe9E
365 - Jonas Aden Remix;";";"Zedd; Katy Perry; Jonas Aden";";";70gUpEnhuX4OxklDsYewHY
365 - Ellis Remix;";";"Zedd; Katy Perry; ellis";";";25hzDByizJNuGTRChXMkFj
365 - KUURO Remix;";";"Zedd; Katy Perry; KUURO";";";1yUSziR5DTtZgcxWcJLD2w
365;";";"Zedd; Katy Perry";";";2XWjPtKdi5sucFYtVav07d
Swish Swish - Blonde Remix;";";"Katy Perry; Blonde";";";7vd9Ya5TPTkplaxZNorlrH
Swish Swish - Valentino Khan Remix;";";"Katy Perry; Nicki Minaj; Valentino Khan";";";60jMCb9jnlhICNbD3wqmGR
This Is How We Do;";";"Katy Perry; Riff Raff";";";4ZxY5A1Bv27yu7RiT4RTOj
Birthday - Cash Cash Remix;";";"Katy Perry; Cash Cash";";";1Q9ekE7IMCI7oT9v6OuW2F
The One That Got Away;";";"Katy Perry; B.o.B";";";0YdcjSwXRXuGOkIW5sjJWE
The One That Got Away - R3hab Dubstrumental;";";"Katy Perry; R3HAB";";";6moUmRCW4cl8D5hMqJn5Sz
The One That Got Away - Mixin Marc & Tony Svejda Peak Hour Club Mix;";";"Katy Perry; Marc Stout; Tony Svejda";";";6KilRNlE659CfdRkdu1oUs
The One That Got Away - 7th Heaven Club Mix;";";"Katy Perry; 7th Heaven";";";6uxioUTbZMNQvy4mKnbkfC
The One That Got Away - 7th Heaven Dub Mix;";";"Katy Perry; 7th Heaven";";";4I8PQIEL7FCfoX6LYCqe5d
The One That Got Away - Tommie Sunshine & Disco Fries Club Mix;";";"Katy Perry; Tommie Sunshine; Disco Fries";";";6sBgnuCVYfDJ7XRCTBj4LI
The One That Got Away - Tommie Sunshine & Disco Fries Dub Mix;";";"Katy Perry; Tommie Sunshine; Disco Fries";";";3JvVDWQ4FlE8HlP9TQvr1Y
The One That Got Away - Plastic Plates Club Mix;";";"Katy Perry; Plastic Plates";";";5TdnEEC65GXLUKLCM4D5ub
The One That Got Away - Plastic Plates Dub Mix;";";"Katy Perry; Plastic Plates";";";3H73cKC1AjVUSK7IQ1FtL0
The One That Got Away - JRMX Club Mix;";";"Katy Perry; Joel Storry";";";2iWoy40tEJah9T5Bue6Ksi
The One That Got Away - Christian Strobe Club Mix;";";"Katy Perry; Christian Strobe";";";7N2QI1MP1149Tcwxq8Eos3
The One That Got Away - Christian Strobe Dubstrumental;";";"Katy Perry; Christian Strobe";";";0MLf0auG0sqKZECa8LaTdv
The One That Got Away - 7th Heaven Club Mix;";";"Katy Perry; 7th Heaven";";";27ZMnz8tBIpELrBgPi3jbs
The One That Got Away - Mixin Marc & Tony Svejda Peak Hour Club Mix;";";"Katy Perry; Marc Stout; Tony Svejda";";";0FeZkmtwycvJ9aeHXLidj7
The One That Got Away - Plastic Plates Club Mix;";";"Katy Perry; Plastic Plates";";";3RCAqOwQCpZ1qvKKTpVVwz
