Nome da Música;Artistas;ID da Música
Thousand Miles (feat. Brandi Carlile);";";"Miley Cyrus; Brandi Carlile";";";3DoSolxGSDoV7G7MtcIPiZ
Muddy Feet (feat. Sia);";";"Miley Cyrus; Sia";";";6QSR2OrZOICOXfFB5Wswt1
Mother's Daughter X Boys Don't Cry (feat. Anitta) - Live;";";"Miley Cyrus; Anitta";";";53y0mmxDWZ0oBIpBgDVI4T
Prisoner (feat. Dua Lipa);";";"Miley Cyrus; Dua Lipa";";";2Oycxb8QbPkpHTo8ZrmG0B
Night Crawling (feat. Billy Idol);";";"Miley Cyrus; Billy Idol";";";4U34WsyOvppOMnRfq7DuOy
Bad Karma (feat. Joan Jett);";";"Miley Cyrus; Joan Jett & the Blackhearts";";";47KegqqrzpKw0jdHFWqtNb
Edge of Midnight (Midnight Sky Remix) (feat. Stevie Nicks);";";"Miley Cyrus; Stevie Nicks";";";1Tip6R4swhC7E6hgILBjrE
D.R.E.A.M. (feat. Ghostface Killah);";";"Miley Cyrus; Ghostface Killah";";";5tykM1AFEOrm51CkDPOxPC
Cattitude (feat. RuPaul);";";"Miley Cyrus; RuPaul";";";7s4xQU7Tz9vyxD5a3golZc
Party Up The Street;";";"Miley Cyrus; Swae Lee; Mike WiLL Made-It";";";7CVKdxcywAgQHjVv8lzG9p
Rainbowland (feat. Dolly Parton);";";"Miley Cyrus; Dolly Parton";";";6fdVBAXMxv5vAABQCpOtI5
Slab of Butter (Scorpion) (feat. Sarah Barthel);";";"Miley Cyrus; Sarah Barthel";";";4TKLQK5O2SVYMsYCJoIMD4
Tangerine (feat. Big Sean);";";"Miley Cyrus; Big Sean";";";6NhnZpaiFgnaPXOvYaNEFJ
Tiger Dreams (feat. Ariel Pink);";";"Miley Cyrus; Ariel Pink";";";0YrsTLjPflDBxr4LAKLJyf
SMS (Bangerz) (feat. Britney Spears);";";"Miley Cyrus; Britney Spears";";";0mRWl4amZn1FtRx2cE5jf3
4x4 (feat. Nelly);";";"Miley Cyrus; Nelly";";";7pu0a2lDSnwQS0ERqAtCnS
My Darlin' (feat. Future);";";"Miley Cyrus; Future";";";7hJ1fEr1nf2e4qsE4bfmcc
Love Money Party (feat. Big Sean);";";"Miley Cyrus; Big Sean";";";1pzSeZfdQODtB9xmkH0Q91
FU (feat. French Montana);";";"Miley Cyrus; French Montana";";";6dDIOU6AqgLkrjFNPgvKY6
Hands in the Air (feat. Ludacris);";";"Miley Cyrus; Ludacris";";";2YlQCqBj6FJsrQmc8K2CGa
Before The Storm – duet with Jonas Brothers (Live);";";"Miley Cyrus; Jonas Brothers";";";2y2li8wh4OIpzadkmhKwhE
See You Again - Rock Mafia Remix;";";"Miley Cyrus; Rock Mafia";";";3pRURfm0THUY3G4YBOLtrC
Wrecking Ball;";";"Dolly Parton; Miley Cyrus";";";1Fl4vSE3PegDGtkNL7JXNl
Nothing Else Matters;";";"Miley Cyrus; WATT; Elton John; Yo-Yo Ma; Robert Trujillo; Chad Smith";";";2mC33mxgLJN3IT65MGN3B0
WITHOUT YOU (with Miley Cyrus);";";"The Kid LAROI; Miley Cyrus";";";1EHUQesfVKwbthtNcpBi9g
Prisoner (feat. Dua Lipa) - Jax Jones Remix;";";"Miley Cyrus; Dua Lipa; Jax Jones";";";6B7jm2IJsh3DYXO7RgwVnx
Edge of Midnight (Midnight Sky Remix) (feat. Stevie Nicks);";";"Miley Cyrus; Stevie Nicks";";";5l0nX3AhmmF717aKSs8qSH
Mother's Daughter - White Panda Remix;";";"Miley Cyrus; White Panda";";";66f50EqiRXuzmoiO0f5TZN
Mother's Daughter - R3HAB Remix;";";"Miley Cyrus; R3HAB";";";3innSnN0Nw7EmBTmPrBrg5
Mother's Daughter - Wuki Remix;";";"Miley Cyrus; Wuki";";";6i5IGZM6mmxaa3vXCR3g2b
Nothing Breaks Like a Heart - Don Diablo Remix;";";"Mark Ronson; Miley Cyrus; Don Diablo";";";5xBafmhrJzzMsd1dxErIbJ
Nothing Breaks Like a Heart - Martin Solveig Remix;";";"Mark Ronson; Miley Cyrus; Martin Solveig";";";3myCKLr7C1sgY0RXNdC7hA
Nothing Breaks Like a Heart - Acoustic Version;";";"Mark Ronson; Miley Cyrus";";";0K08V3QlZporxrJf8FIZ8M
Nothing Breaks Like a Heart - Dimitri from Paris Remix;";";"Mark Ronson; Miley Cyrus; Dimitri From Paris";";";3ujllSUhcPoWIPmce1RC2n
Nothing Breaks Like a Heart - Boston Bun Remix;";";"Mark Ronson; Miley Cyrus; Boston Bun";";";3kn0veEq8RJkvFQ9POTvJn
Happy Xmas (War Is Over) (feat. Sean Ono Lennon);";";"Miley Cyrus; Mark Ronson; Sean Ono Lennon";";";5KHzV8Gf3aweIMImliFAOs
Nothing Breaks Like a Heart (feat. Miley Cyrus);";";"Mark Ronson; Miley Cyrus";";";27rdGxbavYJeBphck5MZAF
Younger Now - R3HAB Remix;";";"Miley Cyrus; R3HAB";";";49dzrnfXfCML9f0JYiq5Hc
Younger Now - Niko The Kid Remix;";";"Miley Cyrus; Niko The Kid";";";1OryG6NjJlLc9GDkODPKG1
Younger Now - DJ Premier Remix;";";"Miley Cyrus; DJ Premier";";";2bCyXlEdDyuZVZm5hq0TeS
Younger Now - BURNS Remix;";";"Miley Cyrus; BURNS";";";57HfpY7iRXpAhAYArEWcWO
Younger Now - Fred Falke Remix;";";"Miley Cyrus; Fred Falke";";";2UnZ0dagQRNTYYRIL1qzem
Younger Now - Syn Cole Remix;";";"Miley Cyrus; Syn Cole";";";5u5p9CmXrFS8gl0eOoLl5R
Malibu - The Him Remix;";";"Miley Cyrus; The Him";";";6ef0SxXHkgSR0rhX3JW2x1
Malibu - Lost Frequencies Remix;";";"Miley Cyrus; Lost Frequencies";";";17xPkSSM4hPCtYHfe9eqTm
Malibu - Gigamesh Remix;";";"Miley Cyrus; Gigamesh";";";7yZ0aJrnoKUnMexAOO0fEy
Malibu - Tiësto Remix;";";"Miley Cyrus; Tiësto";";";1NvSQe0i4ApmQCnBI8Jwzq
Malibu - Dillon Francis Remix;";";"Miley Cyrus; Dillon Francis";";";4IMzr41eYvw4Lho2HcFP7g
Malibu - Alan Walker Remix;";";"Miley Cyrus; Alan Walker";";";0zRBTtWMnmBO4JMnlZfKHR
Adore You - Remix;";";"Miley Cyrus; Cedric Gervais";";";40qjDdULzkFRlivTqTggLH
Real and True (feat. Mr Hudson);";";"Future; Miley Cyrus; Mr Hudson";";";5TxsupFF2Vc70TQdLyyOE3
Fly on the Wall - Jason Nevins Radio Edit Remix;";";"Miley Cyrus; Jason Nevins";";";6amNzcHZAkQVuWEBVlBLFX
See You Again - Rock Mafia Remix;";";"Miley Cyrus; Rock Mafia";";";7uT9aQcUA2WK9vENm7YKMs
