Nome da Música;Artistas;ID da Música
Used (feat. Don Toliver);";";"SZA; Don Toliver";";";1TweDM3JC49LNeelLVg3yX
Ghost in the Machine;";";"SZA; Phoebe Bridgers";";";4h5x3XHLVYFJaItKuO2rhy
Open Arms (feat. Travis Scott);";";"SZA; Travis Scott";";";0xaFw2zDYf1rIJWl2dXiSF
Forgiveless;";";"SZA; Ol' Dirty Bastard";";";5IcP1PPnleZ2kuwKDyfNC5
Love Galore (feat. Travis Scott);";";"SZA; Travis Scott";";";7HhtNlYNI32WY6n0ISX0U1
Doves In The Wind (feat. Kendrick Lamar);";";"SZA; Kendrick Lamar";";";0JijvZALkvx7uonQdvXXpH
Wavy (Interlude) (feat. James Fauntleroy);";";"SZA; James Fauntleroy";";";0YPPnLR3TS4ZIAKCQOLZhK
Pretty Little Birds (feat. Isaiah Rashad);";";"SZA; Isaiah Rashad";";";4icqsSm2gIMEMUAcaReA3u
Sincerely Me - From The “Dear Evan Hansen” Original Motion Picture Soundtrack;";";"Colton Ryan; Ben Platt; Nik Dodani";";";7Fuj7RyGJYSJ7HgO5E2tJv
Requiem - From The “Dear Evan Hansen” Original Motion Picture Soundtrack;";";"Kaitlyn Dever; Danny Pino; Amy Adams";";";2hp0ZBtEDA2Wn3C1fvJSf9
If I Could Tell Her - From The “Dear Evan Hansen” Original Motion Picture Soundtrack;";";"Ben Platt; Kaitlyn Dever";";";7bKq8MLzpWlaO1RXPkEm95
You Will Be Found - From The “Dear Evan Hansen” Original Motion Picture Soundtrack;";";"Ben Platt; Amandla Stenberg; Liz Kate; DeMarius Copes; Isaac Powell; Hadiya Eshe’; Kaitlyn Dever; Dear Evan Hansen Choir";";";3AYMFpcQeHCjnTAb8XKeVu
Only Us - From The “Dear Evan Hansen” Original Motion Picture Soundtrack;";";"Kaitlyn Dever; Ben Platt";";";34IKm7af3AY1m36bnlNH5k
You Will Be Found (Sam Smith & Summer Walker Version) - From The “Dear Evan Hansen” Original Motion Picture Soundtrack;";";"Sam Smith; Summer Walker";";";6i14jVQ6cq2BxYWlYYgzyD
Only Us (Carrie Underwood & Dan + Shay Version) - From The “Dear Evan Hansen” Original Motion Picture Soundtrack;";";"Carrie Underwood; Dan + Shay";";";4SaukjSrlHLaSwZ5K6OHhe
All The Stars (with SZA);";";"Kendrick Lamar; SZA";";";3GCdLUSnKSMJhs4Tj6CV3s
X (with 2 Chainz & Saudi);";";"ScHoolboy Q; 2 Chainz; Saudi";";";4LmAnpjlhWTahvRkYR8xJa
The Ways (with Swae Lee);";";"Khalid; Swae Lee";";";5jyyPsIGM2yqkZN9R3TmvN
Opps (with Yugen Blakrok);";";"Vince Staples; Yugen Blakrok";";";7bUcBztfGqO7cSI2gMZeCI
Bloody Waters (with Anderson .Paak & James Blake);";";"Ab-Soul; Anderson .Paak; James Blake";";";4KXwFI9pgJLpUIAc9oSL8j
King's Dead (with Kendrick Lamar, Future & James Blake);";";"Jay Rock; Kendrick Lamar; Future; James Blake";";";1eLSF6HfrRA0AsNmTkUlKx
