Nome da Música;Artistas;ID da Música
Annihilate - Spider-Man: Across the Spider-Verse;";";"Metro Boomin; Swae Lee; Lil Wayne; Offset";";";6bRXONmpYZQOk8kj54FaRz
Am I Dreaming;";";"Metro Boomin; A$AP Rocky; Roisee";";";46631VBdAu3LkySeMIHJtd
All The Way Live - Spider-Man: Across the Spider-Verse;";";"Metro Boomin; Future; Lil Uzi Vert";";";2JHMRT2gvjh6P7ejierydm
Danger (Spider);";";"Offset; JID";";";4eAmJ2vhKbzzhEDRYipSC6
Hummingbird;";";"Metro Boomin; James Blake";";";0J1kF6VdorvmLjmRJObiV1
Calling - Spider-Man: Across the Spider-Verse;";";"Metro Boomin; Swae Lee; NAV; A Boogie Wit da Hoodie";";";4ltqVxCEyn8xyDDyI4shBm
Silk and Cologne - Spider-Verse Remix;";";"EI8HT; Offset";";";0Sq3PQbGrEXXE1tNn0UqFW
Link Up - Spider-Verse Remix (Spider-Man: Across the Spider-Verse );";";"Metro Boomin; Don Toliver; Wizkid; BEAM; Toian";";";5jHsuxGiQ4Rtstf7OMYFmy
Self Love - Spider-Man: Across the Spider-Verse;";";"Metro Boomin; Coi Leray";";";4D1Lmr5kezw09WYRLbwiZr
Home;";";"Metro Boomin; Don Toliver; Lil Uzi Vert";";";3AAdudm9gOxL6RtJ6lvuKF
Nonviolent Communication;";";"Metro Boomin; James Blake; A$AP Rocky; 21 Savage";";";2IhevZVmRkRSeA2gekFrMM
Givin' Up (Not The One);";";"Don Toliver; 21 Savage; 2 Chainz";";";4D0RrinXpQt16fZLVhmXWy
Nas Morales;";";"Metro Boomin; Nas";";";3n230gz4ZeTGPiC5NV5kTB
Hummingbird - Instrumental;";";"Metro Boomin; James Blake";";";0xWEe6RPABHV0GQSYxNOyX
Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset);";";"Metro Boomin; Swae Lee; Lil Wayne; Offset";";";0grfvXep0gn5nXdQoHue1a
Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee);";";"Metro Boomin; A$AP Rocky; Roisee";";";1hkguHC33aftQObI7mOcoj
All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert);";";"Metro Boomin; Future; Lil Uzi Vert";";";4z0g4kalqU4vInbOK1B62P
Danger (Spider) (Offset & JID);";";"Offset; JID";";";11X3DkCPUOEX4okR6xSsRV
Hummingbird (Metro Boomin & James Blake);";";"Metro Boomin; James Blake";";";4EGt2Y8GqjVzjXi39UOQfg
Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie);";";"Metro Boomin; Swae Lee; NAV; A Boogie Wit da Hoodie";";";5k3yghc8OMFayi39woODXT
Silk & Cologne (EI8HT & Offset) - Spider-Verse Remix;";";"EI8HT; Offset";";";4v1NdP9omUeesYvYrVAv2I
Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse );";";"Metro Boomin; Don Toliver; Wizkid; BEAM; Toian";";";4h1ZtUEwePra4BCLQjLewk
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray);";";"Metro Boomin; Coi Leray";";";2dHNeQOgkDxcheR65nUg7p
Home (Metro Boomin & Don Toliver, Lil Uzi Vert);";";"Metro Boomin; Don Toliver; Lil Uzi Vert";";";1HB18GDULtgNKWIuutmQXv
Nonviolent Communication (Metro Boomin & James Blake, A$AP Rocky, 21 Savage);";";"Metro Boomin; James Blake; A$AP Rocky; 21 Savage";";";4WhXZVrBTj3QNRg6A5CGaQ
Givin’ Up (Not The One) (Don Toliver & 21 Savage, 2 Chainz);";";"Don Toliver; 21 Savage; 2 Chainz";";";7oCDrbTzYvxKFeHaMEtKhK
Nas Morales (Metro Boomin & Nas);";";"Metro Boomin; Nas";";";326WuE8uDVDNitmhTj6qsQ
Take It To The Top (Becky G & Ayra Starr);";";"Becky G; Ayra Starr";";";4mKUfMSg0geJFVscFdaMcQ
Infamous (Shenseea & Myke Towers) - Spider-Verse Remix;";";"Shenseea; Myke Towers";";";6JIIAbw9L5kmsGqimr9vUj
I Can't Stop (Big Boss Vette & Omah Lay);";";"Big Boss Vette; Omah Lay";";";4mkYFPebTKMAtcXdKQwcj6
Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset);";";"Metro Boomin; Swae Lee; Lil Wayne; Offset";";";39MK3d3fonIP8Mz9oHCTBB
Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee);";";"Metro Boomin; A$AP Rocky; Roisee";";";6Ec5LeRzkisa5KJtwLfOoW
All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert);";";"Metro Boomin; Future; Lil Uzi Vert";";";0B6g379TMw0nYGXA7y5xHz
Danger (Spider) (Offset & JID);";";"Offset; JID";";";3X6qK1LdMkSOhklwRa2ZfG
Hummingbird (Metro Boomin & James Blake);";";"Metro Boomin; James Blake";";";6HexNTb392JS071DoTGo0y
Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie);";";"Metro Boomin; Swae Lee; NAV; A Boogie Wit da Hoodie";";";5rurggqwwudn9clMdcchxT
Silk & Cologne (EI8HT & Offset) - Spider-Verse Remix;";";"EI8HT; Offset";";";5Lv5L45PQmp5CTjs5PlQ6e
Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse );";";"Metro Boomin; Don Toliver; Wizkid; BEAM; Toian";";";0y8Pu7x5jXgUjOIJvQIF5L
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray);";";"Metro Boomin; Coi Leray";";";0AAMnNeIc6CdnfNU85GwCH
Home (Metro Boomin & Don Toliver, Lil Uzi Vert);";";"Metro Boomin; Don Toliver; Lil Uzi Vert";";";2qlBAT108lYOzlXhBxBqEv
Nonviolent Communication (Metro Boomin & James Blake, A$AP Rocky, 21 Savage);";";"Metro Boomin; James Blake; A$AP Rocky; 21 Savage";";";3xMnPIvsaWwzHzqqzaihEX
Givin’ Up (Not The One) (Don Toliver & 21 Savage, 2 Chainz);";";"Don Toliver; 21 Savage; 2 Chainz";";";0KoBrntyQ2x6Y1eZwgGe5P
Nas Morales (Metro Boomin & Nas);";";"Metro Boomin; Nas";";";4mTKCa00WAZS2ag4GYwu0t
On Time (with John Legend) - ChoppedNotSlopped;";";"Metro Boomin; John Legend; OG Ron C; DJ Candlestick";";";4Ty96Lv1XJV1aVesL9Mp56
Superhero (Heroes & Villains) [with Future & Chris Brown] - ChoppedNotSlopped;";";"Metro Boomin; Future; Chris Brown; OG Ron C; DJ Candlestick";";";2fBs3IClRp1Gs0EzvlQNYs
Raindrops (Insane) [with Travis Scott] - ChoppedNotSlopped;";";"Metro Boomin; Travis Scott; OG Ron C; DJ Candlestick";";";3zuI7VvcXEV9nEZwqjODrR
Umbrella (with 21 Savage & Young Nudy) - ChoppedNotSlopped;";";"Metro Boomin; 21 Savage; Young Nudy; OG Ron C; DJ Candlestick";";";3mKejmULpQc1vJc8e1X1Rn
All The Money (with Gunna) - Bonus - ChoppedNotSlopped;";";"Metro Boomin; Gunna; OG Ron C; DJ Candlestick";";";3rHTq3wxlaT6bawxl6eSVu
Around Me (feat. Don Toliver) - ChoppedNotSlopped;";";"Metro Boomin; Don Toliver; OG Ron C; DJ Candlestick";";";7eHt2ylQpiTpj7kBk8I3RK
Metro Spider (with Young Thug) - ChoppedNotSlopped;";";"Metro Boomin; Young Thug; OG Ron C; DJ Candlestick";";";02AZlWAyxBtM76OW3EAmwQ
I Can't Save You (Interlude) [with Future & feat. Don Toliver] - ChoppedNotSlopped;";";"Metro Boomin; Future; Don Toliver; OG Ron C; DJ Candlestick";";";6f1wqJigpbe3oSjuNh3dJ1
Walk Em Down (Don't Kill Civilians) [with 21 Savage & feat. Mustafa] - ChoppedNotSlopped;";";"Metro Boomin; 21 Savage; Mustafa; OG Ron C; DJ Candlestick";";";7ANiZQ38jCDHYg5CYjVwvj
Too Many Nights (feat. Don Toliver & with Future) - ChoppedNotSlopped;";";"Metro Boomin; Future; Don Toliver; OG Ron C; DJ Candlestick";";";1fnnroMusEsQhsjt0kfohs
Trance (with Travis Scott & Young Thug) - ChoppedNotSlopped;";";"Metro Boomin; Travis Scott; Young Thug; OG Ron C; DJ Candlestick";";";2Doqhmcb4WoUS0gqRyOaN8
Feel The Fiyaaaah (with A$AP Rocky & feat. Takeoff) - ChoppedNotSlopped;";";"Metro Boomin; A$AP Rocky; Takeoff; OG Ron C; DJ Candlestick";";";31N71Nqv05Kt7hoiuicREI
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage] - ChoppedNotSlopped;";";"Metro Boomin; Travis Scott; 21 Savage; OG Ron C; DJ Candlestick";";";7AJ56PvOGNavqK0HouT2al
Lock On Me (with Travis Scott & Future) - ChoppedNotSlopped;";";"Metro Boomin; Travis Scott; Future; OG Ron C; DJ Candlestick";";";7hp3g2SLoQTcaS4DK6d15l
Creepin' (with The Weeknd & 21 Savage) - ChoppedNotSlopped;";";"Metro Boomin; The Weeknd; 21 Savage; OG Ron C; DJ Candlestick";";";067yehfYP7HD99fzRx5yOz
On Time (with John Legend);";";"Metro Boomin; John Legend";";";5Pb1iObukJUKjpV9Hvb8xg
Superhero (Heroes & Villains) [with Future & Chris Brown];";";"Metro Boomin; Future; Chris Brown";";";4DuClqjuTgjITCme02RMps
Too Many Nights (feat. Don Toliver & with Future);";";"Metro Boomin; Future; Don Toliver";";";6fjCLTw2qp5913qFQsjgzh
Raindrops (Insane) [with Travis Scott];";";"Metro Boomin; Travis Scott";";";065msZfR6GejYyZRMSMEvL
Umbrella (with 21 Savage & Young Nudy);";";"Metro Boomin; 21 Savage; Young Nudy";";";6NZKaXkQVgRnGkDbKsxuoF
Trance (with Travis Scott & Young Thug);";";"Metro Boomin; Travis Scott; Young Thug";";";5KhuQ56d91AIfY52S2PcU3
Around Me (feat. Don Toliver);";";"Metro Boomin; Don Toliver";";";4dg3YyOTfIxXnkUM6wYI2R
Metro Spider (with Young Thug);";";"Metro Boomin; Young Thug";";";5hzpVCkkCYP4RyzY35bLut
I Can't Save You (Interlude) [with Future & feat. Don Toliver];";";"Metro Boomin; Future; Don Toliver";";";0jGYRBfuJQhumKJ65sdihB
Creepin' (with The Weeknd & 21 Savage);";";"Metro Boomin; The Weeknd; 21 Savage";";";162gREXZWRD3TWrbiy68PA
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage];";";"Metro Boomin; Travis Scott; 21 Savage";";";48pRIze2XAUAfQmTV6uwCP
Walk Em Down (Don't Kill Civilians) [with 21 Savage & feat. Mustafa];";";"Metro Boomin; 21 Savage; Mustafa";";";3gV3IlgGwPZBUou4QtUeWH
Lock On Me (with Travis Scott & Future);";";"Metro Boomin; Travis Scott; Future";";";1YOayvenCqmyNr6i8haRR0
Feel The Fiyaaaah (with A$AP Rocky & feat. Takeoff);";";"Metro Boomin; A$AP Rocky; Takeoff";";";49NrKgTXmD4yLZxzCycsdJ
All The Money (with Gunna) [Bonus];";";"Metro Boomin; Gunna";";";3jqs986LXxxzAPwmjoiv0v
On Time (with John Legend);";";"Metro Boomin; John Legend";";";5TnN3nbB9r37nESkUuHaIR
Superhero (Heroes & Villains) [with Future & Chris Brown];";";"Metro Boomin; Future; Chris Brown";";";1AJuDhb8wqV4gU5Ts6Htl5
Too Many Nights (feat. Don Toliver & with Future);";";"Metro Boomin; Future; Don Toliver";";";36acAPpnxmi4GoeJe1uKdv
Raindrops (Insane) [with Travis Scott];";";"Metro Boomin; Travis Scott";";";1PdhPLXw14jDGaxOmESelp
Umbrella (with 21 Savage & Young Nudy);";";"Metro Boomin; 21 Savage; Young Nudy";";";4vJdhRVZMvIbQwbv7o8s5X
Trance (with Travis Scott & Young Thug);";";"Metro Boomin; Travis Scott; Young Thug";";";79hORDzsbz21srcYgJTgMV
Around Me (feat. Don Toliver);";";"Metro Boomin; Don Toliver";";";7BIrLhKtKJcksYlh5FWCgJ
Metro Spider (with Young Thug);";";"Metro Boomin; Young Thug";";";679nqZvFH0bXeFxcBiYDq5
I Can't Save You (Interlude) [with Future & feat. Don Toliver];";";"Metro Boomin; Future; Don Toliver";";";0jr6KhLkTaVUZA0HlA6FlO
Creepin' (with The Weeknd & 21 Savage);";";"Metro Boomin; The Weeknd; 21 Savage";";";4SI5jkfBClYmMWhWWH8f9p
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage];";";"Metro Boomin; Travis Scott; 21 Savage";";";6Xy1JUbm6tgPoF7MbBbP7S
Walk Em Down (Don't Kill Civilians) [with 21 Savage & feat. Mustafa];";";"Metro Boomin; 21 Savage; Mustafa";";";14u4rePYyyd1pJ4XMN5tlq
Lock On Me (with Travis Scott & Future);";";"Metro Boomin; Travis Scott; Future";";";0WAmi1ry8xMt4UjH1t0AdI
Feel The Fiyaaaah (with A$AP Rocky & feat. Takeoff);";";"Metro Boomin; A$AP Rocky; Takeoff";";";4zGVA7tuYT1W7wkR8Mk5E5
All The Money (with Gunna) [Bonus];";";"Metro Boomin; Gunna";";";2eqzCQ9UFr8uL2QNguYnC4
On Time (with John Legend);";";"Metro Boomin; John Legend";";";0YFqKxV9uNu6LUeYkLOKRS
Superhero (Heroes & Villains) [with Future & Chris Brown];";";"Metro Boomin; Future; Chris Brown";";";0vjeOZ3Ft5jvAi9SBFJm1j
Too Many Nights (feat. Don Toliver & with Future);";";"Metro Boomin; Future; Don Toliver";";";2Hh3ETdQKrmSI3QS0hme7g
Raindrops (Insane) [with Travis Scott];";";"Metro Boomin; Travis Scott";";";1pacwLXyRO47ka0v6LTIiY
Umbrella (with 21 Savage & Young Nudy);";";"Metro Boomin; 21 Savage; Young Nudy";";";2Yt4SXIgmoaPZHGdRafp4P
Trance (with Travis Scott & Young Thug);";";"Metro Boomin; Travis Scott; Young Thug";";";5wG3HvLhF6Y5KTGlK0IW3J
Around Me (feat. Don Toliver);";";"Metro Boomin; Don Toliver";";";221qmpQeBNV87sUjQeUTVH
Metro Spider (with Young Thug);";";"Metro Boomin; Young Thug";";";2VtgzixdB967bHDNu5A1nh
I Can't Save You (Interlude) [with Future & feat. Don Toliver];";";"Metro Boomin; Future; Don Toliver";";";2N9LEu6Pf8nDcp3GjWJT1Z
Creepin' (with The Weeknd & 21 Savage);";";"Metro Boomin; The Weeknd; 21 Savage";";";2dHHgzDwk4BJdRwy9uXhTO
