Nome da Música;Artistas;ID da Música
psychofreak (feat. WILLOW);";";"Camila Cabello; WILLOW";";";705dwKmZCd7ImAUyyD6Mpm
Bam Bam (feat. Ed Sheeran);";";"Camila Cabello; Ed Sheeran";";";3lDSWvR0FXWGXo7mhDUs3v
Hasta Los Dientes;";";"Camila Cabello; Maria Becerra";";";2U0jWXrxJUzWVlLsHttAXJ
Lola (feat. Yotuel);";";"Camila Cabello; Yotuel";";";0Wn8hKAvkTnqIKQHFezxJO
My Oh My (feat. DaBaby);";";"Camila Cabello; DaBaby";";";3yOlyBJuViE2YSGn3nVE1K
Señorita;";";"Shawn Mendes; Camila Cabello";";";3BVgrFWuH01GmCUy9Y2EE8
Havana (feat. Young Thug);";";"Camila Cabello; Young Thug";";";1rfofaqEpACxVEHIZBJe6W
It Takes Two;";";"Camila Cabello; Anna Kendrick; Justin Timberlake; Eric Andre; Daveed Diggs; Kid Cudi";";";21vLEEtCTBS6fxw1TuPJAy
KU LO SA (with Camila Cabello);";";"Oxlade; Camila Cabello";";";0HihDC6qQ8MChAhjfW3gMU
Mon amour (with Camila Cabello);";";"Stromae; Camila Cabello";";";1lLh3yUgjjt7GrtGgFdA11
Bam Bam (feat. Ed Sheeran);";";"Camila Cabello; Ed Sheeran";";";0QBzMgT7NIeoCYy3sJCof1
Bam Bam (feat. Ed Sheeran) - Karaoke Version;";";"Camila Cabello; Ed Sheeran";";";5guEbH6gVJSnji1vnPbYZa
Oh Na Na - Extended Version;";";"Camila Cabello; Myke Towers; Tainy";";";3p7Xcy0kkecEFZoi0eah9j
Oh Na Na;";";"Camila Cabello; Myke Towers; Tainy";";";03NqHNdG3Ur6kciQWK6e8V
Don't Go Yet - Major Lazer Remix;";";"Camila Cabello; Major Lazer";";";5Ay8r4qxJ1OYLS91tWysRf
Don't Go Yet - Major Lazer Dub;";";"Camila Cabello; Major Lazer";";";0cKTYKbf4ibkIHUVziUMcW
The Christmas Song (Shawn Mendes & Camila Cabello);";";"Shawn Mendes; Camila Cabello";";";53n0aLH9UZi5ACadlhDopt
My Oh My (feat. DaBaby & Gunna) - Remix;";";"Camila Cabello; Gunna; DaBaby";";";2ONOyrMhqho3oajY2tpC2n
South of the Border (feat. Camila Cabello & Cardi B);";";"Ed Sheeran; Camila Cabello; Cardi B";";";1pPWLAfELypeAmi0bMdEXu
Find U Again - MK Remix;";";"Mark Ronson; Camila Cabello; MK";";";1Yk6VWzkYzpDarxEVmrz7O
Señorita;";";"Shawn Mendes; Camila Cabello";";";0TK2YIli7K1leLovkQiNik
Find U Again (feat. Camila Cabello);";";"Mark Ronson; Camila Cabello";";";1HpzOCZbNWzxvvXfSGtSrX
Mi Persona Favorita;";";"Alejandro Sanz; Camila Cabello";";";3eB9M6owEHwk4nNrZRNUwd
Real Friends;";";"Camila Cabello; Swae Lee";";";5vnpANH92iEajvGwE2oQ6r
Beautiful (feat. Camila Cabello);";";"Bazzi; Camila Cabello";";";4VUwkH455At9kENOfzTqmF
Sangria Wine;";";"Pharrell Williams; Camila Cabello";";";6XlSyYFTU1nodeWwwzVgTV
Never Be the Same (feat. Kane Brown);";";"Camila Cabello; Kane Brown";";";0xk4woi8ENN8VWFDZTcF8h
Crown (with Camila Cabello & Grey);";";"Camila Cabello; Grey";";";7qrMWXNwE1aD1o1sBnyIAh
Havana - Remix;";";"Camila Cabello; Daddy Yankee";";";3whrwq4DtvucphBPUogRuJ
OMG (feat. Quavo);";";"Camila Cabello; Quavo";";";4xBjsLUSjcx2h7PcRikpQp
