Nome da Música;Artistas;ID da Música
Rich Flex;";";"Drake; 21 Savage";";";1bDbXMyjaUIooNwFE9wn0N
Major Distribution;";";"Drake; 21 Savage";";";46s57QULU02Voy0Kup6UEb
On BS;";";"Drake; 21 Savage";";";34tz0eDhGuFErIuW3q4mPX
Privileged Rappers;";";"Drake; 21 Savage";";";7l2nxyx7IkBX5orhkALg0V
Spin Bout U;";";"Drake; 21 Savage";";";2ZL7WZcjuYKi1KUDtp4kCC
Hours In Silence;";";"Drake; 21 Savage";";";0sSRLXxknVTQDStgU1NqpY
Treacherous Twins;";";"Drake; 21 Savage";";";4Flfb4fGscN9kXPOduQLrv
Circo Loco;";";"Drake; 21 Savage";";";7GeTsDIc5ykNB6lORO6Cee
Pussy & Millions (feat. Travis Scott);";";"Drake; 21 Savage; Travis Scott";";";2KLwPaRDOB87XOYAT2fgxh
Broke Boys;";";"Drake; 21 Savage";";";45pUWUeEWGoSdH6UF162G8
More M’s;";";"Drake; 21 Savage";";";29YW2xXlo6Pc6M0SBTCXYN
Purple Savage Mode II Intro [ChopNotSlop Remix];";";"21 Savage; Metro Boomin";";";5O29nkYY8aByZY6X2TD7eO
Many Men [ChopNotSlop Remix];";";"21 Savage; Metro Boomin";";";5pMU8APwU6k09iRcmSYNpV
Runnin [ChopNotSlop Remix];";";"21 Savage; Metro Boomin";";";3anTHzyskaQVkWi8UxSTgj
My Dawg [ChopNotSlop Remix];";";"21 Savage; Metro Boomin";";";2PFnRMwywJzQEBTOElSkmV
Snitches & Rats [ChopNotSlop Remix] (feat. Young Nudy);";";"21 Savage; Metro Boomin; Young Nudy";";";39nPqJBbWQYrfUQmA42uTZ
Glock In My Lap [ChopNotSlop Remix];";";"21 Savage; Metro Boomin";";";7GjbHAe4SlpHS47BKiMj0A
Slidin [ChopNotSlop Remix];";";"21 Savage; Metro Boomin";";";37aVvSj79fSvNeimxSI92o
Brand New Draco [ChopNotSlop Remix];";";"21 Savage; Metro Boomin";";";6ba5ItuoGEm0KBh9oBKFOS
