Nome da Música;Artistas;ID da Música
Gone Are The Days (feat. James Gillespie);";";"Kygo; James Gillespie";";";2xqAKNirOkGmtvcD6rvifZ
Love Me Now (feat. Zoe Wees);";";"Kygo; Zoe Wees";";";3aoZg6tWk6oV6FdtQkyNmt
Lonely Together (feat. Dagny);";";"Kygo; Dagny";";";0dfOAWQfRVFYpLnm9OTpxv
Undeniable (feat. X Ambassadors);";";"Kygo; X Ambassadors";";";0Caa2ZJq9JEIP69ruAAIka
Thrill of the Chase (feat. R.I.Pablo);";";"Kygo; R.I.Pablo";";";5iIGjnYdSOa1K0EcFTTxqk
Dancing Feet (feat. DNCE);";";"Kygo; DNCE";";";288EJf2Hyv0vFtyYlcP9zN
Fever (feat. Lukas Graham);";";"Kygo; Lukas Graham";";";5tXDj9RcCvE0G7sWLlLZDB
Woke Up in Love;";";"Kygo; Gryffin; Calum Scott";";";07QIetdCyAEox3Q5qqJT43
How Many Tears (feat. Emily Warren);";";"Kygo; Sam Feldt; Emily Warren";";";5ub9lmkNjDKBtDqWs22WI7
Never Really Loved Me (with Dean Lewis);";";"Kygo; Dean Lewis";";";1ZZUE6YNh90P3SCnsHPKNq
The Way We Were (feat. Plested);";";"Kygo; Plested";";";3Ds1rReoW8ixyfCTe2R0zR
Lost Without You (with Dean Lewis);";";"Kygo; Dean Lewis";";";3cJ5aAeEhjwzCrcx7TlmYr
All For Love (feat. Stuart Crichton);";";"Kygo; Stuart Crichton";";";50FoGcRh1qFH1HdgUD84o9
The Truth;";";"Kygo; Valerie Broussard";";";2lN4uUYkGymwAL5hY6sSAd
Lose Somebody;";";"Kygo; OneRepublic";";";1sgDyuLooyvEML4oHspNza
Feels Like Forever;";";"Kygo; Jamie N Commons";";";4B6xQy8i7cVzKT8kPIhBY5
Freedom;";";"Kygo; Zak Abel";";";2nx0EIlIKMnMgWnj40O0HQ
Beautiful;";";"Kygo; Sandro Cavazza";";";745bEQatiiXDtBe1AdQY2P
To Die For;";";"Kygo; St. Lundi";";";6LMTqDK4uVR8XsCzel1nkH
Broken Glass;";";"Kygo; Kim Petras";";";78ldtCaBRJVp2i91B715L0
How Would I Know;";";"Kygo; Oh Wonder";";";52eycxprLhK3lPcRLbQiVk
Could You Love Me;";";"Kygo; Dreamlab";";";7hd0ZLywUE3GZWNPXKBRGE
Higher Love;";";"Kygo; Whitney Houston";";";1kKYjjfNYxE0YYgLa7vgVY
I'll Wait;";";"Kygo; Sasha Alex Sloan";";";1tuXOJYN6CkgubpifHEm96
Don't Give Up on Love;";";"Kygo; Sam Tinnesz";";";1SXO3ChF6Wc9oEBaZpDYee
Say You Will;";";"Kygo; Patrick Droney; Petey Martin";";";5vDjcNbN4m9fxWcrpR64Wu
Follow;";";"Kygo; Joe Janiak";";";4gGIqmBDfECUFBOSYOoW3a
Like It Is;";";"Kygo; Zara Larsson; Tyga";";";4dyrqiXUcK29hzrL2elqO3
Someday;";";"Kygo; Zac Brown";";";73h6Ma5QhBFrshEN2CTevS
Hurting;";";"Kygo; Rhys Lewis";";";4Ufg9X9VocHbzKxXGhCOie
Only Us;";";"Kygo; Haux";";";1SQbUQ8w21CxAhvkZvHN0u
This Town (feat. Sasha Alex Sloan & Gucci Mane) - Gucci Mane Edit;";";"Kygo; Sasha Alex Sloan; Gucci Mane";";";19SEn5eUuuixwxFPNtrq7D
Never Let You Go (feat. John Newman) - Jack Wins Remix;";";"Kygo; John Newman; Jack Wins";";";2ezQ7Qe2itIl6HvCbyqZXX
Never Let You Go (feat. John Newman) - Acoustic Version;";";"Kygo; John Newman";";";0hsEwB7RvpWOJYZnAF4j4E
Riding Shotgun (feat. Bonnie McKee) - Ryan Riback Remix;";";"Kygo; Oliver Nelson; Bonnie McKee; Ryan Riback";";";63x2ylSiGxGU7dG54upqI4
Stranger Things (feat. OneRepublic) - Alan Walker Remix;";";"Kygo; OneRepublic; Alan Walker";";";76c4KOymiPUkWEeIIc0DQr
Kids in Love (feat. The Night Game) - The Him Remix;";";"Kygo; The Night Game; The Him";";";0zhBS3T33cnJUwfoOEmlCL
Kids in Love (feat. The Night Game) - Alok Remix;";";"Kygo; The Night Game; Alok";";";2S27SBEp55GmAkxdMozBhX
Kids in Love (feat. The Night Game) - Acoustic Version;";";"Kygo; The Night Game";";";0b683lyejYRh6CBWJQgExw
Permanent - Sam Feldt Remix;";";"Kygo; JHart; Sam Feldt";";";28WJb0ZNVvOL7AMVx1e9zP
Never Let You Go (feat. John Newman);";";"Kygo; John Newman";";";6sonAwZ8ruHZVzdAwDYsfk
Sunrise (feat. Jason Walker);";";"Kygo; Jason Walker";";";4ODnJrz0C3AJ4DFv8YQhJ8
Riding Shotgun (feat. Bonnie McKee);";";"Kygo; Oliver Nelson; Bonnie McKee";";";52Lqdrj2yYAeFSTS2M24Si
Stranger Things (feat. OneRepublic);";";"Kygo; OneRepublic";";";4sJqSKPc5fZ5OZ8JiVI44N
With You (feat. Wrabel);";";"Kygo; Wrabel";";";7gleE2w0CsjsWCs184n522
Kids in Love (feat. The Night Game);";";"Kygo; The Night Game";";";5nmHl233yo8XJvaNfdKAWU
Permanent;";";"Kygo; JHart";";";2FrYyDemG5M15U4qFO0ezK
I See You (feat. Billy Raffoul);";";"Kygo; Billy Raffoul";";";7ylOCfpjsuxM6w7W7b3W91
Remind Me to Forget;";";"Kygo; Miguel";";";6xTU6B6nFwKKTSZ9ySXS80
Stole the Show;";";"Kygo; Parson James";";";5masKPHeAOVNgxdLebIcK7
Fiction (feat. Tom Odell);";";"Kygo; Tom Odell";";";3vRvuatWmKcHhxbv6choLR
Raging (feat. Kodaline);";";"Kygo; Kodaline";";";2Vhd5uZB4brKHmM0MNxkZo
Firestone;";";"Kygo; Conrad Sewell";";";1I8tHoNBFTuoJAlh4hfVVE
Happy Birthday (feat. John Legend);";";"Kygo; John Legend";";";5SAckbSHhNJ41b3bn5XwPL
I'm in Love (feat. James Vincent McMorrow);";";"Kygo; James Vincent McMorrow";";";12q7yTtyZfJjObmss6FQi3
Oasis (feat. Foxes);";";"Kygo; Foxes";";";59JreAiZzOF6pB8nIqEi20
Not Alone (feat. RHODES);";";"Kygo; RHODES";";";5nQojVsRxImTExfSXQ9qU2
Serious (feat. Matt Corby);";";"Kygo; Matt Corby";";";18YIDJGWXocUPFbAzTaq8g
Stay (feat. Maty Noyes);";";"Kygo; Maty Noyes";";";2FiSTH0GYpIioUgjfzMIja
Nothing Left (feat. Will Heard);";";"Kygo; Will Heard";";";2fZW7ByWe46rGih0FtP2XK
Fragile;";";"Kygo; Labrinth";";";6PyxrogMU9imKqVtKx6840
Carry Me (feat. Julia Michaels);";";"Kygo; Julia Michaels";";";3FZEv9JddkjHNFiMVxJYpS
For What It's Worth (feat. Angus & Julia Stone);";";"Kygo; Angus & Julia Stone";";";6HsbMH5Bgkp4QgAp7MVZ8z
Say Say Say (feat. Paul McCartney & Michael Jackson);";";"Kygo; Paul McCartney; Michael Jackson";";";16vUeW77F6Xiz1irHBvTAM
Woke Up in Love - Acoustic;";";"Kygo; Gryffin; Calum Scott";";";0ryULsOBEF00i4XwnF3brE
Fever (feat. Lukas Graham);";";"Kygo; Lukas Graham";";";1pMyakalAHUncowgjx99ke
The Way We Were (feat. Plested);";";"Kygo; Plested";";";2Da2c1lA8jjxVcRCZ4PKqY
Lonely Together (feat. Dagny);";";"Kygo; Dagny";";";6EE51KVqyPCSWKs4HCCtnB
