Nome da Música;Artistas;ID da Música
Ki (feat. Daniel Habif);";";"Farruko; Oneill; Daniel Habif";";";1yaEZwbabqGa9BYXIRa0ua
GPS;";";"Farruko; Jay Wheeler";";";5oHfcw6iiDUt4Ls5QPuQiB
F*LOVE (feat. Dímelo Flow & Dj Adoni);";";"Farruko; Dímelo Flow; Dj Adoni";";";12NHbTJ9lbrKqlAdHYhvxM
Cucaracha;";";"Farruko; Ñengo Flow";";";3Lkt1xGzHXV6bEsmtJNEyn
El Incomprendido;";";"Farruko; Victor Cardenas; Dj Adoni";";";2mL37yB3f3Lfy4iiXV02Qf
Embalao;";";"Farruko; White Star; J. Cross";";";4zqu322VOEfj7i6lLsrADL
Jíbaro;";";"Farruko; Pedro Capó";";";7BxtSpUt1DPBE3GCHezgB6
167;";";"Farruko; Gallego";";";3s9ZziCBN0DTIEc7LQpJh3
Baya;";";"Farruko; Yomo";";";0cux7pJXDRjT7UBlwIx0DZ
Doble L;";";"Farruko; Brray; Noriel";";";4mBQaDxxH0vn7jAuraDI47
Guerrero (feat. Luar La L);";";"Farruko; Luar La L";";";2DI7dvTUDVB50Kfvu6LA9E
Amigos Nuevos No;";";"Farruko; Fresy Franklin";";";0r26glBtmEsa07vIQeZ4U8
La Bendición;";";"Farruko; Lenier";";";4ZxjpNp7yCTxcbnkeyj0i6
W.F.M.;";";"Farruko; Mavado";";";7DQ2B7C1tpoteQfJW2mbXY
Apunta y Dispara;";";"Farruko; India Martinez; Lito MC Cassidy";";";0RqVRO6pICdEky6ai9UcWO
Siempre Seré (feat. Secreto El Famoso Biberón & Pacho El Antifeka);";";"Farruko; Myke Towers; Tempo; Secreto ""El Famoso Biberon""; Pacho El Antifeka";";";3AbJqOEvApkTuFKl1cIzTK
La Cartera;";";"Farruko; Bad Bunny";";";1g2Z2lOrwayOzDqOc8EfbR
Borinquen Bella (feat. Zion & Lennox);";";"Farruko; Pedro Capó; Justin Quiles; Zion & Lennox";";";3UW4SUehKFC6qmaTZ3OiTp
Playa;";";"Farruko; Kafu Banton; El Micha";";";3dVs53k9EaOufOOBvR40r9
Calma - Alicia Remix;";";"Pedro Capó; Alicia Keys; Farruko";";";7h49721ABzBNotuKaP6sx1
Delincuente;";";"Farruko; Anuel AA; Kendo Kaponi";";";3TqLIW3qd4qFYkfYsBjVN6
Tensión (feat. Zion & Lennox);";";"Farruko; Zion & Lennox";";";21LOrp1KKbqqWCwcFR44o7
Resort;";";"Farruko; Manuel Turizo";";";5YdSlUuV4hAUJvv91bAKup
Roatán;";";"Farruko; Konshens";";";27PAwMtEfK7auYCVu8Yk1V
Cartier;";";"Farruko; Darell; El Micha";";";1o3MUu93stIdTi2fWh7HUh
Mucho Humo;";";"Farruko; Bryant Myers; Jo Mersa Marley";";";3GaUmZN8o8ViYoZO3IGgeo
Coolant - Remix;";";"Farruko; Don Omar";";";6URNZuBKiudDhFJ5XCCLhX
Ponle;";";"Rvssian; Farruko; J Balvin";";";11PcAUzOU60EwlfYrgjpRx
Calma - Remix;";";"Pedro Capó; Farruko";";";3fefQTqeZ0dkOAvoJwHfkO
Krippy Kush;";";"Farruko; Bad Bunny; Rvssian";";";7FfpP3YZ6fOWMdxkIAtud9
No Confío (feat. Alexio La Bestia);";";"Farruko; Alexio La Bestia";";";2ymEFGrxK52FNMkZPxQFPh
Le Falté el Respeto Al Dinero (feat. Arcángel);";";"Farruko; Arcángel";";";4KrT3gLmJtk8nysLqPI3FX
Chá Chá Chá (feat. Jacob Forever);";";"Farruko; Jacob Forever";";";3VXsk4WiIf5a2JSix4jGtU
MP5 (feat. Ñengo Flow & Darell);";";"Farruko; Ñengo Flow; Darell";";";07NQGGzMuuzCzg9lTGIiu8
Losing Control (feat. Fetty Wap);";";"Farruko; Fetty Wap";";";6ANAwMQcWtLmjtr6WH0VrP
Oscuridad (feat. Anuel AA);";";"Farruko; Anuel AA";";";52JnQicpFULdhLnWdHyQD1
Kilo Kilo (feat. Químico Ultra Mega);";";"Farruko; Quimico Ultra Mega";";";7vdqZAHF5pVMULddTEa9fb
Salgo;";";"Farruko; Arcángel; Ñengo Flow; Kelmitt; D. OzI; Genio";";";3sbofOpRhsyvjA8ETuSc6g
Recuérdate;";";"Farruko; De La Ghetto";";";4oLMZ9W1Lr2yQqQErXBmrs
Estás Pa' Mí;";";"Farruko; Wayne Wonder";";";1nH9UUCCqPiNLQS5t67Yph
Pa' Darle;";";"Farruko; Ñengo Flow";";";6RBvsGEFbofSaJ19rQ79nc
Menor;";";"Farruko; D. OzI";";";65ztyjCCSNdLWfyVZmtX2E
Miro el Reloj;";";"Farruko; J Alvarez; Jory";";";7tQQcG7RodrgOjyysVyoL9
Si No Te Tengo;";";"Farruko; Tony Dize";";";1rHAwRKqUkujOKIYzP28DY
No Soy;";";"Farruko; Nicky Jam";";";1y6wgbVG3aL0MUV6KI3NQy
No Quiere Saber;";";"Farruko; Zion; Lennox";";";0P1z0ofbb9jpcsVhwBXp1T
Interesada;";";"Farruko; Luigi 21 Plus";";";6XZNfbqHGGi51PoVuZE3jU
Bebe Conmigo;";";"Farruko; J Balvin";";";6W0lrt7NDAz19A4Epa922X
Prófugo;";";"Farruko; D. OzI; Kelmitt";";";13jyCpSy65xr5YOUSYFzTK
Passion Whine;";";"Farruko; Sean Paul";";";2QAwkI8L0UVBpjHJ6PwBzn
HMB (feat. Messiah);";";"Farruko; Messiah";";";4ZcnM1hMfBg3RG3PCZQgYL
Chillax (feat. Ky-Mani Marley);";";"Farruko; Ky-Mani Marley";";";1lxswgIpzV6HhENRvkflES
Never Let You Go (feat. Pitbull);";";"Farruko; Pitbull";";";1YcA3OaZh6Imx9NsnMqgGv
Sunset (feat. Shaggy & Nicky Jam);";";"Farruko; Shaggy; Nicky Jam";";";2yDaWqECegHdiFOuez5gdO
Booty Booty;";";"Farruko; Yomo; Ñengo Flow; Zion & Lennox; D.OZi";";";5VI4fJokFxO0JmFg1SkFPx
Mi Vida No Va a Cambiar - Bonus Track;";";"Farruko; Arcángel";";";0M0J6fm5waUnIgPqdbQ5HC
No Es Una Gial;";";"Farruko; De La Ghetto";";";3miLWFbiR7IxBkSNxSuBc0
Una Nena - Bonus Track;";";"Farruko; Daddy Yankee";";";426zIX0aQSk68Dr1rMmUx2
Hacerte el Amor;";";"Farruko; J Alvarez";";";60kKBOKMqawotKpgKtCkpH
Rapapam;";";"Farruko; Reykon";";";0ww2qVlzKfCONmHRywyj6H
Excusas;";";"Farruko; Dayane";";";7MPrV0jNwzoIYtCYE64FcQ
Pikete;";";"Farruko; Daddy Yankee";";";57cL4FDebgbKDfnrK7ZCsp
El Único;";";"Farruko; Alberto Stylee";";";7xZqrnRTTUFHHwTuqgH8Rb
Va a Toa;";";"Farruko; El Micha";";";5l3rQyC8NbsjhhgpfEsVMF
Si Te Pego Cuerno;";";"Farruko; Mozart La Para";";";1LCzvEFx3K8ZDWhN45Svg1
Hola Beba;";";"Farruko; Fuego";";";0sgL5sq1MDMQRrVoD1YPRF
Ella No Es Fácil;";";"Farruko; Cosculluela";";";51VkDFjQNGDZtJRzdPZbZw
Traime a Tu Amiga - Remix;";";"Farruko; Arcángel; Voltio";";";0yT0NHUvYRZqDK8AFbpiPI
Su Hija Me Gusta;";";"Farruko; José Feliciano";";";5N1EdvOZKDKKIcwBcj3VmR
Chulería en Pote;";";"Farruko; Jadiel";";";1EMzpS9y1Sd0AxlhfgjK1d
Bendecido;";";"Dylan; Farruko";";";6E0o4xawY6Cw3by3BARuBw
Perdóname;";";"La Factoria; Eddy Lover; Farruko";";";2F8IzXy0la2pnsbXPqdp85
Santorini - Remix;";";"Beéle; Farruko; Jason Derulo";";";7Kzn6nzJQiUEj79IgxeD7F
Calor;";";"Farruko; Manolo Ramos; Ghetto";";";2bmAfAeeEEDT3p8UqFu9iA
Pasa_je_ro (J. Cross Remix);";";"Farruko; J. Cross";";";6ukkR8zXQO06ohLyuPEQd9
Esta Vida - VINNE Remix;";";"Marshmello; Farruko; VINNE";";";3ClKsM5f06HfEpzNhmQeY0
Esta Vida - Jess Bays Remix;";";"Marshmello; Farruko; Jess Bays";";";3DJpjKvU8vccxudxq0RO6f
QQQC;";";"Ghetto; Farruko";";";57OeptU2MraW8OtN7kNios
Santorini;";";"Beéle; Farruko";";";2FVSQR0FXAIBkPtkkIMigS
Mi Corrido - Remix / En Vivo;";";"Hadrian; Farruko; La Decima Banda";";";684U87L4tAJAPr4AfTj9rD
Esta Vida - Deorro Remix;";";"Marshmello; Farruko; Deorro";";";2HRa9MR7Sqy3T6WbdpF3Rj
Esta Vida (Salsa Version);";";"Farruko; Marlon";";";0n8VlY0qW2PfB1Zhqzqivv
Mi Mejor Canción;";";"Gocho; Farruko";";";591LlOGJwrMdj5vvFuhK4l
Me Metí en el Ruedo - Remix;";";"Luis R Conriquez; Farruko";";";0Ssb1Wk9WDFapIL2SnNkA7
Esta Vida;";";"Marshmello; Farruko";";";5OSGdSxtulzlzdPdK2MQJC
Misericordia;";";"Onell Diaz; Farruko";";";45kBRk3OOKJNKJJFO0h1OJ
Patio de la Cárcel - Acústico;";";"Omar Montes; Farruko";";";1tixedhMrD7dPd92UMAbVV
Delincuente - Acústico;";";"Omar Montes; Farruko";";";4svio5ybqSUWh82TMppZIJ
Gugle;";";"Dj Adoni; Farruko; Flow 28";";";2Nf1D46vyEZYNbuCx0Y4iD
Patio de la Cárcel - Tangos;";";"Omar Montes; Farruko";";";6dCJdn6puMU4OFbIqTzLDy
La Envidia;";";"Ghetto; Farruko; Fabiaan; Joe Veras";";";2Qh7DGyU4x1ZuMRwfMuI1K
Nazareno - Remix;";";"Farruko; Ankhal";";";0RE6QKlznWDuPzG5n0MOMS
DON'T YOU WORRY (Farruko Remix) (with Farruko, David Guetta & Shakira);";";"Black Eyed Peas; Farruko; Shakira; David Guetta";";";6Qk9crrlslodQnHqhCmjtC
No Entienden (feat. Dahian el Apechao);";";"Farruko; Dahian el Apechao";";";5IYkfq8NPZWt9R4RkKEXQc
En La Mia (Remix);";";"MC Albertico; Isaias Francotirador; Farruko";";";5GDUdwmzAhpaGqhdmg72Ft
La Opinión Es Tuya;";";"Dj Adoni; Farruko; El Alfa; La Perversa";";";3HJzhsfS75hDk2o6Tcaws1
Carta de un Padre;";";"Farruko; Onell Diaz";";";0aneLyERtTqJAQlcN0rX2R
Su Mirada;";";"Luyanna; Farruko";";";0DvFzNENIqVYQdwbsWtTFN
Su Mirada - Extended;";";"Luyanna; Farruko";";";6YgGSRhj481SzB0dOXjy4T
SMP (Sol, Mar y Playa);";";"KEVVO; Farruko; Wisin";";";1Sh9OyWM75iPXdfoqLHbms
Nube Negra;";";"Kiko el Crazy; Farruko";";";4zb91X7EaVpY1OQMtjGVuc
Gracias - Remix;";";"Pedro Capó; Farruko";";";3EPkYtHqRXZAxE9K7xxC2W
After Party;";";"Alex Sensation; Farruko; Prince Royce; Mariah Angeliq; Kevin Lyttle";";";5px2CcFnmRJecJMNPYz4Io
Pepas (feat. KVSH) - DENNIS, KVSH & The Otherz Remix;";";"Farruko; DENNIS; The Otherz; KVSH";";";6mZyOLek1jYsjn69Xi85Fy
