Nome da Música;Artistas;ID da Música
Main Titles (You’ve Been Called Back to Top Gun);";";"Harold Faltermeyer; Lady Gaga; Hans Zimmer; Lorne Balfe";";";74BfFG9qR85KXxN49esFVA
Darkstar;";";"Harold Faltermeyer; Lady Gaga; Hans Zimmer; Lorne Balfe";";";5jximgvZO7gGAFQndsSltj
You’re Where You Belong / Give ‘Em Hell;";";"Harold Faltermeyer; Lady Gaga; Hans Zimmer; Lorne Balfe";";";5aAFhwGmoTsYd3ICgj5Ms2
Dagger One Is Hit / Time To Let Go;";";"Harold Faltermeyer; Lady Gaga; Hans Zimmer; Lorne Balfe";";";3Wceo1KylCeOUKJv8EVrMy
Tally Two / What’s The Plan / F-14;";";"Harold Faltermeyer; Lady Gaga; Hans Zimmer; Lorne Balfe";";";2RfBOqxUl9g0fHJ0NuYFAO
The Man, The Legend / Touchdown;";";"Harold Faltermeyer; Lady Gaga; Hans Zimmer; Lorne Balfe";";";3vPFtJIPNknOiMK7IcBtzn
Penny Returns - Interlude;";";"Harold Faltermeyer; Lady Gaga; Hans Zimmer; Lorne Balfe";";";0hGL3mxCQJB5l64LsWcSN5
Top Gun Anthem;";";"Harold Faltermeyer; Lady Gaga; Hans Zimmer; Lorne Balfe";";";1ZkmPku85veww4fF66aUFF
Lose Somebody;";";"OneRepublic; Kygo";";";5JAQXve1J0iUpslwMI3J7C
Oh My My;";";"OneRepublic; Cassius";";";6D6vEVEFVFgctwocglYBLa
A.I.;";";"OneRepublic; Peter Gabriel";";";2xB6w6kDh6tDysIaxCnQiI
NbHD;";";"OneRepublic; Santigold";";";41kNXS7D4qIpWK4THCnAOR
Oh My My;";";"OneRepublic; Cassius";";";0QaCNjtdot0XiD8E347iQn
A.I.;";";"OneRepublic; Peter Gabriel";";";5xRcy8i64lENBk48rOe7K8
NbHD;";";"OneRepublic; Santigold";";";6zsFCfP4TK2J48tMYjb668
If I Lose Myself - Alesso vs OneRepublic;";";"OneRepublic; Alesso";";";3ScJy88F8KqGDfWu8XJhHx
"Apologize - ""Shock Value"" Version";";";"Timbaland; OneRepublic";";";5qFI1vKY5p82hv39nzMrNl
Come Home;";";"OneRepublic; Sara Bareilles";";";3FxydY5vf9VNuhButL7cug
"Apologize - ""Shock Value"" Version";";";"Timbaland; OneRepublic";";";3bLLS9gOMwITniB3nMyMnW
Mirage - for Assassin's Creed Mirage;";";"OneRepublic; Assassin's Creed; Mishaal Tamer";";";7bgIcSp0Nd3qfHqwxQplzW
I Ain't Worried (feat. Becky G) - Latin Version;";";"OneRepublic; Becky G";";";0kljJKo5ibiYiLQkzEXKsG
I Ain't Worried - Collins String Version;";";"OneRepublic; Collins";";";5YiOw89cU77h8luvcrXIcv
You Were Loved (with OneRepublic);";";"Gryffin; OneRepublic";";";4W1JavoraGzh83nluQHY6C
Sunshine - MOTi Remix;";";"OneRepublic; MOTi";";";1zgV7obuDgU0DEaNCmPw8u
Sunshine - Jacaranda Remix;";";"OneRepublic; Jacaranda";";";3OSVpNJjCFt4mD2NE69VLu
Run - Collins Remix;";";"OneRepublic; Collins";";";1TGWNtFzNZsNeqT6oBvXtw
Run - Jacaranda Remix;";";"OneRepublic; Jacaranda";";";7kNHMFRHbo1ExyJw5u1PAw
Run (with Mariah Angeliq) - Latin Version;";";"OneRepublic; Mariah Angeliq";";";0RpCZ17BXI0x8b14UFrgDQ
Better Days - Giorni Migliori (with Negramaro);";";"OneRepublic; Negramaro";";";6kfUXAS4K8zpNCADiFqMCt
Better Days - Mejores Días (with KHEA);";";"OneRepublic; KHEA";";";0Y0xENhvytKvGEgEVd82D4
Lose Somebody;";";"Kygo; OneRepublic";";";7xbWAw3LMgRMn4omR5yVn3
Wanted - TT Spry Remix;";";"OneRepublic; TT Spry";";";3zrz2nnEi0n9ifCAupQ67x
Rescue Me (with BUNT.) - BUNT. Remix;";";"OneRepublic; BUNT.";";";48CinMznGlXCS4u6PW3VCH
Bones (feat. OneRepublic) - Galantis & shndō VIP Mix;";";"Galantis; OneRepublic; Ryan Tedder; shndō";";";18bN7mUxWzrrieZuLbyXv0
Bones (feat. OneRepublic) - Hook N Sling Remix;";";"Galantis; OneRepublic; Ryan Tedder; Hook N Sling";";";7tqGCj8OH7YRJ6aCbDxWuc
Bones (feat. OneRepublic) - Steff da Campo Remix;";";"Galantis; OneRepublic; Ryan Tedder; Steff da Campo";";";3HcYvQFfQ7xjnbvS066b21
Bones (feat. OneRepublic) - B-Sights Remix;";";"Galantis; OneRepublic; Ryan Tedder; B-Sights";";";7cXwnvnSIFC6TRsnHKTV4N
Bones (feat. OneRepublic) - eSQUIRE Remix;";";"Galantis; OneRepublic; Ryan Tedder; eSQUIRE";";";1QPPoK0c2AgZWhimrCwOSd
