Nome da Música;Artistas;ID da Música
Pop Out (feat. Nardo Wick);";";"Lil Baby; Nardo Wick";";";0VOMBffX1llDu37yQUt3u3
Never Hating (feat. Young Thug);";";"Lil Baby; Young Thug";";";1Py8c3dkLF0YczcAyBFBEM
Forever (feat. Fridayy);";";"Lil Baby; Fridayy";";";1T4k0sw0HldDg004Kw4Oct
From Now On (feat. Future);";";"Lil Baby; Future";";";2wdgjxZPgtrPd8OUqMSuYh
Cost To Be Alive (feat. Rylo Rodriguez);";";"Lil Baby; Rylo Rodriguez";";";3Y3PNfb2ZuRBZgdJ2sKySy
Stop Playin (feat. Jeremih);";";"Lil Baby; Jeremih";";";6kSPwMUYpnBDIWViA3MKMT
Back and Forth (feat. EST Gee);";";"Lil Baby; EST Gee";";";2zeP2m00YmZFr36mOQCBuK
Shiest Talk (feat. Pooh Shiesty);";";"Lil Baby; Pooh Shiesty";";";6FyYMbtmEgQDCgy9mYrOX8
Voice of the Heroes;";";"Lil Baby; Lil Durk";";";3E3pb3qH11iny6TFDJvsg5
2040;";";"Lil Baby; Lil Durk";";";2ELp0EL65yitpfJYwc5983
Hats Off (feat. Travis Scott);";";"Lil Baby; Lil Durk; Travis Scott";";";4lUmnwRybYH7mMzf16xB0y
Who I Want;";";"Lil Baby; Lil Durk";";";3vJKLsUYcC7mARUTOMUPaJ
Still Hood;";";"Lil Baby; Lil Durk";";";1huoY7hw3hGVGfuPPe9y8P
Man of my Word;";";"Lil Baby; Lil Durk";";";4nNw167LUp6j2VvuJdbtv8
Still Runnin (feat. Meek Mill);";";"Lil Baby; Lil Durk; Meek Mill";";";5cAN3P7jWVf78gev1eF7TJ
Medical;";";"Lil Baby; Lil Durk";";";5BCzsnN4U4OvOegjErHTUF
How It Feels;";";"Lil Baby; Lil Durk";";";62nb5YUYUqtYJhVPwRhCke
Lying;";";"Lil Baby; Lil Durk";";";5LtzwqIWPXKEYfVcaY3bjc
Okay;";";"Lil Baby; Lil Durk";";";3jweuceENR5zzn10LhcjPH
