Nome da Música;Artistas;ID da Música
Sorry Not Sorry (with Slash) - Rock Version;";";"Demi Lovato; Slash";";";3L3IJAp60VshAFFDjdJ2FE
Neon Lights (with The Maine) - Rock Version;";";"Demi Lovato; The Maine";";";6qExdYTSGLIEUpf4XvQ813
La La Land (feat. Nita Strauss) - Rock Version;";";"Demi Lovato; Nita Strauss";";";0TrQhEHg9Klv1lDEaGbnYf
Give Your Heart A Break (with Bert McCracken from The Used) - Rock Version;";";"Demi Lovato; Bert McCracken";";";4ktgVQZCBvSMfHGzC8UVYz
FREAK (feat. YUNGBLUD);";";"Demi Lovato; YUNGBLUD";";";7qn5ylWlm2dSZtdCEeMO99
EAT ME (feat. Royal & the Serpent);";";"Demi Lovato; Royal & the Serpent";";";0ByTfwoYWdom6GlQ9BIdv2
HELP ME (with Dead Sara);";";"Demi Lovato; Dead Sara";";";5T701yKTP6Eaao1SIUxusz
Met Him Last Night (feat. Ariana Grande);";";"Demi Lovato; Ariana Grande";";";3xyyeaoYINqf5sz75APzLY
What Other People Say (with Sam Fischer);";";"Sam Fischer; Demi Lovato";";";3RH58cpE7qEaRRocRNM6kN
Easy (with Noah Cyrus);";";"Demi Lovato; Noah Cyrus";";";5l2B7ml47Ytlxld5rx29xO
My Girlfriends Are My Boyfriend (feat. Saweetie);";";"Demi Lovato; Saweetie";";";32RYWfI39DxH8S1KtMS2wt
Met Him Last Night (feat. Ariana Grande);";";"Demi Lovato; Ariana Grande";";";0BI0hfbmqybnd3TezrDME3
What Other People Say (with Sam Fischer);";";"Sam Fischer; Demi Lovato";";";2tsI8snJhb4BL9zczvlZmL
Easy (with Noah Cyrus);";";"Demi Lovato; Noah Cyrus";";";35iY0wPXAoLnI6ahHk0hUV
My Girlfriends Are My Boyfriend (feat. Saweetie);";";"Demi Lovato; Saweetie";";";3Ge1KFkRXKJgPz3keyQWaw
Met Him Last Night (feat. Ariana Grande);";";"Demi Lovato; Ariana Grande";";";4yyX2Iu4xJjW9xMvBZKSBi
What Other People Say (with Sam Fischer);";";"Sam Fischer; Demi Lovato";";";1eCYI7srxlApt4J8FS7Tcm
Easy (with Noah Cyrus);";";"Demi Lovato; Noah Cyrus";";";3K0JEe0tITHENuJTuao3z0
My Girlfriends Are My Boyfriend (feat. Saweetie);";";"Demi Lovato; Saweetie";";";2Z2u68PwXoDvaLLrv7EkFQ
I'm Ready (with Sam Smith);";";"Sam Smith; Demi Lovato";";";4J7EsTImsEC0Py8JYgEGhK
OK Not To Be OK (with Marshmello);";";"Marshmello; Demi Lovato";";";29YnALwbSU7HiotMGP3J8b
Lonely;";";"Demi Lovato; Lil Wayne";";";1ZyJYpZXAGHaRNAoFGReeN
Instruction;";";"Jax Jones; Demi Lovato; Stefflon Don";";";1HZhQx3JkzfvjLVJWe44yL
No Promises - Acoustic;";";"Cheat Codes; Demi Lovato";";";4gd5QOwPhztB74FW28S93P
Lonely;";";"Demi Lovato; Lil Wayne";";";3zxLNqZoSbSr8V5emGDIU4
Kingdom Come;";";"Demi Lovato; Iggy Azalea";";";6nyQdoORe3yeZoIVAIdhWY
Waitin for You;";";"Demi Lovato; Sirah";";";3eI8cc84l1jj8sunkMEJhK
Kingdom Come;";";"Demi Lovato; Iggy Azalea";";";5DJGyHhas36jlD3ImtTJdo
Waitin for You;";";"Demi Lovato; Sirah";";";586Q1Orh7e4bbrRh9lfJgY
Really Don't Care;";";"Demi Lovato; Cher Lloyd";";";5A7MSlqLfD2AEYCCrD6QWB
Up;";";"Olly Murs; Demi Lovato";";";5ke0m7VxCkPTZT2nCYPdud
Really Don't Care;";";"Demi Lovato; Cher Lloyd";";";5vTPxzm4h2bY9rYyVrGEU5
All Night Long;";";"Demi Lovato; Missy Elliott; Timbaland";";";4wODOg3NPt56JE0sB6d5hY
Who's That Boy;";";"Demi Lovato; DEV";";";4s6uISi4qxj5GK84p3Idu3
You're My Only Shorty;";";"Demi Lovato; Iyaz";";";3XJBuQ1vmcB1VeUuD86rQJ
Together;";";"Demi Lovato; Jason Derulo";";";3N4WwagA2EJlXyX3tuQgU2
On the Line;";";"Demi Lovato; Jonas Brothers";";";3fgR8pFFbvxcD6zmOIUKqM
Penhasco2;";";"Luísa Sonza; Demi Lovato";";";2x0niclb43zaGO1fcyNpLr
Sorry Not Sorry (with Slash) - Rock Version;";";"Demi Lovato; Slash";";";0zdovTYimmoOLnRRyvhGke
Let Me Down Easy;";";"Demi Lovato; Daisy Jones & The Six";";";74YyVH1E6gSlZCbtN6OgJN
Eve, Psyche & the Bluebeard’s wife (feat. Demi Lovato);";";"LE SSERAFIM; Demi Lovato";";";5zYrD1r49ex3WJk6iVIhfw
Sorry Not Sorry (with Slash) - Rock Version;";";"Demi Lovato; Slash";";";3sxeoitzj07ONdF2akJ62y
fiimy - fuck it, i miss you (Housefly Remix);";";"Winnetka Bowling League; Demi Lovato; Housefly";";";0vrTSPuPlEg5AWmBh6VHuk
Cool for the Summer - Sped Up (Nightcore);";";"Demi Lovato; Speed Radio";";";4FYWOYqOF9lbb1JcZFDT67
fiimy - fuck it, i miss you (Live);";";"Winnetka Bowling League; Demi Lovato";";";6wwEG5zQfZiPsrdGkobSEF
fiimy - fuck it, i miss you;";";"Winnetka Bowling League; Demi Lovato";";";4BWtx4oafnboNpyH1x8zEc
Breakdown (feat. Demi Lovato);";";"G-Eazy; Demi Lovato";";";6g478D6h32WUmvtlhcpbNE
Met Him Last Night - Dave Audé Remix;";";"Demi Lovato; Ariana Grande; Dave Audé";";";0mHz9vqcznnfUcLqfQb3kd
Met Him Last Night;";";"Demi Lovato; Ariana Grande";";";3y8cszrL321MmWUXtK914s
Met Him Last Night;";";"Demi Lovato; Ariana Grande";";";71NBvIYtWygMmp7XgQXbvz
Lonely People - DJ John Michael & DJ Skribble Peloton Remix;";";"Demi Lovato; DJ John Michael; DJ Skribble";";";4tQDKqWZXASgNWhcftrKjk
What Other People Say;";";"Sam Fischer; Demi Lovato";";";2h9TDNEXRhcDIV3fsoEVq9
