Nome da Música;Artistas;ID da Música
ULALA (OOH LA LA);";";"Myke Towers; Daddy Yankee";";";2QKVCfIDdHf16FkDPFHBHX
CONOCERTE;";";"Myke Towers; Ozuna";";";2kYpPAekg0r1hHtfmi1f0V
CAMA KING (feat. Chita);";";"Myke Towers; Chita";";";1EOyHhh5uOwNrDhiUNnH2u
CELOS;";";"Myke Towers; J Balvin";";";63TolxqG0C6bNh23Ht4jHf
DON & TEGO;";";"Myke Towers; Arcángel";";";6wTX1zUPc2qdQnDZnVhuoV
LO INVERTÍ;";";"Myke Towers; Miky Woodz";";";1zgzf9LXZxLIY1cXC7pEfE
DE NOVELA;";";"Myke Towers; Sahir";";";7m6oknLLj0b6HnfB757DaQ
BALAS LOCAS;";";"Myke Towers; Jon Z";";";6SGyozVTLxcRHVluCrie2x
BURBERRY;";";"Myke Towers; Ñengo Flow";";";1cH9JMgvzkOXGKPiegrBjw
Si Se Da;";";"Myke Towers; Farruko";";";4jMwPJMtMF977ciTvD5fwg
Borracho y Loco;";";"Yandel; Myke Towers";";";7G0vBgcC5p2tBpeHiQzGFf
Mi Lova;";";"Bad Gyal; Myke Towers";";";6qUfKsUPGERMdhOwPIqhsS
El Cielo;";";"Sky Rompiendo; Feid; Myke Towers";";";4PA1wK0leCjmRZlP5dQ8Lv
obstáculo;";";"Tainy; Myke Towers";";";0aNEvtr8iBURNCLr6naHfa
Baby Father 2.0 (feat. Myke Towers, Arcángel, Ñengo Flow and Yeruza);";";"YOVNGCHIMI; Myke Towers; Arcángel; Ñengo Flow; Yeruza";";";3gnyHrHJ4J0QUFnMllQv1F
T'as peur;";";"Aya Nakamura; Myke Towers";";";0KERPiv5izyNsVcXYNEugE
Whiskey y Coco;";";"Justin Quiles; Myke Towers";";";0otoSS2m3QjbDLzsHMobgK
PLAYA DEL INGLÉS;";";"Quevedo; Myke Towers";";";2t6IxTASaSFkZEt61tQ6W6
ULALA (OOH LA LA);";";"Myke Towers; Daddy Yankee";";";4EQOGfssbSpTlV6EZRtrSv
Ande Con Quien Ande;";";"Myke Towers; Jhayco";";";6AizmGCrFRQHru1Qf8WKoJ
