Nome da Música;Artistas;ID da Música
Niña Bonita;";";"Feid; Sean Paul";";";4VPoFy002PwspvctfYP6zx
GANGSTERS Y PISTOLAS;";";"Feid; Ñengo Flow";";";2GOnlLJqDMvlXlEqD8AQqn
FERXXO 151;";";"Feid; ICON";";";2Cl4HCBmPddQNZEncdoXp0
BUBALU;";";"Feid; Rema";";";62xla8336vUnmxTWNzCfRt
RITMO DE MEDALLO;";";"Feid; Ryan Castro";";";30ZwYmaZ9rrmjlEHLhF8qR
el único tema del ferxxo;";";"Feid; Young Cister; Pailita";";";5CLzTL3KI3xb1SbjE8lNWO
PRIVILEGIOS;";";"Feid; Cupido";";";2HFJ2nXf7Komq9a4Z0Bbrm
XQ Te Pones Así;";";"Feid; Yandel";";";6JUMswocQ7Hp46kj9kyljT
Quemando Calorías;";";"Feid; Sky Rompiendo";";";3ss6y0Id5Iwk2L5MIZp4xF
CHIMBITA;";";"Feid; Sky Rompiendo";";";5Qu488SxfRwIYalrMMjmE7
PURRITO APA;";";"Feid; ICON";";";1epyvAxnYmVKS0UVn9Wsln
FRIKI;";";"Feid; KAROL G";";";2WrqTrNIHqfcMCgmEo0A7E
Monastery;";";"Ryan Castro; Feid";";";0lBYoRwjutFWOBGfQ2uMGk
RUDEBOYZ;";";"Feid; The Rudeboyz";";";19bRjBsNb33qkJkyYNZT16
FUMETEO - Remix;";";"Feid; Mora; Eladio Carrion";";";5SXG3VyqqWkzr4a3sUnupK
MIONCA AL BLOQUE;";";"Feid; Sael";";";0mIFOa5E7widNaQ76voSN1
CHIMBITA;";";"Feid; Sky Rompiendo";";";35xvhWIZMpsDcJxr14Ukbx
PURRITO APA;";";"Feid; ICON";";";4s3clr8iaefWqqPxHGKZj1
enemigos;";";"Feid; Miky Woodz; Juhn";";";05BpaUYj7dL1vsE2oNsTzV
FOTOGRAFÍAS;";";"Feid; Zion & Lennox";";";1q8oUVzv2NPMpeQbSAiUvH
JAMAICA;";";"Feid; Sech";";";3mEuWQDngXevBTZLf48XDx
BREAK UP;";";"Feid; De La Ghetto";";";4xpkpFN38ZUGTNH4majHuu
FERXXO X ÑEJO;";";"Feid; Ñejo";";";6qXKkWIJlEYgWOvvnaHVms
XX - Remix;";";"Feid; Dalmata";";";1E3M0dUlGW3gY9aylkFrpd
otra vez;";";"Feid; Alvaro Diaz";";";6RmnotfWeDu72fXhpo26Bq
PORFA - Remix;";";"Feid; J Balvin; Maluma; Nicky Jam; Sech; Justin Quiles";";";0O6y19p9Mj6hcwD5cOQaMI
FRESH KERIAS;";";"Feid; Maluma; Sky Rompiendo";";";6bfsLxdThst8i1LfkVmLZr
PORFA;";";"Feid; Justin Quiles";";";4TOmcZvw0gHa7GiXRbcYAW
BORRAXXA;";";"Feid; Manuel Turizo";";";16uvds0iYqjEK8m5EGEdVd
CU U U U UX;";";"Feid; Alvaro Diaz";";";3jO5IAvslWxaTxswokg66i
RELXJXTE;";";"Feid; Sky Rompiendo";";";0eI8yxgCGbguwbK26n22RQ
Buena Mala;";";"Feid; Alizzz";";";58vh4wStJA86AvYzYoUI3d
Sígueme - Remix;";";"Feid; Sech";";";7IpRYJ71dk98P0SmgnNLYh
911;";";"Feid; Nacho";";";0f0EV02n2JdUFFoKU1jUPq
Mazucamba;";";"Feid; Reykon";";";636rSPiSzriPHFocJYpG5u
S.O.S.;";";"Feid; Jory Boy";";";6m2dMU5Wv2n0qjXuZiwybC
Que Raro;";";"Feid; J Balvin";";";2C99k3JjpT8eTzIAVZwOEa
el único tema del ferxxo;";";"Feid; Young Cister; Pailita";";";4TV3DqlWiwOaqYzKQaoo3C
RITMO DE MEDALLO;";";"Feid; Ryan Castro";";";4N7upGXy0E8jEs5uF88Gp2
PRIVILEGIOS;";";"Feid; Cupido";";";69jZvoJLJMii9EUhNCUsQP
GANGSTERS Y PISTOLAS;";";"Feid; Ñengo Flow";";";7DMHFEUI4biOleAIV1qlYu
BUBALU;";";"Feid; Rema";";";36FTXlmbiV2diZdZukzLDm
FERXXO 151;";";"Feid; ICON";";";1LFXWfARjkBkc9Abofmgp8
LA BABY;";";"Tainy; Daddy Yankee; Feid; Sech";";";1PyEIqKSHiGNK9KjxosuHi
Yankee 150;";";"Yandel; Feid; Daddy Yankee";";";28BSTgZH1ckI8Xfy8LXaRz
POLARIS - Remix;";";"Saiko; Quevedo; Feid; Mora";";";0EhuGnOS6fTc5l5UNtDEH2
El Cielo;";";"Sky Rompiendo; Feid; Myke Towers";";";4PA1wK0leCjmRZlP5dQ8Lv
69;";";"Nicky Jam; Feid";";";13Z5Q40pa1Ly7aQk1oW8Ce
Niña Bonita;";";"Feid; Sean Paul";";";3Gs7mVfWKl567mjozgxmXv
Classy 101;";";"Feid; Young Miko";";";6XSqqQIy7Lm7SnwxS4NrGx
Yandel 150;";";"Yandel; Feid";";";2oiixB9QMIzhWaHGVlQx4g
La Pasamos CXBRXN;";";"Feid; Zion & Lennox";";";672zDo2nzWSoIIQ7zD5kuj
Malibu;";";"Feid; Ak4:20; Taiko";";";70eKkoAuE9dgHYLmoexsou
HOOKIA;";";"Feid; Jory Boy";";";1WgyA7SYEzPRZkig3q1b0j
Le Pido a DIOS;";";"Feid; DJ Premier";";";4TFNKnMWjcMWzpkSwQrrcu
Hombres y Mujeres;";";"Gordo; Feid";";";71L9EZo8OEaZINg75dBUSW
Malibu;";";"Feid; Ak4:20; Taiko";";";4TRlBMj8wXsIfEDgWOPyE2
A Veces (feat. Feid);";";"Paulo Londra; Feid";";";63OA8vSo2PhUkmQopR1l64
Salir Con Vida;";";"Morat; Feid";";";5OX1JvE7gTkOd1DSzlrtFw
En La De Ella;";";"Jhayco; Feid; Sech";";";5NxhMcHSVY3Z7ykWxZf3aj
Hey Mor;";";"Ozuna; Feid";";";6Rpbzk2LC8xWZI93RyodAq
Nieve - Good Times Ahead Remix;";";"Feid; Good Times Ahead";";";0Z89MaST5Egh1JGuWtIohT
