Nome da Música;Artistas;ID da Música
Sorry for the Delay;";";"$uicideboy$; Germ";";";49YpGS0rVcRLtiDvx5JQyp
BUCKHEAD;";";"$uicideboy$; Germ";";";5dol1hrERJOReznLRJ2VVQ
I Dream of Chrome;";";"$uicideboy$; Germ";";";3QQXpvZd9qmzHZ02wDf2im
Champagne Face;";";"$uicideboy$; Germ";";";1UsvO5U72YRU8Xnq8Lp14O
The Serpent and the Rainbow;";";"$uicideboy$; Germ";";";2CkpD7gqMXrrpTCJ9TZ0bw
My Swisher Sweet, But My Sig Sauer;";";"$uicideboy$; Germ";";";1xIibyoUvyxwoNqx8quHSz
Center Core Never More;";";"$uicideboy$; Germ";";";67IECOggWzBnCERhbOlTRp
BREAKDALAW2k16;";";"$uicideboy$; Pouya";";";1Fy64jklSy06F9KuP4zHIs
Water $uicide;";";"$uicideboy$; Chris Travis";";";7ARCUwIiTuk1vR3pxYaceV
Ultimate $Uicide;";";"$uicideboy$; Denzel Curry";";";4D8NOZVCNZBfXNO8VZ3PXM
Marlboros & White Widow;";";"$uicideboy$; Germ";";";1czMCKdpD1GCifCnk5JPJt
Golden Calf;";";"$uicideboy$; Eddy Baker; Fat Nick";";";11NMNcJsujIZlMbRzqMHn4
Grayscale;";";"$uicideboy$; JGRXXN; Black Smurf; Ramirez";";";65APjJmwAiUkCiK5tc1e9T
$outh $ide $uicide;";";"$uicideboy$; Pouya";";";496GZe7MxLloHgUQTmY2Ch
Lincoln Continental Memorial;";";"$uicideboy$; Slug † Christ";";";3Zz4S3UxLEcbEf4UWRucn5
Cerberus;";";"$uicideboy$; Masta Drag";";";5xjjbACSDUzWIfkzMlAphz
Handzum $uicide;";";"$uicideboy$; Rozz Dyliams";";";13959KzRbP49BJu9osgkvH
Vices;";";"$uicideboy$; JGRXXN";";";3zevRz7rXVqoGpQVtcx2pG
Free Gucci;";";"$uicideboy$; Black Smurf";";";3IlEaRY4N9SCg9v9VJ1CYn
Chilly Gentilly;";";"$uicideboy$; Black Smurf";";";2xlbU9gRBaBwSDGNhsM6oF
Weightoven;";";"$uicideboy$; Black Smurf";";";0qXl0fuQ4CQ7GUmA7CPKe2
It's About a 6 Hour Drive;";";"$uicideboy$; Black Smurf";";";7iYyCjeTlt68QmWdbGexJw
Ruby Is Finally Satisfied with His Verse;";";"$uicideboy$; Black Smurf";";";3kiZ8cunUYbAldaVxQoKNA
Lacombe;";";"$uicideboy$; Black Smurf";";";5yk3KALSi2BRpKtL0Q56Fw
Who's Pills Are These? (What Bag Were They In?);";";"$uicideboy$; Black Smurf";";";5HJyKt1IuMKiv5V3ZdeMbF
Loot;";";"$uicideboy$; Ramirez; Black Smurf";";";2HhLK0hZu9XjUuOrOZ4D5Y
Magnolia;";";"$uicideboy$; KirbLaGoop";";";0xK6mxtum6akTBatRnhLEQ
$Hrimp Poboy;";";"$uicideboy$; Supa";";";6e65INz3xJ9QZ4k7a9Yqje
To Kill a Mockingbird;";";"$uicideboy$; Na$ty Matt";";";33h5bUDTKeG7d5gWjXvRZ8
Guady Pack Shawty;";";"$uicideboy$; Yung God";";";5B7ZA9qMLMDXfov9eyWQbK
Smoked out, Loced Out - Part II;";";"$uicideboy$; Eddy Baker";";";0mwOMHipRaJf1PggRpOjik
Provolone & Heroin (Feat. Freddie Dredd);";";"$uicideboy$; Freddie Dredd";";";54fRzLh8yrhK7lcjr6X5LH
Datura;";";"$uicideboy$; Fast & Furious: The Fast Saga";";";327cTqhJbYujvns5mLWjUh
Bloody 98 (Feat. Ghostemane);";";"$uicideboy$; Ghostemane";";";48P5W4nVpguobOWSY7HNxg
SHAMELESS $UICIDE;";";"$uicideboy$; Shakewell";";";1vjon7jtpF5usLV2CVxtsw
Whole Lotta Grey;";";"$uicideboy$; Shakewell";";";4s0R9lDVKIchcSlFBPosIN
Gutter Bravado;";";"$uicideboy$; Shakewell";";";2QLtGUtAIm6Mz3ld3pmvWv
Went to Rehab and All I Got Was This Lousy T-Shirt;";";"$uicideboy$; Shakewell";";";5YgVfM7ScWReWeX8l0OU7i
Six Lines, Two Dragons, and a Messiah;";";"$uicideboy$; Shakewell";";";4Xid2bPvFoMcwp6NeUT2Ap
Big Shot Cream Soda;";";"$uicideboy$; Shakewell";";";0JDsxnw0kjsXX1M6Vagzak
Big Shot Cream Soda;";";"$uicideboy$; Shakewell";";";3wHRgXJJTTwS2CkusTpn56
My Swisher Sweet, But My Sig Sauer;";";"$uicideboy$; Germ";";";4QlbH3QGLr13WeLUywH9DA
Killing 2 Birds with 22 Stones;";";"$uicideboy$; Travis Barker; MUNKY";";";2ruH1qbTCL6DHpHSmgsbgc
Sour Grapes;";";"$uicideboy$; Travis Barker";";";1ky5ZKgqSZVuo86YhbW7yn
DON'T TRUST ANYONE!;";";"$uicideboy$; Travis Barker; MUNKY";";";6bMuWTjnruILqKPPCdUIlx
Individuality Was So Last Year;";";"$uicideboy$; Travis Barker; MUNKY";";";3GqG53vdl5FlSVwXcvvgKI
Aliens Are Ghosts;";";"$uicideboy$; Travis Barker";";";4K1nlpgv1xytJAVrW2cgsp
nothingleftnothingleft;";";"$uicideboy$; Travis Barker";";";4klG6u9kQqTabhUpIMCYRT
nothingleftnothingleft;";";"$uicideboy$; Travis Barker";";";224AEJh39pypNbLGNhcZSZ
Aliens Are Ghosts;";";"$uicideboy$; Travis Barker";";";4XBDGFxecM5Y3KZFF0iufe
The Road to Hell is Highway 59;";";"$uicideboy$; Ramirez";";";2kH0emzbNE41iYUqNznJhz
Sarcophagus;";";"$uicideboy$; Ramirez";";";5o0FL29OWV58jrssUCh4gL
Fuck a Hoe, Pt. II;";";"$uicideboy$; Ramirez";";";1gzs7M4VWi308dq1NanMfU
G.R.E.Y.G.O.D.S.;";";"$uicideboy$; Ramirez";";";2AD0AClM5SLRuw6N5J0tFi
Dolemite;";";"$uicideboy$; Ramirez";";";3tSWvv14sRXilClyazeU9N
6 6 6 F O R E V E R;";";"$uicideboy$; Ramirez";";";1GfUGuM7YyR8EvCZbp76S6
Black $uicide;";";"$uicideboy$; Black Smurf";";";04I5cTYrEcamaDgfIQAcSD
Brooklyn;";";"$uicideboy$; Black Smurf";";";5b4nk55SBrv1dKk4kjEbve
Smoke Break;";";"$uicideboy$; Black Smurf";";";40vJ9MKZXQkhNLdxiJpVYT
Fema Camps;";";"$uicideboy$; Black Smurf";";";4IAFcjRlDs63Ccsm2gWviJ
...And so It Was;";";"$uicideboy$; Black Smurf";";";5P45rIpV682KkvtZjZtuwB
Purple Ranger - Sippin' Donatello with Captain Ginyu Y2k Remix;";";"$uicideboy$; Wavy Jone$";";";3GHLgXVHbAzOwUvw3ZU0Fu
Fuck a Hoe;";";"$uicideboy$; Black Smurf";";";7mQ28CZOtAWc18dp4YbZv1
Deep Web;";";"$uicideboy$; Woozy Medz";";";0RgqQsHhiBYjyRa5BRUpg6
Slow Motion Potion;";";"$uicideboy$; Supa";";";6WCM6IaMetO3846p6nj3Fs
Mask & Da Glock;";";"$uicideboy$; Trippy tha Kid";";";2LRyFZnPdogRD8fjdj0gHr
Maple Syrup;";";"$uicideboy$; Bones";";";5SN1ffDyC7OtMlZjdOKgHZ
Maple Syrup - DJ Poliwhirl Remix;";";"$uicideboy$; Bones";";";4KLkLFY8Wv6tRu6UknJF4B
