Nome da Música;Artistas;ID da Música
Smokin';";";"Lil Peep; ILOVEMAKONNEN";";";5LynGPH5aTxRaFcEb3mo6X
IDGAF 2;";";"Lil Peep; ILOVEMAKONNEN";";";0Cgkin0FQx7p0NkbFNaye7
Favorite Drug;";";"Lil Peep; ILOVEMAKONNEN";";";7CvQjUkQwxiPQhG1sMHupW
Hypnotized;";";"Lil Peep; ILOVEMAKONNEN";";";0QFNkqFcqNvNWwl7neYWTB
Ballin';";";"Lil Peep; ILOVEMAKONNEN";";";6NiY5n6U4DSvt3ODwio86t
Really Loving You;";";"Lil Peep; ILOVEMAKONNEN";";";2y9jLjSE1fc8SO1X7CfImt
November;";";"Lil Peep; ILOVEMAKONNEN";";";6jBCCagu3siLCLnUGdDpMB
Guiltiness;";";"Lil Peep; ILOVEMAKONNEN";";";1Brr0eLX4P1hpUsbDb3HmS
Prove My Love;";";"Lil Peep; ILOVEMAKONNEN";";";7xsZCOPVVcZTVQ36PvCpN5
Sidelines;";";"Lil Peep; ILOVEMAKONNEN";";";595WaMRQ0RKXM8Bsuwd0pR
I've Been Waiting - OG Version;";";"Lil Peep; ILOVEMAKONNEN";";";7o79V4l9zE25nKukgyQZnK
Rent To Pay;";";"Lil Peep; ILOVEMAKONNEN";";";1nIEuXfXvBCECJPYehm8BX
I Sell Cocaine;";";"Lil Peep; ILOVEMAKONNEN";";";02Yg3JyLM9OpALnxTQtznF
That Juice;";";"Lil Peep; ILOVEMAKONNEN";";";4JLG4NsrxFSkqDQLIuslTa
Twisted;";";"Lil Peep; ILOVEMAKONNEN";";";6tZc1CyGZEmcR4pKDv7ozR
Nasty Names;";";"Lil Peep; ILOVEMAKONNEN";";";3IWj969mlXzPELbV0Z8MzF
Kiss Me;";";"Lil Peep; ILOVEMAKONNEN";";";4CAczeiHfCjMknhbNh7UJ8
Cry Baby 2;";";"Lil Peep; ILOVEMAKONNEN";";";0tPqkzEGDxaOkrNX9nUvhX
Hocus Pocus;";";"Lil Peep; ILOVEMAKONNEN";";";5tS5kRCiqejkNAi0sxtT71
Cruise With You;";";"Lil Peep; ILOVEMAKONNEN";";";3Tp0PiIlRukIvTXhYZTAiu
Diamond Piano Freestyle (Outro);";";"Lil Peep; ILOVEMAKONNEN";";";57zurzk7ty1u3AIZeD8Jei
