Nome da Música;Artistas;ID da Música
Quiet Storm (with Zomboy);";";"DJ Snake; Zomboy";";";35xUmLrFSenbmMXxnOEzPJ
Recognize (feat. Majid Jordan);";";"DJ Snake; Majid Jordan";";";3h8DEwf84w5E5FqpXUFVnw
No More (feat. ZHU);";";"DJ Snake; ZHU";";";42gSzLeOsAUcpk0ZXoCIov
Made In France (with Tchami & Malaa, feat. Mercer);";";"DJ Snake; Tchami; Malaa; Mercer";";";7scnGF7yjmcpjIeJEvJoi1
Enzo (with Sheck Wes, feat. Offset, 21 Savage & Gucci Mane);";";"DJ Snake; Sheck Wes; Offset; 21 Savage; Gucci Mane";";";16qyARqmuyJ6Dvb9LWa7AO
Smile (feat. Bryson Tiller);";";"DJ Snake; Bryson Tiller";";";2UKvB7a6vCtNRV1WY72CTD
Try Me (with Plastic Toy);";";"DJ Snake; Plastic Toy";";";0tH5W7aF0zldYyoimBS0Oq
Loco Contigo (with J. Balvin & Tyga);";";"DJ Snake; J Balvin; Tyga";";";2cb5ytodUZ7iTEua8wal6P
Taki Taki (feat. Selena Gomez, Ozuna & Cardi B);";";"DJ Snake; Selena Gomez; Ozuna; Cardi B";";";4oYa2wx2S0KBTyuuwHpcWi
Fuego (with Sean Paul & Anitta, feat. Tainy);";";"DJ Snake; Sean Paul; Anitta; Tainy";";";0IEtAuqfRwOlqmKPllNbw4
Southside (with Eptic);";";"DJ Snake; Eptic";";";3R66wUZIEdERFwwV5OlheX
No Option (feat. Burna Boy);";";"DJ Snake; Burna Boy";";";6Htywh7EUPdE3rCPzf00fv
Paris (feat. GASHI);";";"DJ Snake; GASHI";";";5DijTOe0749cwc0IVH85yO
Loco Contigo (with J. Balvin & Ozuna feat. Nicky Jam, Natti Natasha, Darell & Sech) - REMIX;";";"DJ Snake; J Balvin; Ozuna; Nicky Jam; NATTI NATASHA; Darell; Sech";";";4odViYSPthqtubEZHUvXUj
