Nome da Música;Artistas;ID da Música
Heart over Mind;";";"Alan Walker; Daya";";";3duI7TT4kzLtoqf4PeUR3Z
Spectre 2.0;";";"Alan Walker; Steve Aoki; Lonely Club";";";6DCF3DIlT4iGKGlqudoUD7
Better Off (Alone, Pt. III);";";"Alan Walker; Dash Berlin; Vikkstar";";";5hT3U17QZiP74YN9xF32JG
Endless Summer;";";"Alan Walker; Zak Abel";";";17B2JRnNp9qrYvkc1kdQbF
Hero;";";"Alan Walker; Sasha Alex Sloan";";";5PiWtNUlE9h2OK2mJgTNou
Born to Ride;";";"Alan Walker; Sophie Stray";";";0lHqYOYYtJ00Q5b8sBiZ1T
Yesterday;";";"Alan Walker; Ali Gatie";";";4LwD6qis9rMwnmbxUguh61
Land Of The Heroes;";";"Alan Walker; Sophie Stray";";";0dcwQ7S2VHWtdSzvZRjsWu
Shut Up;";";"Alan Walker; UPSAHL";";";1hf9Wu2l0XIgAcTZLSAUJe
Lovesick;";";"Alan Walker; Sophie Simmons";";";2ECNBJ0b112QmhoBHKq8O6
Catch Me If You Can;";";"Alan Walker; Sorana";";";1NLATwwXcg0ff8PDY7xkYM
Blue;";";"Alan Walker; Ina Wroldsen";";";2DwNvCKsQLtLILczk3I9bA
Somebody Like U;";";"Alan Walker; Au/Ra";";";5CkNcNcocnAWbshrLuCl2B
Extremes;";";"Alan Walker; Trevor Daniel";";";1x3XVNoLlXJWEGyoIP9cyB
Hello World;";";"Alan Walker; Torine";";";7dRlvfMWDLG11RidzmLrWe
Adventure Time;";";"Alan Walker; Philter";";";0ucwsCom5SsW4r21ht5cpK
Time - Alan Walker Remix;";";"Alan Walker; Hans Zimmer";";";63dMNGUUu7rXX0NZYVO3Tm
Man On The Moon;";";"Alan Walker; Benjamin Ingrosso";";";0zqBZqm5czQ3A4EoSdKFHj
Alone, Pt. II;";";"Alan Walker; Ava Max";";";28VbwtsYnj85UEODGpQRem
Paradise;";";"Alan Walker; K-391; Boy In Space";";";2sVcG5mresyV79qpYr3M1C
Out Of Love;";";"Alan Walker; Au/Ra";";";1ez5ood0PsYP4Yi6KhYe7H
Sorry;";";"Alan Walker; ISÁK";";";6k1Q8mNcA2jFH0uv5B6g9G
Fake A Smile;";";"Alan Walker; salem ilese";";";1Ph65gYzHdiNDs9yWh4ePY
On My Way;";";"Alan Walker; Sabrina Carpenter; Farruko";";";3BomnHfqKZCdPJC9bkGBjE
World We Used To Know;";";"Alan Walker; Winona Oak";";";5I9Qa1LfGcQGCIC32lh9Ka
Heading Home;";";"Alan Walker; Ruben";";";6GZaY8DSHOgllwQ28ok7Rs
OK;";";"Alan Walker; JOP";";";1fohm4EDuPauFyFIKmTIUm
Hummell Gets The Rockets - Alan Walker Remix;";";"Hans Zimmer; Alan Walker";";";1qFmSPALGSoqjbwM3br4Rl
Not You;";";"Alan Walker; Emma Steinbakken";";";5BKJAuVMDyrFvUTo4dIaiK
