Nome da Música;Artistas;ID da Música
10:35 - Mixed;";";"Tiësto; Tate McRae";";";6tRjzIqlyNyVcNvZYPYHvl
Back Around - Mixed;";";"Tiësto; AR/CO";";";0T9neWSIXSMm9JiB90dl4j
Hot In It (feat. Charli XCX) - Mixed;";";"Tiësto; Charli XCX";";";4Iqx8fPo4lhUUBkI82w2Ej
The Motto - Mixed;";";"Tiësto; Ava Max";";";1Sjwi1QCc2dzCWPR2MeH6W
Bet My Dollar - Mixed;";";"Tiësto; Freya Ridings";";";0VsZOgNpdYutI1oXl0ogrc
Chills (LA Hills) - Mixed;";";"Tiësto; A Boogie Wit da Hoodie";";";3OczXLaEfnAHr5JWaautFy
Pump It Louder - Mixed;";";"Tiësto; Black Eyed Peas";";";6sMLF5m4hUWZVtgIaeeDwd
Don't Be Shy - Mixed;";";"Tiësto; KAROL G";";";1i3Y0PKJ8lSTycriOddOyK
Chills (LA Hills);";";"Tiësto; A Boogie Wit da Hoodie";";";2L6IdXP4KU8gExefLqL7Zz
The Motto;";";"Tiësto; Ava Max";";";5RnMOM1drWvJ3KYKqcUFd5
10:35;";";"Tiësto; Tate McRae";";";3uY1yq7HzP6ncr3MFhmKAP
Hot In It (feat. Charli XCX);";";"Tiësto; Charli XCX";";";615WGDDc6rRKdKAQB2CTvG
Pump It Louder;";";"Tiësto; Black Eyed Peas";";";0VvY6bJ2krVO9OtTwyJmtL
Don't Be Shy;";";"Tiësto; KAROL G";";";42GVFip18j7QYynp0uhEpx
Bet My Dollar;";";"Tiësto; Freya Ridings";";";1Ikjimk3AsR6GEcXXzWjlX
Back Around;";";"Tiësto; AR/CO";";";4uhP9qUxuS4BtnouMRIjEI
God Is A Dancer;";";"Tiësto; Mabel";";";6mIrY9axk9DkBCk4eHXL6c
Nothing Really Matters;";";"Tiësto; Becky Hill";";";39TATbzOKDwiWdrmuQBLGK
Ride;";";"Tiësto; The Kid Daytona; ROE";";";6GpoUPegO1TBbZCoE7FxZ7
Ritual;";";"Tiësto; Jonas Blue; Rita Ora";";";0teJO13Uua0AamcZ681qOd
Jackie Chan;";";"Tiësto; Dzeko; Preme; Post Malone";";";4vvnuJlgBeNVwq3TNmLMNX
Lifestyle;";";"Tiësto; KAMILLE";";";2etmWkDzfNe7wEsb1UaBrp
On My California;";";"Tiësto; Shaun Frank; Snoop Dogg; Fontwell";";";05kyh6IkfisfWjZoVkHFTL
BLUE;";";"Tiësto; Stevie Appleton";";";2WRCwrRte5jmUQuLvlMTbe
Round & Round;";";"Tiësto; GALXARA";";";7ws2bj14L3aKw42CyBVpxm
Lose You;";";"Tiësto; ILIRA";";";7sFk2PA3NsrrSsGa4CM3rs
Over You;";";"Tiësto; Becky Hill";";";5RAXb67yhAe5rw5Q9nSPUg
What’s It Gonna Be;";";"Tiësto; KAMILLE";";";74LTsGNEMUicvEWC4NExCR
Insomnia;";";"Tiësto; Violet Skies";";";6uLyhMFTjb3xhmLXKykjTV
My Frequency (feat. RebMoe);";";"Tiësto; 7 Skies; RebMoe";";";1y0UriJkdMdvlkWpjaI6Vs
Acordeão;";";"Tiësto; MOSKA";";";0XOpvVTsOIdYQ3gyyu9onu
Feels So Good (feat. Kelli-Leigh);";";"Tiësto; Justin Caruso; Kelli-Leigh";";";6oLwA7urPX5GGRXX59TYZ9
Halfway There (feat. Lena Leon);";";"Tiësto; Dzeko; Lena Leon";";";0pMyrECfSI1yq2NXxZyLmA
Can't Get Enough;";";"Tiësto; Mesto";";";4FpsZqiM5vdrCh8QpCKJQd
Party Time;";";"Tiësto; SWACQ";";";3Ak6t93rQhbgjSsaNwxwoq
My Whistle;";";"Tiësto; Sikdope";";";7txV7LsVsYFUZWKupu7XF5
Lose Control;";";"Tiësto; Stoltenhoff";";";0MOkTR1nUs2F0Ux05TUqcR
Trouble (feat. Micky Blue);";";"Tiësto; 7 Skies; Micky Blue";";";6cQgcgInVx1zRQpSCnnBUU
Can You Feel It;";";"Tiësto; John Christian";";";7aFj8SWg3eTkxCQGE82NOs
Diamonds (feat. Micky Blue);";";"Tiësto; Aazar; Micky Blue";";";3q0JDvA9RJMNgZGvKJByyk
Harder (feat. Talay Riley) - Harder Intro Edit;";";"Tiësto; KSHMR; Talay Riley";";";4NzeA3GjfKrwjfY2rSSL2f
Faster Than A Bullet;";";"Tiësto; VASSY";";";3z3kH4Sg3MhusVawon7xYm
Scream;";";"Tiësto; John Christian";";";2MxMwKtn5vK7urJf4pb4KR
Carry You Home (feat. StarGate & Aloe Blacc) - Tiësto's Big Room Mix;";";"Tiësto; Stargate; Aloe Blacc";";";5EAKqGs4gGk0bwQy7igcHJ
No Worries (feat. Natalola) - Tiësto's Big Room Mix;";";"Tiësto; Natalola";";";4TLmdQseuUNzppwFUsckB4
BOOM;";";"Tiësto; Sevenn";";";4cs99TEADEOcGm5DRRFyOw
C'mon - John Christian Remix;";";"Tiësto; Diplo; John Christian";";";0XAWVdAOpmkKp1zoTu0JzX
Crazy - Tiësto's Big Room Mix;";";"Tiësto; Dzeko";";";6r74sRwWCW5UOVfmOkhpIE
