Nome da Música;Artistas;ID da Música
Easy Lover (feat. Big Sean);";";"Ellie Goulding; Big Sean";";";3zG8GtVDcRLUPNDeIvzY7i
All By Myself;";";"Alok; Sigala; Ellie Goulding";";";09HuZlkNV4vxCLnrLlYZZX
Start;";";"Ellie Goulding; serpentwithfeet";";";1HYM42YsijT5tqgJO3PKsn
Worry About Me;";";"Ellie Goulding; blackbear";";";4u7vJHXVw7vnxZecfdVP6b
Slow Grenade;";";"Ellie Goulding; Lauv";";";0MTIU9eAChH3iNyngN7DJT
Close To Me;";";"Ellie Goulding; Diplo; Swae Lee";";";1NNSjN6kdHiF3pRx64JEwm
Hate Me;";";"Ellie Goulding; Juice WRLD";";";3Z0v6RQ2Suk2C2HGUdOApD
This Love (Will Be Your Downfall) - Mille Remix;";";"Ellie Goulding; Mille Trygg-Wiberg";";";1KWXkrbEtLG92EWK1sZ50W
Guns and Horses - Monsieur Adi Remix;";";"Ellie Goulding; Monsieur Adi";";";46jtJHchf5pd2VzHnmC0xI
Lights - Fear Of Tigers Remix;";";"Ellie Goulding; Ben Berry";";";7BmtmTzs649RzTwhtiAlxt
Salt Skin - Alex Metric Remix;";";"Ellie Goulding; Alex Metric";";";5Vj7vKXDNl5Nbfg9BV4eWT
Starry Eyed - Russ Chimes Remix;";";"Ellie Goulding; Russ Chimes";";";2sfk4K0GrNd8J2xEVL4v7V
Under The Sheets - Jakwob Remix;";";"Ellie Goulding; James Jacob";";";7MCfkAwcGrlo9Ulesmn5HM
Outside;";";"Calvin Harris; Ellie Goulding";";";6elB1keSMXlFnAkxy7Gnyu
Stay Awake;";";"Ellie Goulding; Madeon";";";1o9WktH2DfFQYuXYLZLCNx
I Need Your Love;";";"Calvin Harris; Ellie Goulding";";";0f8GDk3hYFkHkpecyUByZ7
Stay Awake;";";"Ellie Goulding; Madeon";";";71K70xmsranM8pKJN1zuJa
Hanging On - Full Length Version;";";"Ellie Goulding; Tinie Tempah";";";3ZnZneMa5LmApbtKuD3S1m
Midas Touch [Ellie Goulding x BURNS];";";"Ellie Goulding; BURNS";";";4rah5tpuHKTJqZNpG4wpG4
Flashlight;";";"Ellie Goulding; DJ Fresh";";";3afdT7hEOBJiLs6lyPU7Uh
I Need Your Love;";";"Calvin Harris; Ellie Goulding";";";7nu964CPIkPR8SZ2KXZt71
Somebody;";";"TSHA; Ellie Goulding; Gregory Porter";";";3Q2Sh0puZOeJvTjPPq4xnn
By The End Of The Night - Morning After Edit;";";"Ellie Goulding; Neil Barrett";";";1zq5eGxN3GcXnjjwdjWX1g
Miracle (with Ellie Goulding) - ACRAZE Remix;";";"Calvin Harris; Ellie Goulding; ACRAZE";";";3DjCoBZfrSYBnKskpb1rHV
Miracle (with Ellie Goulding);";";"Calvin Harris; Ellie Goulding";";";0xrUSSFGPCy9Aukb8nuAJI
Miracle (with Ellie Goulding) - MK Remix;";";"Calvin Harris; Ellie Goulding; MK";";";7uI9884BcfNJ21x1msnNhc
Miracle (with Ellie Goulding);";";"Calvin Harris; Ellie Goulding";";";6CyJZp9jfkKnCFpP6xMC3Z
Miracle (with Ellie Goulding) - David Guetta Remix;";";"Calvin Harris; Ellie Goulding; David Guetta";";";4RFlvg9BmFnvlIBIZGg1Dt
Miracle (with Ellie Goulding);";";"Calvin Harris; Ellie Goulding";";";53lExDEsEXgoR1agQuEruO
Miracle (with Ellie Goulding) - Wilkinson Remix;";";"Calvin Harris; Ellie Goulding; Wilkinson";";";3oDPPeiIZGcIKwg4e5joV0
Miracle (with Ellie Goulding);";";"Calvin Harris; Ellie Goulding";";";2uVG8QAqKYGKteaY1bRZM0
By The End Of The Night - southstar Remix;";";"Ellie Goulding; southstar";";";0BJq75IdLPWnFWG0TLwoN2
Miracle (with Ellie Goulding) - Mau P Remix;";";"Calvin Harris; Ellie Goulding; Mau P";";";3lsiqFV6SKhBgzQCpuM1JR
Miracle (with Ellie Goulding);";";"Calvin Harris; Ellie Goulding";";";2e52phsgMlaSXkbBwYoP2H
Miracle (with Ellie Goulding) - Hardwell Remix;";";"Calvin Harris; Ellie Goulding; Hardwell";";";4LwbGXpHNvKkwiyLFBsBBQ
Miracle (with Ellie Goulding);";";"Calvin Harris; Ellie Goulding";";";3hjZMXu9j786DtvGnrsNGa
Miracle (with Ellie Goulding) - Church Version;";";"Calvin Harris; Ellie Goulding";";";5ZPNgsEfH0yiwYSQUe6D8n
Miracle (with Ellie Goulding);";";"Calvin Harris; Ellie Goulding";";";35wK6wTKUnqSqgN5Eh3FHj
Miracle (with Ellie Goulding);";";"Calvin Harris; Ellie Goulding";";";5eTaQYBE1yrActixMAeLcZ
All By Myself - Paul Woolford Remix;";";"Alok; Sigala; Ellie Goulding; Paul Woolford";";";2h8d4XzmaCMkf3q3IOFdiS
All By Myself - Moore Kismet Remix;";";"Alok; Sigala; Ellie Goulding; Moore Kismet";";";073Vh9Oo5igUo1ysw9dsSk
All By Myself - Ilkay Sencan Remix;";";"Alok; Sigala; Ellie Goulding; Ilkay Sencan";";";0yvI7FiMDYJBg6sb8r8gAH
All By Myself - Jon Vendan Remix;";";"Alok; Sigala; Ellie Goulding; Jon Vendan; David Haid; Ingo Kunzi";";";26TN6jyf6jxyFCHxlcvUmV
All By Myself - Club Mix;";";"Alok; Sigala; Ellie Goulding";";";2STdoaCLn66QeImEGQf6ed
All By Myself;";";"Alok; Sigala; Ellie Goulding";";";19q4E2u3rzR09HOmksZVLT
All By Myself;";";"Alok; Sigala; Ellie Goulding";";";5Hp4xFihdOE2dmDzxWcBFb
Easy Lover - Navos Remix;";";"Ellie Goulding; Navos; Big Sean";";";7AhWTu2tM2nMA7YJ0tn40P
Easy Lover - Russ Chimes Remix;";";"Ellie Goulding; Russ Chimes";";";5VBGY6DpnmXSyN23iK1r7B
Easy Lover - colbath Remix;";";"Ellie Goulding; colbath; Big Sean";";";5PIpapiWYW690gIvMhVmTI
Easy Lover - Jax Jones Remix;";";"Ellie Goulding; Jax Jones";";";20m2F7vi3SjKXtq3FyT6qS
Easy Lover - Four Tet Remix;";";"Ellie Goulding; Four Tet";";";08LkoUvYs9AtUTp9RZZvBI
Easy Lover (feat. Big Sean);";";"Ellie Goulding; Big Sean";";";3nwd2gUT7l10HDUAOKXrhs
Lights - Sped Up Version;";";"Ellie Goulding; Speed Radio";";";4TZ2Ub8bZh4LTs06eANDXa
New Love (feat. Ellie Goulding) – Armand Van Helden Remix;";";"Silk City; Ellie Goulding; Diplo; Mark Ronson; Armand Van Helden";";";3TvGZSe0YUeps5r9w91f59
New Love (feat. Ellie Goulding) – Shane Codd Remix;";";"Silk City; Ellie Goulding; Diplo; Mark Ronson; Shane Codd";";";2Fjw4MEiOl7hdsfGi5KwuR
New Love (feat. Ellie Goulding) – TSHA Remix;";";"Silk City; Ellie Goulding; Diplo; Mark Ronson; TSHA";";";5IBFSbkXA1eVH1HhdH08GM
