Nome da Música;Artistas;ID da Música
Act Up (with Jon Batiste);";";"Lil Wayne; Jon Batiste";";";5XPt0P8g6XBBoM2QFX1xt8
Tuxedo (with euro);";";"Lil Wayne; euro";";";09Pfoawjy9j8ywVhuZlaYs
To The Bank;";";"Lil Wayne; Cool & Dre";";";6otQJ596HIXIW8WcCTWIId
Chanel No. 5 (with Fousheé);";";"Lil Wayne; Fousheé";";";3iNrkFS21Q7TzpE0PqSF39
Tity Boi;";";"Lil Wayne; TheNightAftr";";";4CQKePidjnQD7hnuOdP49E
Kant Nobody (feat. DMX);";";"Lil Wayne; DMX";";";1B9ajNNZgocHgllU9h1sS1
Act Up (with Jon Batiste);";";"Lil Wayne; Jon Batiste";";";1Wj0cZxHcg39CCtbpsBAlF
Tuxedo (with euro);";";"Lil Wayne; euro";";";2IRrP0ok87Ny6X1lfoekYk
To The Bank;";";"Lil Wayne; Cool & Dre";";";3h4HlcmWdexWJ6SSyZG67E
Chanel No. 5 (with Fousheé);";";"Lil Wayne; Fousheé";";";5OycoZIedX9m0EAVC73SC9
Tity Boi;";";"Lil Wayne; TheNightAftr";";";58IXrujjBzitzoFNFzn1c4
Kant Nobody (feat. DMX);";";"Lil Wayne; DMX";";";0V3qXJw8fbrE1vxbfrpmiU
Lollipop (feat. Static Major) - 2008 / Re-Mastered Version;";";"Lil Wayne; Static Major";";";69GyRaMOOZ88ZS7GOh8d9D
BedRock (feat. Lloyd);";";"Young Money; Lloyd";";";3QhRwX5s9lX8OHB87GR0rp
6 Foot 7 Foot (feat. Cory Gunz);";";"Lil Wayne; Cory Gunz";";";0WNVjpEIhUMEhnKRgnLZfk
Right Above It (feat. Drake);";";"Lil Wayne; Drake";";";3HI7oDUsuwiDsIziMJberG
Drop The World (feat. Eminem);";";"Lil Wayne; Eminem";";";1P32FHujlh8FLcfwBkX8ad
She Will (feat. Drake);";";"Lil Wayne; Drake";";";4Izx6tlGNTpflkxmVLQqkq
Mirror (feat. Bruno Mars);";";"Lil Wayne; Bruno Mars";";";5Me1gCGtrfEJvkpqoX43HK
Mrs. Officer (feat. Bobby V. & Kidd Kidd);";";"Lil Wayne; Bobby V.; Kidd Kidd";";";7cclACWvoDp2KMfe0vM9a0
Mona Lisa (feat. Kendrick Lamar);";";"Lil Wayne; Kendrick Lamar";";";1SL0GCtfCGAUv3zx0Rg57S
Uproar (feat. Swizz Beatz);";";"Lil Wayne; Swizz Beatz";";";74ZE7nchhUTDPvJzQjwaty
No Worries (feat. Detail);";";"Lil Wayne; Detail";";";7xJNZrBf5RY79d3Fvhe529
Mr. Carter (feat. JAY-Z);";";"Lil Wayne; JAY-Z";";";2FlmlWjlHMxNkryqe3GrcL
Cameras (feat. Allan Cubas);";";"Lil Wayne; Allan Cubas";";";3swVitvJ9s1J0n6HAtiGSb
Anti-Hero (feat. Lil Tecca);";";"Lil Wayne; Lil Tecca";";";5HZ5NjyJVMaboBgG6uQMpK
Throwed (feat. Gudda Gudda);";";"Lil Wayne; Gudda Gudda";";";1085Mq0RMPej50amXzEzlO
Grove Party (feat. Lil B);";";"Lil Wayne; Lil B";";";3x4zjXFmEHJk3H4r8xySev
YM Inkredible (feat. Thugga, Raw Dizzzy, Flow & T@);";";"Lil Wayne; Thugga; Raw Dizzy; Flow; T@";";";4uDXxtWrHZrXkbZK967MMX
Feelin' Like Tunechi;";";"Lil Wayne; Rich The Kid";";";4HTY26kzdGCKJF1EqcRd2J
Headlock;";";"Lil Wayne; Rich The Kid";";";7aEyRTJPEITFrtuq648Mzp
Trust Fund;";";"Lil Wayne; Rich The Kid";";";06B0S6yv7wmr57QvweXJkx
Admit It;";";"Lil Wayne; Rich The Kid";";";4lEHFsmzCrWQctlhGbDcvO
Shh;";";"Lil Wayne; Rich The Kid";";";1qBo7j5KAyYU3bBJWrzVvm
Big Boss;";";"Lil Wayne; Rich The Kid";";";2GgFwwTV5AvTLakjZdtNte
Still;";";"Lil Wayne; Rich The Kid";";";1zkUmHMYADmWGXbZTO6VJ5
Bleedin';";";"Lil Wayne; Rich The Kid";";";0xW92tKaem3nlC7j6k3RHK
Buzzin' (with YG);";";"Lil Wayne; Rich The Kid; YG";";";0BhkXg22i7YEsLwrBcPT0x
Yeah Yeah;";";"Lil Wayne; Rich The Kid";";";2orIeHVC3ItYq2hVPETopb
More To The Story (feat. Raekwon);";";"Lil Wayne; Raekwon";";";7wyZoopbSHxLSN9iqP62Y3
Siri (feat. 2 Chainz);";";"Lil Wayne; 2 Chainz";";";5322NokpwRuYlSykOnmUdI
In This House (feat. Gucci Mane);";";"Lil Wayne; Gucci Mane";";";0jo05KdMRbYUc7doLzDaKu
What About Me (feat. Post Malone);";";"Lil Wayne; Post Malone";";";3FKj2zOWuAt8wbpv3F2h6b
