Nome da Música;Artistas;ID da Música
Kesariya;";";"Pritam; Arijit Singh; Amitabh Bhattacharya";";";3QxKPcQR9bNCjZPycvZJCb
Shayad;";";"Pritam; Arijit Singh";";";0pUdHEB4gwvMna9pazZcKX
Pal;";";"Javed-Mohsin; Arijit Singh; Shreya Ghoshal; Kunaal Vermaa; Prashant Ingole";";";3qVDN4reDcvlolHAzIG8lL
"Enna Sona (From ""OK Jaanu"")";";";"A.R. Rahman; Arijit Singh";";";2hBQJE1ojBBpU8KsLXDX80
"Hawayein (From ""Jab Harry Met Sejal"")";";";"Pritam; Arijit Singh";";";0yLQV941yUzphlPNKx0icK
"Bandeya - From ""Dil Juunglee""";";";"Shaarib Toshi; Arijit Singh";";";59cfRBObWtl4rBpczgQoG3
"Ae Dil Hai Mushkil Title Track (From ""Ae Dil Hai Mushkil"")";";";"Pritam; Arijit Singh";";";3efLXGz5Uajgxa7VRVZMea
Samjhawan;";";"Jawad Ahmad; Shaarib Toshi; Arijit Singh; Shreya Ghoshal";";";4HWbUmEHFFOdRtk1oiimt2
"Hamari Adhuri Kahani (Title Track) [From ""Hamari Adhuri Kahani""]";";";"Jeet Gannguli; Arijit Singh";";";3CTVL1gkjSR4U9XVxmDJ4f
"Bolna (From ""Kapoor & Sons (Since 1921)"")";";";"Tanishk Bagchi; Arijit Singh; Asees Kaur";";";5RDEo6wEFSULsbqdS1zs5o
"Channa Mereya (From ""Ae Dil Hai Mushkil"")";";";"Pritam; Arijit Singh";";";0y9OoeR7NYhWgkwGYJgXiX
"Khamoshiyan (From ""Khamoshiyan"")";";";"Jeet Gannguli; Arijit Singh";";";0hyVynsddiwVbhUcSSvMvX
"Kesariya (From ""Brahmastra"")";";";"Pritam; Arijit Singh; Amitabh Bhattacharya";";";55D51BtkNPZ5BdLORc5rSm
"Shayad (From ""Love Aaj Kal"")";";";"Pritam; Arijit Singh";";";4adh78jDAhv4gGPS29JnWg
"Deva Deva (From ""Brahmastra"")";";";"Pritam; Arijit Singh; Amitabh Bhattacharya; Jonita Gandhi";";";6RdyP9qnvPZguV09hdgy8g
"Ae Dil Hai Mushkil Title Track (From ""Ae Dil Hai Mushkil"")";";";"Pritam; Arijit Singh";";";09jznegWqXAf1YzrplyCG8
"Rasiya Reprise (From ""Brahmastra"")";";";"Pritam; Arijit Singh; Amitabh Bhattacharya";";";4YGVvVpYdowegkBqsu2Cat
"Enna Sona (From ""OK Jaanu"")";";";"A.R. Rahman; Arijit Singh";";";5nNvAXSbgtUkIT75xXRfAQ
"Channa Mereya (From ""Ae Dil Hai Mushkil"")";";";"Pritam; Arijit Singh";";";1cyOpYlWjnwzOGAjTmogRr
"Samjhawan (From ""Humpty Sharma Ki Dulhania"")";";";"Jawad Ahmad; Shaarib Toshi; Arijit Singh; Shreya Ghoshal";";";2ogvNqVe9D7W2xW7lYmjgH
"Hawayein (From ""Jab Harry Met Sejal"")";";";"Pritam; Arijit Singh";";";6gTxRLP5DsW0xYWG0wzClH
"Janam Janam (From ""Dilwale"")";";";"Pritam; Arijit Singh; Antara Mitra";";";3X9vFIxy0eu8p4i812L8Ty
"Haan Main Galat (From ""Love Aaj Kal"")";";";"Pritam; Arijit Singh; Shashwat Singh";";";7GYhTzyfWtIu7k3d8YuQxh
"Phir Le Aya Dil (From ""Barfi"") - Reprise";";";"Pritam; Arijit Singh";";";0xWbgijN8eyamvq0R3fNay
"Gerua (From ""Dilwale"")";";";"Pritam; Arijit Singh; Antara Mitra";";";4ohVHiAkI0FggC8vCmQYzw
"Muskurane (From ""Citylights"") - Romantic";";";"Jeet Gannguli; Arijit Singh";";";3KGv52bLvbQllOFIYPeGCn
"Khamoshiyan (From ""Khamoshiyan"")";";";"Jeet Gannguli; Arijit Singh";";";4vLRbHhwUXd7S2FNfSvsS6
"Hamari Adhuri Kahani (Title Track) [From ""Hamari Adhuri Kahani""]";";";"Jeet Gannguli; Arijit Singh";";";6XLS4YViug0P3HUWQAFMrh
"Pal (""Jalebi"")";";";"Javed-Mohsin; Arijit Singh; Shreya Ghoshal; Kunaal Vermaa; Prashant Ingole";";";2IOTCQUi4sAdfY2p9jZC6G
"Bandeya (From ""Dil Juunglee"") - From ""Dil Juunglee""";";";"Shaarib Toshi; Arijit Singh";";";0BQfPObpjbYPysKkmxQ0lw
"Dance Ka Bhoot (From ""Brahmastra"")";";";"Pritam; Arijit Singh; Amitabh Bhattacharya";";";2PPCl06TgqECa2fw80l5Tx
"Safar (From ""Jab Harry Met Sejal"")";";";"Pritam; Arijit Singh";";";2p4UBu6UmWElJKBxTxCBzi
"The Breakup Song (From ""Ae Dil Hai Mushkil"")";";";"Pritam; Arijit Singh; Badshah; Jonita Gandhi; Nakash Aziz";";";13xq8fGWuiBpxpSxeQ9hLU
"Cutiepie (From ""Ae Dil Hai Mushkil"")";";";"Pritam; Pardeep Singh Sran; Nakash Aziz";";";0kGW1QsZR4d4p8YfxsMqBf
"Mareez - E - Ishq (From ""Zid"")";";";"Shaarib Toshi; Arijit Singh";";";7949q33QYIF8jXo8g4Qwfv
"Keno Je Tomakey (""Bismillah"")";";";"Shreya Ghoshal; Soumyadip Murshidabadi";";";1vbwRGUcT8GIWIEGmZB0TB
"Nashe Si Chadh Gayi (From ""Befikre"")";";";"Vishal-Shekhar; Arijit Singh; Jaideep Sahni";";";6radzw8RFxX5jXm23DyZdV
"Jai Jai Shivshankar (From ""War"")";";";"Vishal-Shekhar; Vishal Dadlani; Benny Dayal; Kumaar";";";1F3mmE11euAAjwPHCSwSCC
"Baby Ko Bass Pasand Hai (From ""Sultan"")";";";"Vishal-Shekhar; Shalmali Kholgade; Isheeta; Irshad Kamil";";";2p1KjF1uFEOsUM3vckEajU
"Kajra Re (From ""Bunty Aur Babli"")";";";"Shankar-Ehsaan-Loy; Alisha Chinai; Shankar Mahadevan; Gulzar";";";1Zhd0vU0BOHBNQ5bHfk1vV
"Dhoom Again (From ""Dhoom:2"")";";";"Pritam; Vishal Dadlani; Dominique Cerejo; Asif Ali Baig";";";0ymYBYEiXIXinZqdDj6rF6
"Nach Baliye (From ""Bunty Aur Babli"")";";";"Shankar-Ehsaan-Loy; Shankar Mahadevan; Sowmya Raoh; Loy Mendonsa; Gulzar";";";4QsGt6ZZdfqIzBHwYjIvH8
"Swag Se Swagat (From ""Tiger Zinda Hai"")";";";"Vishal-Shekhar; Julius Packiam; Neha Bhasin; Irshad Kamil";";";7n9DQWVkGWIzDvrM0kjvZa
"Ghungroo (From ""War"")";";";"Vishal-Shekhar; Arijit Singh; Shilpa Rao; Kumaar";";";1Ef0TmgS1QrVO6tKHrMMmH
"Tune Maari Entriyaan (From ""Gunday"")";";";"Sohail Sen; Vishal Dadlani; KK; Irshad Kamil";";";15hBibWFLNUomup8QqPoqE
"Ainvayi Ainvayi (From ""Band Baaja Baaraat"")";";";"Salim–Sulaiman; Sunidhi Chauhan; Amitabh Bhattacharya";";";0xk16X2JvJMZbnxucDaluT
Nashe Si Chadh Gayi - Remix;";";"Vishal-Shekhar; Arijit Singh; Jaideep Sahni";";";2FXCsSYQt038sD0L4NBwdh
Baby Ko Bass Pasand Hai - Remix;";";"Vishal-Shekhar; Badshah; Shalmali Kholgade; Irshad Kamil";";";3c0BWjn4Z2YBLXy4gWHsJe
Tune Maari Entriyaan - Remix;";";"Sohail Sen; Vishal Dadlani; KK; Irshad Kamil";";";7eWuuirJFNzbWKx8LjMs9J
Khuda Jaane Revisited - Remix;";";"Vishal-Shekhar; KK; Shilpa Rao; Anvita Dutt Guptan";";";0JRJTSI9bB2dJEFpVQXkuT
Haule Haule - Remix;";";"Salim–Sulaiman; Sukhwinder Singh; Hard Kaur; Jaideep Sahni";";";2T92e1mn6TYTYiCu6NZkvT
Hadippa The Remix;";";"Pritam; Mika Singh; Sunidhi Chauhan; Jaideep Sahni";";";2DpiMsLy4GJllnycI1mrsf
Crazy Remix;";";"Pritam; Sunidhi Chauhan; Sameer";";";5yp6BoAilPsN10jAtKwVN4
Jhalla Wallah - Remix;";";"Amit Trivedi; Shreya Ghoshal; Kausar Munir";";";7G2canTtZ9q9lXm950qd3n
Hai Junoon - Remix;";";"Pritam; KK; Sandeep Shrivastava";";";6zGGSzKFd0s6OG4yLkBjoT
Mashallah - Remix;";";"Sajid-Wajid; Shreya Ghoshal; Kausar Munir";";";5AeSzca8cko9iOnH4RyY1g
Dil Udd Jaa Re;";";"Neeti Mohan; Sunny M.R.; Neelesh Mishra";";";3PnpvPOA0nmwjNCrcdVOeZ
Thode Kam Ajnabi;";";"Himani Kapoor; Arijit Singh; Neelesh Mishra";";";7J9RzOcIQlsWLDYRgjeXGD
Phire Faqeera;";";"Raja Kumari; Amrita Singh; Arijit Singh; Neelesh Mishra";";";7i5VhhLnimERnq9i7FM86Y
Meera'S Poem;";";"Jhumpa Mondal; Neelesh Mishra";";";53VFyBSrNQApGc9QqKOSc2
Pagglait;";";"Amrita Singh; Raftaar; Arijit Singh";";";6IY7LvPTTo7n7sY3jqKQ4k
Lamha;";";"Antara Mitra; Arijit Singh; Neelesh Mishra";";";2ncOfATxTWYIqdi31bUuSt
Radha'S Poem;";";"Chinmayi; Neelesh Mishra";";";4ddkBolwhFtEZi6NszR7gB
Dil Udd Ja Re (Revisited);";";"Meghna Mishra; Arijit Singh; Neelesh Mishra";";";7ddX4S1C2exzsTMYaG8L1D
Lamha (Reprise);";";"Sumana Banerjee; Neelesh Mishra";";";1R43NZawlzXXC1xSFAH4pv
Thode Kam Ajnabi (Reprise);";";"Himani Kapoor; Arijit Singh; Neelesh Mishra";";";52wOB66NKZVwEcyuCdhayv
Pagal;";";"Raja Kumari; Amrita Singh; Arijit Singh; Neelesh Mishra";";";710PR1SA09y7TnH0l4UlCz
Lamha (Revisited);";";"Antara Mitra; Arijit Singh; Neelesh Mishra";";";4oPSGndGehcdI7qqPcTXKv
"Haareya (From ""Meri Pyaari Bindu "")";";";"Sachin-Jigar; Arijit Singh; Priya Saraiya";";";678JJ0TF3KFkzw6bIFKcew
"Pyar Kar (From ""Dil To Pagal Hai"")";";";"Uttam Singh; Lata Mangeshkar; Udit Narayan; Anand Bakshi";";";6Yo3de5BIEK0KZRQIF5Iyv
"Hum Tum (From ""Hum Tum"")";";";"Jatin-Lalit; Alka Yagnik; Babul Supriyo; Prasoon Joshi";";";7hP7Tyx5t35TUogoc59tsk
"Heer (From ""Jab Tak Hai Jaan"")";";";"A.R. Rahman; Harshdeep Kaur; Gulzar";";";1ZvBynLijHCOwbTl1kBROu
"Chaav Laaga (From ""Sui Dhaaga - Made In India"")";";";"Anu Malik; Papon; Ronkini Gupta; Varun Grover";";";6qUUSxbKoxvMK2Joi8kKs8
"Jag Ghoomeya (From ""Sultan"")";";";"Vishal-Shekhar; Rahat Fateh Ali Khan; Irshad Kamil";";";5DnEHJw1mQeCrQS6aIlJwv
"Moh Moh Ke Dhaage (Male) (From ""Dum Laga Ke Haisha"")";";";"Anu Malik; Papon; Varun Grover";";";0b4cbdc0ZDMdU104eW4qBP
"Afeemi (From ""Meri Pyaari Bindu "")";";";"Sachin-Jigar; Sanah Moidutty; Kausar Munir";";";6J31lR4ZqpRPAjOqzX5lCu
"Hey Shona (From ""Ta Ra Rum Pum"")";";";"Vishal-Shekhar; Shaan; Sunidhi Chauhan; Javed Akhtar";";";7IuER6pfKB8Ip5vu2yF0dd
"Saans (From ""Jab Tak Hai Jaan"")";";";"A.R. Rahman; Shreya Ghoshal; Mohit Chauhan; Gulzar";";";19A6pOtme8zT8xVZOKJVLP
"Kabira (Encore) [From ""Yeh Jawaani Hai Deewani""]";";";"Harshdeep Kaur; Arijit Singh";";";4qrutnO6ACDukoGB8EIPMS
"Phir Mohabbat (From ""Murder 2"")";";";"Mohammed Irfan; Arijit Singh; Saim Bhat";";";4RCd3Gdtt3dNedof64hqRD
"Itni Si Baat Hain (From ""Azhar"")";";";"Arijit Singh; Antara Mitra";";";4OEBP1iwGmLtcM8UKRLm80
"Galti Se Mistake (From ""Jagga Jasoos"")";";";"Arijit Singh; Amit Mishra";";";7fUMIEn7H6OYDOMQRMm1at
"Main Tera Boyfriend (From ""Raabta"")";";";"Arijit Singh; Neha Kakkar; Meet Bros.";";";5VAkPCJTE6tbyReo9J4IQj
"Shanivaar Raati (From ""Main Tera Hero"")";";";"Arijit Singh; Shalmali Kholgade";";";7IIhqqpytErf6d4xMQ7JEB
"Sooraj Dooba Hain (From ""Roy"")";";";"Arijit Singh; Aditi Singh Sharma";";";5HcBFhFQEtqKrsRkr95XYu
"Ullu Ka Pattha (From ""Jagga Jasoos"")";";";"Arijit Singh; Nikhita Gandhi";";";7b841Ma1wcWDVUSBIRuwmR
"Kashmir Main Tu Kanyakumari (From ""Chennai Express"")";";";"Sunidhi Chauhan; Arijit Singh; Neeti Mohan";";";59hSaWp9MXxrpYTUHNEKNj
"Subah Subah (From ""Sonu Ke Titu Ki Sweety"")";";";"Arijit Singh; Prakriti Kakar; Amaal Mallik";";";0kVt8GpMh5rzDHTfu479x8
"Dil Cheez Tujhe Dedi (From ""Airlift"")";";";"Ankit Tiwari; Arijit Singh";";";4r5KcqClOrWJupeOZYEbGx
"Raat Bhar (From ""Heropanti"")";";";"Arijit Singh; Shreya Ghoshal";";";6s36KDFgCWW4lqDJ0njm7p
"Mast Magan (From ""2 States"")";";";"Arijit Singh; Chinmayi";";";4wIWWEhbdgKAxhR68eE0Ye
"Ae Dil Hai Mushkil Title Track (From ""Ae Dil Hai Mushkil"")";";";"Pritam; Arijit Singh";";";7g9PQTzzZt9ZwyrdTynUAP
"Bolna (From ""Kapoor & Sons (Since 1921)"")";";";"Tanishk Bagchi; Arijit Singh; Asees Kaur";";";3LzD6F9PdMZTgNir5BL68w
"Channa Mereya (From ""Ae Dil Hai Mushkil"")";";";"Pritam; Arijit Singh";";";2HrMbnhV4xlDU7szbixDXB
"Gerua (From ""Dilwale"")";";";"Pritam; Arijit Singh; Antara Mitra";";";0AxJl3J0idAYqxZtgICDPC
"Bulleya (From ""Ae Dil Hai Mushkil"") - Reprise";";";"Pritam; Arijit Singh; Shilpa Rao";";";6BF9qGTbwHweKyit2gEtsa
"Hamari Adhuri Kahani (Title Track) [From ""Hamari Adhuri Kahani""]";";";"Jeet Gannguli; Arijit Singh";";";6GSdvyMHLfbw1aC1ffifLf
