Nome da Música;Artistas;ID da Música
INDUSTRY BABY (feat. Jack Harlow);";";"Lil Nas X; Jack Harlow";";";5Z9KJZvQzH6PFmb8SNkxuk
SCOOP (feat. Doja Cat);";";"Lil Nas X; Doja Cat";";";6bpq1jGkVz66Q3LYeoXdjZ
ONE OF ME (feat. Elton John);";";"Lil Nas X; Elton John";";";3JR2RztQcOjUQGQSybxDIO
DOLLA SIGN SLIME (feat. Megan Thee Stallion);";";"Lil Nas X; Megan Thee Stallion";";";7zQirOExB0VR8yWUOqYeio
AM I DREAMING (feat. Miley Cyrus);";";"Lil Nas X; Miley Cyrus";";";6isTQfKXhNO3EyJd9mSxx8
Late To Da Party (F*CK BET) (feat. YoungBoy Never Broke Again);";";"Lil Nas X; YoungBoy Never Broke Again";";";3GbQcjKWT7eVpUfzqwUjxv
INDUSTRY BABY;";";"Lil Nas X; Jack Harlow";";";5YtjgewpB55VaDbGw45uqB
INDUSTRY BABY - EXTENDED;";";"Lil Nas X; Jack Harlow";";";4BI4iNZigfF4SUq13TcFPh
INDUSTRY BABY (feat. Jack Harlow);";";"Lil Nas X; Jack Harlow";";";27NovPIUIRrOZoCHxABJwK
Rodeo - feat. Nas;";";"Lil Nas X; Nas";";";7ikRId3U9AXd6tfF2fbItC
Panini - DaBaby Remix;";";"Lil Nas X; DaBaby";";";4SDgTLDYrJ2UrHbkRkg7MD
Old Town Road (feat. RM of BTS) - Seoul Town Road Remix;";";"Lil Nas X; RM; BTS";";";6woeVu3fVMflqen1t4N6pg
Old Town Road - Remix;";";"Lil Nas X; Billy Ray Cyrus; Mason Ramsey; Young Thug";";";6jmZlyf9DxcIoRrjw02YXm
Old Town Road - Remix;";";"Lil Nas X; Billy Ray Cyrus";";";2YpeDb67231RjR0MgVLzsG
F9mily (You & Me);";";"Lil Nas X; Travis Barker";";";1ABQT5SxlUTNapSbSzblGx
Rodeo;";";"Lil Nas X; Cardi B";";";4ak7xjvBeBOcJGWFDX9w5n
Old Town Road - Diplo Remix;";";"Lil Nas X; Billy Ray Cyrus; Diplo";";";3kgKVcBpBGuSeaEC0AZGlb
