Nome da Música;Artistas;ID da Música
Want Me Dead (feat. 21 Savage);";";"Young Thug; 21 Savage";";";4r4rpFbzk8LDKosME0ZW1C
Cars Bring Me Out (feat. Future);";";"Young Thug; Future";";";0GY3LiAOOOYIIDv53TXbjR
Oh U Went (feat. Drake);";";"Young Thug; Drake";";";45QTjP8zsLtJ1a3lPa10U1
Money (feat. Juice WRLD & Nicki Minaj);";";"Young Thug; Juice WRLD; Nicki Minaj";";";6bFsZCWWJaCyE9uly2NhAH
Hoodie (feat. BSlime & Lil Gotit);";";"Young Thug; Bslime; Lil Gotit";";";5edae1tuaQswnqiXcUlWRO
Wit Da Racks (feat. 21 Savage, Travis Scott & Yak Gotti);";";"Young Thug; Yak Gotti; Travis Scott; 21 Savage";";";5KKrQbmw7K7Rvl7SCMAwNx
Parade on Cleveland (feat. Drake);";";"Young Thug; Drake";";";0ySvHlwks7CO0HWjB5ZBOo
Abracadabra (feat. Travis Scott);";";"Young Thug; Travis Scott";";";7GPI9g56brDQat3wHUG2E3
Hellcat Kenny (feat. Lil Uzi Vert);";";"Young Thug; Lil Uzi Vert";";";3YbJ4wQ8I7rM9FsqkNp7sR
Global Access (feat. Nate Ruess);";";"Young Thug; Nate Ruess";";";02Gf6dTUI29AtM0mDhRXUv
Parade on Cleveland (feat. Drake);";";"Young Thug; Drake";";";05CTjmZKjZoCKQvM1Ldq9M
Cars Bring Me Out (feat. Future);";";"Young Thug; Future";";";2Okh2n1EHlGhviAYv75MOB
Wit Da Racks (feat. 21 Savage, Travis Scott & Yak Gotti);";";"Young Thug; Yak Gotti; Travis Scott; 21 Savage";";";0r75DNlHu4recmKUdZeMfG
Abracadabra (feat. Travis Scott);";";"Young Thug; Travis Scott";";";4Zsi5pyvmZBxvRg0KeDFMC
Oh U Went (feat. Drake);";";"Young Thug; Drake";";";7qLr3HMApUbyDkUvgIvHnB
Want Me Dead (feat. 21 Savage);";";"Young Thug; 21 Savage";";";3GXjlz7evuodm50dfiDDWo
Hellcat Kenny (feat. Lil Uzi Vert);";";"Young Thug; Lil Uzi Vert";";";5nYygW7bTgPOhckh3uDR9L
Hoodie (feat. BSlime & Lil Gotit);";";"Young Thug; Bslime; Lil Gotit";";";6tCmZiMZDwAYSfjnArGG48
