Nome da Música;Artistas;ID da Música
Lose My Mind (feat. Josh Franceschi);";";"James Arthur; You Me At Six; Josh Franceschi";";";7IKld0pEprvwZFTrINrth1
You (feat. Travis Barker);";";"James Arthur; Travis Barker";";";6r8yEkmfxS4dJEmkCB2eMn
Treehouse (feat. Shotty Horroh);";";"James Arthur; Ty Dolla $ign; SHOTTY HORROH";";";1tFnpzdkHt4fW3gQbbADZ9
Unconditionally (feat. Adam Lazzara);";";"James Arthur; Adam Lazzara";";";4rvH323iVmfkFDQYzGOa5c
Sermon (feat. Shotty Horroh);";";"James Arthur; SHOTTY HORROH";";";0zzdXBwYgPZR88QZr86hWF
Roses;";";"James Arthur; Emeli Sandé";";";3exRCJnBrKSRhGXR4kcakZ
Certain Things (feat. Chasing Grace);";";"James Arthur; Chasing Grace";";";5zvJELVKAnPkscGc5aLKJI
Work With My Love - Mark Knight Remix;";";"Alok; James Arthur; Mark Knight";";";7yQ8jRAYwfODVbAfX4cVY7
Work With My Love - Club Mix;";";"Alok; James Arthur";";";5HdMZqrxWA7TMB5ws10gCV
Work With My Love;";";"Alok; James Arthur";";";4OK89CfHZc0ZRAqYLk2cqb
Work With My Love;";";"Alok; James Arthur";";";6PX5CRJFn24G3cypjNO6yw
Lose You - Nicky Romero Remix;";";"AFROJACK; James Arthur; Nicky Romero";";";2o77MZhvghJ7IQ3YWfKlOR
Lose You;";";"AFROJACK; James Arthur";";";4cMnESkXGcB6kIp6iPNUB2
Car's Outside - Luca Schreiner Remix;";";"James Arthur; Luca Schreiner";";";3YHEycQeQ33538JEtea890
Questions - Deluxe Remix;";";"Lost Frequencies; James Arthur";";";0liCVPZBCrl18tC6jSwqJX
Questions - Arodes Remix;";";"Lost Frequencies; James Arthur; Arodes";";";67i8jqLbsB9mbtS16Vu9OC
Questions;";";"Lost Frequencies; James Arthur";";";1cgy2FSOQMbq7DHCVgMAUA
Lose My Mind (feat. Josh Franceschi) - Acoustic;";";"James Arthur; You Me At Six; Josh Franceschi";";";3cOYrA35pfe2K6Ij3JCpkn
Lose My Mind (feat. Josh Franceschi);";";"James Arthur; You Me At Six; Josh Franceschi";";";3G2FS86ctPb7BqRH9Cp9M6
Emily - Jonasu Remix;";";"James Arthur; Jonasu";";";0TlenYFlvmFcdokbwKfqxT
September - CORSAK Remix;";";"James Arthur; CORSAK";";";5EdYt0RidHb49AeOzXAbyH
September - MENTIS Remix;";";"James Arthur; MENTIS";";";7uxB3OyeNw5OMxLHJOLE7F
September - Billen Ted Remix;";";"James Arthur; Billen Ted";";";2U03D8wbYcGwCC1SPNn1ZN
Medicine - R3HAB Remix;";";"James Arthur; R3HAB";";";6bAcuSKKxTWY4sNawTxUpf
Medicine - PS1 Remix;";";"James Arthur; PS1";";";0HpUZyqZy5AoCFFXvkhrQa
Medicine - Navos Remix;";";"James Arthur; Navos";";";0G9JMGMWgxJG72BaZGAocL
Lasting Lover - Michael Calfan Remix;";";"Sigala; James Arthur; Michael Calfan";";";5Oym6wBix2J7pj1VJ8sj0W
Lasting Lover - Acoustic;";";"Sigala; James Arthur";";";0TGU6ELkO9MRv7aHL3QVrl
