Nome da Música;Artistas;ID da Música
Follow;";";"Martin Garrix; Zedd";";";4xFcQGVBVakReaL0OOJiP6
Limitless;";";"Martin Garrix; Mesto";";";44ib3nlda2rBy0qmMUelnd
Reboot;";";"Martin Garrix; Vluarr";";";69mAhvOXSSpKRSYFtdWpE4
Quantum;";";"Martin Garrix; Brooks";";";3krdgrUkow0lWczI0S80ga
Good Morning;";";"Martin Garrix; Matisse & Sadko";";";4G6Ofbn98lUunQjfO0foCk
Starlight (Keep Me Afloat);";";"Martin Garrix; DubVision; Shaun Farrugia";";";7js0KdTFdV92eswDxs8zYQ
Funk;";";"Martin Garrix; Julian Jordan";";";56ZstVdH2J5FXTTOKNNxfp
Find You;";";"Martin Garrix; Justin Mylo; Dewain Whitmore";";";3vj76vOcRtTSwKREtkh6b7
Aurora;";";"Martin Garrix; Blinders";";";2ncGl8sIrEz5M3Kj0MMxqe
Oxygen;";";"Martin Garrix; DubVision; Jordan Grace";";";2ZG0Wumvp291QIsQ9YXzHl
If We’ll Ever Be Remembered;";";"Martin Garrix; Shaun Farrugia";";";0wNsUWIYFLYelRCuXPXUT2
Lovin' Every Minute;";";"AREA21; Martin Garrix; Maejor";";";03wMGPA6NlFsEqitZcuaG2
Followers;";";"AREA21; Martin Garrix; Maejor";";";4qv2m0hQwaVF5ss13PXrQK
Real Love - 33 Below Remix;";";"Martin Garrix; Lloyiso; 33 Below";";";1kmWZGrZwy8yOalxNJ0DUs
Real Love - Liva K Remix;";";"Martin Garrix; Lloyiso; Liva K";";";6OBEM2Laa2NNsuCaWd3YDv
Real Love - Liva K Extended Remix;";";"Martin Garrix; Lloyiso; Liva K";";";46WJNcRBzvg7r1MnfOGnUw
Real Love;";";"Martin Garrix; Lloyiso";";";6afdNrotJ1PCt9DoFiHpLj
Hurricane;";";"Martin Garrix; Sentinel; Bonn";";";5RfVafaeEEiqC0Z3LsBaZw
Hero - DubVision Remix;";";"Martin Garrix; JVKE; DubVision";";";5m2o06OAVtZ7cvjjrbK7nc
Hero - Space Ducks Remix;";";"Martin Garrix; JVKE; Space Ducks";";";0Jn83ZzVbLk0tT3wr3yUKJ
Cocoon - Martin Garrix & Space Ducks Remix;";";"070 Shake; Martin Garrix; Space Ducks";";";6IqVq76K6UuJdYwZFgXosQ
Hero;";";"Martin Garrix; JVKE";";";4Wu62DoQg1ECGlDKDfo30R
Something;";";"Martin Garrix; Breathe Carolina";";";6LHXb1sGs72iTmpSr0603b
Loop;";";"Martin Garrix; DallasK; Sasha Alex Sloan";";";0lqgo6rIBS0nVsvppZC3Ay
Oxygen;";";"Martin Garrix; DubVision; Jordan Grace";";";4pmUI17u8L2FALW17kuEec
If We’ll Ever Be Remembered;";";"Martin Garrix; Shaun Farrugia";";";6wnzt59p7i8cAyuWl1avwr
Aurora;";";"Martin Garrix; Blinders";";";5w0264qq5wQpYfNiPpsuqE
Find You;";";"Martin Garrix; Justin Mylo; Dewain Whitmore";";";20h5SXbpPifAJ7mRG9HY56
Funk;";";"Martin Garrix; Julian Jordan";";";1Pp2kd23lBQj3Gf9uBFSNj
Starlight (Keep Me Afloat);";";"Martin Garrix; DubVision; Shaun Farrugia";";";4UQy41kC5LjzwQuiuWOpwA
Good Morning;";";"Martin Garrix; Matisse & Sadko";";";5vbFDDuHmTqHR8tGxiipf2
Quantum;";";"Martin Garrix; Brooks";";";7cmpWAZsamIlIiyU1aMGZD
Reboot;";";"Martin Garrix; Vluarr";";";1Q7OXxsTM8aUaZ3BbPfIDb
Limitless;";";"Martin Garrix; Mesto";";";7MA8T4pKN6VeBIEGE9hggN
Follow;";";"Martin Garrix; Zedd";";";5aXTfpNOqLj35ydEiLio67
Won't Let You Go - Eleganto Remix;";";"Martin Garrix; Matisse & Sadko; John Martin; Eleganto";";";4Fo8clhqsgpGxhtSFnJfeX
Won't Let You Go - Exbow Remix;";";"Martin Garrix; Matisse & Sadko; John Martin; Exbow";";";2pjnmmEcs0t3oU2sErCL66
Won't Let You Go - MAZAN Remix;";";"Martin Garrix; Matisse & Sadko; John Martin; MAZAN";";";4oOPfzPJsTXySl8mud4QPx
Won't Let You Go - Gabriel Kirsh Remix;";";"Martin Garrix; Matisse & Sadko; John Martin; Gabriel Kirsh";";";2AxJmp5HeYKMleHJ7XuhpY
Won't Let You Go - Jack & James Remix;";";"Martin Garrix; Matisse & Sadko; John Martin; Jack & James";";";6HyhX7xdiT5AEILORPL9pO
Won’t Let You Go;";";"Martin Garrix; Matisse & Sadko; John Martin";";";5UZA39t4lX42ApegVubl7f
Diamonds;";";"Martin Garrix; Julian Jordan; Tinie Tempah";";";4TA48C6sa3lRrr2hHFbePR
Followers;";";"AREA21; Martin Garrix; Maejor";";";5sPoju3oZHg9Wq5KXxBH3a
Lovin' Every Minute;";";"AREA21; Martin Garrix; Maejor";";";1e7gC7NhFSK0lBeoLISvKz
Love Runs Out (feat. G-Eazy & Sasha Alex Sloan);";";"Martin Garrix; G-Eazy; Sasha Alex Sloan";";";3jbAzLVcHiI5hYSkcKe1Ty
We Are The People (feat. Bono & The Edge) - Official UEFA EURO 2020 Song;";";"Martin Garrix; Bono; The Edge";";";1LFVyrx9ZRJ2IyDLRPG8VK
We Are The People (Martin Garrix Remix) (feat. Bono & The Edge) - Official UEFA EURO 2020 Song;";";"Martin Garrix; Bono; The Edge";";";5J8Ky3NNT98Z8Mp1YQTDCZ
Pressure (feat. Tove Lo);";";"Martin Garrix; Tove Lo";";";4ga4WvRNhMsIL38pkBbnIN
Fire (feat. Elderbrook) - KAIOS Remix;";";"Ytram; Martin Garrix; Elderbrook; KAIOS";";";5lYtdxQKPLUHA3tKXb7yyx
Alive;";";"Ytram; Citadelle; Martin Garrix";";";3IaDHisoQv2Iri6wj57jkZ
Fire (with Elderbrook);";";"Ytram; Elderbrook; Martin Garrix";";";5HFPK8mcO6BGPZNeZPZI5L
Higher Ground - Ferreck Dawn Remix;";";"Martin Garrix; John Martin; Ferreck Dawn";";";2TMUWZnH1zLFguzHUYYfgE
Higher Ground - DubVision Remix;";";"Martin Garrix; John Martin; DubVision";";";6mKJp8IRfbgknChwXNH2Dk
Higher Ground - Ferreck Dawn Extended Remix;";";"Martin Garrix; John Martin; Ferreck Dawn";";";0gLvt6FuWmNrUIUSN9qdqH
Higher Ground - DubVision Extended Remix;";";"Martin Garrix; John Martin; DubVision";";";5dY4z8BEiOFYcaT7bAkkQn
Higher Ground (feat. John Martin);";";"Martin Garrix; John Martin";";";0rohJsT6NWsThpukt0Xxdc
Drown (feat. Clinton Kane) - Alle Farben Remix;";";"Martin Garrix; Clinton Kane; Alle Farben";";";5VmxyusgwTKK69tPePaBzF
Drown (feat. Clinton Kane) - Matroda Remix;";";"Martin Garrix; Clinton Kane; Matroda";";";05mXpytcquS3WoRi3cfl8d
Drown (feat. Clinton Kane) - Sidney Samson Remix;";";"Martin Garrix; Clinton Kane; Sidney Samson";";";6hByDhfa9c4osUufhP24qm
Drown (feat. Clinton Kane) - Pat Lok Remix;";";"Martin Garrix; Clinton Kane; Pat Lok";";";7EybajZlpD6Sms7D2oy7Ng
Drown (feat. Clinton Kane) - The Subculture Remix;";";"Martin Garrix; Clinton Kane; The Subculture";";";2jLTl6iFw7b3q74dVtBWkw
Drown (feat. Clinton Kane) - The Subculture Remix;";";"Martin Garrix; Clinton Kane; The Subculture";";";6QI017tvDtPq0ZrPWAR9ys
Drown (feat. Clinton Kane) - Alle Farben Remix;";";"Martin Garrix; Clinton Kane; Alle Farben";";";3L3s97R0738xGQ2VqB12qo
Drown (feat. Clinton Kane) - Nicky Romero Remix;";";"Martin Garrix; Clinton Kane; Nicky Romero";";";5aRwLXpWjgXmwoJvXoYvCq
Drown (feat. Clinton Kane) - Matroda Remix;";";"Martin Garrix; Clinton Kane; Matroda";";";0Eo4ybyABVbzEefKptQQWo
Drown (feat. Clinton Kane);";";"Martin Garrix; Clinton Kane";";";4RVtBlHFKj51Ipvpfv5ER4
Used To Love - Acoustic Version;";";"Martin Garrix; Dean Lewis";";";3diDPfrvqfnXcCIYzU11eP
No Sleep (feat. Bonn) - DubVision Remix;";";"Martin Garrix; Bonn; DubVision";";";0mV5JWhyUFANd9qpwLkM8d
Mistaken (feat. Alex Aris) - DRAMA Remix;";";"Martin Garrix; Matisse & Sadko; Alex Aris; DRAMA";";";5OWrngLj7uTcicHivhY7jA
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Vintage Culture & Bruno Be Remix;";";"Martin Garrix; Macklemore; Fall Out Boy; Vintage Culture; Bruno Be";";";3vWtVy3fjfNzqQh7Je4l7Z
These Are The Times (feat. JRM) - Dyro Remix;";";"Martin Garrix; JRM; Dyro";";";1zOzlWLFXkUrezJZOM7CX5
Home (feat. Bonn) - Silque Remix;";";"Martin Garrix; Bonn; Silque";";";0JQBgYsrpJmmKN40ptiBPS
Used To Love (with Dean Lewis) - Bart B More Remix;";";"Martin Garrix; Dean Lewis; Bart B More";";";12Ueu4dNhQn6buHxWDsC8Q
Hold On (feat. Michel Zitron) - Julian Jordan Remix;";";"Martin Garrix; Matisse & Sadko; Michel Zitron; Julian Jordan";";";1VLzca7LUFQxYAgEVlGeUa
Hold On (feat. Michel Zitron);";";"Martin Garrix; Matisse & Sadko; Michel Zitron";";";22zxLxXlXrBIm7XaazHNrg
Used To Love (with Dean Lewis) - SWACQ Remix;";";"Martin Garrix; Dean Lewis; SWACQ";";";2vfiK6HFMl34UzBxq4NNSK
