Nome da Música;Artistas;ID da Música
Long Way to Go;";";"P!nk; The Lumineers";";";2jyXJ3RB21d3tZVZRiHtKm
Kids in Love;";";"P!nk; First Aid Kit";";";1gpYR1FzbIS0IRbpF3BBmu
Just Say I'm Sorry;";";"P!nk; Chris Stapleton";";";3opqYjloPGrJDlBjFGoWtU
Just Give Me a Reason (feat. Nate Ruess) - Live;";";"P!nk; Nate Ruess";";";37rgPoz4hfjIvPjKxlu2HE
Cash Cash Remix intro/What About Us - Live;";";"P!nk; Cash Cash";";";1yN0xCs0ZRh55ZdSRoXmdB
Cover Me In Sunshine;";";"P!nk; Willow Sage Hart";";";0UKUfxIkDAMZz7hMdiVX3m
90 Days (feat. Wrabel);";";"P!nk; Wrabel";";";0mknlibAARXVk3d8pafTUg
Hurts 2B Human (feat. Khalid);";";"P!nk; Khalid";";";6G28azuVVwYBOmmkGPQFa3
Can We Pretend (feat. Cash Cash);";";"P!nk; Cash Cash";";";68t9p1qXaslaaxk4xhTd4m
Love Me Anyway (feat. Chris Stapleton);";";"P!nk; Chris Stapleton";";";0pwdJLLVxlJa1lnR9UeMZY
Revenge (feat. Eminem);";";"P!nk; Eminem";";";3OEer2dQj1eWhSqxatGiru
Just Give Me a Reason (feat. Nate Ruess);";";"P!nk; Nate Ruess";";";1mKXFLRA179hdOWQBwUk9e
True Love (feat. Lily Allen);";";"P!nk; Lily Allen";";";1QNqrsNQ1JVLEwncov3lEY
Here Comes the Weekend (feat. Eminem);";";"P!nk; Eminem";";";10Hb1MlXsnI7Yi936C97NA
Dear Mr. President (feat. Indigo Girls);";";"P!nk; Indigo Girls";";";6ndF1XQNseMhJGp7wAAILs
I Have Seen the Rain (feat. James T. Moore);";";"P!nk; James T. Moore";";";4jcG4BrHUelTTyu35tsaol
Oh My God (feat. Peaches);";";"P!nk; Peaches";";";6t2IH1XNTTA4dWOaJIrrYE
Feel Good Time (feat. William Orbit);";";"P!nk; William Orbit";";";2oBays3WwAHXspT84n5Lhg
Respect (feat. Scratch);";";"P!nk; Scratch";";";0DqDSW0xdTUMwhOLYLtC9m
Misery (with Steven Tyler);";";"P!nk; Steven Tyler";";";6jY3W9ywchEFwA8uTzaGbK
Lonely Girl (feat. Linda Perry);";";"P!nk; Linda Perry";";";4egPgFmLoE1Z2bKLEmzCkQ
Misery (with Steven Tyler);";";"P!nk; Steven Tyler";";";7xivQxGKQqbCRaz93HSzv1
Respect (feat. Scratch);";";"P!nk; Scratch";";";6UAEqIEDAOViZx8OWw7eUJ
Lonely Girl (feat. Linda Perry);";";"P!nk; Linda Perry";";";7894fEwWV1Uelfg8diYC9O
Just Like A Pill - Jacknife Lee Mix;";";"P!nk; Jacknife Lee";";";7GoIwiu4hfTszEsPDqT297
Don't Let Me Get Me - Maurice's Nu Soul Mix;";";"P!nk; Maurice Joshua";";";50XCLKVyJBK64YChU7o1xR
Dreaming;";";"Marshmello; P!nk; Sting";";";4NUmZ5svM1Bbmaz5udqUeJ
TRUSTFALL - Drove Remix;";";"P!nk; Drove";";";0JylJPPllrXMwbogQGNOej
TRUSTFALL - Sebastian Perez Remix;";";"P!nk; Sebastian Perez";";";27yaGHEECmPBuCkUtcEHpW
Long Way to Go;";";"P!nk; The Lumineers";";";2wKrTKY1iZzUY2gE1C49Sc
Never Gonna Not Dance Again - Sam Feldt Remix;";";"P!nk; Sam Feldt";";";1U3VkqNBorp6hxLoM6JlQJ
All I Know So Far - Cedric Gervais Remix;";";"P!nk; Cedric Gervais";";";1KgxQycSrUBuRe3OSeVmNC
All I Know So Far - Syn Cole Remix;";";"P!nk; Syn Cole";";";7sfH3J656OPGV1wn5HNG5M
All I Know So Far - Luca Schreiner Remix;";";"P!nk; Luca Schreiner";";";2Iju3Hf9gmPXycSaRB6zIr
All I Know So Far - Dubdogz & Selva Remix;";";"P!nk; Dubdogz; Selva";";";2Vv8EZTCbrFwzG1u3XUh77
Cover Me In Sunshine;";";"P!nk; Willow Sage Hart";";";6Tio0ZoDeSQnI7EBAqWer2
One Too Many;";";"Keith Urban; P!nk";";";5NUXE8W12lWcUXgJRCjeEw
Hurts 2B Human (feat. Khalid) - Midnight Kids Remix;";";"P!nk; Khalid; Midnight Kids";";";7rz3mIyvlvgt2BfqLksxV2
Hurts 2B Human (feat. Khalid) - Kat Krazy Remix;";";"P!nk; Khalid";";";2wRbszy7P7VtsUvo5UrH8Q
Hurts 2B Human (feat. Khalid) - Alex Ghenea Remix;";";"P!nk; Khalid; Alex Ghenea";";";0hQ2NgmEbdBz6fQWUfl3eg
Hurts 2B Human (feat. Khalid) - FTampa Remix;";";"P!nk; Khalid";";";0wROSpeVSoSmRXBGqGUgHq
Hurts 2B Human (feat. Khalid) - Frank Pole Remix;";";"P!nk; Khalid";";";2wLsC5MYbPdfVhLv4fCZpY
Can We Pretend (feat. Cash Cash) - MOTi Remix;";";"P!nk; Cash Cash; MOTi";";";6wOGUUk5ys4jDEjUN5Xj1x
Can We Pretend (feat. Cash Cash) - Hook N Sling Remix;";";"P!nk; Cash Cash; Hook N Sling";";";2B1McxXhQkBmDhlVfBOdWF
Can We Pretend (feat. Cash Cash) - Yves V Remix;";";"P!nk; Cash Cash; Yves V";";";38Or8cAURIsnNgT8R6IAzY
Can We Pretend (feat. Cash Cash) - Bart B More Remix;";";"P!nk; Cash Cash; Bart B More";";";1HVbSS1zsbd1pnCePLq6AC
Can We Pretend (feat. Cash Cash) - Sigala Remix;";";"P!nk; Cash Cash; Sigala";";";1k08GK7ox8SDmEMvn81TwU
Walk Me Home - R3HAB Remix;";";"P!nk; R3HAB";";";6pZvrQIbjAS7zs6W68tG9m
Walk Me Home - R3HAB Extended Mix;";";"P!nk; R3HAB";";";3aHrjJG2TzpxQ1ELINOPhK
Walk Me Home - Until Dawn Remix;";";"P!nk; Until Dawn";";";49DBBtoW1TH29VH0SuR5HA
Walk Me Home - Dinaire+Bissen Remix;";";"P!nk; Dinaire + Bissen";";";0VbflN0f5kRH37YKb1SehZ
Hurts 2B Human (feat. Khalid);";";"P!nk; Khalid";";";7c5h27Ju8JE5xWKTQ88KhL
Can We Pretend (feat. Cash Cash);";";"P!nk; Cash Cash";";";3O0e0LHTpza0rYVDbZfQ4r
Walk Me Home - R3HAB Remix;";";"P!nk; R3HAB";";";7wJFBZXG4AFQS9YwBQLkqL
Secrets - Syn Cole Remix;";";"P!nk; Syn Cole";";";33wOasZTtxjRoWeFiHuR1a
Secrets - Until Dawn Remix;";";"P!nk; Until Dawn";";";5qspgnE8tLbT8NZiteN9c0
Secrets - Rescue Rangerz Remix;";";"P!nk; Rescue Rangerz";";";4vTUO4EFDah4jjo1Rlyvhj
Secrets - DJ Suri & Chris Daniel Remix;";";"P!nk; Dj Suri; Chris Daniel";";";3KSgdD7lQASTpF8BCtuJIE
Whatever You Want - Faux Tales Remix;";";"P!nk; Faux Tales";";";6R6Z6QWvyY4BuG9X0GQxAu
Whatever You Want - FTampa Remix;";";"P!nk; FTampa";";";36lndGqW1ccgG5fPWkq0zz
Whatever You Want - Embody Remix;";";"P!nk; Embody";";";4keABBFLPqrnkfORfScCph
Beautiful Trauma - Kat Krazy Remix;";";"P!nk; Kat Krazy";";";0nNQREPJzN9tn9rJumDOHt
Beautiful Trauma - MOTi Remix;";";"P!nk; MOTi";";";049NJ23pZOBKj9GNJUgd60
Beautiful Trauma - Nathan Jain Remix;";";"P!nk; Nathan Jain";";";5JPkVltl3L6EHEsHAu3oP9
Beautiful Trauma - E11even Remix;";";"P!nk; E11even";";";2n5E70ydtaskVHnHxYCXeH
What About Us - Cash Cash Remix;";";"P!nk; Cash Cash";";";5Xt5iEbljmwJW51LMTQ6Nx
What About Us - Madison Mars Remix;";";"P!nk; Madison Mars";";";3eR9DOrGN7d0hhhMY2OVzF
What About Us - Pink Panda Remix;";";"P!nk; Pink Panda";";";0dDebMd3esKmWpH8FYENbM
What About Us - Barry Harris Remix;";";"P!nk; Barry Harris";";";08B3ovv6AlK7CoZCE1T4V3
Waterfall;";";"Stargate; P!nk; Sia";";";7pYFPMeK0TnaTGdS6qOtEr
"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"") - Wideboys Remix";";";"P!nk; Wideboys";";";5XNm6WTJxKtcaug3lc8KJF
True Love (feat. Lily Allen);";";"P!nk; Lily Allen";";";4HRinebBDlPzidGViLzMin
Dear Mr. President (feat. Indigo Girls);";";"P!nk; Indigo Girls";";";5FnYb9azLL78GrT0Qg2vwD
Dear Mr. President (feat. Indigo Girls);";";"P!nk; Indigo Girls";";";7CymEV1jHqnZS3407PykTV
U + Ur Hand - BeatCult Remix;";";"P!nk; BeatCult";";";2vmn1JpUhAoKUgvH5MP7Bf
U + Ur Hand - Bimbo Jones Remix;";";"P!nk; Lee Dagger; Marc JB";";";21t6MhV7tfUcOEHiGLpNUf
Stupid Girls - Junior Vasquez & Dynamix Remix - Club Mix;";";"P!nk; Eddie Cumana; Junior Vasquez";";";7E4pnMowVJv98MGUHhiyUO
Stupid Girls - Noize Trip Remix;";";"P!nk; Noize Trip";";";25yQ8fjeXYX8e00oQ7FdDY
