Nome da Música;Artistas;ID da Música
"Poor Unfortunate Souls - From ""The Little Mermaid"" / Soundtrack Version";";";"Pat Carroll; Disney";";";2hEoQYmJ2nhecpv7nwt70y
"Un Poco Loco - From ""Coco""/Soundtrack Version";";";"Anthony Gonzalez; Gael Garcia Bernal";";";50VJQm3636Oa93BHW72G9N
"Chillin' Like a Villain - From ""Descendants 2""/Soundtrack Version";";";"Sofia Carson; Cameron Boyce; Booboo Stewart; Mitchell Hope; Disney";";";1b7PckyiHXvMf3MdxlcDyp
"Rotten to the Core - From ""Descendants""/Soundtrack Version";";";"Dove Cameron; Cameron Boyce; Booboo Stewart; Sofia Carson; Disney";";";5NeEwmUZYkqYHb9DWWK7XR
"We Don't Talk About Bruno - From ""Encanto""/Soundtrack Version";";";"Carolina Gaitán - La Gaita; Mauro Castillo; Adassa; Rhenzy Feliz; Diane Guerrero; Stephanie Beatriz; Encanto - Cast";";";1dSzB8GQBI7dGTAYBrWec5
"Ways to Be Wicked - From ""Descendants 2""/Soundtrack Version";";";"Dove Cameron; Sofia Carson; Cameron Boyce; Booboo Stewart; Disney";";";22hZwREuIX4MX0JbdLSxs8
"Be Prepared - From ""The Lion King"" / Soundtrack Version";";";"Jeremy Irons; Whoopi Goldberg; Cheech Marin; Jim Cummings";";";5lrhReH09lQV4wetV8jSpr
"Good to Be Bad - From ""Descendants 3""/Soundtrack Version";";";"Dove Cameron; Sofia Carson; Booboo Stewart; Cameron Boyce; Jadah Marie; Anna Cathcart; Disney";";";2foZEQ8oayQLUFCYbZLzfl
"Gaston - From ""Beauty and the Beast"" / Soundtrack Version";";";"Richard White; Jesse Corti; Chorus - Beauty And the Beast; Disney";";";5p68xjydyERQVwDnztCam8
"Prince Ali (Reprise) - From ""Aladdin""/Soundtrack Version";";";"Jonathan Freeman; Disney";";";6VJewnBpde2tEuquAngk0B
"Come on Out - From ""ZOMBIES 3""/Soundtrack Version";";";"Chandler Kinney; Ariel Martin; Pearce Joza; ZOMBIES – Cast; Disney";";";0PhXkrUep6LXI5VGbldJnK
"Agatha All Along - From ""WandaVision: Episode 7""/Soundtrack Version";";";"Kristen Anderson-Lopez; Robert Lopez; Kathryn Hahn; Eric Bradley; Greg Whipple; Jasper Randall; Gerald White";";";3Nr7EjRUQMrbYDoVKHp6d6
"Alien Invasion - From ""ZOMBIES 3""/Soundtrack Version";";";"ZOMBIES – Cast; Disney";";";2rQ9tWahp0yPNwy7rPSPKr
"Ain't No Doubt About It - From ""ZOMBIES 3""/Soundtrack Version";";";"Milo Manheim; Meg Donnelly; ZOMBIES – Cast; Disney";";";3Due86HiyEZXRik5tAzdP9
"Evil - From ""Descendants: Wicked World""";";";"Dove Cameron; Disney";";";4B8EEtukRuFPofPre7CxqM
"The Mob Song - From ""Beauty and the Beast""/Soundtrack Version";";";"Chorus - Beauty And the Beast; Richard White; Disney";";";4UBGmh82wXWFXoL2onaRis
"Grim Grinning Ghosts - From ""The Haunted Mansion""";";";"The Melomen; Paul Frees; Betty Taylor; Bill Lee; Thurl Ravenscroft";";";2h33XtB73wPV6WTBNjaUpE
"Song Of Mor'du - From ""Brave""/Soundtrack";";";"Patrick Doyle; Billy Connolly; Alex Norton; Carey Wilson; Scott Davies; Gordon Neville";";";4gTggnpvw9xhQQtPnY1lCZ
"The Court of Miracles - From ""The Hunchback Of Notre Dame""/Soundtrack";";";"Paul Kandel; Chorus - The Hunchback Of Notre Dame";";";0HaiiXbR6osY0wSyZBKbMo
"The Twilight Zone Tower of Terror Theme - From ""The Twilight Zone Tower of Terror""";";";"Richard Bellis; Marious Constant";";";3SimfyTSvzTcS44B0X2Egw
Swinging Wake;";";"Xavier Atencio; Buddy Baker";";";1sUW21FMTkhesHNygTbVTi
Calling All the Monsters - 2021 Version;";";"Thriii; Messenger";";";2eOj4uqgOw8p53V3jSfTeg
"We Don't Talk About Bruno - From ""Encanto""/Soundtrack Version";";";"Carolina Gaitán - La Gaita; Mauro Castillo; Adassa; Rhenzy Feliz; Diane Guerrero; Stephanie Beatriz; Encanto - Cast";";";0jaLOwUrnZjmFPaHEmeQQP
"Zero To Hero - From ""Hercules"" / Soundtrack Version";";";"Chorus - Hercules; Lillias White; Cheryl Freeman; LaChanze; Roz Ryan; Vaneese Thomas; Tawatha Agee; Disney";";";7dLUn1VT1rrtcrZWzTOH5P
"Un Poco Loco - From ""Coco""/Soundtrack Version";";";"Anthony Gonzalez; Gael Garcia Bernal";";";68clMtCKOjuXziJhpTfzDg
"Nobody Like U - From ""Turning Red""/Soundtrack Version";";";"4*TOWN (From Disney and Pixar’s Turning Red); Jordan Fisher; Finneas O'Connell; Topher Ngo; Grayson Villanueva; Josh Levi";";";6WH7c9YpSG586CdSE5Kylh
"A Whole New World - From ""Aladdin"" / Soundtrack Version";";";"Lea Salonga; Brad Kane; Disney";";";1L7g6SU4mjvvpNqPxrQvdc
"Dig a Little Deeper - From ""The Princess and the Frog""/Soundtrack Version";";";"Jenifer Lewis; The Pinnacle Gospel Choir";";";3Us0AkLRBlv30wKyoXzRK9
"I See the Light - From ""Tangled"" / Soundtrack Version";";";"Mandy Moore; Zachary Levi";";";0ssiA347C7W2OkFInzvnBF
"The Family Madrigal - From ""Encanto""/Soundtrack Version";";";"Stephanie Beatriz; Olga Merediz; Encanto - Cast";";";49PFAmhoSBnMZhjFqeYuix
"U Know What's Up - From ""Turning Red""/Soundtrack Version";";";"4*TOWN (From Disney and Pixar’s Turning Red); Jordan Fisher; Finneas O'Connell; Topher Ngo; Grayson Villanueva; Josh Levi";";";63E6u3rtAMtNgPZYZwyWZv
"We're All In This Together - From ""High School Musical""/Soundtrack Version";";";"High School Musical Cast; Disney";";";1JcYZ5RV2qbJIbqgEgmfSl
"Hawaiian Roller Coaster Ride - From ""Lilo & Stitch""/Soundtrack Version";";";"Mark Keali'i Ho'omalu; Kamehameha Schools Children's Chorus";";";6lFJxmeD3Vak3nnoB9bDAi
High School Musical (Main Title);";";"Gabriel Mann; Disney";";";7Jvsr7cp4Ko4niJzzGzcEO
High School Reunion;";";"Cast of High School Musical: The Musical: The Series; Disney";";";6R8FetH1gKDz5N4dXzIIxi
High School Musical;";";"Kylie Cantrall; Disney";";";2dlJkJOVBGOktzbKWYDvHz
Puppy Love (Theme Song Version);";";"Cozi Zuehlsdorff; Disney";";";51RbPzlSHFTgXYtsrQqhnM
Maybe This Time;";";"Joshua Bassett; Sofia Wylie; Disney";";";3W0GRsBgcb4ebRdG6X6nQp
Now or Never (Auditions);";";"Cast of High School Musical: The Musical: The Series; Disney";";";5U2XyALoc3gQIP5CpjQfdW
Puppy Love;";";"Joshua Bassett; Disney";";";1lWODw8OC1YUvzHc7umi76
Can I Have This Dance;";";"Joshua Bassett; Sofia Wylie; Disney";";";5NILdwF8RA28VxOeqPpEcg
Nightmares Come to Life;";";"Cast of High School Musical: The Musical: The Series; Disney";";";0MPmVUHEFVu0yqftGX4Idb
Call It What You Want;";";"Julia Lester; Saylor Bell; Disney";";";4RxtVV3AySA09FYAOVdWwu
Speak Out (Acoustic);";";"Joshua Bassett; Matt Cornett; Disney";";";7caxKXiMhpSSefRz4hlv92
