Nome da Música;Artistas;ID da Música
PPV;";";"Wiz Khalifa; Lil Vada";";";52LNKjSrOxyTlwS4cHyO3R
Makin Enemies;";";"Wiz Khalifa; Chevy Woods";";";1lNfJKGvFrZwQkNaVFwcGQ
Pounds and Shrooms;";";"Wiz Khalifa; Young Deji";";";5AWbK7rEjfocqQ4k6hrdbI
I'm A Star (feat. Johnny Juliano);";";"Wiz Khalifa; Johnny Juliano";";";2SRIJEb9LVxbAQeCkYVarQ
Be Easy (feat. Boaz, Chevy Woods & Young Ro) - Remix;";";"Wiz Khalifa; Boaz; Chevy Woods; Young Ro";";";0dUtTL7nzR2oRTvQr3RfEc
Bankroll (feat. Courtney Noelle);";";"Wiz Khalifa; Courtney Noelle";";";27GiM5fyEZLZxXpV2pT8ju
Shawty Wanna Roll (feat. Lavish);";";"Wiz Khalifa; Lavish";";";140V8SoeE6zt8X0CbMaXxc
P.W.P. (feat. Chevy Woods);";";"Wiz Khalifa; Chevy Woods";";";6pKgrE3hMGngkPXOezwbHu
My Life (feat. Johnny Juliano);";";"Wiz Khalifa; Johnny Juliano";";";6aotU0PNXBicjYGpG5bQ2W
Spacely (feat. Rocky Fontaine);";";"Wiz Khalifa; Rocky Fontaine";";";5khqhIpxKWlJvb5AxjQsM4
Big Daddy Wiz (feat. Girl Talk);";";"Wiz Khalifa; Girl Talk";";";59U1hI1loFQHAQSinsBOgb
1000 Women (feat. THEY.);";";"Wiz Khalifa; THEY.";";";3msvRwmgmvUux7b0JRUtJY
Goyard Bags (feat. THEY.);";";"Wiz Khalifa; THEY.";";";0aLqernu9PUEyliRg1osNg
Big Daddy Wiz (feat. Girl Talk);";";"Wiz Khalifa; Girl Talk";";";4zG1APIwi9RGYqhjitkB9F
1000 Women (feat. THEY.);";";"Wiz Khalifa; THEY.";";";5tvVVnVFA486pGDRzA54Ak
Goyard Bags (feat. THEY.);";";"Wiz Khalifa; THEY.";";";57xKyPEId2fTZjSv5tek26
Mind Blown;";";"Wiz Khalifa; Smoke DZA; Girl Talk";";";6arAjuNdQKBBcaa6Ozkjr5
Put You On;";";"Wiz Khalifa; Big K.R.I.T.; Girl Talk; Smoke DZA";";";6VlGmtWqY9EQLCVPmTmkRj
Season;";";"Smoke DZA; Girl Talk";";";6nM0Mxdc0VUTzqbBY0wk4H
How The Story Goes;";";"Wiz Khalifa; Big K.R.I.T.; Girl Talk";";";5N4YsafxjLhZhJtOoDlBU5
No Singles;";";"Wiz Khalifa; Big K.R.I.T.; Girl Talk; Smoke DZA";";";5EglYkTXcbwndDeUTUM7Td
Ready For Love;";";"Wiz Khalifa; Girl Talk";";";19D4LnPZrOGwXLM4TW2ArO
Revenge Of The Cool;";";"Big K.R.I.T.; Smoke DZA; Girl Talk";";";0t2BnLwIpF3kKB9XvFqcMS
Ain’t No Fun;";";"Wiz Khalifa; Big K.R.I.T.; Girl Talk; Smoke DZA";";";6IUHcXxOZpPKPzt8IVg7bv
Fly The Coop;";";"Big K.R.I.T.; Girl Talk";";";2EtLw937H91M9tb9eKngRF
Everyday (feat. Curren$y);";";"Wiz Khalifa; Big K.R.I.T.; Girl Talk; Smoke DZA; Curren$y";";";1ulNK4GuI1A614l3Evxit2
Testin;";";"Juicy J; Wiz Khalifa";";";3a10dCqy1uBdMnekoMwDY7
Weak (feat. BIG30);";";"Juicy J; Wiz Khalifa; BIG30";";";1r2mef8nQFVUZjyBalNNhW
Pop That Trunk;";";"Juicy J; Wiz Khalifa";";";15Wr16fDha5kBhznv5YfRO
Big Game;";";"Juicy J; Wiz Khalifa";";";0gDQ5cIE3a8ATA2uhRchWr
Backseat;";";"Juicy J; Project Pat; Wiz Khalifa";";";1RSFwVzCHU9WHuD1Kt3wkC
Throw It;";";"Juicy J; Wiz Khalifa";";";50RhEzpFd5rmgl97y4Wnd7
Try It;";";"Juicy J; Wiz Khalifa";";";2GQmpsFvwOhwLCimR4MAAk
They Wanna See You;";";"Juicy J; Wiz Khalifa";";";7pUF5MhkVnFXKrkKCY9Bri
Ass For Days;";";"Juicy J; Wiz Khalifa";";";70wRKg4dEggSHZtJ5BOBiL
Club Close;";";"Juicy J; Wiz Khalifa";";";0YaxhVjqnUdpF6f0vKw6QH
Blaze Up;";";"Juicy J; Wiz Khalifa";";";6gTUZ57GqSTZIT2Nx0gWkb
Why Do I Stay High (feat. Elle Varner);";";"Juicy J; Wiz Khalifa; Elle Varner";";";2RuUIB68QporJ9ilCGkaF6
Invest;";";"Juicy J; Wiz Khalifa";";";1OmpAONe2EtiEDcBc7z6uz
Player Of The Year;";";"Wiz Khalifa; Cardo; Sledgren";";";5C26ZJC38397WEYMhxcAyh
Can't Stay Sober;";";"Wiz Khalifa; Cardo; Sledgren";";";7AHHfDcLfEQwK1th9L2u8P
Personal Party;";";"Wiz Khalifa; Cardo; Sledgren";";";618sbGiyVgvPvuoywcFcvW
Dr. Dankenstien;";";"Wiz Khalifa; Cardo; Sledgren; Fedd the God";";";1KbVLE6xUixeEGCynLuLQR
Purple Fantasy;";";"Wiz Khalifa; Cardo; Sledgren; Young Deji";";";4VNGYdH77hfnVSc6MYrWV9
Shop Around;";";"Wiz Khalifa; Cardo; Sledgren";";";2vS063haJoKqtZbQKMC5Q1
Solid Gold;";";"Wiz Khalifa; Cardo; Sledgren";";";1ksEA06A8v38YvMTCoaOgh
The Finer Things;";";"Wiz Khalifa; Cardo; Sledgren";";";69moYwyflpHf290OG05EBt
2 Stoned For TV;";";"Wiz Khalifa; Cardo; Sledgren; Curren$y";";";5C2eM4aza8imtp5FUtpLhj
More Than Ever;";";"Wiz Khalifa; Cardo; Sledgren";";";0V9N9NpTe8rBxh00SK5ghA
Blacc Tarantino;";";"Wiz Khalifa; Cardo; Sledgren";";";4XfImWpKCckmDc4tRqEyIR
Know Better;";";"Wiz Khalifa; Cardo; Sledgren; Larry June";";";6Jpzn0Bu4JGzEA0yoE0ElD
Wiz Got Wings;";";"Wiz Khalifa; Cardo; Sledgren";";";0o20FSM8CH6vk2k1NYpSER
The Kid Frankie Pt. 2;";";"Wiz Khalifa; Cardo; Sledgren; Chevy Woods";";";6u95YAbxGCshAgiqlZRFvN
On My Level (feat. Too $hort);";";"Wiz Khalifa; Too $hort";";";0rZ8Wpwd2sKo5tv6doZWxa
Hopes & Dreams (feat. Nipsey Hussle);";";"Wiz Khalifa; Nipsey Hussle";";";0HxhSARtotxxCIabBZzz4e
Star of the Show (feat. Chevy Woods);";";"Wiz Khalifa; Chevy Woods";";";0lAIkclakUjPb15oPEAusC
Rooftops (feat. Curren$y);";";"Wiz Khalifa; Curren$y";";";5ERgxRwzApwW4pkVooAHJH
Black and Yellow (feat. Juicy J, Snoop Dogg & T-Pain) - G-Mix [G-Mix];";";"Wiz Khalifa; Juicy J; Snoop Dogg; T-Pain";";";5IdzhiIoGFVOkSKHyglOta
Middle of You (feat. Chevy Woods, Nikkiya and Poo Bear) - Bonus Track;";";"Wiz Khalifa; Chevy Woods; Nikkiya; Poo Bear";";";5uupHdWWAMC5eUQvITMwLe
What’s the Move (feat. Maxo Kream and SNSTBLVD);";";"Wiz Khalifa; Maxo Kream; SNSTBLVD";";";7ecxRNxyHvfr3IcBE0pxur
Millions (feat. A Boogie Wit da Hoodie);";";"Wiz Khalifa; A Boogie Wit da Hoodie";";";6VPzN9cxncE33hdEsQh4eR
On Top (feat. aimeeags);";";"Wiz Khalifa; aimeeags";";";2C3PGjmii2ClDPU92HXP2G
POV (feat. Rubi Rose);";";"Wiz Khalifa; Rubi Rose";";";3zjxHcCNv4mw0eoWq8Cumt
Trap Nap (feat. Saxl Rose);";";"Wiz Khalifa; Saxl Rose";";";2huWYlIYhfqQRx4P5x2xai
Above Average (feat. Young Deji);";";"Wiz Khalifa; Young Deji";";";6okJyL8785Vg9UXsOAxQGr
Contact (feat. Tyga);";";"Wiz Khalifa; Tyga";";";5SX8Eqoqcn5gZGQ3bnPiNh
Y U Mad (feat. Megan Thee Stallion, Ty Dolla $ign & Mustard);";";"Wiz Khalifa; Megan Thee Stallion; Mustard; Ty Dolla $ign";";";2SvqxhxJNSkoZtCnslGOAV
High Today (feat. Logic);";";"Wiz Khalifa; Logic";";";3Bga6UWPipOwVQG6WMOzqJ
Out in Space (feat. Quavo);";";"Wiz Khalifa; Quavo";";";7mSrNANcVFJxhGUvVrfX7p
Clouds in the Air (feat. K CAMP);";";"Wiz Khalifa; K CAMP";";";02TRw2Vdn01iVENaKg6Ra1
Bammer (feat. Mustard);";";"Wiz Khalifa; Mustard";";";1PFS376Co8peV2vC9eposX
Y U Mad (feat. Megan Thee Stallion, Ty Dolla $ign & Mustard);";";"Wiz Khalifa; Megan Thee Stallion; Mustard; Ty Dolla $ign";";";34TAFsrcHSBvLxhXZMBRSF
Out in Space (feat. Quavo);";";"Wiz Khalifa; Quavo";";";3bqU32NjjtMeJ7dtn5Lzxi
Bammer (feat. Mustard);";";"Wiz Khalifa; Mustard";";";0hgOPiIG1N5EveHIU5aR1j
Contact (feat. Tyga);";";"Wiz Khalifa; Tyga";";";6vMQLnaxlPQwlyCXpRtTV0
Clouds in the Air (feat. K CAMP);";";"Wiz Khalifa; K CAMP";";";0QxGcNc3bXhhVclH03Xqt1
High Today (feat. Logic);";";"Wiz Khalifa; Logic";";";6TkwBmyNs21ihKTi8Bp0eo
Real as You Think (feat. Problem and Curren$y);";";"Wiz Khalifa; Curren$y; Problem";";";6VvwupDYPPFfLubZEbjv5r
G.O.A.T Flow (feat. THEMXXNLIGHT);";";"Wiz Khalifa; THEMXXNLIGHT";";";6PVX4IODZNDM9qSvf8sh4e
Bacc to Winning (feat. Ty Dolla $ign);";";"Wiz Khalifa; Ty Dolla $ign";";";2aWdGpj6TQ3BaUYij8zAhr
Chevy Bars (feat. Chevy Woods);";";"Wiz Khalifa; Chevy Woods";";";7Dbmp1RLZrDmW1DVODL6m6
Big Pride (Bag Talk) [feat. Young Deji];";";"Wiz Khalifa; Young Deji";";";0vfvzlCthnGstAJ3arUA03
What You Deserve (feat. Young Deji);";";"Wiz Khalifa; Young Deji";";";5oLKOYJETTmnF5WmPktXgB
