Nome da Música;Artistas;ID da Música
pushin P (feat. Young Thug);";";"Gunna; Future; Young Thug";";";3XOalgusokruzA5ZBA2Qcb
mop (feat. Young Thug);";";"Gunna; Young Thug";";";49BbpJuVsX2wUl0Qo9aVvC
thought i was playing;";";"Gunna; 21 Savage";";";5dqeWGM9sqLd5bZhyBikrZ
P power (feat. Drake);";";"Gunna; Drake";";";0lEjxUUlKqjqXrVlIHFduD
how you did that (feat. Kodak Black);";";"Gunna; Kodak Black";";";3ABFD8SzXwMbUspLFxbbwK
you & me;";";"Gunna; Chlöe";";";6f9GhvtmiQR6JNXRZJKYlj
25k jacket (feat. Lil Baby);";";"Gunna; Lil Baby";";";6tsVFchreYTt2OPXSOoFCX
too easy;";";"Gunna; Future";";";1t55dGrBkLvKDzNa9QJ3LV
idk that bitch (feat. G Herbo);";";"Gunna; G Herbo";";";0n56YWlnKfK1meIGHwMFWt
life of sin (feat. Nechie);";";"Gunna; Nechie";";";54o0kiaqwj3yBKYHw4E7FR
die alone (feat. Yung Bleu);";";"Gunna; Chris Brown; Yung Bleu";";";4LkT6eAaE0ewY21VHfKoBv
too easy (Remix) [feat. Future & Roddy Ricch];";";"Gunna; Future; Roddy Ricch";";";3A3S5pdCJdePtJ0oKeCrCP
Slam the Door;";";"Young Stoner Life; Young Thug; Gunna";";";07Vwzgzl5dRyU7AMpJbIE3
Litty (feat. DaBaby);";";"Young Stoner Life; Young Thug; DaBaby";";";2Zza7LeJBNz3R2xprlfrFS
No Surprise (feat. Don Toliver & Bslime);";";"Young Stoner Life; Young Thug; Bslime; Don Toliver";";";5yjcHfRu0LWD9XpvWabQGj
Mil in Vegas (feat. NAV);";";"Young Stoner Life; Young Thug; NAV";";";7hCVWrRyGPNsjrwfgXCO3u
Explosion (feat. Yak Gotti & FN DaDealer);";";"Young Stoner Life; Gunna; Yak Gotti; FN DaDealer";";";0SRLuNuokXllJdy0bLC5BI
