Nome da Música;Artistas;ID da Música
Sad in the Summer (feat. Lily Rose);";";"Diplo; Lily Rose";";";248diuTMNKqBJR27hQQ9QZ
Use Me (Brutal Hearts) (feat. Sturgill Simpson, Dove Cameron & Johnny Blue Skies);";";"Diplo; Sturgill Simpson; Dove Cameron; Johnny Blue Skies";";";3RiTK6aWtAAfF6jn9k3PCw
Rain on My Mind (with Paul Cauthen & Sierra Ferrell);";";"Diplo; Paul Cauthen; Sierra Ferrell";";";0IlFLfv19Qt1Hed9pD2BVh
Never Die (feat. Morgan Wade);";";"Diplo; Morgan Wade";";";1FgurCjAmC26RbYXuWsn2G
Lonely Long (feat. Parker McCollum);";";"Diplo; Parker McCollum";";";1QMaCaFYMOuSvNMVT980m1
Wasted (feat. Kodak Black & Koe Wetzel);";";"Diplo; Kodak Black; Koe Wetzel";";";6Hny7fpeeAG6AO22KOX3fY
Without You (feat. Elle King);";";"Diplo; Elle King";";";5voEyQp5BKuypKaLMoWzg6
Heartbroken (feat. Jessie Murph & Polo G);";";"Diplo; Jessie Murph; Polo G";";";60eA3QITW5G2D7Woc11uKc
Heartbroken - Jessie Version;";";"Diplo; Jessie Murph";";";60bbiP93CSxmLibuwvxay9
Intro (feat. Orville Peck);";";"Diplo; Orville Peck";";";7p6wXNNvM47FkKBvSJzrTq
Bottle’s Bout Dead (feat. ERNEST);";";"Diplo; ERNEST";";";52RfQ4YegQuIrbkd9xcmk3
Horizon (feat. Leon Bridges);";";"Diplo; Leon Bridges";";";6gpUifbYM5PZ4FcM3XdL6i
Dance with Me (feat. Thomas Rhett & Young Thug);";";"Diplo; Thomas Rhett; Young Thug";";";4l45OqATBbGhjha0uYppg9
Heartless (feat. Morgan Wallen);";";"Diplo; Morgan Wallen";";";4SgeQkgcEpFHTal4SbZaHT
Lonely (with Jonas Brothers);";";"Diplo; Jonas Brothers";";";5CvPPoOwdYwjmYJBnKrRty
So Long (feat. Cam);";";"Diplo; Cam";";";7IGKZdWiyoPshKHWzpT4hF
Do Si Do (feat. Blanco Brown);";";"Diplo; Blanco Brown";";";2aXUW5EvaIE6I5IJRVN6sK
On Mine (feat. Noah Cyrus);";";"Diplo; Noah Cyrus";";";2YA9nmAYNcqLTZY6vM4c5k
Real Life Stuff (feat. Julia Michaels & Clever);";";"Diplo; Julia Michaels; Clever";";";47N5b9OXhFci9bjQHX93Ip
Hometown (feat. Zac Brown & Danielle Bradbery);";";"Diplo; Zac Brown; Danielle Bradbery";";";5t6FG8CTfNVSe3fBI3zmIC
Heartbreak (feat. Ben Burgess);";";"Diplo; Ben Burgess";";";7CkIffYFyxmXI2Zpuw0l6Z
Heartless (with Julia Michaels & Morgan Wallen);";";"Diplo; Julia Michaels; Morgan Wallen";";";3w2tZcnf6A0NEeJwOnNz1a
