Nome da Música;Artistas;ID da Música
CAREFUL;";";"NF; Cordae";";";7FET9gtiECWn7llt0sfvtU
GONE;";";"NF; Julia Michaels";";";2LCGFBu1ej6zt4r1VGPjny
LOST;";";"NF; Hopsin";";";1PTVGdcYyLFnJKVOkaxQWj
TRUST;";";"NF; Tech N9ne";";";2FSVMyqLldC36p0deIYvI9
Only;";";"NF; Sasha Alex Sloan";";";5lehoWkVPujeOAwb8BO0uK
10 Feet Down;";";"NF; Ruelle";";";68biLwi894rMQPeIiSky2t
Grindin';";";"NF; Marty";";";3m6HMeFX6GIlGPMBcLEN6t
Lost In The Moment;";";"NF; Andreas Moss";";";3qEg6xYffvuvwpq4U6FRrK
Mansion;";";"NF; Fleurie";";";3nKRYKbGxhzv4BbwlLOcWU
I'll Keep On;";";"NF; Jeremiah Carlson";";";4ViElQuRwSp33VmXzPURf7
Can You Hold Me;";";"NF; Britt Nicole";";";1isXdpzFMO6EIkgdWjV2D8
LOST;";";"NF; Hopsin";";";2MZrOmrVxRmmOoFW6dhenG
Chasing_(Demo);";";"NF; Mikayla Sippel";";";4f80SteKqaB6M2JytEUrwT
