Nome da Música;Artistas;ID da Música
"Ek Ladki (From ""Mere Yaar Ki Shaadi Hai"")";";";"Jeet-Pritam; Udit Narayan; Alka Yagnik; Javed Akhtar";";";4SQPYWgxCiurtthMfF4jH0
"Dhoom Machale (From ""Dhoom"")";";";"Pritam; Sunidhi Chauhan; Sameer";";";5fU3Zlef6yeU1FbiHHbt6j
"Crazy Kiya Re (From ""Dhoom:2"")";";";"Pritam; Sunidhi Chauhan; Sameer";";";0FDz52AydSbKmGO3k6EMiS
"Hadippa (From ""Dil Bole Hadippa"")";";";"Pritam; Mika Singh; Jaideep Sahni";";";3w1fzmm2ZBF7MRKRGFrhzm
"Ayaashi (From ""Badmaash Company"")";";";"Pritam; KK; Anvita Dutt";";";1tNw5SOiQJrPf87CDh6UiA
"Malang (From ""Dhoom:3"")";";";"Pritam; Siddharth Mahadevan; Shilpa Rao; Sameer Anjaan";";";6E2e7lb0jETN2EXbswzylY
"Sharara (From ""Mere Yaar Ki Shaadi Hai"")";";";"Jeet-Pritam; Asha Bhosle; Javed Akhtar";";";5yJFpU3rKZFqaFpevJHN5a
"Shikdum (From ""Dhoom"")";";";"Pritam; Shaan; Shreya Ghoshal; Sameer";";";0MofcoMjWjDuqihNCdOiUk
"Touch Me (From ""Dhoom:2"")";";";"Pritam; KK; Alisha Chinai; Sameer";";";09XAlNtxlbZBep0O0z1sR7
"Hai Junoon (From ""New York"")";";";"Pritam; KK; Sandeep Shrivastava";";";2bhzXAQv9hv7ZGPUZeN5cz
"Ishq Hi Hai Rab (From ""Dil Bole Hadippa"")";";";"Pritam; Sonu Nigam; Shreya Ghoshal; Jaideep Sahni";";";6be37h196RnDKEoZkCZQ4a
"Chaska (From ""Badmaash Company"")";";";"Pritam; Krishna; Url; Anvita Dutt";";";1j8wj1GlGQIIktQyv95pHW
"Kamli (From ""Dhoom:3"")";";";"Pritam; Sunidhi Chauhan; Amitabh Bhattacharya";";";1PSSiUzHEZDPPhy1MyCtbF
"Jaage Jaage (From ""Mere Yaar Ki Shaadi Hai"")";";";"Jeet-Pritam; Sonu Nigam; Alka Yagnik; Udit Narayan; Javed Akhtar";";";6tpvHS1Zo3XsDbCGdHN0BR
"Dilbara (From ""Dhoom"")";";";"Pritam; Abhijeet; Sowmya Raoh; Sameer";";";5xbudoMCt2eLaPLE9Es1Bm
"Dil Laga Na (From ""Dhoom:2"")";";";"Pritam; Sukhbir; Soham Chakrabarthy; Jolly Mukherjee; Mahalaxmi Iyer; Suzanne; Sameer";";";4xBdL83lVrc4DWup8J9suW
"Tune Jo Na Kaha (From ""New York"")";";";"Pritam; Mohit Chauhan; Sandeep Shrivastava";";";216L4bediHLhvI7MQgOSAz
"Salaame (From ""Dhoom"")";";";"Pritam; Kunal Ganjawala; Vasundhara Das; Sameer";";";0yRsMIN7BYwIZIyDuULV9Q
"Tu Hi Junoon (From ""Dhoom:3"")";";";"Pritam; Mohit Chauhan; Kausar Munir";";";04Hitqk330wIcM8SO2DgXX
"Dhoom Again (From ""Dhoom:2"")";";";"Pritam; Vishal Dadlani; Dominique Cerejo; Asif Ali Baig";";";4k4cbuJAsmDqg3s74UxRNv
"Mere Sang (From ""New York"")";";";"Pritam; Sunidhi Chauhan; Sandeep Shrivastava";";";4Wqtoz5XsmoI1POeeFSi4O
"Dhoom Machale Dhoom (From ""Dhoom:3"")";";";"Pritam; Aditi Singh Sharma; Sameer Anjaan";";";27L1VweNSRgmmq2nBec5Qb
"Fakeera (From ""Badmaash Company"")";";";"Pritam; Rahat Fateh Ali Khan; Anvita Dutt";";";1SGTd3OGYnTAROemqJCL3N
"Discowale Khisko (From ""Dil Bole Hadippa"")";";";"Pritam; KK; Sunidhi Chauhan; Rana Mazumder; Jaideep Sahni";";";3iAIll7diSufRTrEvV0IaY
"Dhoom Dhoom (From ""Dhoom"")";";";"Pritam; Tata Young; Asif Ali Baig";";";1pApNS3ybh1Qq3O3sq6cZs
"Bhangra Bistar (From ""Dil Bole Hadippa"")";";";"Pritam; Alisha Chinai; Sunidhi Chauhan; Rap by: Hard Kaur; Jaideep Sahni";";";5HWO1PUGYenSCafFlmjhJW
"Badmaash Company (From ""Badmaash Company"")";";";"Pritam; Benny Dayal; Anvita Dutt";";";0Er6YWTJ924o4gCjgrwCi3
"Humne Suna Hai (From ""Mere Yaar Ki Shaadi Hai"")";";";"Jeet-Pritam; Udit Narayan; Alka Yagnik; Sudesh Bhosle; Jaspinder Narula; Javed Akhtar";";";43fczPbTQ31sTNFMDRGleI
"My Name Is Ali (From ""Dhoom:2"")";";";"Pritam; Sonu Nigam; Bipasha Basu; Sameer";";";6OSusPRbawEkkJkAr5Y7Ef
Kesariya;";";"Pritam; Arijit Singh; Amitabh Bhattacharya";";";0M6cEgZ7DRZmNswkDKJg10
Shayad;";";"Pritam; Arijit Singh";";";1neU8RVmMJ7kmbGisZLOak
Deva Deva;";";"Pritam; Arijit Singh; Amitabh Bhattacharya; Jonita Gandhi";";";629mVF3vzwJaMrA4L2AzMg
"Hawayein (From ""Jab Harry Met Sejal"")";";";"Pritam; Arijit Singh";";";07Dp9ooGbtjIOkWqDdpKjT
"Ae Dil Hai Mushkil Title Track (From ""Ae Dil Hai Mushkil"")";";";"Pritam; Arijit Singh";";";0O1U0yGxlJQZGBBhNm8Lh8
Mehrama;";";"Pritam; Darshan Raval; Antara Mitra";";";3PHVbH4BgnqZtUID5bh4jc
"Channa Mereya (From ""Ae Dil Hai Mushkil"")";";";"Pritam; Arijit Singh";";";3YJP0IveT9W2xb1TKWApFA
Zara Sa;";";"Pritam; KK";";";1DDSchs67kr1MGAZTkHHzu
Dil Ibaadat;";";"Pritam; KK";";";3wMEFlSm5uVcTn3QgrkQE0
Tu Hi Haqeeqat;";";"Pritam; Javed Ali; Irshan Ashraf; Shadab";";";3VTFLNN8Gov6d3Rgp5ycQr
Zara Sa;";";"Pritam; KK";";";0MBo68MtMOMNecfVhDZ3hH
Dil Ibaadat;";";"Pritam; KK";";";7mUyFnFlxaXysRUN8wbFz2
Haan Tu Hain;";";"Pritam; KK";";";4gWjmMP47JvAefYEtE5a92
Mat Aazma Re;";";"Pritam; KK";";";1Z1flr6SYvnIF6Td0ySs2t
Tujhe Sochta Hoon;";";"Pritam; KK";";";44FiPsf8rc7JVbqDiTduq7
Jannatein Kahan;";";"Pritam; KK";";";6KRRIxuHUOfg8WEqHrdJal
O Meri Jaan;";";"Pritam; KK";";";2TDVVoyNR3qNROyZN1UjLQ
Alvida;";";"Pritam; KK";";";23AY6ZIIpTi8a5cvcCYbZ2
Kesariya;";";"Pritam; Arijit Singh; Amitabh Bhattacharya";";";4UMIv5jd9gK98a39BQRD9X
Deva Deva;";";"Pritam; Arijit Singh; Amitabh Bhattacharya; Jonita Gandhi";";";4SqPZorSDuUtvdJwVGeZRC
Dance Ka Bhoot;";";"Pritam; Arijit Singh; Amitabh Bhattacharya";";";43Xb3G04Pgp63fNhQW4T6W
Rasiya;";";"Pritam; Shreya Ghoshal; TUSHAR JOSHI";";";6zfvsbeuFKoWIdoRb3JdhA
Shiva Theme;";";"Pritam; Javed Ali";";";6cGm35pppK4GXpiM19n5XU
Kesariya - Dance Mix;";";"Pritam; Shashwat Singh; Antara Mitra; Arijit Singh";";";26QKnh2Pq4etlbtc9xUZEE
Deva Deva - Film Version;";";"Pritam; Arijit Singh; Jonita Gandhi; Amitabh Bhattacharya";";";5HABzk8BiB4G08tBqnKeSU
Rasiya Reprise;";";"Pritam; Arijit Singh; Amitabh Bhattacharya";";";3f9dNrQR4stx9CCfpqZVSf
Dev Theme;";";"Pritam; SlowCheeta";";";7ABSxuz76Ia8ZZJinldmBf
Prem Ki Duniya;";";"Salman Khan; Asin; Zarine Khan; Paresh Rawal; Arya Babbar; Mahesh Manjrekar; Amrita Kak; KK; Mika Singh; Neeraj Shridhar; Rahat Fateh Ali Khan; Tulsi Kumar";";";5uvPtqwuPYaIPmyegXq4yx
Prem Ki Dulhaniya;";";"Salman Khan; Asin; Zarine Khan; Paresh Rawal; Arya Babbar; Mahesh Manjrekar; Amrita Kak; KK; Mika Singh; Neeraj Shridhar; Rahat Fateh Ali Khan; Tulsi Kumar";";";6tjqY93p3iGIdFiQYe0IoE
Lahri Ki Lahar;";";"Salman Khan; Asin; Zarine Khan; Paresh Rawal; Arya Babbar; Mahesh Manjrekar; Amrita Kak; KK; Mika Singh; Neeraj Shridhar; Rahat Fateh Ali Khan; Tulsi Kumar";";";06FUsPSMScvzAiMx0iMLjV
Pooja Ka Chakkar;";";"Salman Khan; Asin; Zarine Khan; Paresh Rawal; Arya Babbar; Mahesh Manjrekar; Amrita Kak; KK; Mika Singh; Neeraj Shridhar; Rahat Fateh Ali Khan; Tulsi Kumar";";";4W7PN3rY5Bs2fgb11LDfzn
Gunda Khandaan;";";"Salman Khan; Asin; Zarine Khan; Paresh Rawal; Arya Babbar; Mahesh Manjrekar; Amrita Kak; KK; Mika Singh; Neeraj Shridhar; Rahat Fateh Ali Khan; Tulsi Kumar";";";3OersE8QQOw7ghsm38ZJxb
